Date,HAL,Price
2004-01-09,74,
2004-01-16,63,
2004-01-23,68,
2004-01-30,69,
2004-02-06,60,29.65
2004-02-13,63,31.64
2004-02-20,60,30.91
2004-02-27,66,31.96
2004-03-05,71,31.51
2004-03-12,63,29.20
2004-03-19,63,29.48
2004-03-26,68,28.96
2004-04-02,63,30.02
2004-04-09,62,
2004-04-16,70,30.68
2004-04-23,62,30.85
2004-04-30,60,29.80
2004-05-07,60,28.22
2004-05-14,58,29.15
2004-05-21,63,28.46
2004-05-28,55,29.04
2004-06-04,59,28.85
2004-06-11,58,
2004-06-18,61,30.03
2004-06-25,62,31.05
2004-07-02,66,30.22
2004-07-09,74,29.83
2004-07-16,79,31.50
2004-07-23,74,30.55
2004-07-30,71,31.75
2004-08-06,65,29.67
2004-08-13,58,28.08
2004-08-20,65,28.75
2004-08-27,69,28.95
2004-09-03,67,30.12
2004-09-10,63,30.31
2004-09-17,63,31.52
2004-09-24,60,33.58
2004-10-01,66,34.40
2004-10-08,65,35.37
2004-10-15,62,34.31
2004-10-22,64,34.44
2004-10-29,61,37.04
2004-11-05,64,36.93
2004-11-12,64,38.00
2004-11-19,62,39.83
2004-11-26,58,40.84
2004-12-03,63,38.74
2004-12-10,64,38.47
2004-12-17,59,39.24
2004-12-24,64,
2004-12-31,63,39.24
2005-01-07,70,37.98
2005-01-14,69,41.30
2005-01-21,67,41.80
2005-01-28,64,40.84
2005-02-04,72,41.97
2005-02-11,68,41.90
2005-02-18,69,42.49
2005-02-25,70,44.75
2005-03-04,63,44.80
2005-03-11,60,40.38
2005-03-18,64,43.92
2005-03-25,63,
2005-04-01,62,44.65
2005-04-08,63,44.33
2005-04-15,59,40.60
2005-04-22,65,43.84
2005-04-29,65,41.59
2005-05-06,63,42.49
2005-05-13,62,40.90
2005-05-20,60,41.73
2005-05-27,63,43.20
2005-06-03,62,43.41
2005-06-10,66,44.80
2005-06-17,65,46.39
2005-06-24,60,48.12
2005-07-01,57,48.10
2005-07-08,60,48.36
2005-07-15,67,46.68
2005-07-22,68,53.29
2005-07-29,67,56.05
2005-08-05,65,58.42
2005-08-12,67,58.82
2005-08-19,64,56.47
2005-08-26,63,57.26
2005-09-02,63,62.31
2005-09-09,63,66.10
2005-09-16,60,65.00
2005-09-23,69,65.01
2005-09-30,64,68.52
2005-10-07,63,62.71
2005-10-14,67,61.27
2005-10-21,63,58.05
2005-10-28,62,57.63
2005-11-04,62,61.11
2005-11-11,57,56.06
2005-11-18,64,61.37
2005-11-25,55,65.02
2005-12-02,62,65.83
2005-12-09,57,66.12
2005-12-16,61,63.72
2005-12-23,55,63.85
2005-12-30,61,61.96
2006-01-06,65,66.05
2006-01-13,62,69.55
2006-01-20,60,75.50
2006-01-27,63,78.93
2006-02-03,62,77.40
2006-02-10,68,73.30
2006-02-17,61,70.10
2006-02-24,60,71.22
2006-03-03,59,71.16
2006-03-10,63,67.00
2006-03-17,58,70.39
2006-03-24,60,71.25
2006-03-31,62,73.02
2006-04-07,56,77.27
2006-04-14,56,
2006-04-21,59,83.33
2006-04-28,59,78.15
2006-05-05,61,79.64
2006-05-12,58,77.07
2006-05-19,57,71.00
2006-05-26,56,73.65
2006-06-02,58,76.78
2006-06-09,53,72.61
2006-06-16,55,74.43
2006-06-23,51,71.77
2006-06-30,52,74.21
2006-07-07,60,72.61
2006-07-14,67,73.90
2006-07-21,63,30.04
2006-07-28,62,32.61
2006-08-04,63,32.87
2006-08-11,62,33.87
2006-08-18,59,34.07
2006-08-25,64,33.95
2006-09-01,64,32.93
2006-09-08,64,30.80
2006-09-15,69,29.03
2006-09-22,62,28.21
2006-09-29,63,28.45
2006-10-06,59,27.68
2006-10-13,60,28.71
2006-10-20,61,28.78
2006-10-27,59,32.15
2006-11-03,62,31.78
2006-11-10,66,31.79
2006-11-17,61,32.60
2006-11-24,62,32.29
2006-12-01,57,33.53
2006-12-08,55,32.81
2006-12-15,57,32.87
2006-12-22,61,31.46
2006-12-29,67,31.05
2007-01-05,68,29.00
2007-01-12,63,29.12
2007-01-19,63,29.37
2007-01-26,62,29.15
2007-02-02,62,29.75
2007-02-09,60,29.91
2007-02-16,59,30.05
2007-02-23,58,31.55
2007-03-02,57,30.98
2007-03-09,58,32.02
2007-03-16,56,32.06
2007-03-23,54,31.08
2007-03-30,56,31.74
2007-04-06,51,
2007-04-13,57,32.67
2007-04-20,52,31.65
2007-04-27,55,31.75
2007-05-04,55,32.28
2007-05-11,59,33.56
2007-05-18,58,36.46
2007-05-25,53,36.12
2007-06-01,58,35.83
2007-06-08,53,35.24
2007-06-15,52,36.37
2007-06-22,58,35.72
2007-06-29,56,34.50
2007-07-06,55,34.86
2007-07-13,55,35.51
2007-07-20,55,36.57
2007-07-27,54,36.06
2007-08-03,53,34.27
2007-08-10,70,33.23
2007-08-17,56,32.25
2007-08-24,54,33.73
2007-08-31,54,34.59
2007-09-07,52,35.24
2007-09-14,55,37.11
2007-09-21,56,38.95
2007-09-28,58,38.40
2007-10-05,56,38.98
2007-10-12,62,41.16
2007-10-19,62,38.85
2007-10-26,61,41.28
2007-11-02,65,40.31
2007-11-09,58,38.47
2007-11-16,58,37.02
2007-11-23,63,36.81
2007-11-30,66,36.61
2007-12-07,63,37.55
2007-12-14,55,37.60
2007-12-21,54,37.29
2007-12-28,54,38.02
2008-01-04,57,38.01
2008-01-11,60,35.92
2008-01-18,56,32.40
2008-01-25,59,33.09
2008-02-01,56,33.73
2008-02-08,53,33.74
2008-02-15,54,35.84
2008-02-22,53,36.16
2008-02-29,61,38.30
2008-03-07,55,37.99
2008-03-14,54,38.40
2008-03-21,62,
2008-03-28,61,39.21
2008-04-04,57,41.07
2008-04-11,58,43.52
2008-04-18,61,47.43
2008-04-25,62,46.91
2008-05-02,59,45.23
2008-05-09,61,48.12
2008-05-16,61,49.48
2008-05-23,59,47.77
2008-05-30,56,48.58
2008-06-06,55,49.39
2008-06-13,56,48.14
2008-06-20,57,50.03
2008-06-27,55,52.16
2008-07-04,57,
2008-07-11,54,48.04
2008-07-18,58,46.98
2008-07-25,56,46.02
2008-08-01,53,45.73
2008-08-08,60,43.52
2008-08-15,53,43.61
2008-08-22,58,45.46
2008-08-29,53,43.94
2008-09-05,56,39.37
2008-09-12,56,37.30
2008-09-19,58,37.62
2008-09-26,58,34.00
2008-10-03,56,26.80
2008-10-10,62,17.41
2008-10-17,71,18.26
2008-10-24,100,18.65
2008-10-31,90,19.79
2008-11-07,73,19.44
2008-11-14,72,18.11
2008-11-21,64,15.33
2008-11-28,63,17.60
2008-12-05,64,14.31
2008-12-12,70,17.18
2008-12-19,65,17.51
2008-12-26,64,17.24
2009-01-02,66,19.45
2009-01-09,66,19.01
2009-01-16,65,17.74
2009-01-23,63,18.25
2009-01-30,62,17.25
2009-02-06,64,19.71
2009-02-13,64,18.29
2009-02-20,59,17.07
2009-02-27,63,16.31
2009-03-06,58,15.12
2009-03-13,58,16.11
2009-03-20,56,16.84
2009-03-27,58,16.67
2009-04-03,55,17.33
2009-04-10,56,
2009-04-17,56,18.78
2009-04-24,59,20.62
2009-05-01,55,20.86
2009-05-08,55,23.33
2009-05-15,55,21.17
2009-05-22,51,21.30
2009-05-29,53,22.93
2009-06-05,55,22.82
2009-06-12,53,23.99
2009-06-19,53,21.38
2009-06-26,51,20.90
2009-07-03,51,
2009-07-10,53,18.93
2009-07-17,52,21.38
2009-07-24,55,23.48
2009-07-31,53,22.09
2009-08-07,54,22.11
2009-08-14,53,23.50
2009-08-21,55,25.05
2009-08-28,53,24.13
2009-09-04,52,24.54
2009-09-11,50,26.10
2009-09-18,52,28.15
2009-09-25,52,26.74
2009-10-02,50,25.74
2009-10-09,52,28.22
2009-10-16,55,30.40
2009-10-23,53,30.21
2009-10-30,54,29.21
2009-11-06,56,31.03
2009-11-13,55,30.71
2009-11-20,51,29.88
2009-11-27,50,29.09
2009-12-04,49,27.81
2009-12-11,51,28.11
2009-12-18,51,29.62
2009-12-25,48,
2010-01-01,53,
