Date,AVP,Price
2004-01-09,18,
2004-01-16,15,
2004-01-23,18,
2004-01-30,19,
2004-02-06,18,68.27
2004-02-13,15,67.61
2004-02-20,15,71.19
2004-02-27,15,70.60
2004-03-05,18,72.25
2004-03-12,25,72.51
2004-03-19,18,72.35
2004-03-26,22,74.74
2004-04-02,21,76.02
2004-04-09,22,
2004-04-16,20,79.01
2004-04-23,19,78.71
2004-04-30,20,84.00
2004-05-07,21,84.56
2004-05-14,21,84.39
2004-05-21,19,85.31
2004-05-28,20,88.66
2004-06-04,18,44.82
2004-06-11,24,
2004-06-18,24,44.18
2004-06-25,25,45.43
2004-07-02,19,45.53
2004-07-09,24,46.00
2004-07-16,28,45.18
2004-07-23,33,43.08
2004-07-30,40,43.01
2004-08-06,48,42.00
2004-08-13,100,45.58
2004-08-20,81,43.55
2004-08-27,48,44.75
2004-09-03,42,45.42
2004-09-10,34,42.14
2004-09-17,30,43.44
2004-09-24,27,43.64
2004-10-01,27,44.12
2004-10-08,23,41.27
2004-10-15,27,41.51
2004-10-22,26,41.63
2004-10-29,27,39.55
2004-11-05,27,39.20
2004-11-12,25,39.75
2004-11-19,21,37.85
2004-11-26,20,38.58
2004-12-03,17,39.58
2004-12-10,18,39.53
2004-12-17,19,38.40
2004-12-24,20,
2004-12-31,20,38.70
2005-01-07,17,39.59
2005-01-14,17,40.67
2005-01-21,18,41.07
2005-01-28,27,41.81
2005-02-04,22,45.07
2005-02-11,22,44.44
2005-02-18,17,42.46
2005-02-25,17,42.62
2005-03-04,13,42.40
2005-03-11,16,42.07
2005-03-18,15,40.41
2005-03-25,15,
2005-04-01,13,42.42
2005-04-08,15,44.60
2005-04-15,14,40.90
2005-04-22,14,40.28
2005-04-29,15,40.08
2005-05-06,12,38.69
2005-05-13,12,38.65
2005-05-20,13,41.06
2005-05-27,13,39.72
2005-06-03,12,39.75
2005-06-10,12,38.00
2005-06-17,12,37.61
2005-06-24,12,36.11
2005-07-01,14,37.80
2005-07-08,14,37.23
2005-07-15,13,37.35
2005-07-22,13,31.00
2005-07-29,13,32.71
2005-08-05,11,33.04
2005-08-12,14,32.31
2005-08-19,14,33.18
2005-08-26,16,32.32
2005-09-02,13,32.69
2005-09-09,11,31.97
2005-09-16,9,32.24
2005-09-23,11,27.35
2005-09-30,11,27.00
2005-10-07,9,26.29
2005-10-14,11,27.02
2005-10-21,10,26.63
2005-10-28,9,27.79
2005-11-04,9,28.38
2005-11-11,9,27.57
2005-11-18,8,25.72
2005-11-25,12,27.63
2005-12-02,9,27.57
2005-12-09,8,27.81
2005-12-16,8,29.30
2005-12-23,9,29.00
2005-12-30,9,28.55
2006-01-06,8,28.31
2006-01-13,9,28.32
2006-01-20,7,28.66
2006-01-27,10,29.07
2006-02-03,8,27.18
2006-02-10,8,27.21
2006-02-17,7,28.43
2006-02-24,8,28.29
