Date,GPS,Price
2004-01-09,51,
2004-01-16,50,
2004-01-23,49,
2004-01-30,49,
2004-02-06,47,20.22
2004-02-13,50,20.20
2004-02-20,50,20.48
2004-02-27,51,20.80
2004-03-05,49,21.62
2004-03-12,50,20.98
2004-03-19,51,20.63
2004-03-26,54,21.08
2004-04-02,51,22.02
2004-04-09,53,
2004-04-16,54,22.16
2004-04-23,52,23.00
2004-04-30,53,22.01
2004-05-07,54,22.00
2004-05-14,54,21.89
2004-05-21,54,22.58
2004-05-28,58,24.15
2004-06-04,61,24.65
2004-06-11,55,
2004-06-18,61,24.46
2004-06-25,61,25.13
2004-07-02,59,23.44
2004-07-09,61,23.74
2004-07-16,61,22.22
2004-07-23,60,21.67
2004-07-30,60,22.70
2004-08-06,60,19.64
2004-08-13,56,19.62
2004-08-20,56,20.62
2004-08-27,56,19.29
2004-09-03,56,20.08
2004-09-10,56,20.02
2004-09-17,52,20.01
2004-09-24,53,19.35
2004-10-01,54,19.04
2004-10-08,51,19.15
2004-10-15,55,19.20
2004-10-22,50,19.90
2004-10-29,53,19.98
2004-11-05,51,22.37
2004-11-12,55,23.24
2004-11-19,56,22.70
2004-11-26,59,23.04
2004-12-03,59,21.48
2004-12-10,62,20.45
2004-12-17,66,20.17
2004-12-24,62,
2004-12-31,64,21.12
2005-01-07,59,20.72
2005-01-14,56,20.95
2005-01-21,54,20.86
2005-01-28,54,21.81
2005-02-04,54,21.39
2005-02-11,55,21.69
2005-02-18,56,21.09
2005-02-25,58,21.29
2005-03-04,55,21.59
2005-03-11,56,22.58
2005-03-18,57,21.49
2005-03-25,58,
2005-04-01,57,21.51
2005-04-08,56,21.42
2005-04-15,56,21.02
2005-04-22,57,21.29
2005-04-29,56,21.35
2005-05-06,60,20.98
2005-05-13,59,20.60
2005-05-20,62,21.46
2005-05-27,63,21.19
2005-06-03,66,20.84
2005-06-10,68,20.99
2005-06-17,68,20.95
2005-06-24,66,19.91
2005-07-01,67,19.82
2005-07-08,66,20.97
2005-07-15,68,20.72
2005-07-22,65,21.36
2005-07-29,67,21.11
2005-08-05,67,20.62
2005-08-12,63,21.63
2005-08-19,61,19.74
2005-08-26,62,18.98
2005-09-02,59,18.52
2005-09-09,56,18.95
2005-09-16,57,18.00
2005-09-23,55,17.10
2005-09-30,54,17.43
2005-10-07,54,16.73
2005-10-14,56,16.18
2005-10-21,55,16.34
2005-10-28,54,16.87
2005-11-04,56,17.27
2005-11-11,58,18.45
2005-11-18,58,17.06
2005-11-25,61,17.72
2005-12-02,64,17.79
2005-12-09,65,17.84
2005-12-16,67,18.24
2005-12-23,68,17.64
2005-12-30,77,17.64
2006-01-06,61,17.61
2006-01-13,59,17.42
2006-01-20,57,16.98
2006-01-27,55,17.38
2006-02-03,53,18.63
2006-02-10,55,18.25
2006-02-17,56,18.82
2006-02-24,55,18.43
2006-03-03,57,18.27
2006-03-10,55,18.01
2006-03-17,57,18.22
2006-03-24,55,18.15
2006-03-31,55,18.68
2006-04-07,57,18.21
2006-04-14,60,
2006-04-21,60,17.92
2006-04-28,59,18.09
2006-05-05,58,18.37
2006-05-12,60,17.85
2006-05-19,59,18.48
2006-05-26,60,18.34
2006-06-02,63,17.89
2006-06-09,64,17.79
2006-06-16,65,17.60
2006-06-23,63,17.53
2006-06-30,65,17.40
2006-07-07,66,16.62
2006-07-14,64,16.36
2006-07-21,65,16.26
2006-07-28,67,17.12
2006-08-04,67,16.75
2006-08-11,64,16.90
2006-08-18,62,16.65
2006-08-25,61,16.61
2006-09-01,61,16.90
2006-09-08,58,16.90
2006-09-15,56,17.92
2006-09-22,55,18.39
2006-09-29,59,18.95
2006-10-06,58,19.07
2006-10-13,58,19.85
2006-10-20,59,19.30
2006-10-27,57,20.72
2006-11-03,58,19.57
2006-11-10,60,20.19
2006-11-17,63,19.81
2006-11-24,72,19.30
2006-12-01,73,18.68
2006-12-08,74,19.66
2006-12-15,76,20.39
2006-12-22,75,19.95
2006-12-29,81,19.50
2007-01-05,67,18.89
2007-01-12,63,20.30
2007-01-19,59,20.00
2007-01-26,59,19.04
2007-02-02,57,19.47
2007-02-09,58,19.55
2007-02-16,58,20.02
2007-02-23,63,19.81
2007-03-02,58,18.40
2007-03-09,60,17.84
2007-03-16,61,17.50
2007-03-23,61,17.85
2007-03-30,64,17.21
2007-04-06,66,
2007-04-13,64,18.47
2007-04-20,64,18.96
2007-04-27,64,18.31
2007-05-04,66,18.50
2007-05-11,66,18.32
2007-05-18,66,18.44
2007-05-25,69,18.18
2007-06-01,71,18.51
2007-06-08,74,18.47
2007-06-15,72,18.97
2007-06-22,72,19.34
2007-06-29,74,19.10
2007-07-06,75,19.22
2007-07-13,75,18.56
2007-07-20,75,18.63
2007-07-27,74,17.79
2007-08-03,72,16.44
2007-08-10,69,16.75
2007-08-17,67,17.27
2007-08-24,66,18.51
2007-08-31,66,18.76
2007-09-07,62,17.94
2007-09-14,61,18.00
2007-09-21,60,18.55
2007-09-28,62,18.44
2007-10-05,60,18.91
2007-10-12,61,19.01
2007-10-19,59,17.75
2007-10-26,58,18.61
2007-11-02,62,18.21
2007-11-09,62,19.38
2007-11-16,65,20.09
2007-11-23,100,18.89
2007-11-30,92,20.40
2007-12-07,88,21.57
2007-12-14,83,21.18
2007-12-21,82,21.76
2007-12-28,93,21.36
2008-01-04,72,19.66
2008-01-11,66,17.20
2008-01-18,63,17.23
2008-01-25,59,17.80
2008-02-01,57,19.34
2008-02-08,60,19.78
2008-02-15,61,19.70
2008-02-22,62,19.71
2008-02-29,60,20.17
2008-03-07,60,19.58
2008-03-14,60,19.81
2008-03-21,64,
2008-03-28,64,19.52
2008-04-04,60,19.05
2008-04-11,62,17.95
2008-04-18,59,19.00
2008-04-25,63,19.34
2008-05-02,64,18.68
2008-05-09,64,17.94
2008-05-16,63,18.43
2008-05-23,63,17.94
2008-05-30,65,18.25
2008-06-06,67,17.17
2008-06-13,70,18.00
2008-06-20,68,17.45
2008-06-27,66,16.74
2008-07-04,66,
2008-07-11,71,15.25
2008-07-18,73,16.60
