Date,General Growth Properties Inc.,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,30.35
2004-02-13,0,30.33
2004-02-20,0,30.45
2004-02-27,0,31.26
2004-03-05,0,32.79
2004-03-12,0,32.83
2004-03-19,0,34.27
2004-03-26,0,33.59
2004-04-02,0,33.97
2004-04-09,0,
2004-04-16,0,28.60
2004-04-23,0,26.97
2004-04-30,0,27.11
2004-05-07,0,25.92
2004-05-14,0,26.37
2004-05-21,0,26.75
2004-05-28,0,29.38
2004-06-04,0,29.13
2004-06-11,0,
2004-06-18,0,29.97
2004-06-25,0,29.90
2004-07-02,0,30.60
2004-07-09,0,30.73
2004-07-16,0,30.88
2004-07-23,0,29.48
2004-07-30,0,30.08
2004-08-06,0,30.97
2004-08-13,0,30.78
2004-08-20,0,30.00
2004-08-27,0,28.84
2004-09-03,0,30.35
2004-09-10,0,30.50
2004-09-17,0,30.80
2004-09-24,0,31.00
2004-10-01,0,31.84
2004-10-08,0,32.37
2004-10-15,0,32.38
2004-10-22,0,32.75
2004-10-29,0,32.99
2004-11-05,0,32.05
2004-11-12,0,34.00
2004-11-19,0,32.73
2004-11-26,0,34.17
2004-12-03,0,35.45
2004-12-10,0,36.63
2004-12-17,0,35.55
2004-12-24,0,
2004-12-31,0,36.16
2005-01-07,0,34.12
2005-01-14,0,33.22
2005-01-21,0,33.25
2005-01-28,0,32.00
2005-02-04,0,34.17
2005-02-11,0,36.74
2005-02-18,0,36.52
2005-02-25,0,35.57
2005-03-04,0,35.68
2005-03-11,0,33.85
2005-03-18,0,34.32
2005-03-25,0,
2005-04-01,0,34.00
2005-04-08,0,34.05
2005-04-15,0,34.65
2005-04-22,0,36.95
2005-04-29,0,39.11
2005-05-06,0,37.10
2005-05-13,0,37.35
2005-05-20,0,39.71
2005-05-27,0,38.50
2005-06-03,0,39.90
2005-06-10,0,40.63
2005-06-17,0,41.84
2005-06-24,0,40.51
2005-07-01,0,41.81
2005-07-08,0,43.38
2005-07-15,0,43.36
2005-07-22,0,43.86
2005-07-29,0,45.98
2005-08-05,0,43.89
2005-08-12,0,44.26
2005-08-19,0,44.02
2005-08-26,0,43.90
2005-09-02,0,45.54
2005-09-09,0,46.84
2005-09-16,0,45.29
2005-09-23,0,43.16
2005-09-30,0,44.93
2005-10-07,0,42.84
2005-10-14,0,41.30
2005-10-21,0,41.00
2005-10-28,0,41.80
2005-11-04,0,41.03
2005-11-11,0,43.26
2005-11-18,0,44.60
2005-11-25,0,46.51
2005-12-02,0,46.08
2005-12-09,0,46.15
2005-12-16,0,47.50
2005-12-23,0,47.86
2005-12-30,0,46.99
2006-01-06,0,49.73
2006-01-13,0,49.57
2006-01-20,0,49.44
2006-01-27,0,51.41
2006-02-03,0,50.72
2006-02-10,0,49.34
2006-02-17,0,51.69
2006-02-24,0,50.45
2006-03-03,0,49.22
2006-03-10,0,48.53
2006-03-17,0,51.30
2006-03-24,0,49.64
2006-03-31,0,48.87
2006-04-07,0,46.12
2006-04-14,0,
2006-04-21,0,46.62
2006-04-28,0,46.95
2006-05-05,0,47.19
2006-05-12,0,45.28
2006-05-19,0,43.41
2006-05-26,0,44.50
2006-06-02,0,45.78
2006-06-09,0,45.69
2006-06-16,0,44.47
2006-06-23,0,42.85
2006-06-30,0,45.06
2006-07-07,0,45.09
2006-07-14,0,44.29
2006-07-21,0,44.51
2006-07-28,0,46.19
2006-08-04,0,45.71
2006-08-11,0,43.55
2006-08-18,0,44.40
2006-08-25,0,45.19
2006-09-01,0,45.00
2006-09-08,0,45.79
2006-09-15,0,48.11
2006-09-22,0,47.56
2006-09-29,0,47.65
2006-10-06,0,48.91
2006-10-13,0,51.34
2006-10-20,0,51.50
2006-10-27,0,51.51
2006-11-03,0,49.16
2006-11-10,0,47.00
2006-11-17,0,48.34
2006-11-24,0,52.65
2006-12-01,0,55.33
2006-12-08,0,54.52
2006-12-15,0,53.12
2006-12-22,0,51.22
2006-12-29,0,52.23
2007-01-05,0,51.51
2007-01-12,0,54.85
2007-01-19,0,56.19
2007-01-26,0,59.62
2007-02-02,0,61.48
2007-02-09,0,62.18
2007-02-16,0,65.65
2007-02-23,0,64.80
2007-03-02,0,60.94
2007-03-09,0,63.68
2007-03-16,0,64.30
2007-03-23,0,67.00
2007-03-30,0,64.57
2007-04-06,0,
2007-04-13,0,63.55
2007-04-20,0,63.82
2007-04-27,0,65.09
2007-05-04,0,61.97
2007-05-11,0,62.31
2007-05-18,0,56.94
2007-05-25,0,55.83
2007-06-01,0,58.71
2007-06-08,0,56.17
2007-06-15,0,56.47
2007-06-22,0,52.75
2007-06-29,0,52.95
2007-07-06,0,54.05
2007-07-13,0,53.40
2007-07-20,0,51.25
2007-07-27,0,46.70
2007-08-03,0,46.82
2007-08-10,0,50.95
2007-08-17,0,50.35
2007-08-24,0,50.02
2007-08-31,0,49.71
2007-09-07,0,49.25
2007-09-14,0,49.56
2007-09-21,0,51.98
2007-09-28,0,53.62
2007-10-05,0,57.31
2007-10-12,0,56.87
2007-10-19,0,52.29
2007-10-26,0,52.79
2007-11-02,0,51.58
2007-11-09,0,47.06
2007-11-16,0,48.79
2007-11-23,0,46.59
2007-11-30,0,46.44
2007-12-07,0,47.97
2007-12-14,0,44.45
2007-12-21,0,41.25
2007-12-28,0,40.55
2008-01-04,0,36.66
2008-01-11,0,34.43
2008-01-18,0,32.86
2008-01-25,0,35.75
2008-02-01,0,40.00
2008-02-08,0,34.87
2008-02-15,0,36.50
2008-02-22,0,35.04
2008-02-29,0,35.31
2008-03-07,0,33.73
2008-03-14,0,32.31
2008-03-21,0,
2008-03-28,0,38.69
2008-04-04,0,42.25
2008-04-11,0,38.10
2008-04-18,0,40.76
2008-04-25,0,42.39
2008-05-02,0,43.10
2008-05-09,0,41.20
2008-05-16,0,43.83
2008-05-23,0,39.33
2008-05-30,0,41.56
2008-06-06,0,39.73
2008-06-13,0,39.63
2008-06-20,0,38.18
2008-06-27,0,35.12
2008-07-04,0,
2008-07-11,0,30.00
2008-07-18,0,30.10
2008-07-25,0,29.37
2008-08-01,0,26.99
2008-08-08,0,27.48
2008-08-15,0,25.15
2008-08-22,0,24.98
2008-08-29,0,25.93
2008-09-05,0,25.82
2008-09-12,0,27.55
2008-09-19,0,21.42
2008-09-26,0,17.05
2008-10-03,0,9.67
2008-10-10,0,4.82
2008-10-17,0,6.12
2008-10-24,0,2.17
2008-10-31,0,4.14
2008-11-07,0,2.07
2008-11-14,68,0.44
2008-11-21,0,0.41
2008-11-28,0,1.38
2008-12-05,0,1.65
2008-12-12,0,1.80
2008-12-19,0,1.75
2008-12-26,0,1.29
2009-01-02,0,1.42
2009-01-09,0,1.83
2009-01-16,0,1.16
2009-01-23,0,1.07
2009-01-30,0,0.65
2009-02-06,0,0.81
2009-02-13,0,0.55
2009-02-20,0,0.46
2009-02-27,0,0.59
2009-03-06,0,0.33
2009-03-13,0,0.64
2009-03-20,0,0.44
2009-03-27,0,0.66
2009-04-03,0,0.72
2009-04-10,0,
2009-04-17,100,0.62
2009-04-24,0,0.62
2009-05-01,0,0.62
2009-05-08,0,0.94
2009-05-15,0,1.04
2009-05-22,0,1.17
2009-05-29,0,2.02
2009-06-05,0,2.90
2009-06-12,0,2.07
2009-06-19,0,2.07
2009-06-26,0,2.04
2009-07-03,0,
2009-07-10,0,1.40
2009-07-17,0,1.72
2009-07-24,0,1.86
2009-07-31,0,2.02
2009-08-07,0,2.45
2009-08-14,0,2.92
2009-08-21,0,2.95
2009-08-28,0,2.69
2009-09-04,0,2.60
2009-09-11,0,3.48
2009-09-18,0,4.20
2009-09-25,0,3.77
2009-10-02,0,4.38
2009-10-09,0,5.15
2009-10-16,0,5.06
2009-10-23,0,5.19
2009-10-30,0,4.08
2009-11-06,0,3.99
2009-11-13,0,4.13
2009-11-20,0,6.58
2009-11-27,0,6.27
2009-12-04,0,9.80
2009-12-11,0,10.67
2009-12-18,0,9.40
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,12.35
2010-01-15,0,10.98
2010-01-22,0,10.30
2010-01-29,0,9.30
2010-02-05,0,9.00
2010-02-12,0,9.40
2010-02-19,0,12.74
2010-02-26,0,13.11
2010-03-05,0,14.01
2010-03-12,0,14.75
2010-03-19,0,16.75
2010-03-26,0,16.49
2010-04-02,0,
2010-04-09,0,16.73
2010-04-16,0,15.38
2010-04-23,0,15.50
2010-04-30,0,15.70
2010-05-07,0,14.07
2010-05-14,0,14.50
2010-05-21,0,13.12
2010-05-28,0,14.02
2010-06-04,0,13.68
2010-06-11,0,13.65
2010-06-18,0,14.63
2010-06-25,0,14.24
2010-07-02,0,12.75
2010-07-09,0,13.75
2010-07-16,0,13.23
2010-07-23,0,13.76
2010-07-30,0,13.92
2010-08-06,0,14.23
2010-08-13,0,13.50
2010-08-20,0,13.96
2010-08-27,0,13.93
2010-09-03,0,14.74
2010-09-10,0,14.66
2010-09-17,0,15.08
2010-09-24,0,15.54
2010-10-01,0,15.58
2010-10-08,0,15.80
2010-10-15,0,16.12
2010-10-22,0,16.99
2010-10-29,0,16.80
2010-11-05,0,17.75
2010-11-12,0,15.40
2010-11-19,0,15.10
2010-11-26,0,16.28
2010-12-03,0,15.94
2010-12-10,0,15.14
2010-12-17,0,15.60
2010-12-24,0,
2010-12-31,0,15.48
2011-01-07,0,15.02
2011-01-14,0,15.10
2011-01-21,0,14.35
2011-01-28,0,14.57
2011-02-04,0,14.96
2011-02-11,0,15.45
2011-02-18,0,15.76
2011-02-25,0,15.58
2011-03-04,0,15.13
2011-03-11,0,14.88
2011-03-18,0,15.20
2011-03-25,0,15.14
2011-04-01,0,15.47
2011-04-08,0,15.01
2011-04-15,0,15.44
2011-04-22,0,
2011-04-29,0,16.70
2011-05-06,0,15.92
2011-05-13,0,16.12
2011-05-20,0,16.04
2011-05-27,0,16.30
2011-06-03,0,16.23
2011-06-10,0,15.54
2011-06-17,0,16.36
2011-06-24,0,16.11
2011-07-01,0,16.72
2011-07-08,0,17.27
2011-07-15,0,16.44
2011-07-22,0,17.38
2011-07-29,0,16.81
2011-08-05,0,13.80
2011-08-12,0,13.86
2011-08-19,0,13.13
2011-08-26,0,13.04
2011-09-02,0,12.71
2011-09-09,0,12.06
2011-09-16,0,12.71
2011-09-23,0,12.33
2011-09-30,0,12.10
2011-10-07,0,11.85
2011-10-14,0,12.78
2011-10-21,0,13.48
2011-10-28,0,14.76
2011-11-04,0,14.55
2011-11-11,0,14.46
2011-11-18,0,13.70
2011-11-25,0,12.99
2011-12-02,0,13.92
2011-12-09,0,14.12
2011-12-16,0,14.52
2011-12-23,0,15.00
2011-12-30,0,15.02
2012-01-06,0,14.81
2012-01-13,0,14.75
2012-01-20,0,15.61
2012-01-27,0,15.96
2012-02-03,0,16.55
2012-02-10,0,16.40
2012-02-17,0,16.79
2012-02-24,0,16.73
2012-03-02,0,16.50
2012-03-09,0,16.36
2012-03-16,0,16.91
2012-03-23,0,16.63
2012-03-30,0,16.99
2012-04-06,0,
2012-04-13,0,16.70
2012-04-20,0,17.31
2012-04-27,0,18.05
2012-05-04,0,17.90
2012-05-11,0,18.00
2012-05-18,0,16.29
2012-05-25,0,16.81
2012-06-01,0,16.15
2012-06-08,0,17.13
2012-06-15,0,17.10
2012-06-22,0,17.30
2012-06-29,0,18.09
2012-07-06,0,18.49
2012-07-13,0,18.07
2012-07-20,0,17.23
2012-07-27,0,18.10
2012-08-03,0,18.79
2012-08-10,0,18.70
2012-08-17,0,18.55
2012-08-24,0,19.76
2012-08-31,0,20.58
2012-09-07,0,20.99
2012-09-14,0,20.07
2012-09-21,0,19.45
2012-09-28,0,19.48
2012-10-05,0,19.35
2012-10-12,0,19.32
2012-10-19,0,19.47
2012-10-26,0,19.14
2012-11-02,0,19.34
2012-11-09,0,18.88
2012-11-16,0,18.67
2012-11-23,0,19.02
2012-11-30,0,19.37
2012-12-07,0,20.20
2012-12-14,0,19.95
2012-12-21,0,19.65
2012-12-28,0,19.68
2013-01-04,0,19.27
2013-01-11,0,19.13
2013-01-18,0,19.39
2013-01-25,0,19.68
2013-02-01,0,19.98
2013-02-08,0,20.14
2013-02-15,0,19.96
2013-02-22,0,19.66
2013-03-01,0,19.70
2013-03-08,0,19.75
2013-03-15,0,19.88
2013-03-22,0,19.95
2013-03-29,0,
2013-04-05,0,20.48
2013-04-12,0,21.20
2013-04-19,0,21.53
2013-04-26,0,21.77
2013-05-03,0,22.96
2013-05-10,0,22.71
2013-05-17,0,22.97
2013-05-24,0,21.54
2013-05-31,0,20.53
2013-06-07,0,20.78
2013-06-14,0,20.88
2013-06-21,0,19.50
2013-06-28,0,19.87
2013-07-05,0,20.04
2013-07-12,0,21.03
2013-07-19,0,21.40
2013-07-26,0,21.63
2013-08-02,0,20.69
2013-08-09,0,20.82
2013-08-16,0,19.57
2013-08-23,0,19.41
2013-08-30,0,19.18
2013-09-06,0,19.12
2013-09-13,0,19.49
2013-09-20,0,20.01
2013-09-27,0,19.38
2013-10-04,0,19.85
2013-10-11,0,20.07
2013-10-18,0,21.04
2013-10-25,0,21.34
2013-11-01,0,21.56
2013-11-08,0,20.47
2013-11-15,0,20.79
2013-11-22,0,20.67
2013-11-29,0,20.75
2013-12-06,0,21.14
2013-12-13,0,20.40
2013-12-20,0,20.40
2013-12-27,0,20.16
2014-01-03,0,20.21
2014-01-10,0,20.53
2014-01-17,0,20.41
2014-01-24,0,19.61
2014-01-31,0,20.14
2014-02-07,0,20.61
2014-02-14,0,21.92
2014-02-21,0,22.26
2014-02-28,0,22.02
2014-03-07,0,22.13
2014-03-14,0,22.20
2014-03-21,0,21.73
2014-03-28,0,21.88
2014-04-04,0,22.19
2014-04-11,0,22.07
2014-04-18,0,
2014-04-25,0,22.68
2014-05-02,0,
