Date,Lam Research,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,100,
2004-01-30,0,
2004-02-06,0,27.42
2004-02-13,0,27.43
2004-02-20,0,26.25
2004-02-27,0,25.57
2004-03-05,0,25.06
2004-03-12,0,24.88
2004-03-19,91,23.44
2004-03-26,0,25.08
2004-04-02,0,26.99
2004-04-09,0,
2004-04-16,0,24.71
2004-04-23,0,25.07
2004-04-30,0,22.07
2004-05-07,0,22.09
2004-05-14,0,21.87
2004-05-21,0,22.55
2004-05-28,0,25.13
2004-06-04,0,24.27
2004-06-11,0,
2004-06-18,0,23.46
2004-06-25,0,25.96
2004-07-02,0,24.48
2004-07-09,0,25.02
2004-07-16,0,20.71
2004-07-23,0,22.64
2004-07-30,0,23.85
2004-08-06,0,21.40
2004-08-13,0,19.95
2004-08-20,0,22.09
2004-08-27,0,22.36
2004-09-03,0,20.13
2004-09-10,0,22.16
2004-09-17,0,22.47
2004-09-24,0,21.66
2004-10-01,0,22.62
2004-10-08,0,21.62
2004-10-15,0,21.75
2004-10-22,0,23.89
2004-10-29,0,26.03
2004-11-05,0,26.14
2004-11-12,0,26.41
2004-11-19,0,26.94
2004-11-26,0,26.64
2004-12-03,0,29.25
2004-12-10,0,28.06
2004-12-17,0,28.63
2004-12-24,0,
2004-12-31,0,28.91
2005-01-07,0,25.77
2005-01-14,0,27.20
2005-01-21,0,26.72
2005-01-28,0,26.60
2005-02-04,0,28.96
2005-02-11,0,29.83
2005-02-18,0,30.02
2005-02-25,0,31.98
2005-03-04,0,29.63
2005-03-11,0,28.61
2005-03-18,0,27.52
2005-03-25,0,
2005-04-01,0,28.46
2005-04-08,0,28.00
2005-04-15,0,25.87
2005-04-22,0,26.89
2005-04-29,0,25.65
2005-05-06,0,26.59
2005-05-13,0,27.25
2005-05-20,0,28.94
2005-05-27,0,29.75
2005-06-03,0,31.44
2005-06-10,0,30.70
2005-06-17,0,30.63
2005-06-24,0,28.88
2005-07-01,0,29.04
2005-07-08,0,28.99
2005-07-15,52,30.52
2005-07-22,0,28.98
2005-07-29,0,28.45
2005-08-05,0,29.30
2005-08-12,0,28.71
2005-08-19,0,29.41
2005-08-26,0,29.86
2005-09-02,0,30.13
2005-09-09,0,31.06
2005-09-16,0,30.64
2005-09-23,0,29.39
2005-09-30,0,30.47
2005-10-07,0,30.32
2005-10-14,60,33.44
2005-10-21,42,34.44
2005-10-28,46,32.96
2005-11-04,0,35.07
2005-11-11,0,37.17
2005-11-18,0,37.49
2005-11-25,0,38.44
2005-12-02,0,37.75
2005-12-09,59,36.30
2005-12-16,0,36.03
2005-12-23,0,36.53
2005-12-30,0,35.68
2006-01-06,0,39.07
2006-01-13,0,38.29
2006-01-20,43,42.02
2006-01-27,65,46.32
2006-02-03,39,46.23
2006-02-10,53,48.03
2006-02-17,34,44.62
2006-02-24,46,43.75
2006-03-03,43,43.83
2006-03-10,43,40.96
2006-03-17,57,42.92
2006-03-24,57,43.67
2006-03-31,57,43.00
2006-04-07,57,45.28
2006-04-14,57,
2006-04-21,42,46.32
2006-04-28,42,48.88
2006-05-05,42,53.49
2006-05-12,42,48.84
2006-05-19,42,47.61
2006-05-26,46,45.14
2006-06-02,39,45.19
2006-06-09,39,43.54
2006-06-16,36,45.05
2006-06-23,36,42.99
2006-06-30,36,46.72
2006-07-07,40,44.54
2006-07-14,43,42.68
2006-07-21,0,37.70
2006-07-28,0,41.08
2006-08-04,0,39.50
2006-08-11,0,39.04
2006-08-18,0,41.65
2006-08-25,40,39.80
2006-09-01,36,42.03
2006-09-08,32,39.44
2006-09-15,32,41.57
2006-09-22,60,41.36
2006-09-29,48,45.33
2006-10-06,37,47.69
2006-10-13,36,51.66
2006-10-20,30,48.43
2006-10-27,52,48.74
2006-11-03,37,48.99
2006-11-10,37,50.10
2006-11-17,26,54.34
2006-11-24,31,55.64
2006-12-01,35,51.59
2006-12-08,40,52.96
2006-12-15,38,53.34
2006-12-22,41,49.80
2006-12-29,44,50.62
2007-01-05,47,51.85
2007-01-12,50,54.54
2007-01-19,47,47.28
2007-01-26,33,47.39
2007-02-02,37,45.73
2007-02-09,35,44.01
2007-02-16,35,45.23
2007-02-23,23,45.79
2007-03-02,35,43.50
2007-03-09,35,45.51
2007-03-16,27,45.54
2007-03-23,31,47.32
2007-03-30,22,47.34
2007-04-06,49,
2007-04-13,27,51.86
2007-04-20,39,52.77
2007-04-27,34,54.46
2007-05-04,32,55.70
2007-05-11,32,53.93
2007-05-18,22,51.67
2007-05-25,30,52.99
2007-06-01,24,54.04
2007-06-08,28,52.18
2007-06-15,27,53.91
2007-06-22,32,53.11
2007-06-29,32,51.40
2007-07-06,26,51.95
2007-07-13,38,54.31
2007-07-20,45,59.16
2007-07-27,36,56.87
2007-08-03,36,54.82
2007-08-10,36,55.04
2007-08-17,32,54.12
2007-08-24,40,54.55
2007-08-31,25,53.63
2007-09-07,18,52.11
2007-09-14,32,50.38
2007-09-21,30,53.81
2007-09-28,24,53.26
2007-10-05,35,53.96
2007-10-12,30,54.70
2007-10-19,19,53.71
2007-10-26,16,48.91
2007-11-02,24,48.65
2007-11-09,24,47.19
2007-11-16,24,46.00
2007-11-23,24,44.91
2007-11-30,34,45.85
2007-12-07,36,47.20
2007-12-14,48,44.25
2007-12-21,36,44.42
2007-12-28,20,43.53
2008-01-04,20,40.02
2008-01-11,20,37.93
2008-01-18,21,41.59
2008-01-25,27,39.36
2008-02-01,22,40.71
2008-02-08,26,38.52
2008-02-15,26,38.25
2008-02-22,18,40.31
2008-02-29,25,40.24
2008-03-07,25,38.36
2008-03-14,30,38.54
2008-03-21,22,
2008-03-28,16,37.73
2008-04-04,29,43.76
2008-04-11,27,41.00
2008-04-18,29,42.85
2008-04-25,32,42.63
2008-05-02,22,42.75
2008-05-09,25,40.09
2008-05-16,27,41.91
2008-05-23,22,38.05
2008-05-30,18,40.70
2008-06-06,19,38.72
2008-06-13,26,37.01
2008-06-20,17,36.69
2008-06-27,14,37.12
2008-07-04,18,
2008-07-11,22,32.50
2008-07-18,26,33.27
2008-07-25,16,31.31
2008-08-01,16,32.60
2008-08-08,18,37.08
2008-08-15,19,38.52
2008-08-22,17,38.30
2008-08-29,32,36.76
2008-09-05,15,32.33
2008-09-12,18,31.98
2008-09-19,22,33.44
2008-09-26,17,32.07
2008-10-03,19,26.25
2008-10-10,18,22.86
2008-10-17,20,21.12
2008-10-24,23,19.23
2008-10-31,30,22.36
2008-11-07,20,21.04
2008-11-14,25,17.99
2008-11-21,24,17.82
2008-11-28,18,20.20
2008-12-05,14,20.31
2008-12-12,21,23.02
2008-12-19,16,22.06
2008-12-26,16,20.87
2009-01-02,17,22.04
2009-01-09,19,23.50
2009-01-16,16,22.17
2009-01-23,18,21.91
2009-01-30,20,20.21
2009-02-06,31,21.78
2009-02-13,23,21.69
2009-02-20,18,19.59
2009-02-27,28,19.56
2009-03-06,18,19.29
2009-03-13,20,23.35
2009-03-20,19,23.24
2009-03-27,16,24.03
2009-04-03,11,25.65
2009-04-10,11,
2009-04-17,21,27.81
2009-04-24,21,25.69
2009-05-01,22,27.47
2009-05-08,30,25.60
2009-05-15,14,24.39
2009-05-22,23,24.51
2009-05-29,17,26.19
2009-06-05,18,25.68
2009-06-12,12,25.64
2009-06-19,20,24.57
2009-06-26,10,24.77
2009-07-03,16,
2009-07-10,22,26.28
2009-07-17,24,30.21
2009-07-24,21,32.02
2009-07-31,22,30.06
2009-08-07,13,29.41
2009-08-14,13,29.17
2009-08-21,18,29.95
2009-08-28,21,31.33
2009-09-04,16,31.54
2009-09-11,18,34.76
2009-09-18,20,34.07
2009-09-25,15,33.75
2009-10-02,14,32.50
2009-10-09,18,36.19
2009-10-16,20,36.46
2009-10-23,18,36.33
2009-10-30,20,33.72
2009-11-06,12,34.14
2009-11-13,12,35.55
2009-11-20,14,34.02
2009-11-27,12,34.49
2009-12-04,18,38.20
2009-12-11,20,38.04
2009-12-18,15,38.03
2009-12-25,15,
2010-01-01,15,
2010-01-08,15,40.35
2010-01-15,31,36.82
2010-01-22,18,34.29
2010-01-29,16,33.01
2010-02-05,15,33.29
2010-02-12,18,35.05
2010-02-19,16,35.66
2010-02-26,20,33.91
2010-03-05,19,34.72
2010-03-12,17,34.26
2010-03-19,15,33.88
2010-03-26,13,36.50
2010-04-02,13,
2010-04-09,19,38.48
2010-04-16,31,39.94
2010-04-23,22,42.90
2010-04-30,14,40.54
2010-05-07,12,36.96
2010-05-14,14,38.18
2010-05-21,12,37.76
2010-05-28,27,37.86
2010-06-04,21,39.05
2010-06-11,17,40.15
2010-06-18,22,41.99
2010-06-25,21,40.25
2010-07-02,14,37.56
2010-07-09,15,39.68
2010-07-16,19,40.04
2010-07-23,18,42.30
2010-07-30,19,42.19
2010-08-06,16,41.87
2010-08-13,18,37.66
2010-08-20,18,38.12
2010-08-27,20,37.37
2010-09-03,24,37.93
2010-09-10,16,36.24
2010-09-17,24,39.16
2010-09-24,22,41.55
2010-10-01,12,42.19
2010-10-08,25,39.94
2010-10-15,20,41.36
2010-10-22,19,43.88
2010-10-29,23,45.79
2010-11-05,19,47.63
2010-11-12,31,45.31
2010-11-19,24,46.51
2010-11-26,20,46.61
2010-12-03,21,49.22
2010-12-10,23,51.61
2010-12-17,26,51.85
2010-12-24,22,
2010-12-31,18,51.78
2011-01-07,19,47.20
2011-01-14,26,52.69
2011-01-21,16,49.98
2011-01-28,22,49.63
2011-02-04,17,52.60
2011-02-11,19,53.96
2011-02-18,17,56.10
2011-02-25,15,55.35
2011-03-04,18,58.27
2011-03-11,25,52.16
2011-03-18,21,50.81
2011-03-25,21,54.62
2011-04-01,23,56.31
2011-04-08,22,52.42
2011-04-15,28,51.90
2011-04-22,23,
2011-04-29,22,48.31
2011-05-06,20,48.63
2011-05-13,21,47.46
2011-05-20,22,47.19
2011-05-27,20,45.96
2011-06-03,19,45.82
2011-06-10,20,44.48
2011-06-17,20,42.43
2011-06-24,17,43.22
2011-07-01,23,45.27
2011-07-08,18,44.17
2011-07-15,26,42.06
2011-07-22,27,44.26
2011-07-29,29,40.88
2011-08-05,29,37.20
2011-08-12,17,38.73
2011-08-19,20,35.99
2011-08-26,18,37.30
2011-09-02,20,36.22
2011-09-09,23,37.18
2011-09-16,27,39.75
2011-09-23,22,36.90
2011-09-30,18,37.98
2011-10-07,18,40.82
2011-10-14,21,43.81
2011-10-21,26,40.61
2011-10-28,23,44.32
2011-11-04,16,43.83
2011-11-11,23,44.88
2011-11-18,13,40.48
2011-11-25,14,36.76
2011-12-02,22,42.24
2011-12-09,18,42.63
2011-12-16,57,35.92
2011-12-23,22,36.93
2011-12-30,15,37.02
2012-01-06,18,37.84
2012-01-13,25,38.50
2012-01-20,27,42.23
2012-01-27,30,43.10
2012-02-03,24,44.19
2012-02-10,25,42.33
2012-02-17,22,41.98
2012-02-24,22,40.56
2012-03-02,26,41.04
2012-03-09,32,41.95
2012-03-16,18,43.28
2012-03-23,17,43.82
2012-03-30,13,44.62
2012-04-06,17,
2012-04-13,13,42.18
2012-04-20,20,40.39
2012-04-27,22,42.07
2012-05-04,19,40.24
2012-05-11,17,41.42
2012-05-18,19,37.57
2012-05-25,18,38.37
2012-06-01,14,36.13
2012-06-08,23,37.62
2012-06-15,20,37.76
2012-06-22,21,37.95
2012-06-29,20,37.74
2012-07-06,20,35.49
2012-07-13,18,34.23
2012-07-20,18,34.80
2012-07-27,23,34.14
2012-08-03,22,34.57
2012-08-10,20,35.54
2012-08-17,18,35.21
2012-08-24,26,34.62
2012-08-31,17,34.13
2012-09-07,18,34.72
2012-09-14,17,34.35
2012-09-21,18,32.91
2012-09-28,25,31.78
2012-10-05,20,32.26
2012-10-12,16,32.46
2012-10-19,17,35.37
2012-10-26,15,35.36
2012-11-02,19,36.06
2012-11-09,18,36.43
2012-11-16,18,34.52
2012-11-23,14,35.34
2012-11-30,17,35.12
2012-12-07,19,35.46
2012-12-14,13,36.37
2012-12-21,19,36.24
2012-12-28,8,35.67
2013-01-04,17,38.07
2013-01-11,16,38.44
2013-01-18,20,40.12
2013-01-25,20,41.84
2013-02-01,24,41.72
2013-02-08,18,42.61
2013-02-15,17,42.50
2013-02-22,21,42.03
2013-03-01,24,42.68
2013-03-08,21,42.88
2013-03-15,19,41.66
2013-03-22,18,40.56
2013-03-29,20,
2013-04-05,18,40.77
2013-04-12,26,41.81
2013-04-19,16,41.63
2013-04-26,26,45.67
2013-05-03,24,46.01
2013-05-10,18,46.92
2013-05-17,21,48.04
2013-05-24,25,46.61
2013-05-31,21,46.78
2013-06-07,21,48.40
2013-06-14,19,47.08
2013-06-21,20,45.00
2013-06-28,24,44.34
2013-07-05,18,45.98
2013-07-12,28,50.43
2013-07-19,23,50.59
2013-07-26,21,49.47
2013-08-02,20,50.13
2013-08-09,16,47.70
2013-08-16,20,47.84
2013-08-23,16,48.26
2013-08-30,24,46.67
2013-09-06,18,49.16
2013-09-13,21,49.85
2013-09-20,17,49.30
2013-09-27,24,51.14
2013-10-04,16,52.00
2013-10-11,20,52.83
2013-10-18,19,53.85
2013-10-25,28,54.77
2013-11-01,20,53.62
2013-11-08,23,52.85
2013-11-15,16,52.61
2013-11-22,20,51.58
2013-11-29,14,52.11
2013-12-06,18,51.16
2013-12-13,15,51.07
2013-12-20,20,53.90
2013-12-27,11,54.18
2014-01-03,15,53.94
2014-01-10,25,54.88
2014-01-17,26,54.23
2014-01-24,20,51.27
2014-01-31,24,50.61
2014-02-07,26,51.85
2014-02-14,23,52.48
2014-02-21,22,52.27
2014-02-28,23,51.73
2014-03-07,22,53.35
2014-03-14,22,52.60
2014-03-21,24,56.37
2014-03-28,23,54.49
2014-04-04,26,56.00
2014-04-11,29,52.63
2014-04-18,24,
2014-04-25,35,56.37
2014-05-02,25,
