Date,X,Price
2004-01-09,59,
2004-01-16,56,
2004-01-23,58,
2004-01-30,57,
2004-02-06,55,33.49
2004-02-13,56,35.75
2004-02-20,57,35.05
2004-02-27,58,36.75
2004-03-05,55,38.00
2004-03-12,57,34.76
2004-03-19,54,36.42
2004-03-26,54,36.20
2004-04-02,51,38.71
2004-04-09,53,
2004-04-16,51,36.80
2004-04-23,52,35.07
2004-04-30,51,28.63
2004-05-07,52,26.11
2004-05-14,52,26.54
2004-05-21,52,28.30
2004-05-28,52,30.36
2004-06-04,53,29.43
2004-06-11,52,
2004-06-18,52,31.88
2004-06-25,52,34.25
2004-07-02,51,33.72
2004-07-09,54,34.38
2004-07-16,53,37.00
2004-07-23,53,33.88
2004-07-30,52,38.14
2004-08-06,53,34.10
2004-08-13,52,35.53
2004-08-20,52,37.60
2004-08-27,51,36.32
2004-09-03,54,38.11
2004-09-10,53,38.68
2004-09-17,52,38.00
2004-09-24,52,35.32
2004-10-01,54,38.36
2004-10-08,72,38.99
2004-10-15,54,35.72
2004-10-22,52,33.61
2004-10-29,54,36.72
2004-11-05,53,40.41
2004-11-12,57,45.59
2004-11-19,54,46.95
2004-11-26,55,51.25
2004-12-03,54,51.03
2004-12-10,55,47.83
2004-12-17,55,52.40
2004-12-24,57,
2004-12-31,59,51.25
2005-01-07,53,48.81
2005-01-14,52,50.45
2005-01-21,54,50.32
2005-01-28,52,50.97
2005-02-04,52,52.50
2005-02-11,54,52.81
2005-02-18,53,57.40
2005-02-25,51,63.12
2005-03-04,51,61.45
2005-03-11,50,56.55
2005-03-18,50,55.80
2005-03-25,51,
2005-04-01,49,51.18
2005-04-08,49,48.22
2005-04-15,48,42.91
2005-04-22,49,45.42
2005-04-29,51,42.76
2005-05-06,54,44.26
2005-05-13,52,37.78
2005-05-20,53,40.15
2005-05-27,51,40.36
2005-06-03,49,39.25
2005-06-10,51,37.94
2005-06-17,51,41.19
2005-06-24,50,34.47
2005-07-01,49,34.80
2005-07-08,48,36.62
2005-07-15,49,37.33
2005-07-22,49,42.56
2005-07-29,48,42.65
2005-08-05,51,41.42
2005-08-12,50,44.00
2005-08-19,50,41.15
2005-08-26,51,40.10
2005-09-02,50,44.20
2005-09-09,49,45.40
2005-09-16,47,45.00
2005-09-23,49,42.75
2005-09-30,48,42.35
2005-10-07,50,37.90
2005-10-14,52,35.71
2005-10-21,51,34.81
2005-10-28,52,36.21
2005-11-04,51,38.17
2005-11-11,51,39.32
2005-11-18,53,38.62
2005-11-25,57,40.90
2005-12-02,54,48.11
2005-12-09,56,47.90
2005-12-16,53,46.87
2005-12-23,57,47.50
2005-12-30,57,48.07
2006-01-06,52,51.17
