Date,Bank of America Corp,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,82.76
2004-02-13,0,81.57
2004-02-20,0,81.34
2004-02-27,0,81.92
2004-03-05,0,82.74
2004-03-12,0,80.32
2004-03-19,0,79.85
2004-03-26,0,80.10
2004-04-02,0,80.51
2004-04-09,0,
2004-04-16,0,80.78
2004-04-23,0,81.45
2004-04-30,0,80.49
2004-05-07,0,78.55
2004-05-14,0,80.20
2004-05-21,0,81.47
2004-05-28,0,83.13
2004-06-04,0,83.60
2004-06-11,0,
2004-06-18,0,84.51
2004-06-25,0,84.00
2004-07-02,0,84.23
2004-07-09,0,83.91
2004-07-16,0,84.47
2004-07-23,0,84.86
2004-07-30,0,85.01
2004-08-06,0,83.91
2004-08-13,0,84.96
2004-08-20,0,88.50
2004-08-27,0,89.01
2004-09-03,0,43.61
2004-09-10,0,44.60
2004-09-17,0,44.66
2004-09-24,0,43.98
2004-10-01,0,44.16
2004-10-08,0,45.14
2004-10-15,0,44.99
2004-10-22,0,43.80
2004-10-29,0,44.79
2004-11-05,0,45.95
2004-11-12,0,47.44
2004-11-19,0,45.85
2004-11-26,0,46.47
2004-12-03,0,46.32
2004-12-10,0,45.88
2004-12-17,0,45.20
2004-12-24,0,
2004-12-31,0,46.99
2005-01-07,0,44.73
2005-01-14,0,44.89
2005-01-21,0,45.09
2005-01-28,0,45.70
2005-02-04,0,46.89
2005-02-11,0,46.82
2005-02-18,0,45.74
2005-02-25,0,46.79
2005-03-04,0,46.78
2005-03-11,0,45.77
2005-03-18,0,44.94
2005-03-25,0,
2005-04-01,0,44.01
2005-04-08,0,44.68
2005-04-15,0,44.28
2005-04-22,0,44.37
2005-04-29,0,45.04
2005-05-06,0,45.49
2005-05-13,0,45.13
2005-05-20,0,46.57
2005-05-27,0,46.65
2005-06-03,0,45.78
2005-06-10,0,46.00
2005-06-17,0,46.64
2005-06-24,0,46.75
2005-07-01,0,44.98
2005-07-08,0,45.15
2005-07-15,0,45.98
2005-07-22,0,44.85
2005-07-29,0,43.60
2005-08-05,0,43.25
2005-08-12,0,42.69
2005-08-19,0,43.62
2005-08-26,0,42.84
2005-09-02,0,42.91
2005-09-09,0,42.95
2005-09-16,0,43.68
2005-09-23,0,42.23
2005-09-30,0,42.10
2005-10-07,0,42.27
2005-10-14,0,42.05
2005-10-21,0,42.26
2005-10-28,0,43.98
2005-11-04,0,44.23
2005-11-11,0,45.46
2005-11-18,0,45.56
2005-11-25,0,46.99
2005-12-02,0,46.13
2005-12-09,0,45.90
2005-12-16,0,46.97
2005-12-23,0,46.94
2005-12-30,0,46.15
2006-01-06,0,46.57
2006-01-13,0,45.80
2006-01-20,0,44.19
2006-01-27,0,44.80
2006-02-03,0,43.09
2006-02-10,0,43.92
2006-02-17,0,44.66
2006-02-24,0,45.72
2006-03-03,0,45.19
2006-03-10,0,45.95
2006-03-17,0,46.90
2006-03-24,0,46.90
2006-03-31,0,45.54
2006-04-07,0,45.74
2006-04-14,0,
2006-04-21,0,46.87
2006-04-28,0,49.92
2006-05-05,0,50.47
2006-05-12,0,49.20
2006-05-19,0,48.27
2006-05-26,0,49.38
2006-06-02,0,49.26
2006-06-09,0,48.79
2006-06-16,0,47.42
2006-06-23,0,47.41
2006-06-30,0,48.10
2006-07-07,0,48.80
2006-07-14,0,48.31
2006-07-21,0,50.14
2006-07-28,0,51.66
2006-08-04,0,52.32
2006-08-11,0,51.40
2006-08-18,0,52.49
2006-08-25,0,52.13
2006-09-01,0,51.66
2006-09-08,0,51.66
2006-09-15,0,51.45
2006-09-22,0,52.43
2006-09-29,0,53.57
2006-10-06,0,54.24
2006-10-13,0,54.39
2006-10-20,0,53.62
2006-10-27,0,53.70
2006-11-03,0,53.43
2006-11-10,0,54.77
2006-11-17,0,54.85
2006-11-24,0,54.56
2006-12-01,0,53.50
2006-12-08,0,51.66
2006-12-15,0,53.32
2006-12-22,0,53.35
2006-12-29,0,53.39
2007-01-05,0,53.24
2007-01-12,0,53.38
2007-01-19,0,53.59
2007-01-26,0,52.04
2007-02-02,0,52.74
2007-02-09,0,52.99
2007-02-16,0,54.05
2007-02-23,0,52.86
2007-03-02,0,50.01
2007-03-09,0,50.95
2007-03-16,75,49.62
2007-03-23,0,51.69
2007-03-30,0,51.02
2007-04-06,0,
2007-04-13,0,50.42
2007-04-20,0,51.04
2007-04-27,0,50.77
2007-05-04,66,51.24
2007-05-11,61,50.95
2007-05-18,61,51.28
2007-05-25,61,51.20
2007-06-01,61,50.78
2007-06-08,64,50.26
2007-06-15,67,50.08
2007-06-22,0,48.95
2007-06-29,0,48.89
2007-07-06,0,49.15
2007-07-13,0,49.50
2007-07-20,0,48.31
2007-07-27,0,47.41
2007-08-03,0,47.00
2007-08-10,0,48.59
2007-08-17,0,51.76
2007-08-24,0,51.87
2007-08-31,0,50.68
2007-09-07,62,49.02
2007-09-14,0,49.95
2007-09-21,0,51.24
2007-09-28,0,50.27
2007-10-05,0,52.71
2007-10-12,0,52.07
2007-10-19,0,47.57
2007-10-26,0,48.03
2007-11-02,0,45.11
2007-11-09,60,43.98
2007-11-16,58,44.37
2007-11-23,58,43.15
2007-11-30,58,46.13
2007-12-07,53,45.37
2007-12-14,53,42.16
2007-12-21,62,41.92
2007-12-28,70,41.10
2008-01-04,78,39.85
2008-01-11,86,38.50
2008-01-18,60,35.97
2008-01-25,60,39.48
2008-02-01,50,45.03
2008-02-08,80,42.16
2008-02-15,59,42.70
2008-02-22,59,42.60
2008-02-29,93,39.74
2008-03-07,66,36.74
2008-03-14,56,35.69
2008-03-21,56,
2008-03-28,49,38.07
2008-04-04,57,39.41
2008-04-11,56,36.94
2008-04-18,63,38.56
2008-04-25,70,38.30
2008-05-02,77,39.79
2008-05-09,44,36.65
2008-05-16,52,36.17
2008-05-23,60,33.93
2008-05-30,69,34.01
2008-06-06,78,30.50
2008-06-13,87,29.78
2008-06-20,62,27.10
2008-06-27,62,24.59
2008-07-04,64,
2008-07-11,66,21.67
2008-07-18,89,27.49
2008-07-25,50,29.58
2008-08-01,70,33.33
2008-08-08,45,32.25
2008-08-15,45,30.70
2008-08-22,54,30.21
2008-08-29,63,31.14
2008-09-05,45,32.23
2008-09-12,55,33.74
2008-09-19,83,37.48
2008-09-26,55,36.70
2008-10-03,90,34.48
2008-10-10,100,20.87
2008-10-17,64,23.24
2008-10-24,74,21.07
2008-10-31,43,24.17
2008-11-07,50,20.49
2008-11-14,43,16.42
2008-11-21,43,11.47
2008-11-28,43,16.25
2008-12-05,43,15.24
2008-12-12,44,14.93
2008-12-19,44,13.80
2008-12-26,35,13.36
2009-01-02,35,14.33
2009-01-09,35,12.99
2009-01-16,55,7.18
2009-01-23,58,6.24
2009-01-30,72,6.58
2009-02-06,74,6.13
2009-02-13,40,5.57
2009-02-20,34,3.79
2009-02-27,61,3.95
2009-03-06,59,3.14
2009-03-13,66,5.76
2009-03-20,53,6.19
2009-03-27,39,7.34
2009-04-03,63,7.60
2009-04-10,52,
2009-04-17,51,10.60
2009-04-24,68,9.10
2009-05-01,69,8.70
2009-05-08,59,14.17
2009-05-15,54,10.67
2009-05-22,54,11.07
2009-05-29,38,11.27
2009-06-05,60,11.86
2009-06-12,69,13.72
2009-06-19,47,13.22
2009-06-26,34,12.75
2009-07-03,48,
2009-07-10,42,11.88
2009-07-17,45,12.89
2009-07-24,39,12.51
2009-07-31,39,14.79
2009-08-07,49,16.42
2009-08-14,32,17.39
2009-08-21,38,17.46
2009-08-28,43,17.98
2009-09-04,45,17.09
2009-09-11,48,16.97
2009-09-18,41,17.63
2009-09-25,68,16.60
2009-10-02,43,16.34
2009-10-09,55,17.50
2009-10-16,54,17.26
2009-10-23,53,16.22
2009-10-30,44,14.58
2009-11-06,30,15.05
2009-11-13,38,15.98
2009-11-20,27,16.09
2009-11-27,28,15.47
2009-12-04,72,16.28
2009-12-11,46,15.63
2009-12-18,50,15.03
2009-12-25,32,
2010-01-01,32,
2010-01-08,29,16.78
2010-01-15,44,16.26
2010-01-22,56,14.90
2010-01-29,45,15.18
2010-02-05,28,15.00
2010-02-12,30,14.45
2010-02-19,38,15.88
2010-02-26,47,16.66
2010-03-05,55,16.70
2010-03-12,42,16.85
2010-03-19,45,16.82
2010-03-26,47,17.90
2010-04-02,37,
2010-04-09,42,18.59
2010-04-16,40,18.41
2010-04-23,59,18.43
2010-04-30,43,17.83
2010-05-07,48,16.18
2010-05-14,38,16.34
2010-05-21,38,15.99
2010-05-28,38,15.74
2010-06-04,31,15.35
2010-06-11,51,15.60
2010-06-18,33,15.82
2010-06-25,31,15.42
2010-07-02,26,13.84
2010-07-09,49,15.11
2010-07-16,46,13.98
2010-07-23,32,13.74
2010-07-30,41,14.04
2010-08-06,27,13.96
2010-08-13,38,13.23
2010-08-20,34,12.87
2010-08-27,40,12.64
2010-09-03,27,13.50
2010-09-10,30,13.55
2010-09-17,27,13.40
2010-09-24,33,13.60
2010-10-01,28,13.30
2010-10-08,37,13.18
2010-10-15,37,11.98
2010-10-22,55,11.44
2010-10-29,23,11.45
2010-11-05,34,12.36
2010-11-12,40,12.12
2010-11-19,42,11.66
2010-11-26,40,11.12
2010-12-03,46,11.86
2010-12-10,35,12.80
2010-12-17,31,12.57
2010-12-24,25,
2010-12-31,26,13.34
2011-01-07,45,14.25
2011-01-14,41,15.25
2011-01-21,50,14.25
2011-01-28,38,13.60
2011-02-04,24,14.29
2011-02-11,32,14.77
2011-02-18,28,14.75
2011-02-25,44,14.20
2011-03-04,42,14.12
2011-03-11,34,14.38
2011-03-18,39,14.04
2011-03-25,44,13.34
2011-04-01,49,13.37
2011-04-08,45,13.48
2011-04-15,39,12.82
2011-04-22,34,
2011-04-29,33,12.28
2011-05-06,26,12.31
2011-05-13,30,11.93
2011-05-20,46,11.58
2011-05-27,19,11.69
2011-06-03,25,11.28
2011-06-10,27,10.80
2011-06-17,41,10.68
2011-06-24,26,10.52
2011-07-01,30,11.09
2011-07-08,30,10.70
2011-07-15,53,10.00
2011-07-22,41,10.13
2011-07-29,20,9.71
2011-08-05,48,8.17
2011-08-12,69,7.19
2011-08-19,42,6.97
2011-08-26,51,7.76
2011-09-02,35,7.25
2011-09-09,29,6.98
2011-09-16,31,7.23
2011-09-23,34,6.31
2011-09-30,32,6.12
2011-10-07,45,5.90
2011-10-14,35,6.19
2011-10-21,51,6.46
2011-10-28,28,7.35
2011-11-04,39,6.49
2011-11-11,39,6.21
2011-11-18,38,5.78
2011-11-25,28,5.17
2011-12-02,29,5.64
2011-12-09,38,5.72
2011-12-16,25,5.20
2011-12-23,32,5.60
2011-12-30,32,5.56
2012-01-06,32,6.18
2012-01-13,24,6.61
2012-01-20,41,7.07
2012-01-27,37,7.29
2012-02-03,24,7.84
2012-02-10,28,8.07
2012-02-17,32,8.02
2012-02-24,29,7.88
2012-03-02,30,8.13
2012-03-09,28,8.05
2012-03-16,42,9.80
2012-03-23,37,9.85
2012-03-30,40,9.57
2012-04-06,20,
2012-04-13,35,8.68
2012-04-20,38,8.36
2012-04-27,20,8.25
2012-05-04,25,7.74
2012-05-11,33,7.55
2012-05-18,30,7.02
2012-05-25,38,7.15
2012-06-01,22,7.02
2012-06-08,27,7.56
2012-06-15,19,7.90
2012-06-22,34,7.94
2012-06-29,29,8.18
2012-07-06,22,7.66
2012-07-13,24,7.82
2012-07-20,33,7.07
2012-07-27,41,7.31
2012-08-03,31,7.43
2012-08-10,28,7.74
2012-08-17,19,8.00
2012-08-24,28,8.16
2012-08-31,26,7.99
2012-09-07,21,8.80
2012-09-14,30,9.55
2012-09-21,18,9.11
2012-09-28,42,8.83
2012-10-05,40,9.32
2012-10-12,20,9.12
2012-10-19,21,9.44
2012-10-26,26,9.12
2012-11-02,32,9.85
2012-11-09,38,9.43
2012-11-16,22,9.12
2012-11-23,17,9.90
2012-11-30,35,9.86
2012-12-07,28,10.64
2012-12-14,25,10.58
2012-12-21,30,11.29
2012-12-28,23,11.36
2013-01-04,23,12.11
2013-01-11,33,11.63
2013-01-18,23,11.14
2013-01-25,24,11.62
2013-02-01,26,11.71
2013-02-08,34,11.76
2013-02-15,23,12.03
2013-02-22,29,11.44
2013-03-01,24,11.34
2013-03-08,33,12.07
2013-03-15,27,12.57
2013-03-22,16,12.56
2013-03-29,25,
2013-04-05,22,11.97
2013-04-12,15,12.17
2013-04-19,27,11.66
2013-04-26,32,12.42
2013-05-03,19,12.24
2013-05-10,21,13.02
2013-05-17,28,13.43
2013-05-24,30,13.24
2013-05-31,28,13.66
2013-06-07,22,13.38
2013-06-14,30,13.07
2013-06-21,24,12.69
2013-06-28,20,12.86
2013-07-05,20,13.06
2013-07-12,25,13.78
2013-07-19,19,14.75
2013-07-26,21,14.73
2013-08-02,16,14.84
2013-08-09,27,14.45
2013-08-16,19,14.42
2013-08-23,28,14.57
2013-08-30,23,14.12
2013-09-06,16,14.36
2013-09-13,23,14.49
2013-09-20,21,14.44
2013-09-27,22,13.90
2013-10-04,22,14.05
2013-10-11,18,14.19
2013-10-18,22,14.63
2013-10-25,31,14.26
2013-11-01,28,14.02
2013-11-08,12,14.32
2013-11-15,22,14.92
2013-11-22,14,15.64
2013-11-29,14,15.82
2013-12-06,31,15.56
2013-12-13,28,15.18
2013-12-20,24,15.60
2013-12-27,16,15.67
2014-01-03,15,16.41
2014-01-10,30,16.77
2014-01-17,31,17.01
2014-01-24,27,16.45
2014-01-31,29,16.75
2014-02-07,22,16.82
2014-02-14,21,16.70
2014-02-21,21,16.29
2014-02-28,10,16.53
2014-03-07,23,17.33
2014-03-14,26,16.80
2014-03-21,26,17.56
2014-03-28,26,16.98
2014-04-04,22,16.72
2014-04-11,25,15.77
2014-04-18,35,
2014-04-25,15,15.95
2014-05-02,0,
