Date,TAP,Price
2004-01-09,19,
2004-01-16,18,
2004-01-23,19,
2004-01-30,19,
2004-02-06,16,62.29
2004-02-13,21,64.35
2004-02-20,19,65.62
2004-02-27,19,67.78
2004-03-05,19,66.23
2004-03-12,18,67.39
2004-03-19,18,67.76
2004-03-26,17,67.98
2004-04-02,17,70.71
2004-04-09,18,
2004-04-16,18,68.51
2004-04-23,19,67.55
2004-04-30,18,65.71
2004-05-07,18,66.20
2004-05-14,18,64.65
2004-05-21,18,64.40
2004-05-28,18,64.45
2004-06-04,17,65.67
2004-06-11,17,
2004-06-18,18,69.26
2004-06-25,18,71.12
2004-07-02,17,71.95
2004-07-09,19,72.11
2004-07-16,17,73.02
2004-07-23,19,71.45
2004-07-30,18,68.76
2004-08-06,19,66.20
2004-08-13,17,67.60
2004-08-20,18,67.00
2004-08-27,18,67.80
2004-09-03,18,69.00
2004-09-10,18,68.88
2004-09-17,20,69.24
2004-09-24,18,67.54
2004-10-01,19,67.75
2004-10-08,18,66.84
2004-10-15,18,65.98
2004-10-22,18,67.19
2004-10-29,16,66.70
2004-11-05,16,70.03
2004-11-12,18,71.88
2004-11-19,18,72.50
2004-11-26,16,72.04
2004-12-03,18,75.25
2004-12-10,17,73.55
2004-12-17,16,74.41
2004-12-24,14,
2004-12-31,16,75.67
2005-01-07,18,72.19
2005-01-14,17,74.02
2005-01-21,18,74.48
2005-01-28,18,72.75
2005-02-04,17,75.75
2005-02-11,24,73.10
2005-02-18,20,70.18
2005-02-25,20,68.73
2005-03-04,18,71.65
2005-03-11,18,74.15
2005-03-18,18,75.90
2005-03-25,18,
2005-04-01,19,77.97
2005-04-08,18,78.99
2005-04-15,19,75.84
2005-04-22,19,77.45
2005-04-29,19,61.75
2005-05-06,20,61.84
2005-05-13,18,60.20
2005-05-20,17,60.40
2005-05-27,18,58.97
2005-06-03,19,58.88
2005-06-10,17,59.57
2005-06-17,19,58.83
2005-06-24,19,59.95
2005-07-01,19,61.59
2005-07-08,19,62.37
2005-07-15,20,63.31
2005-07-22,19,63.58
2005-07-29,19,62.70
2005-08-05,19,63.32
2005-08-12,20,62.75
2005-08-19,19,64.50
2005-08-26,18,63.42
2005-09-02,18,64.52
2005-09-09,18,66.06
2005-09-16,18,66.95
2005-09-23,18,64.55
2005-09-30,17,64.01
2005-10-07,20,62.69
2005-10-14,18,61.81
2005-10-21,17,60.87
2005-10-28,18,60.90
2005-11-04,18,64.10
2005-11-11,18,67.05
2005-11-18,19,66.45
2005-11-25,18,66.70
2005-12-02,18,67.09
2005-12-09,17,65.42
2005-12-16,17,66.23
2005-12-23,17,66.28
2005-12-30,17,66.99
2006-01-06,20,68.00
2006-01-13,19,68.85
2006-01-20,20,65.06
2006-01-27,19,62.64
2006-02-03,19,62.54
2006-02-10,19,63.23
2006-02-17,19,63.24
2006-02-24,19,63.17
2006-03-03,18,65.10
2006-03-10,18,68.26
2006-03-17,19,69.95
2006-03-24,19,69.58
2006-03-31,18,68.62
2006-04-07,19,68.35
2006-04-14,19,
2006-04-21,19,70.64
2006-04-28,19,73.86
2006-05-05,19,67.45
2006-05-12,20,65.88
2006-05-19,19,64.93
2006-05-26,20,63.98
2006-06-02,18,66.23
2006-06-09,18,67.96
2006-06-16,17,67.58
2006-06-23,20,67.60
2006-06-30,18,67.88
2006-07-07,19,68.97
2006-07-14,19,68.40
2006-07-21,21,70.36
2006-07-28,20,70.68
2006-08-04,20,66.21
2006-08-11,20,67.59
2006-08-18,20,69.35
2006-08-25,19,69.50
2006-09-01,19,70.13
2006-09-08,19,69.86
2006-09-15,21,68.00
2006-09-22,19,67.34
2006-09-29,20,68.90
2006-10-06,19,65.87
2006-10-13,19,66.77
2006-10-20,19,68.37
2006-10-27,19,68.00
2006-11-03,18,70.51
2006-11-10,18,71.72
2006-11-17,18,71.00
2006-11-24,17,70.71
2006-12-01,19,71.09
2006-12-08,18,72.49
2006-12-15,17,73.90
2006-12-22,17,75.95
2006-12-29,17,76.44
2007-01-05,19,75.44
2007-01-12,19,76.86
2007-01-19,20,77.96
2007-01-26,20,80.51
2007-02-02,19,80.85
2007-02-09,18,81.90
2007-02-16,18,86.61
2007-02-23,19,85.10
2007-03-02,19,82.83
2007-03-09,19,86.35
2007-03-16,20,88.83
2007-03-23,18,92.88
2007-03-30,19,94.62
2007-04-06,19,
2007-04-13,19,95.03
2007-04-20,20,96.10
2007-04-27,20,96.00
2007-05-04,20,96.74
2007-05-11,20,92.56
2007-05-18,20,91.58
2007-05-25,19,89.86
2007-06-01,18,91.52
2007-06-08,19,89.12
2007-06-15,19,91.93
2007-06-22,19,91.06
2007-06-29,20,92.46
2007-07-06,22,93.19
2007-07-13,24,92.86
2007-07-20,22,91.20
2007-07-27,22,87.48
2007-08-03,21,90.93
2007-08-10,21,82.69
2007-08-17,21,85.19
2007-08-24,19,85.90
2007-08-31,21,89.46
2007-09-07,21,89.24
2007-09-14,21,93.68
2007-09-21,20,98.40
2007-09-28,21,99.67
2007-10-05,20,49.68
2007-10-12,21,55.05
2007-10-19,21,53.75
2007-10-26,21,57.14
2007-11-02,21,55.71
2007-11-09,21,52.87
2007-11-16,20,52.37
2007-11-23,21,51.79
2007-11-30,22,53.84
2007-12-07,21,55.48
2007-12-14,20,52.05
2007-12-21,19,52.60
2007-12-28,20,52.12
2008-01-04,22,50.69
2008-01-11,22,49.70
2008-01-18,22,46.20
