Date,EMN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,40.26
2004-02-13,0,42.27
2004-02-20,0,42.58
2004-02-27,0,42.35
2004-03-05,0,41.57
2004-03-12,0,40.00
2004-03-19,73,39.52
2004-03-26,59,41.84
2004-04-02,59,43.66
2004-04-09,59,
2004-04-16,59,42.96
2004-04-23,59,43.85
2004-04-30,61,42.57
2004-05-07,64,43.26
2004-05-14,58,44.63
2004-05-21,58,45.26
2004-05-28,58,46.34
2004-06-04,58,45.70
2004-06-11,58,
2004-06-18,0,43.82
2004-06-25,0,45.36
2004-07-02,0,44.94
2004-07-09,0,44.78
2004-07-16,0,45.01
2004-07-23,65,43.59
2004-07-30,55,44.68
2004-08-06,55,42.52
2004-08-13,63,42.92
2004-08-20,72,45.00
2004-08-27,81,46.28
2004-09-03,59,46.57
2004-09-10,59,46.40
2004-09-17,59,46.83
2004-09-24,59,46.38
2004-10-01,45,47.68
2004-10-08,46,47.74
2004-10-15,60,45.71
2004-10-22,66,45.37
2004-10-29,67,47.47
2004-11-05,54,49.37
2004-11-12,54,51.04
2004-11-19,54,51.40
2004-11-26,62,53.88
2004-12-03,64,54.02
2004-12-10,66,54.21
2004-12-17,68,56.27
2004-12-24,60,
2004-12-31,46,57.73
2005-01-07,46,52.26
2005-01-14,46,51.40
2005-01-21,46,53.23
2005-01-28,51,53.00
2005-02-04,56,54.21
2005-02-11,50,55.52
2005-02-18,41,56.63
2005-02-25,75,58.31
2005-03-04,52,59.14
2005-03-11,50,61.01
2005-03-18,64,60.96
2005-03-25,47,
2005-04-01,64,59.13
2005-04-08,58,57.78
2005-04-15,35,51.66
2005-04-22,43,51.25
2005-04-29,58,54.00
2005-05-06,47,58.91
2005-05-13,50,56.55
2005-05-20,34,58.75
2005-05-27,35,58.58
2005-06-03,38,59.00
2005-06-10,67,56.96
2005-06-17,48,58.36
2005-06-24,53,54.55
2005-07-01,53,54.99
2005-07-08,64,55.90
2005-07-15,60,56.49
2005-07-22,52,58.30
2005-07-29,52,55.39
2005-08-05,73,53.49
2005-08-12,41,52.33
2005-08-19,44,50.27
2005-08-26,39,48.44
2005-09-02,39,48.27
2005-09-09,57,49.42
2005-09-16,42,47.15
2005-09-23,79,47.18
2005-09-30,46,46.97
2005-10-07,29,47.07
2005-10-14,47,46.59
2005-10-21,45,47.65
2005-10-28,37,51.75
2005-11-04,48,53.69
2005-11-11,49,55.56
2005-11-18,52,55.23
2005-11-25,59,55.62
2005-12-02,47,55.90
2005-12-09,43,52.43
2005-12-16,62,50.88
2005-12-23,35,52.63
2005-12-30,44,51.59
2006-01-06,56,53.27
2006-01-13,38,51.63
2006-01-20,44,49.96
2006-01-27,100,48.45
2006-02-03,27,47.70
2006-02-10,41,48.94
2006-02-17,51,50.88
2006-02-24,55,50.44
2006-03-03,60,50.65
2006-03-10,50,51.06
2006-03-17,64,51.70
2006-03-24,51,51.05
2006-03-31,60,51.18
2006-04-07,77,50.19
2006-04-14,46,
2006-04-21,56,54.30
2006-04-28,56,54.35
2006-05-05,37,56.80
2006-05-12,60,56.67
2006-05-19,67,55.10
2006-05-26,82,56.74
2006-06-02,95,57.55
2006-06-09,67,52.76
2006-06-16,54,52.39
2006-06-23,56,52.54
2006-06-30,54,54.00
2006-07-07,42,53.11
2006-07-14,47,51.50
2006-07-21,66,51.35
2006-07-28,65,50.00
2006-08-04,48,50.84
2006-08-11,46,50.37
2006-08-18,34,51.02
2006-08-25,34,51.02
2006-09-01,46,52.92
2006-09-08,53,52.10
2006-09-15,49,53.53
2006-09-22,71,52.99
2006-09-29,36,54.02
2006-10-06,48,55.60
2006-10-13,61,56.70
2006-10-20,40,57.15
2006-10-27,64,59.83
2006-11-03,75,59.48
2006-11-10,68,59.73
2006-11-17,68,60.17
2006-11-24,52,60.25
2006-12-01,50,57.89
2006-12-08,58,59.63
2006-12-15,36,58.70
2006-12-22,39,59.00
2006-12-29,46,59.31
2007-01-05,44,59.54
2007-01-12,37,61.55
2007-01-19,47,62.64
2007-01-26,53,59.25
2007-02-02,55,58.85
2007-02-09,41,58.60
2007-02-16,60,59.53
2007-02-23,57,60.62
2007-03-02,41,58.54
2007-03-09,48,60.48
2007-03-16,36,60.36
2007-03-23,49,64.09
2007-03-30,61,63.33
2007-04-06,60,
2007-04-13,65,64.97
2007-04-20,51,66.12
2007-04-27,58,69.42
2007-05-04,65,66.19
2007-05-11,51,65.90
2007-05-18,50,66.30
2007-05-25,57,66.09
2007-06-01,53,66.34
2007-06-08,57,63.89
2007-06-15,56,64.65
2007-06-22,55,64.94
2007-06-29,67,64.33
2007-07-06,65,67.94
2007-07-13,49,68.11
2007-07-20,58,69.05
2007-07-27,58,66.06
2007-08-03,49,68.45
2007-08-10,46,67.70
2007-08-17,51,64.14
2007-08-24,59,68.14
2007-08-31,63,66.76
2007-09-07,54,63.96
2007-09-14,61,64.25
2007-09-21,65,67.61
2007-09-28,57,66.73
2007-10-05,55,68.54
2007-10-12,62,68.02
2007-10-19,43,64.88
2007-10-26,61,66.43
2007-11-02,77,65.98
2007-11-09,65,64.49
2007-11-16,66,61.40
2007-11-23,68,60.41
2007-11-30,62,64.21
2007-12-07,85,65.29
2007-12-14,56,62.74
2007-12-21,59,63.09
2007-12-28,69,61.36
2008-01-04,55,58.85
2008-01-11,64,62.14
2008-01-18,71,59.85
2008-01-25,65,64.31
2008-02-01,72,66.87
2008-02-08,78,65.85
2008-02-15,72,65.85
2008-02-22,62,66.21
2008-02-29,55,65.81
2008-03-07,66,63.30
2008-03-14,68,65.55
2008-03-21,65,
2008-03-28,58,62.07
2008-04-04,56,66.33
2008-04-11,71,68.83
2008-04-18,60,72.30
2008-04-25,67,75.06
2008-05-02,72,73.91
2008-05-09,52,72.13
2008-05-16,71,77.09
2008-05-23,63,74.79
2008-05-30,69,76.61
2008-06-06,66,74.99
2008-06-13,59,75.63
2008-06-20,71,72.09
2008-06-27,66,68.71
2008-07-04,77,
2008-07-11,64,66.76
2008-07-18,68,68.49
2008-07-25,63,60.14
2008-08-01,66,59.55
2008-08-08,51,60.27
2008-08-15,62,60.86
2008-08-22,50,60.76
2008-08-29,56,60.32
2008-09-05,70,57.86
2008-09-12,62,59.08
2008-09-19,71,61.18
2008-09-26,79,57.98
2008-10-03,76,50.71
2008-10-10,72,41.33
2008-10-17,85,41.36
2008-10-24,62,36.49
2008-10-31,72,40.39
2008-11-07,75,40.34
2008-11-14,78,35.09
2008-11-21,65,27.35
2008-11-28,88,32.90
2008-12-05,60,28.82
2008-12-12,86,29.54
2008-12-19,61,29.54
2008-12-26,71,29.25
2009-01-02,70,33.04
2009-01-09,81,32.22
2009-01-16,86,30.20
2009-01-23,67,28.31
2009-01-30,64,25.95
2009-02-06,73,26.35
2009-02-13,60,24.79
2009-02-20,70,22.89
2009-02-27,76,20.54
2009-03-06,74,18.26
2009-03-13,67,23.36
2009-03-20,85,24.16
2009-03-27,83,27.31
2009-04-03,70,30.07
2009-04-10,55,
2009-04-17,76,32.35
2009-04-24,67,40.02
2009-05-01,74,39.80
2009-05-08,72,42.82
2009-05-15,82,38.02
2009-05-22,83,40.72
2009-05-29,57,41.44
2009-06-05,64,43.04
2009-06-12,66,40.65
2009-06-19,71,38.33
2009-06-26,79,37.41
2009-07-03,71,
2009-07-10,65,35.68
2009-07-17,79,40.15
2009-07-24,65,48.06
2009-07-31,65,49.66
2009-08-07,59,52.73
2009-08-14,84,54.12
2009-08-21,63,55.02
2009-08-28,62,53.51
2009-09-04,82,50.26
2009-09-11,63,52.91
2009-09-18,73,54.51
2009-09-25,73,52.99
2009-10-02,63,50.21
2009-10-09,74,53.61
2009-10-16,77,55.65
2009-10-23,60,55.14
2009-10-30,64,52.51
2009-11-06,68,56.49
2009-11-13,68,58.76
2009-11-20,68,58.76
2009-11-27,73,59.49
2009-12-04,67,59.73
2009-12-11,75,59.26
2009-12-18,80,58.72
2009-12-25,64,
2010-01-01,71,
2010-01-08,79,60.86
2010-01-15,66,60.42
2010-01-22,57,57.41
2010-01-29,63,56.53
2010-02-05,66,57.64
2010-02-12,51,57.99
2010-02-19,60,60.02
2010-02-26,60,59.55
2010-03-05,51,61.75
2010-03-12,58,61.93
2010-03-19,59,61.21
2010-03-26,64,63.37
2010-04-02,70,
2010-04-09,65,66.90
2010-04-16,73,65.30
2010-04-23,71,71.12
2010-04-30,59,66.92
2010-05-07,58,61.65
2010-05-14,58,62.78
2010-05-21,83,59.56
2010-05-28,61,60.39
2010-06-04,72,57.18
2010-06-11,64,60.71
2010-06-18,58,62.67
2010-06-25,54,57.98
2010-07-02,54,52.06
2010-07-09,56,56.32
2010-07-16,58,54.21
2010-07-23,69,58.97
2010-07-30,73,62.64
2010-08-06,68,63.68
2010-08-13,55,60.13
2010-08-20,58,60.94
2010-08-27,56,61.12
2010-09-03,62,65.92
2010-09-10,65,65.15
2010-09-17,75,70.07
2010-09-24,61,72.74
2010-10-01,73,74.57
2010-10-08,71,77.91
2010-10-15,68,78.50
2010-10-22,58,78.60
2010-10-29,71,78.57
2010-11-05,64,79.72
2010-11-12,58,77.39
2010-11-19,65,79.10
2010-11-26,61,79.51
2010-12-03,64,82.06
2010-12-10,66,81.17
2010-12-17,58,80.25
2010-12-24,54,
2010-12-31,61,84.08
2011-01-07,58,87.23
2011-01-14,50,92.76
2011-01-21,52,90.57
2011-01-28,60,91.85
2011-02-04,65,91.71
2011-02-11,54,93.32
2011-02-18,62,95.41
2011-02-25,52,91.35
2011-03-04,50,96.36
2011-03-11,65,94.14
2011-03-18,62,93.80
2011-03-25,52,98.12
2011-04-01,62,100.39
2011-04-08,53,99.99
2011-04-15,63,98.66
2011-04-22,53,
2011-04-29,60,107.25
2011-05-06,58,103.46
2011-05-13,67,104.55
2011-05-20,57,103.36
2011-05-27,71,104.46
2011-06-03,61,100.68
2011-06-10,61,99.72
2011-06-17,61,95.02
2011-06-24,62,98.58
2011-07-01,62,103.99
2011-07-08,56,104.66
2011-07-15,55,100.83
2011-07-22,50,104.44
2011-07-29,57,96.59
2011-08-05,53,86.00
2011-08-12,56,84.95
2011-08-19,49,76.00
2011-08-26,56,79.05
2011-09-02,57,78.22
2011-09-09,58,72.50
2011-09-16,53,76.24
2011-09-23,60,66.95
2011-09-30,72,68.53
2011-10-07,59,35.48
2011-10-14,72,38.19
2011-10-21,64,37.46
2011-10-28,61,41.92
2011-11-04,61,39.82
2011-11-11,61,40.59
2011-11-18,61,37.80
2011-11-25,66,35.47
2011-12-02,69,38.42
2011-12-09,61,38.50
2011-12-16,60,36.74
2011-12-23,50,39.44
2011-12-30,58,39.06
2012-01-06,53,41.32
2012-01-13,63,45.20
2012-01-20,62,45.99
2012-01-27,65,50.41
2012-02-03,58,53.67
2012-02-10,59,53.76
2012-02-17,52,54.61
2012-02-24,62,53.80
2012-03-02,59,53.55
2012-03-09,64,52.08
2012-03-16,58,52.03
2012-03-23,62,51.22
2012-03-30,63,51.69
2012-04-06,52,
2012-04-13,48,52.14
2012-04-20,58,52.76
2012-04-27,62,54.05
2012-05-04,61,50.71
2012-05-11,45,49.68
2012-05-18,50,44.24
2012-05-25,61,47.62
2012-06-01,61,43.61
2012-06-08,57,47.72
2012-06-15,54,47.36
2012-06-22,63,46.99
2012-06-29,52,50.37
2012-07-06,50,50.15
2012-07-13,51,48.79
2012-07-20,42,49.19
2012-07-27,53,51.74
2012-08-03,46,53.17
2012-08-10,52,54.54
2012-08-17,43,55.71
2012-08-24,46,55.27
2012-08-31,46,55.26
2012-09-07,54,57.37
2012-09-14,59,58.64
2012-09-21,55,57.18
2012-09-28,58,57.01
2012-10-05,58,59.13
2012-10-12,54,54.25
2012-10-19,53,56.08
2012-10-26,61,60.19
2012-11-02,50,59.30
2012-11-09,55,57.53
2012-11-16,54,55.69
2012-11-23,48,60.05
2012-11-30,56,60.85
2012-12-07,59,61.85
2012-12-14,46,64.68
2012-12-21,58,66.00
2012-12-28,40,66.05
2013-01-04,46,70.16
2013-01-11,53,70.52
2013-01-18,44,71.22
2013-01-25,51,71.90
2013-02-01,49,73.50
2013-02-08,47,73.31
2013-02-15,56,73.46
2013-02-22,45,71.69
2013-03-01,48,69.71
2013-03-08,47,72.23
2013-03-15,48,72.60
2013-03-22,50,70.11
2013-03-29,47,
2013-04-05,50,68.14
2013-04-12,46,68.00
2013-04-19,53,69.80
2013-04-26,49,68.97
2013-05-03,56,67.89
2013-05-10,51,67.24
2013-05-17,50,73.95
2013-05-24,48,71.90
2013-05-31,48,71.72
2013-06-07,45,70.42
2013-06-14,49,71.02
2013-06-21,46,70.79
2013-06-28,48,70.01
2013-07-05,46,72.01
2013-07-12,39,73.96
2013-07-19,49,75.71
2013-07-26,48,74.16
2013-08-02,46,82.41
2013-08-09,35,80.07
2013-08-16,49,77.85
2013-08-23,43,79.67
2013-08-30,49,76.00
2013-09-06,49,76.88
2013-09-13,46,76.50
2013-09-20,42,78.53
2013-09-27,49,77.70
2013-10-04,43,80.01
2013-10-11,50,77.98
2013-10-18,49,81.61
2013-10-25,43,77.94
2013-11-01,45,78.22
2013-11-08,53,79.11
2013-11-15,51,78.71
2013-11-22,49,76.43
2013-11-29,48,77.03
2013-12-06,44,76.21
2013-12-13,45,72.67
2013-12-20,43,75.93
2013-12-27,36,79.06
2014-01-03,40,80.17
2014-01-10,42,79.43
2014-01-17,40,79.88
2014-01-24,42,74.63
2014-01-31,46,77.96
2014-02-07,40,79.16
2014-02-14,48,82.84
2014-02-21,45,84.34
2014-02-28,42,87.43
2014-03-07,42,87.54
2014-03-14,44,83.70
2014-03-21,49,86.08
2014-03-28,46,85.60
2014-04-04,50,86.51
2014-04-11,41,84.66
2014-04-18,41,
2014-04-25,42,84.36
2014-05-02,46,
