Date,M,Price
2004-01-09,57,
2004-01-16,58,
2004-01-23,60,
2004-01-30,60,
2004-02-06,58,50.08
2004-02-13,58,49.35
2004-02-20,59,50.25
2004-02-27,57,52.37
2004-03-05,59,53.55
2004-03-12,64,51.94
2004-03-19,60,49.75
2004-03-26,59,50.50
2004-04-02,59,53.95
2004-04-09,58,
2004-04-16,57,53.30
2004-04-23,57,51.17
2004-04-30,56,49.00
2004-05-07,57,46.60
2004-05-14,59,46.34
2004-05-21,58,47.05
2004-05-28,57,47.71
2004-06-04,59,48.75
2004-06-11,58,
2004-06-18,59,50.19
2004-06-25,57,49.18
2004-07-02,56,47.58
2004-07-09,58,46.73
2004-07-16,58,44.75
2004-07-23,61,46.50
2004-07-30,60,47.92
2004-08-06,60,44.85
2004-08-13,56,44.58
2004-08-20,59,44.60
2004-08-27,62,45.00
2004-09-03,59,45.28
2004-09-10,58,44.97
2004-09-17,61,46.10
2004-09-24,59,46.55
2004-10-01,59,45.83
2004-10-08,62,47.33
2004-10-15,61,44.81
2004-10-22,60,46.86
2004-10-29,59,50.45
2004-11-05,60,53.72
2004-11-12,65,54.73
2004-11-19,62,54.81
2004-11-26,63,57.33
2004-12-03,63,55.09
2004-12-10,63,55.78
2004-12-17,63,54.35
2004-12-24,63,
2004-12-31,65,57.79
2005-01-07,60,56.56
2005-01-14,62,58.37
2005-01-21,61,55.15
2005-01-28,62,55.22
2005-02-04,60,58.62
2005-02-11,63,57.50
2005-02-18,60,56.72
2005-02-25,64,56.79
2005-03-04,64,60.95
2005-03-11,65,62.15
2005-03-18,64,63.03
2005-03-25,66,
2005-04-01,66,62.81
2005-04-08,62,64.25
2005-04-15,63,61.54
2005-04-22,62,61.35
2005-04-29,64,57.50
2005-05-06,64,63.18
2005-05-13,64,63.25
2005-05-20,63,68.86
2005-05-27,63,67.72
2005-06-03,64,67.90
2005-06-10,64,70.97
2005-06-17,64,73.15
2005-06-24,64,72.15
2005-07-01,63,73.36
2005-07-08,62,75.46
2005-07-15,63,73.79
2005-07-22,63,75.75
2005-07-29,65,75.87
2005-08-05,64,73.38
2005-08-12,63,74.92
2005-08-19,63,72.35
2005-08-26,64,70.50
2005-09-02,66,66.22
2005-09-09,64,68.50
2005-09-16,67,66.36
2005-09-23,67,66.19
2005-09-30,63,66.87
2005-10-07,65,65.00
2005-10-14,67,64.05
2005-10-21,65,61.01
2005-10-28,65,59.51
2005-11-04,66,64.14
2005-11-11,68,68.82
2005-11-18,69,69.53
2005-11-25,68,67.07
2005-12-02,69,66.65
2005-12-09,68,68.10
2005-12-16,69,64.97
2005-12-23,68,66.25
2005-12-30,72,66.33
2006-01-06,65,69.96
2006-01-13,66,74.73
2006-01-20,67,70.10
2006-01-27,67,67.75
2006-02-03,68,69.03
2006-02-10,68,68.97
2006-02-17,67,71.63
2006-02-24,69,70.45
2006-03-03,69,70.50
2006-03-10,69,71.88
2006-03-17,68,72.23
2006-03-24,67,71.65
2006-03-31,69,73.00
2006-04-07,66,76.61
2006-04-14,67,
2006-04-21,67,76.27
2006-04-28,66,77.85
2006-05-05,66,78.19
2006-05-12,69,74.85
2006-05-19,67,73.09
2006-05-26,69,72.17
2006-06-02,68,73.01
2006-06-09,68,70.64
2006-06-16,66,35.10
2006-06-23,68,36.16
2006-06-30,66,36.60
2006-07-07,65,36.46
2006-07-14,67,33.75
2006-07-21,69,33.25
2006-07-28,69,35.15
2006-08-04,69,35.08
2006-08-11,68,35.94
2006-08-18,69,37.33
2006-08-25,69,37.10
2006-09-01,70,38.79
2006-09-08,71,39.58
2006-09-15,72,41.99
2006-09-22,72,41.00
2006-09-29,74,43.21
2006-10-06,72,43.35
2006-10-13,74,44.90
2006-10-20,74,44.32
2006-10-27,73,43.88
2006-11-03,75,39.94
2006-11-10,75,40.66
2006-11-17,76,42.57
2006-11-24,74,43.11
2006-12-01,74,40.60
2006-12-08,76,40.38
2006-12-15,77,38.83
2006-12-22,75,38.09
2006-12-29,78,38.13
2007-01-05,74,36.89
2007-01-12,71,39.24
2007-01-19,71,40.22
2007-01-26,72,40.27
2007-02-02,75,41.88
2007-02-09,72,43.04
2007-02-16,72,44.10
2007-02-23,75,44.29
2007-03-02,74,44.25
2007-03-09,75,44.49
2007-03-16,75,44.36
2007-03-23,77,46.51
2007-03-30,77,45.05
2007-04-06,75,
2007-04-13,72,45.10
2007-04-20,76,45.06
2007-04-27,76,44.76
2007-05-04,76,43.66
2007-05-11,78,41.48
2007-05-18,74,39.70
2007-05-25,77,38.40
2007-06-01,77,40.58
2007-06-08,76,39.15
2007-06-15,75,38.95
2007-06-22,75,41.43
2007-06-29,73,39.78
2007-07-06,74,41.99
2007-07-13,70,39.75
2007-07-20,72,41.92
2007-07-27,68,36.90
2007-08-03,69,33.70
2007-08-10,71,33.63
2007-08-17,72,30.91
2007-08-24,74,31.78
2007-08-31,75,31.72
2007-09-07,74,29.76
2007-09-14,74,30.18
2007-09-21,75,33.12
2007-09-28,76,32.32
2007-10-05,75,35.10
2007-10-12,75,33.05
2007-10-19,74,30.24
2007-10-26,73,33.00
2007-11-02,77,31.11
2007-11-09,77,28.49
2007-11-16,75,28.32
2007-11-23,85,30.03
2007-11-30,85,29.65
2007-12-07,85,30.51
2007-12-14,76,27.77
2007-12-21,77,26.54
2007-12-28,77,25.48
2008-01-04,74,22.40
2008-01-11,73,21.31
2008-01-18,72,23.05
2008-01-25,71,24.95
2008-02-01,73,28.00
2008-02-08,73,24.20
2008-02-15,71,25.38
2008-02-22,72,24.62
2008-02-29,74,24.68
2008-03-07,74,23.41
2008-03-14,74,22.53
2008-03-21,73,
2008-03-28,74,21.97
2008-04-04,72,23.92
2008-04-11,74,23.12
2008-04-18,73,23.72
2008-04-25,72,25.57
2008-05-02,72,26.30
2008-05-09,73,23.21
2008-05-16,71,25.22
2008-05-23,73,22.49
2008-05-30,74,23.67
2008-06-06,73,22.25
2008-06-13,73,22.16
2008-06-20,71,20.91
2008-06-27,71,19.53
2008-07-04,70,
2008-07-11,72,15.58
2008-07-18,80,18.09
2008-07-25,80,18.07
2008-08-01,75,18.17
2008-08-08,73,20.73
2008-08-15,77,21.49
2008-08-22,85,20.13
2008-08-29,80,20.82
2008-09-05,80,21.08
2008-09-12,79,20.81
2008-09-19,81,19.96
2008-09-26,78,19.40
2008-10-03,75,15.19
2008-10-10,78,9.92
2008-10-17,73,9.84
2008-10-24,78,8.99
2008-10-31,75,12.29
2008-11-07,75,10.96
2008-11-14,76,7.52
2008-11-21,78,5.73
2008-11-28,77,7.42
2008-12-05,78,8.61
2008-12-12,79,8.50
2008-12-19,76,10.62
2008-12-26,78,8.60
2009-01-02,76,10.98
2009-01-09,73,10.30
2009-01-16,73,9.76
2009-01-23,74,9.65
2009-01-30,72,8.95
2009-02-06,74,9.70
2009-02-13,73,8.63
2009-02-20,75,7.86
2009-02-27,76,7.87
2009-03-06,76,6.94
2009-03-13,75,8.33
2009-03-20,75,8.00
2009-03-27,77,9.71
2009-04-03,75,10.36
2009-04-10,75,
2009-04-17,74,13.10
2009-04-24,76,13.23
2009-05-01,75,13.51
2009-05-08,73,12.83
2009-05-15,75,11.33
2009-05-22,73,11.19
2009-05-29,72,11.68
2009-06-05,75,12.81
2009-06-12,72,12.53
2009-06-19,75,11.39
2009-06-26,70,11.67
2009-07-03,72,
2009-07-10,75,10.61
2009-07-17,73,11.91
2009-07-24,74,13.57
2009-07-31,76,13.91
2009-08-07,75,15.99
2009-08-14,74,15.31
2009-08-21,77,15.35
2009-08-28,74,15.91
2009-09-04,75,15.21
2009-09-11,75,16.07
2009-09-18,74,18.03
2009-09-25,76,17.79
2009-10-02,75,17.40
2009-10-09,75,19.15
2009-10-16,75,19.82
2009-10-23,75,18.87
2009-10-30,75,17.57
2009-11-06,73,19.18
2009-11-13,77,18.01
2009-11-20,76,17.11
2009-11-27,76,16.97
2009-12-04,76,15.98
2009-12-11,77,17.02
2009-12-18,75,16.96
2009-12-25,77,
2010-01-01,75,
2010-01-08,73,16.92
2010-01-15,73,16.55
2010-01-22,73,15.57
2010-01-29,72,15.93
2010-02-05,74,16.42
2010-02-12,73,17.32
2010-02-19,74,18.54
2010-02-26,72,19.15
2010-03-05,73,20.45
2010-03-12,73,21.75
2010-03-19,76,20.89
2010-03-26,75,21.72
2010-04-02,75,
2010-04-09,75,23.51
2010-04-16,74,22.98
2010-04-23,74,24.83
2010-04-30,75,23.20
2010-05-07,73,21.94
2010-05-14,74,22.54
2010-05-21,75,21.05
2010-05-28,74,22.21
2010-06-04,75,21.03
2010-06-11,75,21.24
2010-06-18,72,21.46
2010-06-25,71,19.02
2010-07-02,71,17.85
2010-07-09,71,18.53
2010-07-16,72,17.16
2010-07-23,73,19.38
2010-07-30,74,18.65
2010-08-06,76,19.44
2010-08-13,72,20.13
2010-08-20,74,20.97
2010-08-27,77,19.60
2010-09-03,81,20.87
2010-09-10,82,20.80
2010-09-17,83,21.75
2010-09-24,83,22.75
2010-10-01,82,23.15
2010-10-08,82,24.36
2010-10-15,79,24.18
2010-10-22,82,22.18
2010-10-29,84,23.67
2010-11-05,81,25.57
2010-11-12,81,25.06
2010-11-19,81,25.08
2010-11-26,86,26.00
2010-12-03,86,25.06
2010-12-10,86,25.49
2010-12-17,86,25.89
2010-12-24,83,
2010-12-31,94,25.30
2011-01-07,83,23.31
2011-01-14,82,23.08
2011-01-21,81,23.14
2011-01-28,83,22.99
2011-02-04,84,22.82
2011-02-11,87,24.62
2011-02-18,87,23.75
2011-02-25,87,23.60
2011-03-04,85,23.36
2011-03-11,85,23.74
2011-03-18,83,22.99
2011-03-25,90,23.43
2011-04-01,87,24.35
2011-04-08,91,24.83
2011-04-15,87,24.40
2011-04-22,87,
2011-04-29,86,23.91
2011-05-06,85,26.08
2011-05-13,90,28.46
2011-05-20,93,28.63
2011-05-27,91,28.91
2011-06-03,88,27.54
2011-06-10,87,27.23
2011-06-17,89,27.27
2011-06-24,87,28.02
2011-07-01,84,29.88
2011-07-08,82,30.42
2011-07-15,83,29.98
2011-07-22,84,30.50
2011-07-29,83,28.87
2011-08-05,84,26.54
2011-08-12,84,25.55
2011-08-19,83,23.18
2011-08-26,86,24.90
2011-09-02,91,25.36
2011-09-09,90,25.17
2011-09-16,94,27.74
2011-09-23,93,25.62
2011-09-30,91,26.32
2011-10-07,92,26.95
2011-10-14,89,29.26
2011-10-21,93,29.84
2011-10-28,94,31.46
2011-11-04,91,31.36
2011-11-11,98,31.14
2011-11-18,98,30.36
2011-11-25,98,29.45
2011-12-02,97,32.54
2011-12-09,99,32.79
2011-12-16,95,31.03
2011-12-23,93,32.20
2011-12-30,94,32.18
2012-01-06,95,34.56
2012-01-13,92,34.42
2012-01-20,93,35.38
2012-01-27,91,33.82
2012-02-03,90,36.12
2012-02-10,94,35.68
2012-02-17,90,36.25
2012-02-24,92,37.06
2012-03-02,93,38.31
2012-03-09,96,39.67
2012-03-16,96,39.73
2012-03-23,95,39.84
2012-03-30,94,39.73
2012-04-06,92,
2012-04-13,92,39.98
2012-04-20,92,39.10
2012-04-27,91,41.18
2012-05-04,94,41.11
2012-05-11,91,37.98
2012-05-18,92,35.24
2012-05-25,92,37.76
2012-06-01,92,36.85
2012-06-08,87,37.21
2012-06-15,89,36.06
2012-06-22,86,33.78
2012-06-29,88,34.35
2012-07-06,91,34.03
2012-07-13,87,33.64
2012-07-20,83,35.60
2012-07-27,88,36.54
2012-08-03,89,37.26
2012-08-10,100,38.00
2012-08-17,89,38.95
2012-08-24,90,39.75
2012-08-31,90,40.31
2012-09-07,92,40.46
2012-09-14,87,39.24
