Date,Interpublic Group,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,16.85
2004-02-13,0,16.92
2004-02-20,0,16.53
2004-02-27,0,16.95
2004-03-05,0,16.57
2004-03-12,0,15.69
2004-03-19,0,15.11
2004-03-26,0,15.00
2004-04-02,0,15.93
2004-04-09,0,
2004-04-16,0,16.03
2004-04-23,0,16.37
2004-04-30,0,15.69
2004-05-07,83,15.35
2004-05-14,82,14.30
2004-05-21,82,14.20
2004-05-28,83,14.38
2004-06-04,85,13.97
2004-06-11,90,
2004-06-18,95,14.51
2004-06-25,100,14.00
2004-07-02,83,13.25
2004-07-09,0,13.05
2004-07-16,0,12.82
2004-07-23,0,12.77
2004-07-30,0,12.79
2004-08-06,0,11.68
2004-08-13,90,10.64
2004-08-20,0,10.88
2004-08-27,0,10.78
2004-09-03,0,10.58
2004-09-10,0,11.17
2004-09-17,0,10.94
2004-09-24,0,10.81
2004-10-01,0,11.06
2004-10-08,0,10.95
2004-10-15,0,11.33
2004-10-22,0,11.66
2004-10-29,0,12.26
2004-11-05,0,12.46
2004-11-12,0,12.06
2004-11-19,0,12.20
2004-11-26,0,12.43
2004-12-03,0,12.54
2004-12-10,0,12.84
2004-12-17,66,13.34
2004-12-24,69,
2004-12-31,73,13.40
2005-01-07,77,13.16
2005-01-14,80,12.85
2005-01-21,84,13.15
2005-01-28,60,13.05
2005-02-04,60,13.38
2005-02-11,60,13.68
2005-02-18,70,13.17
2005-02-25,61,13.20
2005-03-04,61,13.13
2005-03-11,61,12.51
2005-03-18,72,11.76
2005-03-25,66,
2005-04-01,74,12.18
2005-04-08,61,13.12
2005-04-15,61,13.00
2005-04-22,61,13.07
2005-04-29,61,12.86
2005-05-06,61,12.86
2005-05-13,59,12.41
2005-05-20,59,12.48
2005-05-27,59,12.38
2005-06-03,52,12.60
2005-06-10,52,12.62
2005-06-17,69,12.16
2005-06-24,61,13.06
2005-07-01,55,12.25
2005-07-08,54,12.27
2005-07-15,54,12.60
2005-07-22,54,12.60
2005-07-29,54,12.50
2005-08-05,50,12.14
2005-08-12,50,11.94
2005-08-19,50,12.25
2005-08-26,50,11.90
2005-09-02,50,11.71
2005-09-09,52,11.12
2005-09-16,55,11.27
2005-09-23,57,11.05
2005-09-30,49,11.64
2005-10-07,55,11.26
2005-10-14,44,11.10
2005-10-21,44,10.34
2005-10-28,44,10.35
2005-11-04,0,10.65
2005-11-11,0,9.96
2005-11-18,0,9.85
2005-11-25,0,9.77
2005-12-02,0,9.34
2005-12-09,0,9.45
2005-12-16,0,9.83
2005-12-23,0,9.72
2005-12-30,0,9.65
2006-01-06,0,10.22
2006-01-13,55,10.00
2006-01-20,42,9.84
2006-01-27,42,10.21
2006-02-03,60,9.86
2006-02-10,40,9.99
2006-02-17,40,10.02
2006-02-24,40,10.51
2006-03-03,40,10.26
2006-03-10,46,10.10
2006-03-17,39,10.11
2006-03-24,42,10.44
2006-03-31,45,9.56
2006-04-07,42,9.45
2006-04-14,43,
2006-04-21,43,9.46
2006-04-28,38,9.58
2006-05-05,38,9.93
2006-05-12,38,9.80
2006-05-19,43,9.47
2006-05-26,48,9.35
2006-06-02,0,9.67
2006-06-09,0,8.90
2006-06-16,0,8.57
2006-06-23,0,8.53
2006-06-30,0,8.35
2006-07-07,0,8.14
2006-07-14,38,7.86
2006-07-21,38,7.98
2006-07-28,38,8.18
2006-08-04,38,8.44
2006-08-11,51,8.59
2006-08-18,0,8.98
2006-08-25,0,8.84
2006-09-01,0,9.27
2006-09-08,0,9.49
2006-09-15,0,9.87
2006-09-22,0,9.61
2006-09-29,0,9.90
2006-10-06,0,10.11
2006-10-13,0,10.37
2006-10-20,31,10.58
2006-10-27,28,10.71
2006-11-03,28,10.49
2006-11-10,32,11.42
2006-11-17,35,11.92
2006-11-24,28,11.91
2006-12-01,31,11.95
2006-12-08,35,11.60
2006-12-15,30,11.87
2006-12-22,34,11.91
2006-12-29,37,12.24
2007-01-05,41,12.28
2007-01-12,45,13.37
2007-01-19,27,13.65
2007-01-26,27,13.36
2007-02-02,30,13.18
2007-02-09,33,12.92
2007-02-16,30,12.55
2007-02-23,30,13.18
2007-03-02,30,12.32
2007-03-09,30,12.43
2007-03-16,30,12.42
2007-03-23,30,12.59
2007-03-30,30,12.31
2007-04-06,24,
2007-04-13,24,12.65
2007-04-20,36,12.92
2007-04-27,23,12.77
2007-05-04,24,12.80
2007-05-11,25,11.77
2007-05-18,25,11.71
2007-05-25,23,11.63
2007-06-01,27,11.81
2007-06-08,32,11.59
2007-06-15,37,11.60
2007-06-22,26,11.54
2007-06-29,23,11.40
2007-07-06,30,11.44
2007-07-13,27,11.36
2007-07-20,26,10.99
2007-07-27,28,10.24
2007-08-03,29,9.84
2007-08-10,21,11.27
2007-08-17,21,11.27
2007-08-24,34,11.04
2007-08-31,20,10.95
2007-09-07,23,10.73
2007-09-14,19,10.15
2007-09-21,36,10.56
2007-09-28,44,10.38
2007-10-05,40,10.37
2007-10-12,30,10.55
2007-10-19,20,9.93
2007-10-26,26,10.09
2007-11-02,34,9.41
2007-11-09,25,8.98
2007-11-16,25,9.28
2007-11-23,22,9.02
2007-11-30,22,9.49
2007-12-07,30,8.95
2007-12-14,22,8.15
2007-12-21,27,8.23
2007-12-28,20,8.22
2008-01-04,20,7.67
2008-01-11,23,7.40
2008-01-18,26,7.77
2008-01-25,33,8.47
2008-02-01,18,8.98
2008-02-08,18,8.26
2008-02-15,30,8.52
2008-02-22,22,8.49
2008-02-29,17,8.62
2008-03-07,23,8.24
2008-03-14,27,8.15
2008-03-21,16,
2008-03-28,19,8.40
2008-04-04,21,8.35
2008-04-11,15,8.01
2008-04-18,18,8.23
2008-04-25,17,8.43
2008-05-02,17,9.43
2008-05-09,24,9.72
2008-05-16,16,10.07
2008-05-23,16,9.60
2008-05-30,16,9.97
2008-06-06,19,9.50
2008-06-13,26,9.36
2008-06-20,30,9.03
2008-06-27,20,8.62
2008-07-04,20,
2008-07-11,20,7.63
2008-07-18,15,7.74
2008-07-25,29,7.93
2008-08-01,27,8.71
2008-08-08,21,8.94
2008-08-15,28,9.57
2008-08-22,18,9.35
2008-08-29,17,9.40
2008-09-05,14,9.00
2008-09-12,25,8.81
2008-09-19,29,8.53
2008-09-26,29,8.14
2008-10-03,30,7.05
2008-10-10,26,5.31
2008-10-17,17,4.98
2008-10-24,14,4.22
2008-10-31,29,5.19
2008-11-07,25,4.81
2008-11-14,26,3.90
2008-11-21,25,3.67
2008-11-28,15,4.09
2008-12-05,15,3.70
2008-12-12,17,3.77
2008-12-19,14,4.18
2008-12-26,15,3.69
2009-01-02,15,4.28
2009-01-09,16,4.08
2009-01-16,16,3.83
2009-01-23,16,3.50
2009-01-30,24,3.33
2009-02-06,16,3.59
2009-02-13,17,3.68
2009-02-20,19,3.23
2009-02-27,17,3.81
2009-03-06,18,3.77
2009-03-13,19,4.01
2009-03-20,20,3.98
2009-03-27,22,4.26
2009-04-03,18,4.84
2009-04-10,16,
2009-04-17,12,5.66
2009-04-24,12,5.54
2009-05-01,16,6.32
2009-05-08,19,5.83
2009-05-15,24,5.09
2009-05-22,16,5.04
2009-05-29,15,5.24
2009-06-05,22,5.70
2009-06-12,22,6.00
2009-06-19,13,5.56
2009-06-26,20,5.10
2009-07-03,11,
2009-07-10,13,4.80
2009-07-17,13,5.44
2009-07-24,13,6.30
2009-07-31,15,5.21
2009-08-07,15,6.06
2009-08-14,21,6.26
2009-08-21,11,6.47
2009-08-28,13,6.42
2009-09-04,11,6.18
2009-09-11,12,6.75
2009-09-18,13,7.47
2009-09-25,41,7.02
2009-10-02,13,6.84
2009-10-09,15,7.07
2009-10-16,13,6.79
2009-10-23,18,6.12
2009-10-30,15,6.02
2009-11-06,22,6.47
2009-11-13,12,6.77
2009-11-20,16,6.83
2009-11-27,10,6.46
2009-12-04,10,6.36
2009-12-11,10,7.24
2009-12-18,15,7.17
2009-12-25,15,
2010-01-01,15,
2010-01-08,15,7.27
2010-01-15,12,7.16
2010-01-22,9,6.85
2010-01-29,17,6.46
2010-02-05,11,6.39
2010-02-12,9,6.72
2010-02-19,10,7.11
2010-02-26,12,7.50
2010-03-05,18,8.45
2010-03-12,17,8.42
2010-03-19,9,8.61
2010-03-26,11,8.33
2010-04-02,10,
2010-04-09,13,8.72
2010-04-16,12,8.96
2010-04-23,14,9.73
2010-04-30,12,8.91
2010-05-07,17,7.72
2010-05-14,22,8.05
2010-05-21,17,7.77
2010-05-28,17,8.35
2010-06-04,22,7.84
2010-06-11,17,7.98
2010-06-18,10,8.32
2010-06-25,16,7.71
2010-07-02,12,6.93
2010-07-09,9,7.72
2010-07-16,16,7.32
2010-07-23,17,8.18
2010-07-30,17,9.14
2010-08-06,16,9.29
2010-08-13,17,8.64
2010-08-20,12,8.57
2010-08-27,15,8.69
2010-09-03,13,9.20
2010-09-10,9,9.54
2010-09-17,15,9.65
2010-09-24,11,10.07
2010-10-01,11,10.15
2010-10-08,14,10.47
2010-10-15,13,10.81
2010-10-22,15,10.43
2010-10-29,22,10.35
2010-11-05,15,10.64
2010-11-12,14,10.54
2010-11-19,16,10.57
2010-11-26,14,10.60
2010-12-03,10,10.82
2010-12-10,8,11.11
2010-12-17,9,10.83
2010-12-24,12,
2010-12-31,13,10.62
2011-01-07,15,11.11
2011-01-14,13,11.10
2011-01-21,11,10.94
2011-01-28,12,10.72
2011-02-04,13,11.75
2011-02-11,11,12.31
2011-02-18,14,12.64
2011-02-25,11,12.57
2011-03-04,18,13.03
2011-03-11,13,12.71
2011-03-18,12,11.92
2011-03-25,13,12.10
2011-04-01,14,12.62
2011-04-08,14,12.10
2011-04-15,11,11.88
2011-04-22,14,
2011-04-29,11,11.75
2011-05-06,12,11.32
2011-05-13,16,11.56
2011-05-20,11,11.89
2011-05-27,9,11.86
2011-06-03,12,11.40
2011-06-10,11,11.50
2011-06-17,8,11.36
2011-06-24,10,11.46
2011-07-01,15,12.71
2011-07-08,8,12.72
2011-07-15,14,12.12
2011-07-22,12,12.66
2011-07-29,13,9.81
2011-08-05,7,8.37
2011-08-12,14,8.64
2011-08-19,15,7.74
2011-08-26,7,8.08
2011-09-02,7,7.85
2011-09-09,9,7.49
2011-09-16,11,7.96
2011-09-23,15,7.24
2011-09-30,19,7.20
2011-10-07,10,7.60
2011-10-14,10,8.01
2011-10-21,11,8.43
2011-10-28,12,9.92
2011-11-04,11,9.68
2011-11-11,15,9.58
2011-11-18,8,8.96
2011-11-25,7,8.41
2011-12-02,9,9.54
2011-12-09,8,9.58
2011-12-16,9,9.09
2011-12-23,6,9.69
2011-12-30,8,9.73
2012-01-06,6,10.33
2012-01-13,10,10.53
2012-01-20,9,10.52
2012-01-27,13,10.20
2012-02-03,11,10.86
2012-02-10,10,10.73
2012-02-17,12,10.83
2012-02-24,12,11.62
2012-03-02,16,11.57
2012-03-09,10,11.80
2012-03-16,8,11.80
2012-03-23,11,11.37
2012-03-30,18,11.41
2012-04-06,11,
2012-04-13,17,10.78
2012-04-20,7,10.87
2012-04-27,12,11.73
2012-05-04,11,11.50
2012-05-11,9,11.60
2012-05-18,11,10.75
2012-05-25,13,10.74
2012-06-01,6,10.07
2012-06-08,10,10.84
2012-06-15,9,10.50
2012-06-22,10,10.32
2012-06-29,12,10.85
2012-07-06,7,10.85
2012-07-13,13,10.70
2012-07-20,9,11.59
2012-07-27,13,10.12
2012-08-03,17,10.97
2012-08-10,9,10.74
2012-08-17,11,11.27
2012-08-24,11,10.81
2012-08-31,11,10.64
2012-09-07,8,10.98
2012-09-14,12,11.65
2012-09-21,13,11.58
2012-09-28,12,11.12
2012-10-05,7,11.47
2012-10-12,10,11.26
2012-10-19,7,10.90
2012-10-26,11,10.29
2012-11-02,9,9.92
2012-11-09,11,9.96
2012-11-16,8,9.59
2012-11-23,9,10.32
2012-11-30,8,10.82
2012-12-07,15,10.78
2012-12-14,11,10.90
2012-12-21,7,11.15
2012-12-28,8,10.78
2013-01-04,9,11.76
2013-01-11,8,11.68
2013-01-18,11,11.94
2013-01-25,8,12.17
2013-02-01,10,12.25
2013-02-08,7,12.16
2013-02-15,9,12.57
2013-02-22,14,12.58
2013-03-01,12,12.79
2013-03-08,11,13.10
2013-03-15,11,13.31
2013-03-22,8,13.04
2013-03-29,10,
2013-04-05,13,13.18
2013-04-12,10,13.65
2013-04-19,15,13.47
2013-04-26,11,13.97
2013-05-03,9,14.05
2013-05-10,5,14.88
2013-05-17,12,14.78
2013-05-24,13,14.56
2013-05-31,8,14.22
2013-06-07,12,14.66
2013-06-14,10,14.51
2013-06-21,9,14.27
2013-06-28,10,14.55
2013-07-05,7,15.04
2013-07-12,9,15.71
2013-07-19,13,15.58
2013-07-26,11,15.87
2013-08-02,11,16.40
2013-08-09,9,16.13
2013-08-16,8,15.92
2013-08-23,13,16.01
2013-08-30,8,15.72
2013-09-06,7,16.16
2013-09-13,10,16.86
2013-09-20,8,17.28
2013-09-27,7,17.15
2013-10-04,9,16.99
2013-10-11,6,16.93
2013-10-18,7,16.04
2013-10-25,12,16.15
2013-11-01,8,16.91
2013-11-08,7,16.94
2013-11-15,8,16.95
2013-11-22,7,17.34
2013-11-29,10,17.40
2013-12-06,8,16.88
2013-12-13,9,16.50
2013-12-20,11,16.90
2013-12-27,4,17.42
2014-01-03,5,17.62
2014-01-10,6,17.63
2014-01-17,9,17.46
2014-01-24,10,16.79
2014-01-31,9,16.32
2014-02-07,7,16.60
2014-02-14,9,16.48
2014-02-21,8,16.84
2014-02-28,8,17.72
2014-03-07,7,17.75
2014-03-14,8,17.10
2014-03-21,7,17.01
2014-03-28,8,17.04
2014-04-04,6,16.92
2014-04-11,8,16.28
2014-04-18,7,
2014-04-25,8,17.20
2014-05-02,8,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
