Date,STZ,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,74,
2004-02-06,0,34.83
2004-02-13,0,35.57
2004-02-20,0,34.45
2004-02-27,0,31.70
2004-03-05,0,31.60
2004-03-12,0,33.38
2004-03-19,0,32.49
2004-03-26,0,31.90
2004-04-02,0,33.36
2004-04-09,0,
2004-04-16,0,32.79
2004-04-23,0,33.30
2004-04-30,0,33.13
2004-05-07,0,33.43
2004-05-14,0,34.58
2004-05-21,0,34.98
2004-05-28,0,36.00
2004-06-04,0,37.17
2004-06-11,72,
2004-06-18,0,37.25
2004-06-25,0,37.10
2004-07-02,0,36.68
2004-07-09,0,37.25
2004-07-16,0,39.38
2004-07-23,0,36.93
2004-07-30,68,37.88
2004-08-06,75,36.92
2004-08-13,73,36.50
2004-08-20,0,37.19
2004-08-27,0,36.95
2004-09-03,0,38.25
2004-09-10,0,37.57
2004-09-17,0,36.25
2004-09-24,0,37.20
2004-10-01,0,39.03
2004-10-08,69,38.70
2004-10-15,68,38.07
2004-10-22,55,38.90
2004-10-29,55,39.23
2004-11-05,55,43.25
2004-11-12,61,43.56
2004-11-19,67,42.04
2004-11-26,61,44.67
2004-12-03,53,46.11
2004-12-10,53,46.06
2004-12-17,53,47.82
2004-12-24,61,
2004-12-31,69,46.51
2005-01-07,78,49.13
2005-01-14,63,49.46
2005-01-21,67,49.31
2005-01-28,0,50.55
2005-02-04,0,55.00
2005-02-11,0,55.37
2005-02-18,0,53.51
2005-02-25,0,54.44
2005-03-04,0,54.50
2005-03-11,0,52.13
2005-03-18,0,51.70
2005-03-25,63,
2005-04-01,51,53.18
2005-04-08,73,57.95
2005-04-15,44,55.55
2005-04-22,71,55.95
2005-04-29,51,52.71
2005-05-06,55,55.82
2005-05-13,59,52.90
2005-05-20,46,26.58
2005-05-27,57,26.02
2005-06-03,43,28.03
2005-06-10,63,28.02
2005-06-17,59,28.11
2005-06-24,67,28.30
2005-07-01,75,29.90
2005-07-08,88,30.23
2005-07-15,53,28.66
2005-07-22,55,28.27
2005-07-29,58,27.40
2005-08-05,61,26.94
2005-08-12,63,27.44
2005-08-19,51,26.57
2005-08-26,48,27.76
2005-09-02,44,27.90
2005-09-09,67,28.48
2005-09-16,57,28.74
2005-09-23,57,26.45
2005-09-30,47,26.00
2005-10-07,59,23.43
2005-10-14,51,22.51
2005-10-21,53,22.38
2005-10-28,53,22.70
2005-11-04,57,23.32
2005-11-11,61,23.61
2005-11-18,37,23.48
2005-11-25,45,23.04
2005-12-02,59,24.48
2005-12-09,47,24.82
2005-12-16,40,25.02
2005-12-23,37,25.85
2005-12-30,41,26.23
2006-01-06,45,26.15
2006-01-13,50,26.15
2006-01-20,55,25.83
2006-01-27,55,26.22
2006-02-03,51,26.32
2006-02-10,39,26.31
2006-02-17,55,25.34
2006-02-24,77,26.16
2006-03-03,58,26.56
2006-03-10,59,27.32
2006-03-17,62,26.27
2006-03-24,58,25.56
2006-03-31,50,25.05
2006-04-07,59,23.99
2006-04-14,66,
2006-04-21,38,24.00
2006-04-28,64,24.70
2006-05-05,29,24.90
2006-05-12,61,24.24
2006-05-19,46,24.69
2006-05-26,55,24.39
2006-06-02,68,24.98
2006-06-09,42,24.83
2006-06-16,54,24.89
2006-06-23,67,25.94
2006-06-30,56,25.00
2006-07-07,41,25.07
2006-07-14,48,24.54
2006-07-21,60,24.81
2006-07-28,67,24.45
2006-08-04,36,25.03
2006-08-11,43,25.35
2006-08-18,55,25.41
2006-08-25,55,26.26
2006-09-01,76,27.31
2006-09-08,66,27.74
2006-09-15,42,27.81
2006-09-22,60,27.59
2006-09-29,67,28.78
2006-10-06,57,27.97
2006-10-13,54,27.47
2006-10-20,50,27.65
2006-10-27,78,27.60
2006-11-03,76,27.70
2006-11-10,60,27.79
2006-11-17,50,27.89
2006-11-24,62,27.63
2006-12-01,66,28.16
2006-12-08,43,28.18
2006-12-15,52,28.29
2006-12-22,49,28.40
2006-12-29,41,29.02
2007-01-05,43,24.41
2007-01-12,69,24.88
2007-01-19,55,24.95
2007-01-26,68,25.13
2007-02-02,61,24.67
2007-02-09,76,24.13
2007-02-16,55,24.01
2007-02-23,63,23.95
2007-03-02,87,19.49
2007-03-09,62,19.19
2007-03-16,64,19.27
2007-03-23,69,20.35
2007-03-30,52,21.18
2007-04-06,67,
2007-04-13,55,21.82
2007-04-20,71,22.49
2007-04-27,64,22.78
2007-05-04,66,22.48
2007-05-11,69,23.64
2007-05-18,47,24.39
2007-05-25,66,24.20
2007-06-01,54,24.27
2007-06-08,61,23.39
2007-06-15,66,24.01
2007-06-22,89,24.15
2007-06-29,97,24.28
2007-07-06,69,24.32
2007-07-13,54,23.44
2007-07-20,72,22.97
2007-07-27,67,21.93
2007-08-03,55,22.05
2007-08-10,46,24.25
2007-08-17,79,23.39
2007-08-24,48,24.36
2007-08-31,61,24.18
2007-09-07,42,23.94
2007-09-14,62,23.70
2007-09-21,65,24.05
2007-09-28,49,24.21
2007-10-05,50,25.00
2007-10-12,44,25.77
2007-10-19,49,24.74
2007-10-26,54,25.19
2007-11-02,68,24.40
2007-11-09,58,22.99
2007-11-16,60,23.27
2007-11-23,50,23.51
2007-11-30,59,23.55
2007-12-07,54,23.92
2007-12-14,65,24.40
2007-12-21,63,24.37
2007-12-28,51,24.16
2008-01-04,34,22.78
2008-01-11,64,21.69
2008-01-18,80,20.25
2008-01-25,84,20.50
2008-02-01,86,21.75
2008-02-08,72,20.23
2008-02-15,69,20.58
2008-02-22,65,20.05
2008-02-29,59,19.21
2008-03-07,60,18.31
2008-03-14,92,18.27
2008-03-21,70,
2008-03-28,56,17.66
2008-04-04,72,19.89
2008-04-11,66,18.13
2008-04-18,77,18.31
2008-04-25,74,18.18
2008-05-02,66,18.52
2008-05-09,64,18.09
2008-05-16,68,20.92
2008-05-23,71,21.30
2008-05-30,71,21.32
2008-06-06,67,20.56
2008-06-13,74,19.95
2008-06-20,73,19.80
2008-06-27,61,19.66
2008-07-04,78,
2008-07-11,77,20.81
2008-07-18,81,21.81
2008-07-25,71,21.97
2008-08-01,61,21.35
2008-08-08,69,22.56
2008-08-15,73,22.06
2008-08-22,76,21.51
2008-08-29,70,21.11
2008-09-05,62,21.42
2008-09-12,88,22.73
2008-09-19,84,22.21
2008-09-26,49,22.11
2008-10-03,60,19.44
2008-10-10,85,15.40
2008-10-17,62,14.29
2008-10-24,67,12.72
2008-10-31,72,12.54
2008-11-07,67,12.65
2008-11-14,80,11.49
2008-11-21,73,12.12
2008-11-28,72,12.76
2008-12-05,64,13.54
2008-12-12,75,14.53
2008-12-19,66,15.56
2008-12-26,37,15.49
2009-01-02,51,16.45
2009-01-09,66,14.89
2009-01-16,65,15.21
2009-01-23,75,13.95
2009-01-30,65,14.52
2009-02-06,53,15.70
2009-02-13,54,15.01
2009-02-20,69,13.84
2009-02-27,61,13.05
2009-03-06,83,12.46
2009-03-13,68,13.05
2009-03-20,71,12.69
2009-03-27,78,12.05
2009-04-03,56,12.20
2009-04-10,61,
2009-04-17,74,11.66
2009-04-24,68,11.05
2009-05-01,73,11.61
2009-05-08,93,12.50
2009-05-15,74,11.90
2009-05-22,100,11.26
2009-05-29,63,11.56
2009-06-05,83,12.21
2009-06-12,88,13.43
2009-06-19,74,12.98
2009-06-26,76,12.28
2009-07-03,82,
2009-07-10,82,12.45
2009-07-17,73,12.60
2009-07-24,73,13.38
2009-07-31,66,13.66
2009-08-07,49,14.05
2009-08-14,74,14.56
2009-08-21,83,14.82
2009-08-28,70,15.11
2009-09-04,76,15.25
2009-09-11,58,14.93
2009-09-18,86,15.55
2009-09-25,77,15.30
2009-10-02,67,15.77
2009-10-09,79,16.42
2009-10-16,68,16.45
2009-10-23,72,16.25
2009-10-30,83,15.82
2009-11-06,82,16.07
2009-11-13,71,16.92
2009-11-20,71,17.09
2009-11-27,91,16.99
2009-12-04,89,16.74
2009-12-11,75,15.98
2009-12-18,65,15.35
2009-12-25,52,
2010-01-01,62,
2010-01-08,66,15.66
2010-01-15,55,16.41
2010-01-22,59,16.61
2010-01-29,53,16.08
2010-02-05,61,15.33
2010-02-12,65,15.36
2010-02-19,61,15.60
2010-02-26,45,15.04
2010-03-05,49,15.81
2010-03-12,70,16.11
2010-03-19,72,16.00
2010-03-26,57,16.01
2010-04-02,60,
2010-04-09,71,16.43
2010-04-16,72,17.02
2010-04-23,68,18.34
2010-04-30,58,18.27
2010-05-07,60,16.71
2010-05-14,65,17.80
2010-05-21,61,16.30
2010-05-28,58,16.66
2010-06-04,62,15.86
2010-06-11,74,16.86
2010-06-18,64,16.30
2010-06-25,62,16.01
2010-07-02,73,15.39
2010-07-09,58,16.07
2010-07-16,74,16.34
2010-07-23,83,17.06
2010-07-30,65,17.06
2010-08-06,72,17.25
2010-08-13,70,16.70
2010-08-20,61,16.66
2010-08-27,75,16.84
2010-09-03,63,17.41
2010-09-10,66,17.08
2010-09-17,68,17.96
2010-09-24,62,18.11
2010-10-01,69,17.77
2010-10-08,67,18.71
2010-10-15,65,19.02
2010-10-22,63,19.29
2010-10-29,58,19.73
2010-11-05,60,20.07
2010-11-12,71,19.85
2010-11-19,67,20.74
2010-11-26,64,20.73
2010-12-03,77,21.80
2010-12-10,82,21.46
2010-12-17,70,22.15
2010-12-24,67,
2010-12-31,65,22.15
2011-01-07,78,19.49
2011-01-14,58,19.32
2011-01-21,57,19.00
2011-01-28,63,19.14
2011-02-04,68,19.76
2011-02-11,63,20.12
2011-02-18,64,20.95
2011-02-25,68,20.34
2011-03-04,61,19.87
2011-03-11,64,19.36
2011-03-18,70,18.37
2011-03-25,60,19.42
2011-04-01,62,20.50
2011-04-08,70,21.53
2011-04-15,63,22.03
2011-04-22,64,
2011-04-29,71,22.39
2011-05-06,68,22.34
2011-05-13,67,22.71
2011-05-20,68,21.85
2011-05-27,74,21.68
2011-06-03,63,20.88
2011-06-10,74,21.00
2011-06-17,69,21.13
2011-06-24,69,20.82
2011-07-01,68,21.81
2011-07-08,74,21.38
2011-07-15,67,20.75
2011-07-22,68,21.46
2011-07-29,66,20.39
2011-08-05,53,18.34
2011-08-12,58,18.87
2011-08-19,63,18.96
2011-08-26,72,19.06
2011-09-02,56,19.14
2011-09-09,61,18.37
2011-09-16,57,19.14
2011-09-23,56,17.62
2011-09-30,57,18.00
2011-10-07,61,20.37
2011-10-14,63,20.30
2011-10-21,63,20.15
2011-10-28,72,20.57
2011-11-04,56,19.94
2011-11-11,54,20.47
2011-11-18,61,19.35
2011-11-25,72,17.98
2011-12-02,77,19.07
2011-12-09,57,19.79
2011-12-16,61,19.53
2011-12-23,55,20.75
2011-12-30,46,20.67
2012-01-06,71,19.66
2012-01-13,64,20.70
2012-01-20,63,21.03
2012-01-27,66,20.92
2012-02-03,70,21.87
2012-02-10,55,21.45
2012-02-17,69,22.22
2012-02-24,61,21.57
2012-03-02,63,22.23
2012-03-09,64,22.34
2012-03-16,51,22.77
2012-03-23,47,23.53
2012-03-30,60,23.59
2012-04-06,69,
2012-04-13,59,21.59
2012-04-20,66,21.24
2012-04-27,60,21.77
2012-05-04,74,20.81
2012-05-11,59,19.95
2012-05-18,72,18.79
2012-05-25,61,19.34
2012-06-01,59,18.76
2012-06-08,70,19.15
2012-06-15,67,19.66
2012-06-22,63,19.37
2012-06-29,60,27.06
2012-07-06,65,28.46
2012-07-13,83,29.29
2012-07-20,76,28.44
2012-07-27,69,29.02
2012-08-03,53,29.92
2012-08-10,50,29.94
2012-08-17,60,32.50
2012-08-24,81,32.72
2012-08-31,68,32.94
2012-09-07,65,33.65
2012-09-14,60,32.19
2012-09-21,65,33.26
2012-09-28,65,32.35
2012-10-05,58,36.20
2012-10-12,81,35.00
2012-10-19,65,35.65
2012-10-26,81,35.55
2012-11-02,57,35.81
2012-11-09,66,35.42
2012-11-16,63,34.14
2012-11-23,61,35.11
2012-11-30,64,35.88
2012-12-07,64,36.00
2012-12-14,67,35.30
2012-12-21,68,35.20
2012-12-28,50,34.37
2013-01-04,48,36.75
2013-01-11,73,35.63
2013-01-18,65,38.74
2013-01-25,67,38.50
2013-02-01,74,32.68
2013-02-08,66,31.85
2013-02-15,79,43.39
2013-02-22,58,43.96
2013-03-01,65,43.84
2013-03-08,55,43.99
2013-03-15,68,45.75
2013-03-22,70,46.59
2013-03-29,75,
2013-04-05,63,47.84
2013-04-12,66,49.19
2013-04-19,68,48.52
2013-04-26,63,47.79
2013-05-03,56,50.21
2013-05-10,64,49.35
2013-05-17,68,52.21
2013-05-24,55,53.00
2013-05-31,63,53.01
2013-06-07,66,53.34
2013-06-14,66,52.02
2013-06-21,69,50.49
2013-06-28,66,52.12
2013-07-05,67,50.59
2013-07-12,68,52.31
2013-07-19,65,52.02
2013-07-26,63,50.60
2013-08-02,57,53.42
2013-08-09,64,54.26
2013-08-16,69,53.94
2013-08-23,59,55.86
2013-08-30,56,54.25
2013-09-06,54,57.68
2013-09-13,61,58.70
2013-09-20,53,57.24
2013-09-27,70,56.98
2013-10-04,64,61.97
2013-10-11,68,62.99
2013-10-18,70,64.33
2013-10-25,56,63.91
2013-11-01,51,65.60
2013-11-08,63,66.76
2013-11-15,59,69.14
2013-11-22,60,70.36
2013-11-29,56,70.41
2013-12-06,61,70.65
2013-12-13,59,69.32
2013-12-20,54,69.70
2013-12-27,51,70.07
2014-01-03,45,69.39
2014-01-10,68,80.05
2014-01-17,51,79.54
2014-01-24,55,75.80
2014-01-31,63,76.67
2014-02-07,53,77.50
2014-02-14,57,79.37
2014-02-21,52,80.35
2014-02-28,52,81.03
2014-03-07,54,83.91
2014-03-14,52,82.50
2014-03-21,57,83.06
2014-03-28,48,83.21
2014-04-04,50,84.33
2014-04-11,59,78.03
2014-04-18,57,
2014-04-25,51,79.04
2014-05-02,56,
