Date,CCE,Price
2004-01-09,75,
2004-01-16,65,
2004-01-23,60,
2004-01-30,52,
2004-02-06,53,23.27
2004-02-13,54,23.65
2004-02-20,46,23.40
2004-02-27,54,23.31
2004-03-05,61,24.01
2004-03-12,57,23.25
2004-03-19,41,23.63
2004-03-26,47,23.35
2004-04-02,49,24.31
2004-04-09,43,
2004-04-16,54,24.47
2004-04-23,56,24.84
2004-04-30,44,27.00
2004-05-07,54,26.69
2004-05-14,41,27.02
2004-05-21,49,27.15
2004-05-28,53,27.55
2004-06-04,43,27.86
2004-06-11,50,
2004-06-18,42,28.10
2004-06-25,45,28.58
2004-07-02,44,28.47
2004-07-09,47,28.17
2004-07-16,59,27.26
2004-07-23,52,25.15
2004-07-30,50,20.40
2004-08-06,49,19.75
2004-08-13,44,20.19
2004-08-20,49,20.08
2004-08-27,43,20.51
2004-09-03,50,20.48
2004-09-10,47,19.30
2004-09-17,51,18.95
2004-09-24,48,19.23
2004-10-01,51,19.36
2004-10-08,42,19.42
2004-10-15,46,19.00
2004-10-22,44,18.93
2004-10-29,44,20.91
2004-11-05,45,21.94
2004-11-12,48,21.20
2004-11-19,46,20.71
2004-11-26,50,20.73
2004-12-03,46,21.29
2004-12-10,47,20.90
2004-12-17,46,20.88
2004-12-24,43,
2004-12-31,49,20.85
2005-01-07,51,20.71
2005-01-14,40,20.54
2005-01-21,41,21.45
2005-01-28,46,21.70
2005-02-04,51,23.05
2005-02-11,54,23.11
2005-02-18,43,21.83
2005-02-25,46,21.30
2005-03-04,54,21.86
2005-03-11,44,20.83
2005-03-18,50,20.99
2005-03-25,42,
2005-04-01,49,20.49
2005-04-08,43,20.32
2005-04-15,45,20.16
2005-04-22,44,19.58
2005-04-29,38,20.30
2005-05-06,38,20.80
2005-05-13,43,21.02
2005-05-20,49,21.59
2005-05-27,44,22.05
2005-06-03,41,21.82
2005-06-10,37,22.27
2005-06-17,38,22.39
2005-06-24,39,22.38
2005-07-01,39,22.06
2005-07-08,39,22.08
2005-07-15,38,22.00
2005-07-22,46,22.74
2005-07-29,39,23.50
2005-08-05,46,23.18
2005-08-12,44,23.10
2005-08-19,42,22.65
2005-08-26,33,22.00
2005-09-02,49,21.96
2005-09-09,43,19.65
2005-09-16,38,19.52
2005-09-23,36,19.14
2005-09-30,40,19.50
2005-10-07,41,19.68
2005-10-14,40,19.15
2005-10-21,40,19.51
2005-10-28,39,18.91
2005-11-04,33,18.71
2005-11-11,41,18.98
2005-11-18,39,19.04
2005-11-25,33,19.53
2005-12-02,39,19.77
2005-12-09,41,20.19
2005-12-16,40,19.90
2005-12-23,43,19.53
2005-12-30,40,19.17
2006-01-06,40,19.49
2006-01-13,47,19.47
2006-01-20,45,19.10
2006-01-27,45,19.36
2006-02-03,41,19.23
2006-02-10,39,19.79
2006-02-17,37,19.60
2006-02-24,43,19.58
2006-03-03,42,19.53
2006-03-10,44,20.22
2006-03-17,37,20.76
2006-03-24,38,20.73
2006-03-31,43,20.34
2006-04-07,41,20.60
2006-04-14,42,
2006-04-21,40,20.54
2006-04-28,39,19.53
2006-05-05,38,19.73
2006-05-12,34,19.56
2006-05-19,32,19.55
2006-05-26,41,19.69
2006-06-02,38,19.84
2006-06-09,41,19.36
