Date,GOOGL,Price
2004-01-09,6,
2004-01-16,4,
2004-01-23,5,
2004-01-30,6,
2004-02-06,6,
2004-02-13,6,
2004-02-20,6,
2004-02-27,5,
2004-03-05,6,
2004-03-12,5,
2004-03-19,5,
2004-03-26,6,
2004-04-02,6,
2004-04-09,5,
2004-04-16,6,
2004-04-23,7,
2004-04-30,5,
2004-05-07,6,
2004-05-14,6,
2004-05-21,6,
2004-05-28,5,
2004-06-04,6,
2004-06-11,6,
2004-06-18,5,
2004-06-25,6,
2004-07-02,6,
2004-07-09,6,
2004-07-16,5,
2004-07-23,4,
2004-07-30,5,
2004-08-06,7,
2004-08-13,6,
2004-08-20,7,108.31
2004-08-27,6,106.15
2004-09-03,6,100.01
2004-09-10,9,105.33
2004-09-17,7,117.49
2004-09-24,6,119.83
2004-10-01,8,132.58
2004-10-08,8,137.73
2004-10-15,8,144.11
2004-10-22,9,172.43
2004-10-29,8,190.64
2004-11-05,8,169.35
2004-11-12,9,182.00
2004-11-19,8,169.40
2004-11-26,8,179.39
2004-12-03,8,180.40
2004-12-10,7,171.65
2004-12-17,9,180.08
2004-12-24,8,
2004-12-31,7,192.79
2005-01-07,9,193.85
2005-01-14,9,199.97
2005-01-21,7,188.28
2005-01-28,9,190.34
2005-02-04,9,204.36
2005-02-11,10,187.40
2005-02-18,11,197.95
2005-02-25,9,185.87
2005-03-04,8,185.90
2005-03-11,8,177.80
2005-03-18,10,180.04
2005-03-25,10,
2005-04-01,9,180.04
2005-04-08,12,192.05
2005-04-15,9,185.00
2005-04-22,9,215.81
2005-04-29,11,220.00
2005-05-06,11,228.02
2005-05-13,11,229.24
2005-05-20,11,241.61
2005-05-27,10,266.00
2005-06-03,10,280.26
2005-06-10,11,282.50
2005-06-17,9,280.30
2005-06-24,10,297.25
2005-07-01,11,291.25
2005-07-08,13,296.23
2005-07-15,14,301.19
2005-07-22,17,302.40
2005-07-29,15,287.76
2005-08-05,13,292.35
2005-08-12,16,289.72
2005-08-19,17,280.00
2005-08-26,17,283.58
2005-09-02,17,288.45
2005-09-09,17,299.09
2005-09-16,18,300.20
2005-09-23,18,315.36
2005-09-30,17,316.46
2005-10-07,15,312.99
2005-10-14,15,296.14
2005-10-21,18,339.90
2005-10-28,16,358.17
2005-11-04,18,390.43
2005-11-11,19,390.40
2005-11-18,20,400.21
2005-11-25,19,428.62
2005-12-02,18,417.70
2005-12-09,20,409.20
2005-12-16,18,430.15
2005-12-23,19,430.93
2005-12-30,17,414.86
2006-01-06,20,465.66
2006-01-13,22,466.25
2006-01-20,18,399.46
2006-01-27,19,433.49
2006-02-03,22,381.55
2006-02-10,19,362.61
2006-02-17,22,368.75
2006-02-24,24,377.40
2006-03-03,22,378.18
2006-03-10,21,337.50
2006-03-17,22,339.79
2006-03-24,19,365.80
2006-03-31,21,390.00
2006-04-07,20,406.16
2006-04-14,21,
2006-04-21,20,437.10
2006-04-28,24,417.94
2006-05-05,22,394.30
2006-05-12,22,374.13
2006-05-19,20,370.02
2006-05-26,19,381.35
2006-06-02,19,379.44
2006-06-09,23,386.57
2006-06-16,22,390.70
2006-06-23,24,404.86
2006-06-30,22,419.33
2006-07-07,25,420.45
2006-07-14,22,403.50
2006-07-21,24,390.11
2006-07-28,27,388.12
2006-08-04,22,373.85
2006-08-11,23,368.50
2006-08-18,26,383.36
2006-08-25,25,373.26
2006-09-01,25,378.60
2006-09-08,26,377.85
2006-09-15,27,409.88
2006-09-22,26,403.78
2006-09-29,25,401.90
2006-10-06,28,420.50
2006-10-13,27,427.30
2006-10-20,29,459.67
2006-10-27,28,475.20
2006-11-03,30,471.80
2006-11-10,30,473.55
2006-11-17,29,498.79
2006-11-24,29,505.00
2006-12-01,28,480.80
2006-12-08,29,484.11
2006-12-15,30,480.30
2006-12-22,31,455.58
2006-12-29,32,460.48
2007-01-05,31,487.19
2007-01-12,31,505.00
2007-01-19,31,489.75
2007-01-26,32,495.84
2007-02-02,32,481.50
2007-02-09,32,461.89
2007-02-16,30,469.94
2007-02-23,32,470.62
2007-03-02,32,438.68
2007-03-09,31,452.96
2007-03-16,33,440.85
2007-03-23,31,461.83
2007-03-30,31,458.16
2007-04-06,31,
2007-04-13,32,466.29
2007-04-20,31,482.48
2007-04-27,35,479.01
2007-05-04,34,471.12
2007-05-11,33,466.74
2007-05-18,34,470.32
2007-05-25,33,483.52
2007-06-01,33,500.40
2007-06-08,34,515.49
2007-06-15,32,505.89
2007-06-22,33,524.98
2007-06-29,33,522.70
2007-07-06,34,539.40
2007-07-13,32,552.16
2007-07-20,31,520.12
2007-07-27,31,511.89
2007-08-03,30,503.00
2007-08-10,31,515.75
2007-08-17,31,500.04
2007-08-24,34,515.00
2007-08-31,31,515.25
2007-09-07,30,519.35
2007-09-14,33,528.75
2007-09-21,33,560.10
2007-09-28,34,567.27
2007-10-05,32,594.05
2007-10-12,33,637.39
2007-10-19,34,644.71
2007-10-26,35,674.60
2007-11-02,37,711.25
2007-11-09,35,663.97
2007-11-16,35,633.63
2007-11-23,40,676.70
2007-11-30,39,693.00
2007-12-07,38,714.87
2007-12-14,34,689.96
2007-12-21,34,696.69
2007-12-28,34,702.53
2008-01-04,32,657.00
2008-01-11,32,638.25
2008-01-18,32,600.25
2008-01-25,30,566.40
2008-02-01,32,515.90
2008-02-08,32,516.69
2008-02-15,30,529.64
2008-02-22,31,507.80
2008-02-29,30,471.18
2008-03-07,32,433.35
2008-03-14,31,437.92
2008-03-21,31,
2008-03-28,29,438.08
2008-04-04,31,471.09
2008-04-11,30,457.45
2008-04-18,31,539.41
2008-04-25,31,544.06
2008-05-02,31,581.29
2008-05-09,29,573.20
2008-05-16,30,580.07
2008-05-23,32,544.62
2008-05-30,30,585.80
2008-06-06,30,567.00
2008-06-13,31,571.51
2008-06-20,30,546.43
2008-06-27,31,528.07
2008-07-04,30,
2008-07-11,30,533.80
2008-07-18,30,481.32
2008-07-25,30,491.98
2008-08-01,30,467.86
2008-08-08,31,495.01
2008-08-15,32,510.15
2008-08-22,32,490.59
2008-08-29,31,463.29
2008-09-05,34,444.25
2008-09-12,33,437.66
2008-09-19,33,449.15
2008-09-26,34,431.04
2008-10-03,33,386.91
2008-10-10,32,332.00
2008-10-17,34,372.54
2008-10-24,35,339.29
2008-10-31,34,359.36
2008-11-07,34,331.14
2008-11-14,33,310.02
2008-11-21,35,262.43
2008-11-28,34,292.96
2008-12-05,32,283.99
2008-12-12,32,315.76
2008-12-19,35,310.17
2008-12-26,37,300.36
2009-01-02,35,321.32
2009-01-09,31,315.07
2009-01-16,34,299.67
2009-01-23,37,324.70
2009-01-30,39,338.53
2009-02-06,44,371.28
2009-02-13,43,357.68
2009-02-20,44,346.45
2009-02-27,41,337.99
2009-03-06,38,308.57
2009-03-13,36,324.42
2009-03-20,39,330.16
2009-03-27,43,347.70
2009-04-03,40,369.78
2009-04-10,38,
2009-04-17,34,392.24
2009-04-24,36,389.49
2009-05-01,39,393.69
2009-05-08,38,407.33
2009-05-15,37,390.00
2009-05-22,37,393.50
2009-05-29,36,417.23
2009-06-05,38,444.32
2009-06-12,37,424.84
2009-06-19,37,420.09
2009-06-26,37,425.32
2009-07-03,36,
2009-07-10,36,414.40
2009-07-17,36,430.25
2009-07-24,37,446.72
2009-07-31,36,443.05
2009-08-07,36,457.10
2009-08-14,37,460.00
2009-08-21,36,465.24
2009-08-28,36,464.75
2009-09-04,36,461.30
2009-09-11,38,472.14
2009-09-18,39,491.46
2009-09-25,40,492.48
2009-10-02,40,484.58
2009-10-09,42,516.25
2009-10-16,40,549.85
2009-10-23,39,553.69
2009-10-30,43,536.12
2009-11-06,41,551.10
2009-11-13,43,572.05
2009-11-20,44,569.96
2009-11-27,43,579.76
2009-12-04,44,585.01
2009-12-11,44,590.51
2009-12-18,45,596.42
2009-12-25,48,
2010-01-01,46,
2010-01-08,52,602.02
2010-01-15,48,580.00
2010-01-22,46,550.01
2010-01-29,46,529.94
2010-02-05,47,531.29
2010-02-12,51,533.12
2010-02-19,49,540.76
2010-02-26,47,526.80
2010-03-05,48,564.21
2010-03-12,49,579.54
2010-03-19,47,560.00
2010-03-26,51,562.69
2010-04-02,50,
2010-04-09,49,566.22
2010-04-16,48,550.15
2010-04-23,50,544.99
2010-04-30,52,525.70
2010-05-07,51,493.14
2010-05-14,50,507.53
2010-05-21,52,472.05
2010-05-28,55,485.63
2010-06-04,52,498.72
2010-06-11,50,488.50
2010-06-18,50,500.03
2010-06-25,48,472.68
2010-07-02,50,436.55
2010-07-09,54,467.49
2010-07-16,52,459.61
2010-07-23,55,490.06
2010-07-30,55,484.85
2010-08-06,54,500.22
