Date,buy CAM,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,41.45
2004-02-13,0,44.15
2004-02-20,58,43.58
2004-02-27,0,44.22
2004-03-05,0,45.72
2004-03-12,0,45.63
2004-03-19,0,45.41
2004-03-26,0,43.90
2004-04-02,0,43.91
2004-04-09,0,
2004-04-16,0,47.24
2004-04-23,0,47.50
2004-04-30,0,48.35
2004-05-07,0,47.04
2004-05-14,0,45.85
2004-05-21,53,44.70
2004-05-28,54,46.37
2004-06-04,55,44.64
2004-06-11,56,
2004-06-18,58,48.17
2004-06-25,59,48.39
2004-07-02,54,48.74
2004-07-09,69,48.94
2004-07-16,83,51.65
2004-07-23,86,49.71
2004-07-30,88,51.09
2004-08-06,90,47.74
2004-08-13,93,47.70
2004-08-20,95,49.23
2004-08-27,46,50.83
2004-09-03,46,52.05
2004-09-10,46,52.63
2004-09-17,46,53.16
2004-09-24,54,53.99
2004-10-01,61,55.98
2004-10-08,69,54.62
2004-10-15,60,53.08
2004-10-22,57,52.14
2004-10-29,57,48.35
2004-11-05,57,49.49
2004-11-12,61,50.52
2004-11-19,64,50.65
2004-11-26,58,52.71
2004-12-03,100,50.50
2004-12-10,54,50.74
2004-12-17,47,53.25
2004-12-24,60,
2004-12-31,58,53.81
2005-01-07,58,51.53
2005-01-14,51,55.35
2005-01-21,54,55.66
2005-01-28,57,55.68
2005-02-04,60,58.49
2005-02-11,66,58.02
2005-02-18,56,56.47
2005-02-25,56,58.48
2005-03-04,56,59.50
2005-03-11,61,54.52
2005-03-18,43,54.85
2005-03-25,54,
2005-04-01,0,58.06
2005-04-08,0,56.99
2005-04-15,0,53.73
2005-04-22,0,55.92
2005-04-29,0,54.94
2005-05-06,36,57.82
2005-05-13,51,55.39
2005-05-20,51,58.11
2005-05-27,39,59.31
2005-06-03,52,60.03
2005-06-10,41,61.81
2005-06-17,41,63.11
2005-06-24,42,63.04
2005-07-01,42,62.50
2005-07-08,36,64.59
2005-07-15,64,63.37
2005-07-22,56,69.51
2005-07-29,38,70.98
2005-08-05,49,71.63
2005-08-12,72,72.34
2005-08-19,48,69.93
2005-08-26,50,69.29
2005-09-02,52,72.61
2005-09-09,60,73.39
2005-09-16,51,72.05
2005-09-23,43,71.63
2005-09-30,38,73.93
2005-10-07,41,69.95
2005-10-14,56,69.48
2005-10-21,43,66.78
2005-10-28,43,71.40
2005-11-04,49,73.83
2005-11-11,36,73.87
2005-11-18,27,78.39
2005-11-25,59,79.72
2005-12-02,53,82.81
2005-12-09,73,84.29
2005-12-16,41,41.29
2005-12-23,53,42.36
2005-12-30,64,41.40
2006-01-06,48,45.81
2006-01-13,41,47.36
2006-01-20,39,48.53
2006-01-27,46,48.89
2006-02-03,29,45.77
2006-02-10,31,43.49
2006-02-17,38,41.44
2006-02-24,48,42.05
2006-03-03,33,41.71
2006-03-10,45,39.01
2006-03-17,50,41.42
2006-03-24,38,43.26
2006-03-31,38,44.08
2006-04-07,32,46.61
2006-04-14,24,
2006-04-21,37,49.78
2006-04-28,43,50.24
2006-05-05,25,53.93
2006-05-12,27,51.92
2006-05-19,37,46.59
2006-05-26,27,46.66
2006-06-02,34,48.70
2006-06-09,31,45.40
2006-06-16,34,45.03
2006-06-23,29,44.84
2006-06-30,31,47.77
2006-07-07,30,45.73
2006-07-14,23,49.02
2006-07-21,30,43.69
2006-07-28,23,49.42
2006-08-04,35,49.75
2006-08-11,52,48.05
2006-08-18,38,48.83
2006-08-25,38,49.77
2006-09-01,53,48.94
2006-09-08,43,46.49
2006-09-15,36,44.60
2006-09-22,44,44.90
2006-09-29,50,48.31
2006-10-06,42,46.95
2006-10-13,53,48.71
2006-10-20,31,49.75
2006-10-27,33,50.93
2006-11-03,37,51.42
2006-11-10,41,53.66
2006-11-17,58,52.75
2006-11-24,50,53.12
2006-12-01,69,55.30
2006-12-08,57,55.59
2006-12-15,59,56.64
2006-12-22,54,53.65
2006-12-29,53,53.05
2007-01-05,42,49.86
2007-01-12,42,51.66
2007-01-19,33,51.44
2007-01-26,34,52.02
2007-02-02,25,53.25
2007-02-09,38,57.41
2007-02-16,19,57.34
2007-02-23,40,58.73
2007-03-02,27,55.83
2007-03-09,33,57.71
2007-03-16,24,58.53
2007-03-23,34,61.92
2007-03-30,28,62.79
2007-04-06,27,
2007-04-13,40,65.37
2007-04-20,31,65.08
2007-04-27,35,66.94
2007-05-04,47,67.92
2007-05-11,38,68.34
2007-05-18,31,70.79
2007-05-25,27,68.96
2007-06-01,22,70.65
2007-06-08,44,69.56
2007-06-15,48,73.37
2007-06-22,38,73.73
2007-06-29,23,71.47
2007-07-06,42,74.67
2007-07-13,30,77.73
2007-07-20,49,79.14
2007-07-27,38,76.91
2007-08-03,42,76.50
2007-08-10,29,78.67
2007-08-17,28,71.70
2007-08-24,32,78.26
2007-08-31,40,81.77
2007-09-07,39,85.27
2007-09-14,26,89.24
2007-09-21,42,93.54
2007-09-28,36,92.29
2007-10-05,38,96.08
2007-10-12,37,102.28
2007-10-19,37,98.13
2007-10-26,39,103.94
2007-11-02,41,98.60
2007-11-09,50,95.42
2007-11-16,34,89.33
2007-11-23,38,94.23
2007-11-30,39,93.23
2007-12-07,66,98.68
2007-12-14,52,95.71
2007-12-21,42,95.00
2007-12-28,53,98.33
2008-01-04,54,50.37
2008-01-11,40,48.73
2008-01-18,41,45.58
2008-01-25,29,43.99
2008-02-01,46,42.12
2008-02-08,40,39.39
2008-02-15,38,41.36
2008-02-22,35,43.34
2008-02-29,33,42.48
2008-03-07,43,39.26
2008-03-14,40,42.73
2008-03-21,42,
2008-03-28,34,41.83
2008-04-04,44,46.00
2008-04-11,44,45.71
2008-04-18,33,50.52
2008-04-25,25,49.75
2008-05-02,43,47.65
2008-05-09,32,51.76
2008-05-16,42,55.84
2008-05-23,30,52.48
2008-05-30,27,53.23
2008-06-06,37,55.25
2008-06-13,32,55.03
2008-06-20,50,54.56
2008-06-27,34,54.91
2008-07-04,44,
2008-07-11,41,51.37
2008-07-18,44,51.91
2008-07-25,47,47.98
2008-08-01,37,48.96
2008-08-08,34,45.66
2008-08-15,55,45.70
2008-08-22,46,47.61
2008-08-29,43,46.59
2008-09-05,42,43.67
2008-09-12,41,42.20
2008-09-19,38,44.85
2008-09-26,32,40.45
2008-10-03,31,31.23
2008-10-10,39,25.24
2008-10-17,33,23.80
2008-10-24,36,21.29
2008-10-31,44,24.26
2008-11-07,42,23.82
2008-11-14,49,20.62
2008-11-21,51,18.40
2008-11-28,71,21.10
2008-12-05,54,18.09
2008-12-12,49,20.84
2008-12-19,57,19.90
2008-12-26,60,19.53
2009-01-02,60,22.07
2009-01-09,56,23.14
2009-01-16,46,22.58
2009-01-23,46,22.83
2009-01-30,36,23.16
2009-02-06,45,23.26
2009-02-13,41,21.80
2009-02-20,37,19.32
2009-02-27,32,19.28
2009-03-06,34,18.36
2009-03-13,39,20.54
2009-03-20,34,22.59
2009-03-27,34,23.32
2009-04-03,37,23.52
2009-04-10,46,
2009-04-17,40,25.45
2009-04-24,40,26.59
2009-05-01,38,26.28
2009-05-08,38,30.50
2009-05-15,42,27.55
2009-05-22,43,29.53
2009-05-29,32,31.23
2009-06-05,37,30.27
2009-06-12,41,31.43
2009-06-19,39,28.18
2009-06-26,34,28.90
2009-07-03,40,
2009-07-10,30,26.42
2009-07-17,36,29.17
2009-07-24,43,31.85
2009-07-31,36,31.23
2009-08-07,39,34.19
2009-08-14,52,33.53
2009-08-21,41,36.66
2009-08-28,42,36.64
2009-09-04,36,35.98
2009-09-11,44,37.33
2009-09-18,35,38.77
2009-09-25,51,36.91
2009-10-02,36,35.92
2009-10-09,36,39.51
2009-10-16,36,41.59
2009-10-23,39,40.16
2009-10-30,38,36.97
2009-11-06,32,39.24
2009-11-13,40,40.06
2009-11-20,39,37.48
2009-11-27,50,37.24
2009-12-04,49,37.35
2009-12-11,59,37.95
2009-12-18,51,39.88
2009-12-25,59,
2010-01-01,57,
2010-01-08,54,44.86
2010-01-15,44,41.65
2010-01-22,36,39.08
2010-01-29,45,37.66
2010-02-05,54,37.31
2010-02-12,47,40.86
2010-02-19,49,41.94
2010-02-26,51,41.13
2010-03-05,34,44.43
2010-03-12,38,44.65
2010-03-19,43,41.81
2010-03-26,44,41.10
2010-04-02,38,
2010-04-09,46,45.23
2010-04-16,35,44.75
2010-04-23,42,47.31
2010-04-30,42,39.46
2010-05-07,45,35.58
2010-05-14,41,37.30
2010-05-21,36,35.84
2010-05-28,46,36.20
2010-06-04,37,33.23
2010-06-11,45,36.43
2010-06-18,48,37.97
2010-06-25,32,35.55
2010-07-02,33,32.53
2010-07-09,45,35.20
2010-07-16,41,34.75
2010-07-23,37,38.58
2010-07-30,42,39.59
2010-08-06,54,39.07
2010-08-13,41,37.94
2010-08-20,30,36.84
2010-08-27,43,37.97
2010-09-03,38,38.92
2010-09-10,41,40.22
2010-09-17,37,39.54
2010-09-24,40,42.07
2010-10-01,41,43.63
2010-10-08,37,43.49
2010-10-15,37,43.09
2010-10-22,35,42.92
2010-10-29,44,43.75
2010-11-05,40,46.13
2010-11-12,39,44.23
2010-11-19,48,48.69
2010-11-26,59,47.48
2010-12-03,59,51.36
2010-12-10,61,49.35
2010-12-17,58,49.54
2010-12-24,68,
2010-12-31,76,50.73
2011-01-07,46,48.68
2011-01-14,44,52.23
2011-01-21,44,50.28
2011-01-28,41,52.48
2011-02-04,38,57.01
2011-02-11,50,56.54
2011-02-18,41,59.18
2011-02-25,38,59.72
2011-03-04,49,61.98
2011-03-11,42,59.04
2011-03-18,38,59.10
2011-03-25,43,59.08
2011-04-01,41,56.64
2011-04-08,42,55.49
2011-04-15,42,53.35
2011-04-22,36,
2011-04-29,39,52.72
2011-05-06,35,48.07
2011-05-13,49,49.65
2011-05-20,37,48.16
2011-05-27,35,47.37
2011-06-03,32,46.27
2011-06-10,41,44.78
2011-06-17,35,46.11
2011-06-24,35,45.70
2011-07-01,31,50.43
2011-07-08,39,51.15
2011-07-15,38,50.61
2011-07-22,44,52.94
2011-07-29,45,55.94
2011-08-05,44,47.89
2011-08-12,35,47.93
2011-08-19,34,44.42
2011-08-26,37,48.76
2011-09-02,38,49.63
2011-09-09,38,48.28
2011-09-16,39,52.43
2011-09-23,32,43.74
2011-09-30,31,41.54
2011-10-07,36,45.46
2011-10-14,27,49.68
2011-10-21,39,49.75
2011-10-28,31,51.78
2011-11-04,43,50.97
2011-11-11,39,52.19
2011-11-18,34,49.32
2011-11-25,49,46.29
2011-12-02,48,52.87
2011-12-09,44,53.02
2011-12-16,52,47.55
2011-12-23,48,49.63
2011-12-30,47,49.19
2012-01-06,40,49.87
2012-01-13,33,51.23
2012-01-20,34,53.35
2012-01-27,43,53.45
2012-02-03,41,55.83
2012-02-10,41,56.50
2012-02-17,32,56.09
2012-02-24,41,56.85
2012-03-02,40,55.44
2012-03-09,31,54.26
2012-03-16,33,52.94
2012-03-23,34,51.78
2012-03-30,34,52.83
2012-04-06,31,
2012-04-13,31,50.81
2012-04-20,31,49.00
2012-04-27,35,51.28
2012-05-04,35,48.73
2012-05-11,33,48.56
2012-05-18,36,44.71
2012-05-25,30,47.94
2012-06-01,35,44.54
2012-06-08,32,45.97
2012-06-15,33,44.75
2012-06-22,33,41.11
2012-06-29,36,42.71
2012-07-06,35,42.82
2012-07-13,31,43.62
2012-07-20,33,45.66
2012-07-27,37,51.82
2012-08-03,39,52.09
2012-08-10,37,52.29
2012-08-17,39,53.92
2012-08-24,41,53.71
2012-08-31,33,54.71
2012-09-07,40,56.02
2012-09-14,31,58.99
2012-09-21,31,57.73
2012-09-28,31,56.07
2012-10-05,28,54.93
2012-10-12,32,53.22
2012-10-19,34,55.21
2012-10-26,34,51.24
2012-11-02,39,49.71
2012-11-09,32,50.97
2012-11-16,32,52.27
2012-11-23,41,54.47
2012-11-30,40,53.95
2012-12-07,37,55.09
2012-12-14,38,53.21
2012-12-21,45,56.28
2012-12-28,44,54.18
2013-01-04,37,58.52
2013-01-11,30,57.55
2013-01-18,32,58.90
2013-01-25,30,60.72
2013-02-01,34,65.46
2013-02-08,37,65.41
2013-02-15,33,64.58
2013-02-22,38,63.95
2013-03-01,31,62.85
2013-03-08,38,65.45
2013-03-15,37,66.66
2013-03-22,37,63.19
2013-03-29,38,
2013-04-05,32,61.46
2013-04-12,30,62.64
2013-04-19,31,59.19
2013-04-26,31,60.40
2013-05-03,29,63.21
2013-05-10,30,63.36
2013-05-17,31,64.47
2013-05-24,30,62.65
2013-05-31,34,60.87
2013-06-07,33,62.55
2013-06-14,33,62.10
2013-06-21,34,61.53
2013-06-28,36,61.16
2013-07-05,36,63.16
2013-07-12,36,64.70
2013-07-19,33,65.76
2013-07-26,30,57.18
2013-08-02,39,58.91
2013-08-09,38,57.51
2013-08-16,32,55.99
2013-08-23,42,56.84
2013-08-30,35,56.79
2013-09-06,37,58.40
2013-09-13,31,57.93
2013-09-20,35,60.21
2013-09-27,29,59.01
2013-10-04,28,61.52
2013-10-11,30,63.36
2013-10-18,29,65.11
2013-10-25,33,53.25
2013-11-01,35,54.64
2013-11-08,34,54.65
2013-11-15,34,55.96
2013-11-22,41,55.50
2013-11-29,44,55.39
2013-12-06,43,55.98
2013-12-13,40,56.09
2013-12-20,48,58.71
2013-12-27,45,59.50
2014-01-03,46,58.35
2014-01-10,38,59.47
2014-01-17,37,58.69
2014-01-24,28,57.97
2014-01-31,31,59.97
2014-02-07,34,58.65
2014-02-14,36,61.07
2014-02-21,33,61.83
2014-02-28,34,64.06
2014-03-07,30,63.00
2014-03-14,33,61.92
2014-03-21,31,62.85
2014-03-28,36,61.46
2014-04-04,30,63.97
2014-04-11,31,60.66
2014-04-18,35,
2014-04-25,32,64.60
2014-05-02,30,
