Date,REGN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,100,
2004-01-30,48,
2004-02-06,39,14.76
2004-02-13,0,13.95
2004-02-20,0,14.20
2004-02-27,0,14.16
2004-03-05,0,15.98
2004-03-12,0,14.35
2004-03-19,42,13.68
2004-03-26,41,13.27
2004-04-02,41,13.91
2004-04-09,44,
2004-04-16,47,12.44
2004-04-23,51,13.59
2004-04-30,44,12.53
2004-05-07,34,12.49
2004-05-14,34,11.95
2004-05-21,35,11.12
2004-05-28,36,11.23
2004-06-04,40,11.22
2004-06-11,43,
2004-06-18,45,9.43
2004-06-25,47,10.10
2004-07-02,49,10.12
2004-07-09,50,9.19
2004-07-16,52,8.27
2004-07-23,34,7.62
2004-07-30,41,8.56
2004-08-06,32,6.96
2004-08-13,32,7.05
2004-08-20,32,8.68
2004-08-27,32,9.18
2004-09-03,31,8.96
2004-09-10,32,9.22
2004-09-17,32,9.00
2004-09-24,46,8.65
2004-10-01,34,8.78
2004-10-08,34,7.89
2004-10-15,34,7.42
2004-10-22,33,6.86
2004-10-29,33,7.27
2004-11-05,33,8.02
2004-11-12,56,8.72
2004-11-19,78,8.33
2004-11-26,44,8.55
2004-12-03,31,9.02
2004-12-10,31,8.84
2004-12-17,29,8.95
2004-12-24,29,
2004-12-31,29,9.21
2005-01-07,29,8.15
2005-01-14,24,7.73
2005-01-21,24,7.14
2005-01-28,36,6.99
2005-02-04,31,7.51
2005-02-11,24,7.09
2005-02-18,26,6.39
2005-02-25,25,6.47
2005-03-04,28,5.88
2005-03-11,29,5.23
2005-03-18,27,5.51
2005-03-25,29,
2005-04-01,31,4.99
2005-04-08,33,4.77
2005-04-15,26,4.74
2005-04-22,22,5.02
2005-04-29,22,5.57
2005-05-06,27,6.90
2005-05-13,34,6.04
2005-05-20,47,6.22
2005-05-27,26,6.63
2005-06-03,41,6.16
2005-06-10,29,6.36
2005-06-17,36,7.65
2005-06-24,33,8.80
2005-07-01,26,8.62
2005-07-08,29,9.50
2005-07-15,38,9.51
2005-07-22,37,9.93
2005-07-29,41,9.64
2005-08-05,42,9.41
2005-08-12,38,8.41
2005-08-19,41,8.45
2005-08-26,43,7.49
2005-09-02,32,7.78
2005-09-09,24,8.41
2005-09-16,23,8.35
2005-09-23,22,8.26
2005-09-30,22,9.49
2005-10-07,33,9.50
2005-10-14,37,9.23
2005-10-21,34,9.00
2005-10-28,32,11.97
2005-11-04,32,13.00
2005-11-11,41,11.03
2005-11-18,34,11.23
2005-11-25,35,11.31
2005-12-02,27,10.80
2005-12-09,22,11.49
2005-12-16,24,11.96
2005-12-23,30,13.76
2005-12-30,30,15.90
2006-01-06,28,17.00
2006-01-13,39,16.13
2006-01-20,25,15.50
2006-01-27,34,15.44
2006-02-03,34,16.19
2006-02-10,27,15.33
2006-02-17,26,15.09
2006-02-24,27,16.00
2006-03-03,28,17.15
2006-03-10,26,16.70
2006-03-17,40,16.77
2006-03-24,25,17.20
2006-03-31,32,16.63
2006-04-07,41,15.15
2006-04-14,27,
2006-04-21,42,14.98
2006-04-28,33,14.52
2006-05-05,40,15.17
2006-05-12,24,13.72
2006-05-19,37,11.99
2006-05-26,35,12.09
2006-06-02,31,13.20
2006-06-09,27,12.71
2006-06-16,24,12.48
2006-06-23,31,12.30
2006-06-30,24,12.82
2006-07-07,22,12.74
2006-07-14,14,11.92
2006-07-21,32,11.12
2006-07-28,27,13.80
2006-08-04,47,14.00
2006-08-11,19,13.91
2006-08-18,40,15.41
2006-08-25,43,14.79
2006-09-01,31,15.82
2006-09-08,23,16.00
2006-09-15,26,16.75
2006-09-22,30,15.52
2006-09-29,25,15.69
2006-10-06,27,16.74
2006-10-13,21,17.50
2006-10-20,23,19.45
2006-10-27,36,19.66
2006-11-03,34,20.78
2006-11-10,33,23.82
2006-11-17,34,23.65
2006-11-24,32,23.24
2006-12-01,32,21.16
2006-12-08,41,21.71
2006-12-15,32,20.19
2006-12-22,32,20.28
2006-12-29,14,20.07
2007-01-05,36,20.80
2007-01-12,30,22.74
2007-01-19,43,21.77
2007-01-26,29,19.92
2007-02-02,30,20.18
2007-02-09,20,19.89
2007-02-16,13,22.00
2007-02-23,23,21.60
2007-03-02,20,18.68
2007-03-09,23,19.02
2007-03-16,25,18.37
2007-03-23,13,19.44
2007-03-30,26,21.62
2007-04-06,28,
2007-04-13,29,25.04
2007-04-20,31,25.90
2007-04-27,38,27.58
2007-05-04,28,28.53
2007-05-11,27,28.35
2007-05-18,42,24.87
2007-05-25,30,22.99
2007-06-01,29,22.99
2007-06-08,23,18.64
2007-06-15,30,18.81
2007-06-22,58,17.93
2007-06-29,54,17.92
2007-07-06,85,18.10
2007-07-13,49,18.45
2007-07-20,24,17.16
2007-07-27,59,15.38
2007-08-03,42,14.02
2007-08-10,23,16.23
2007-08-17,49,18.33
2007-08-24,25,18.54
2007-08-31,32,19.46
2007-09-07,41,21.25
2007-09-14,26,20.14
2007-09-21,43,18.89
2007-09-28,33,17.80
2007-10-05,29,17.99
2007-10-12,29,19.45
2007-10-19,31,20.33
2007-10-26,31,22.56
2007-11-02,35,21.00
2007-11-09,31,18.30
2007-11-16,29,18.56
2007-11-23,32,18.34
2007-11-30,24,21.78
2007-12-07,38,24.00
2007-12-14,33,22.20
2007-12-21,30,23.99
2007-12-28,20,24.43
2008-01-04,33,22.49
2008-01-11,34,24.29
2008-01-18,38,24.60
2008-01-25,34,21.90
2008-02-01,30,21.48
2008-02-08,32,19.57
2008-02-15,26,18.90
2008-02-22,30,17.99
2008-02-29,33,19.77
2008-03-07,34,17.30
2008-03-14,40,16.79
2008-03-21,26,
2008-03-28,27,19.62
2008-04-04,35,20.18
2008-04-11,36,18.59
2008-04-18,26,19.80
2008-04-25,33,20.91
2008-05-02,27,21.02
2008-05-09,26,20.45
2008-05-16,38,20.23
2008-05-23,33,18.91
2008-05-30,36,19.90
2008-06-06,33,14.82
2008-06-13,39,14.22
2008-06-20,44,14.68
2008-06-27,34,14.76
2008-07-04,23,
2008-07-11,41,15.08
2008-07-18,27,17.01
2008-07-25,39,19.00
2008-08-01,26,21.68
2008-08-08,64,21.62
2008-08-15,51,22.64
2008-08-22,48,21.54
2008-08-29,35,21.72
2008-09-05,37,19.07
2008-09-12,36,20.71
2008-09-19,30,23.07
2008-09-26,35,22.71
2008-10-03,32,20.96
2008-10-10,31,17.14
2008-10-17,28,18.75
2008-10-24,33,16.15
2008-10-31,30,19.30
2008-11-07,37,18.35
2008-11-14,40,17.17
2008-11-21,35,13.95
2008-11-28,35,15.46
2008-12-05,26,15.23
2008-12-12,27,16.83
2008-12-19,26,18.91
2008-12-26,17,18.23
2009-01-02,22,18.70
2009-01-09,27,17.48
2009-01-16,33,17.36
2009-01-23,37,15.57
2009-01-30,31,17.48
2009-02-06,30,19.92
2009-02-13,30,18.97
2009-02-20,27,18.15
2009-02-27,42,14.25
2009-03-06,33,12.67
2009-03-13,38,14.03
2009-03-20,31,13.45
2009-03-27,36,14.38
2009-04-03,35,13.02
2009-04-10,27,
2009-04-17,21,13.15
2009-04-24,30,12.94
2009-05-01,31,13.85
2009-05-08,47,15.84
2009-05-15,31,14.61
2009-05-22,35,13.99
2009-05-29,37,15.27
2009-06-05,45,16.36
2009-06-12,63,16.36
2009-06-19,53,18.21
2009-06-26,26,18.14
2009-07-03,37,
2009-07-10,59,16.29
2009-07-17,37,17.62
2009-07-24,50,20.75
2009-07-31,37,21.48
2009-08-07,29,21.86
2009-08-14,53,22.11
2009-08-21,37,22.22
2009-08-28,37,22.33
2009-09-04,40,22.25
2009-09-11,34,21.88
2009-09-18,34,21.28
2009-09-25,38,20.30
2009-10-02,33,18.62
2009-10-09,34,18.41
2009-10-16,27,18.82
2009-10-23,28,17.59
2009-10-30,28,15.70
2009-11-06,31,15.71
2009-11-13,35,18.57
2009-11-20,40,18.46
2009-11-27,34,18.09
2009-12-04,33,19.32
2009-12-11,21,18.96
2009-12-18,22,21.41
2009-12-25,28,
2010-01-01,19,
2010-01-08,27,24.37
2010-01-15,23,23.88
2010-01-22,34,25.97
2010-01-29,29,26.66
2010-02-05,38,25.73
2010-02-12,27,29.27
2010-02-19,32,26.29
2010-02-26,26,24.46
2010-03-05,32,25.51
2010-03-12,34,24.69
2010-03-19,31,23.77
2010-03-26,33,26.23
2010-04-02,22,
2010-04-09,33,25.78
2010-04-16,32,26.40
2010-04-23,32,24.77
2010-04-30,32,25.53
2010-05-07,33,23.58
2010-05-14,48,27.37
2010-05-21,43,27.14
2010-05-28,39,28.57
2010-06-04,27,28.19
2010-06-11,59,26.42
2010-06-18,45,26.11
2010-06-25,27,24.53
2010-07-02,28,21.61
2010-07-09,24,23.22
2010-07-16,42,22.48
2010-07-23,36,24.01
2010-07-30,63,24.19
2010-08-06,48,24.85
2010-08-13,62,23.56
2010-08-20,74,22.93
2010-08-27,47,22.78
2010-09-03,33,24.58
2010-09-10,33,25.15
2010-09-17,45,26.50
2010-09-24,37,26.74
2010-10-01,27,26.70
2010-10-08,34,28.18
2010-10-15,28,28.04
2010-10-22,24,27.37
2010-10-29,30,26.11
2010-11-05,32,26.53
2010-11-12,34,25.29
2010-11-19,31,24.67
2010-11-26,32,28.83
2010-12-03,25,29.98
2010-12-10,32,30.20
2010-12-17,34,33.06
2010-12-24,20,
2010-12-31,22,32.83
2011-01-07,38,34.10
2011-01-14,28,34.50
2011-01-21,30,33.28
2011-01-28,31,33.45
2011-02-04,29,34.47
2011-02-11,27,35.31
2011-02-18,29,37.48
2011-02-25,31,37.00
2011-03-04,27,38.00
2011-03-11,28,38.68
2011-03-18,27,38.81
2011-03-25,29,41.34
2011-04-01,47,45.26
2011-04-08,39,42.70
2011-04-15,38,45.84
2011-04-22,23,
2011-04-29,39,51.04
2011-05-06,44,50.25
2011-05-13,39,53.03
2011-05-20,44,56.91
2011-05-27,49,58.27
2011-06-03,50,58.04
2011-06-10,46,54.58
2011-06-17,49,54.02
2011-06-24,54,52.89
2011-07-01,52,57.75
2011-07-08,71,59.64
2011-07-15,49,55.59
2011-07-22,58,57.47
2011-07-29,45,53.06
2011-08-05,44,46.81
2011-08-12,54,54.18
2011-08-19,67,54.37
2011-08-26,45,55.81
2011-09-02,44,64.78
2011-09-09,62,65.62
2011-09-16,42,60.20
2011-09-23,46,66.19
2011-09-30,29,58.20
2011-10-07,41,63.02
2011-10-14,35,63.95
2011-10-21,41,62.17
2011-10-28,34,55.66
2011-11-04,24,56.42
2011-11-11,30,52.93
2011-11-18,35,49.81
2011-11-25,32,53.78
2011-12-02,39,58.28
2011-12-09,37,53.38
2011-12-16,34,53.00
2011-12-23,24,55.57
2011-12-30,22,55.43
2012-01-06,30,65.79
2012-01-13,36,78.92
2012-01-20,34,78.33
2012-01-27,31,85.54
2012-02-03,29,96.86
2012-02-10,33,102.08
2012-02-17,38,103.28
2012-02-24,32,103.22
2012-03-02,31,108.80
2012-03-09,26,107.21
2012-03-16,32,115.33
2012-03-23,28,119.18
2012-03-30,31,116.62
2012-04-06,22,
2012-04-13,34,122.60
2012-04-20,30,126.38
2012-04-27,46,140.01
2012-05-04,31,131.40
2012-05-11,48,134.09
2012-05-18,34,120.23
2012-05-25,31,132.17
2012-06-01,46,123.93
2012-06-08,45,129.62
2012-06-15,39,113.85
2012-06-22,54,115.90
2012-06-29,66,114.22
2012-07-06,42,119.54
2012-07-13,72,117.64
2012-07-20,52,121.65
2012-07-27,45,136.90
2012-08-03,46,136.96
2012-08-10,48,136.84
2012-08-17,32,138.06
2012-08-24,43,145.09
2012-08-31,50,148.05
2012-09-07,38,152.55
2012-09-14,40,149.68
2012-09-21,49,145.09
2012-09-28,49,152.66
2012-10-05,45,159.00
2012-10-12,33,150.73
2012-10-19,42,158.24
2012-10-26,39,149.25
2012-11-02,32,143.50
2012-11-09,32,140.74
2012-11-16,32,157.69
2012-11-23,35,176.08
2012-11-30,34,176.55
2012-12-07,42,180.87
2012-12-14,35,179.71
2012-12-21,29,173.48
2012-12-28,24,167.97
2013-01-04,30,181.07
2013-01-11,28,179.46
2013-01-18,30,167.97
2013-01-25,29,174.48
2013-02-01,29,172.88
2013-02-08,31,165.88
2013-02-15,33,164.93
2013-02-22,27,160.38
2013-03-01,28,171.73
2013-03-08,30,172.97
2013-03-15,27,171.84
2013-03-22,32,172.40
2013-03-29,22,
2013-04-05,29,185.41
2013-04-12,31,215.84
2013-04-19,39,212.58
2013-04-26,40,216.60
2013-05-03,39,266.16
2013-05-10,43,273.50
2013-05-17,39,266.97
2013-05-24,53,250.31
2013-05-31,51,241.88
2013-06-07,48,257.50
2013-06-14,54,236.93
2013-06-21,47,215.47
2013-06-28,53,224.88
2013-07-05,32,233.48
2013-07-12,32,266.00
2013-07-19,26,274.86
2013-07-26,38,269.21
2013-08-02,54,272.39
2013-08-09,48,250.01
2013-08-16,55,230.98
2013-08-23,27,238.85
2013-08-30,32,242.31
2013-09-06,32,267.57
2013-09-13,42,289.97
2013-09-20,57,300.80
2013-09-27,38,305.65
2013-10-04,34,308.60
2013-10-11,38,290.30
2013-10-18,39,303.56
2013-10-25,39,302.24
2013-11-01,43,285.79
2013-11-08,43,283.07
2013-11-15,40,280.00
2013-11-22,38,293.68
2013-11-29,30,293.86
2013-12-06,34,282.74
2013-12-13,29,269.59
2013-12-20,31,278.69
2013-12-27,32,277.04
2014-01-03,32,271.75
2014-01-10,34,274.38
2014-01-17,42,292.00
2014-01-24,32,279.61
2014-01-31,38,288.59
2014-02-07,36,299.79
2014-02-14,48,323.99
2014-02-21,36,334.98
2014-02-28,36,332.50
2014-03-07,44,328.11
2014-03-14,37,329.50
2014-03-21,39,310.79
2014-03-28,36,300.09
2014-04-04,44,285.34
2014-04-11,50,288.36
2014-04-18,34,
2014-04-25,41,284.42
2014-05-02,31,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
