Date,NRG Energy,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,20.05
2004-02-13,0,20.04
2004-02-20,0,19.54
2004-02-27,0,19.30
2004-03-05,0,19.85
2004-03-12,0,19.95
2004-03-19,0,20.65
2004-03-26,0,21.32
2004-04-02,0,22.50
2004-04-09,0,
2004-04-16,0,21.35
2004-04-23,0,21.00
2004-04-30,0,21.70
2004-05-07,0,19.69
2004-05-14,0,20.95
2004-05-21,58,20.42
2004-05-28,0,21.14
2004-06-04,0,21.60
2004-06-11,0,
2004-06-18,0,22.99
2004-06-25,0,23.90
2004-07-02,0,24.71
2004-07-09,0,26.00
2004-07-16,0,26.63
2004-07-23,0,25.98
2004-07-30,0,26.59
2004-08-06,0,27.64
2004-08-13,0,27.45
2004-08-20,0,27.50
2004-08-27,0,27.32
2004-09-03,0,27.20
2004-09-10,0,26.97
2004-09-17,0,26.05
2004-09-24,0,25.69
2004-10-01,0,27.36
2004-10-08,0,27.76
2004-10-15,0,27.45
2004-10-22,48,27.03
2004-10-29,51,27.74
2004-11-05,54,29.25
2004-11-12,57,31.24
2004-11-19,60,31.48
2004-11-26,63,32.00
2004-12-03,0,31.60
2004-12-10,0,32.00
2004-12-17,0,33.89
2004-12-24,0,
2004-12-31,0,36.05
2005-01-07,0,34.55
2005-01-14,42,34.23
2005-01-21,0,33.20
2005-01-28,0,34.48
2005-02-04,0,35.24
2005-02-11,0,36.75
2005-02-18,0,38.34
2005-02-25,0,38.67
2005-03-04,0,38.60
2005-03-11,0,37.35
2005-03-18,0,37.50
2005-03-25,0,
2005-04-01,0,34.72
2005-04-08,0,34.71
2005-04-15,42,32.29
2005-04-22,39,33.60
2005-04-29,38,31.10
2005-05-06,38,31.61
2005-05-13,38,31.80
2005-05-20,38,33.10
2005-05-27,38,35.22
2005-06-03,0,35.95
2005-06-10,0,35.93
2005-06-17,0,36.81
2005-06-24,0,37.00
2005-07-01,0,38.00
2005-07-08,0,37.66
2005-07-15,0,36.88
2005-07-22,0,38.15
2005-07-29,0,38.35
2005-08-05,49,40.01
2005-08-12,48,38.93
2005-08-19,36,38.56
2005-08-26,36,38.90
2005-09-02,36,40.87
2005-09-09,36,40.74
2005-09-16,36,40.89
2005-09-23,54,40.49
2005-09-30,57,42.60
2005-10-07,81,45.11
2005-10-14,51,44.72
2005-10-21,34,41.77
2005-10-28,34,42.75
2005-11-04,37,41.30
2005-11-11,0,38.20
2005-11-18,0,43.25
2005-11-25,0,45.25
2005-12-02,0,43.77
2005-12-09,0,44.43
2005-12-16,0,45.60
2005-12-23,39,46.22
2005-12-30,30,47.12
2006-01-06,30,46.13
2006-01-13,39,48.74
2006-01-20,45,48.26
2006-01-27,35,48.61
2006-02-03,40,47.30
2006-02-10,33,46.16
2006-02-17,33,45.89
2006-02-24,26,44.20
2006-03-03,26,44.09
2006-03-10,30,43.18
2006-03-17,40,46.22
2006-03-24,46,45.41
2006-03-31,29,45.22
2006-04-07,29,47.82
2006-04-14,29,
2006-04-21,43,47.94
2006-04-28,48,47.59
2006-05-05,25,48.69
2006-05-12,36,46.66
2006-05-19,24,43.21
2006-05-26,24,43.70
2006-06-02,47,51.87
2006-06-09,42,50.85
2006-06-16,42,48.45
2006-06-23,61,47.16
2006-06-30,27,48.18
2006-07-07,31,47.43
2006-07-14,34,47.16
2006-07-21,38,47.51
2006-07-28,42,49.82
2006-08-04,46,47.00
2006-08-11,35,48.11
2006-08-18,31,48.74
2006-08-25,27,50.35
2006-09-01,27,50.43
2006-09-08,29,50.46
2006-09-15,31,47.30
2006-09-22,33,47.23
2006-09-29,35,45.30
2006-10-06,36,45.16
2006-10-13,27,47.27
2006-10-20,36,47.74
2006-10-27,40,48.45
2006-11-03,44,53.13
2006-11-10,21,54.40
2006-11-17,28,53.79
2006-11-24,21,55.70
2006-12-01,34,57.51
2006-12-08,39,57.81
2006-12-15,30,57.58
2006-12-22,39,56.22
2006-12-29,28,56.01
2007-01-05,28,54.51
2007-01-12,28,55.97
2007-01-19,35,56.89
2007-01-26,35,58.37
2007-02-02,19,61.04
2007-02-09,30,60.10
2007-02-16,37,61.72
2007-02-23,21,63.52
2007-03-02,29,67.42
2007-03-09,57,69.95
2007-03-16,26,69.66
2007-03-23,26,72.59
2007-03-30,29,72.04
2007-04-06,28,
2007-04-13,27,77.96
2007-04-20,43,77.93
2007-04-27,39,78.88
2007-05-04,39,83.63
2007-05-11,23,84.21
2007-05-18,33,85.97
2007-05-25,28,83.82
2007-06-01,25,44.43
2007-06-08,18,42.32
2007-06-15,22,45.70
2007-06-22,30,42.41
2007-06-29,27,41.57
2007-07-06,21,42.99
2007-07-13,33,44.00
2007-07-20,29,43.74
2007-07-27,30,36.65
2007-08-03,27,39.18
2007-08-10,19,39.25
2007-08-17,29,36.83
2007-08-24,23,39.43
2007-08-31,22,38.09
2007-09-07,16,39.14
2007-09-14,27,39.12
2007-09-21,29,41.20
2007-09-28,64,42.29
2007-10-05,51,43.71
2007-10-12,35,45.40
2007-10-19,40,46.00
2007-10-26,18,44.80
2007-11-02,44,45.42
2007-11-09,40,41.74
2007-11-16,32,39.62
2007-11-23,22,39.14
2007-11-30,33,42.39
2007-12-07,41,43.33
2007-12-14,21,41.87
2007-12-21,28,43.21
2007-12-28,26,43.21
2008-01-04,18,41.42
2008-01-11,22,40.49
2008-01-18,25,37.48
2008-01-25,37,37.53
2008-02-01,26,39.58
2008-02-08,40,37.78
2008-02-15,28,39.18
2008-02-22,31,39.80
2008-02-29,41,41.27
2008-03-07,21,42.21
2008-03-14,20,41.25
2008-03-21,30,
2008-03-28,34,38.46
2008-04-04,42,40.22
2008-04-11,22,40.42
2008-04-18,23,44.43
2008-04-25,24,44.11
2008-05-02,24,43.13
2008-05-09,27,42.46
2008-05-16,26,43.80
2008-05-23,44,40.00
2008-05-30,36,41.59
2008-06-06,29,42.41
2008-06-13,30,43.82
2008-06-20,27,43.05
2008-06-27,27,42.28
2008-07-04,21,
2008-07-11,26,39.58
2008-07-18,15,36.69
2008-07-25,29,35.79
2008-08-01,36,36.26
2008-08-08,38,33.57
2008-08-15,32,37.15
2008-08-22,43,38.75
2008-08-29,29,37.64
2008-09-05,29,34.04
2008-09-12,29,33.39
2008-09-19,40,30.59
2008-09-26,31,26.41
2008-10-03,30,21.78
2008-10-10,36,15.17
2008-10-17,26,19.33
2008-10-24,100,20.20
2008-10-31,28,23.25
2008-11-07,29,23.86
2008-11-14,43,22.65
2008-11-21,28,19.00
2008-11-28,29,23.69
2008-12-05,32,23.50
2008-12-12,27,23.73
2008-12-19,23,21.67
2008-12-26,17,21.57
2009-01-02,24,23.64
2009-01-09,32,23.70
2009-01-16,20,23.86
2009-01-23,27,22.60
2009-01-30,27,23.36
2009-02-06,28,25.10
2009-02-13,30,22.32
2009-02-20,35,19.80
2009-02-27,35,18.90
2009-03-06,56,18.34
2009-03-13,36,17.21
2009-03-20,28,17.35
2009-03-27,34,17.59
2009-04-03,32,19.40
2009-04-10,25,
2009-04-17,30,17.89
2009-04-24,32,17.31
2009-05-01,34,18.98
2009-05-08,22,21.19
2009-05-15,29,19.58
2009-05-22,27,19.02
2009-05-29,20,22.50
2009-06-05,28,22.26
2009-06-12,28,24.37
2009-06-19,37,23.82
2009-06-26,28,23.80
2009-07-03,38,
2009-07-10,45,23.24
2009-07-17,30,24.39
2009-07-24,44,26.91
2009-07-31,33,27.21
2009-08-07,32,27.67
2009-08-14,35,28.95
2009-08-21,34,28.09
2009-08-28,31,27.76
2009-09-04,34,26.59
2009-09-11,28,26.75
2009-09-18,32,27.90
2009-09-25,43,26.89
2009-10-02,34,26.21
2009-10-09,29,27.57
2009-10-16,23,28.76
2009-10-23,30,26.90
2009-10-30,36,22.99
2009-11-06,35,23.76
2009-11-13,34,23.80
2009-11-20,34,23.81
2009-11-27,28,23.91
2009-12-04,24,24.34
2009-12-11,27,25.04
2009-12-18,18,25.45
2009-12-25,30,
2010-01-01,16,
2010-01-08,34,24.50
2010-01-15,28,24.40
2010-01-22,27,24.73
2010-01-29,42,24.11
2010-02-05,31,21.71
2010-02-12,35,22.06
2010-02-19,29,23.20
2010-02-26,33,21.84
2010-03-05,27,22.82
2010-03-12,27,22.19
2010-03-19,21,22.06
2010-03-26,25,20.25
2010-04-02,29,
2010-04-09,26,21.80
2010-04-16,24,21.85
2010-04-23,29,22.77
2010-04-30,31,24.17
2010-05-07,31,22.64
2010-05-14,25,22.71
2010-05-21,20,21.80
2010-05-28,21,23.35
2010-06-04,21,22.51
2010-06-11,27,22.94
2010-06-18,28,23.64
2010-06-25,26,21.85
2010-07-02,25,21.00
2010-07-09,22,22.63
2010-07-16,18,22.25
2010-07-23,24,22.89
2010-07-30,17,22.68
2010-08-06,27,22.99
2010-08-13,29,21.96
2010-08-20,29,20.73
2010-08-27,24,20.63
2010-09-03,22,21.65
2010-09-10,27,21.84
2010-09-17,27,21.54
2010-09-24,27,20.75
2010-10-01,24,21.09
2010-10-08,22,21.31
2010-10-15,18,20.86
2010-10-22,31,20.24
2010-10-29,22,19.91
2010-11-05,19,20.10
2010-11-12,23,19.61
2010-11-19,25,19.35
2010-11-26,24,19.62
2010-12-03,25,19.15
2010-12-10,25,18.70
2010-12-17,19,18.67
2010-12-24,21,
2010-12-31,20,19.54
2011-01-07,23,19.63
2011-01-14,24,20.24
2011-01-21,20,20.61
2011-01-28,32,20.99
2011-02-04,19,20.73
2011-02-11,23,20.90
2011-02-18,28,20.89
2011-02-25,29,19.55
2011-03-04,28,19.38
2011-03-11,22,19.79
2011-03-18,18,20.72
2011-03-25,24,21.33
2011-04-01,27,21.65
2011-04-08,28,21.52
2011-04-15,26,21.66
2011-04-22,32,
2011-04-29,24,24.20
2011-05-06,26,24.09
2011-05-13,23,24.52
2011-05-20,16,25.27
2011-05-27,26,24.59
2011-06-03,21,23.89
2011-06-10,25,23.79
2011-06-17,20,23.31
2011-06-24,34,22.80
2011-07-01,25,24.80
2011-07-08,21,24.20
2011-07-15,30,24.30
2011-07-22,15,24.75
2011-07-29,25,24.52
2011-08-05,17,22.16
2011-08-12,20,22.27
2011-08-19,27,21.38
2011-08-26,24,21.91
2011-09-02,16,23.16
2011-09-09,20,22.71
2011-09-16,22,23.44
2011-09-23,27,21.76
2011-09-30,29,21.21
2011-10-07,28,20.40
2011-10-14,22,21.14
2011-10-21,20,21.43
2011-10-28,21,21.71
2011-11-04,28,21.52
2011-11-11,19,21.91
2011-11-18,22,20.52
2011-11-25,20,18.71
2011-12-02,21,19.37
2011-12-09,26,18.93
2011-12-16,21,18.31
2011-12-23,16,18.57
2011-12-30,14,18.12
2012-01-06,21,17.69
2012-01-13,20,17.69
2012-01-20,18,16.15
2012-01-27,18,16.68
2012-02-03,21,17.26
2012-02-10,24,17.32
2012-02-17,22,17.50
2012-02-24,19,17.85
2012-03-02,22,17.29
2012-03-09,27,16.73
2012-03-16,21,16.77
2012-03-23,26,16.71
2012-03-30,20,15.67
2012-04-06,23,
2012-04-13,17,14.58
2012-04-20,19,15.39
2012-04-27,23,16.63
2012-05-04,25,15.47
2012-05-11,22,16.29
2012-05-18,22,15.44
2012-05-25,21,15.64
2012-06-01,20,14.84
2012-06-08,18,15.93
2012-06-15,18,15.02
2012-06-22,20,15.61
2012-06-29,22,17.36
2012-07-06,13,17.14
2012-07-13,25,17.60
2012-07-20,23,18.05
2012-07-27,37,19.78
2012-08-03,22,19.41
2012-08-10,19,20.86
2012-08-17,21,21.54
2012-08-24,21,21.18
2012-08-31,19,21.34
2012-09-07,18,21.78
2012-09-14,17,22.10
2012-09-21,18,21.89
2012-09-28,19,21.39
2012-10-05,16,22.76
2012-10-12,20,23.02
2012-10-19,20,23.28
2012-10-26,23,21.94
2012-11-02,15,21.21
2012-11-09,19,20.53
2012-11-16,16,19.78
2012-11-23,18,19.95
2012-11-30,19,21.10
2012-12-07,18,21.88
2012-12-14,18,23.00
2012-12-21,16,22.87
2012-12-28,14,22.59
2013-01-04,19,23.18
2013-01-11,17,23.56
2013-01-18,28,23.89
2013-01-25,24,23.59
2013-02-01,20,24.05
2013-02-08,22,24.13
2013-02-15,19,23.94
2013-02-22,20,24.03
2013-03-01,19,24.00
2013-03-08,28,24.88
2013-03-15,22,26.09
2013-03-22,23,25.78
2013-03-29,24,
2013-04-05,19,26.35
2013-04-12,20,27.14
2013-04-19,20,27.26
2013-04-26,20,27.92
2013-05-03,23,27.61
2013-05-10,20,27.18
2013-05-17,18,28.01
2013-05-24,19,27.17
2013-05-31,13,25.52
2013-06-07,16,27.10
2013-06-14,22,27.00
2013-06-21,17,25.42
2013-06-28,24,26.70
2013-07-05,16,26.14
2013-07-12,24,28.64
2013-07-19,24,28.46
2013-07-26,21,27.67
2013-08-02,18,27.04
2013-08-09,21,26.35
2013-08-16,19,26.15
2013-08-23,23,26.32
2013-08-30,19,26.25
2013-09-06,16,26.06
2013-09-13,25,27.14
2013-09-20,15,27.53
2013-09-27,21,27.72
2013-10-04,17,27.43
2013-10-11,22,28.13
2013-10-18,27,29.30
2013-10-25,26,30.11
2013-11-01,23,28.39
2013-11-08,26,28.32
2013-11-15,23,27.27
2013-11-22,23,27.22
2013-11-29,15,26.46
2013-12-06,19,28.59
2013-12-13,20,27.95
2013-12-20,17,28.40
2013-12-27,10,28.59
2014-01-03,17,28.66
2014-01-10,24,28.06
2014-01-17,22,28.07
2014-01-24,25,26.82
2014-01-31,21,27.85
2014-02-07,25,27.61
2014-02-14,26,28.43
2014-02-21,37,28.56
2014-02-28,23,29.07
2014-03-07,25,28.70
2014-03-14,29,29.97
2014-03-21,31,30.38
2014-03-28,28,31.55
2014-04-04,35,32.66
2014-04-11,32,31.72
2014-04-18,23,
2014-04-25,29,33.16
2014-05-02,23,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
