Date,Sherwin-Williams,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,50,34.84
2004-02-13,46,35.33
2004-02-20,0,35.10
2004-02-27,0,35.00
2004-03-05,0,35.69
2004-03-12,0,34.68
2004-03-19,0,34.43
2004-03-26,100,36.55
2004-04-02,43,37.95
2004-04-09,56,
2004-04-16,70,39.20
2004-04-23,62,38.67
2004-04-30,45,38.05
2004-05-07,45,36.61
2004-05-14,45,37.12
2004-05-21,61,37.79
2004-05-28,38,39.30
2004-06-04,39,38.84
2004-06-11,54,
2004-06-18,49,39.96
2004-06-25,58,41.20
2004-07-02,51,40.90
2004-07-09,51,40.65
2004-07-16,74,40.72
2004-07-23,55,40.25
2004-07-30,55,40.38
2004-08-06,62,38.23
2004-08-13,69,38.23
2004-08-20,42,39.85
2004-08-27,47,40.89
2004-09-03,50,40.08
2004-09-10,46,40.52
2004-09-17,34,42.51
2004-09-24,75,42.28
2004-10-01,36,43.87
2004-10-08,33,42.77
2004-10-15,42,41.62
2004-10-22,51,41.79
2004-10-29,41,42.72
2004-11-05,36,44.93
2004-11-12,36,45.44
2004-11-19,36,44.54
2004-11-26,33,45.18
2004-12-03,33,44.56
2004-12-10,33,44.16
2004-12-17,34,43.28
2004-12-24,37,
2004-12-31,39,44.63
2005-01-07,42,42.72
2005-01-14,45,43.77
2005-01-21,42,44.39
2005-01-28,33,42.68
2005-02-04,33,45.51
2005-02-11,34,45.78
2005-02-18,48,45.07
2005-02-25,31,44.66
2005-03-04,36,46.16
2005-03-11,41,45.14
2005-03-18,36,44.69
2005-03-25,48,
2005-04-01,29,43.66
2005-04-08,46,42.91
2005-04-15,50,44.50
2005-04-22,25,43.17
2005-04-29,48,44.57
2005-05-06,42,43.68
2005-05-13,31,42.06
2005-05-20,29,43.70
2005-05-27,53,45.00
2005-06-03,46,45.05
2005-06-10,46,45.02
2005-06-17,34,46.63
2005-06-24,46,45.49
2005-07-01,50,47.13
2005-07-08,54,47.16
2005-07-15,48,48.00
2005-07-22,53,48.42
2005-07-29,47,47.61
2005-08-05,48,47.11
2005-08-12,66,47.25
2005-08-19,40,46.25
2005-08-26,39,45.44
2005-09-02,47,46.03
2005-09-09,37,46.00
2005-09-16,45,46.07
2005-09-23,33,44.00
2005-09-30,42,44.07
2005-10-07,40,43.43
2005-10-14,38,43.29
2005-10-21,29,43.63
2005-10-28,35,42.23
2005-11-04,33,42.02
2005-11-11,26,42.20
2005-11-18,39,43.72
2005-11-25,24,44.20
2005-12-02,40,44.03
2005-12-09,29,43.69
2005-12-16,26,43.93
2005-12-23,26,45.09
2005-12-30,24,45.42
2006-01-06,24,46.14
2006-01-13,24,46.01
2006-01-20,28,48.75
2006-01-27,46,52.53
2006-02-03,44,52.51
2006-02-10,36,53.10
2006-02-17,25,52.69
2006-02-24,49,41.29
2006-03-03,37,44.43
2006-03-10,34,44.75
2006-03-17,41,48.27
2006-03-24,40,50.44
2006-03-31,32,49.44
2006-04-07,31,50.65
2006-04-14,49,
2006-04-21,37,52.67
2006-04-28,26,50.94
2006-05-05,34,52.01
2006-05-12,43,49.76
2006-05-19,41,48.75
2006-05-26,57,48.56
2006-06-02,36,49.18
2006-06-09,39,46.46
2006-06-16,35,46.39
2006-06-23,42,46.41
2006-06-30,48,47.48
2006-07-07,50,47.32
2006-07-14,39,45.52
2006-07-21,31,47.87
2006-07-28,41,50.11
2006-08-04,64,51.53
2006-08-11,41,49.50
2006-08-18,45,50.70
2006-08-25,30,49.41
2006-09-01,34,51.41
2006-09-08,42,52.75
2006-09-15,48,54.80
2006-09-22,47,53.50
2006-09-29,31,55.78
2006-10-06,39,57.86
2006-10-13,26,59.29
2006-10-20,29,58.56
2006-10-27,26,57.96
2006-11-03,33,57.75
2006-11-10,35,60.80
2006-11-17,20,62.43
2006-11-24,23,62.48
2006-12-01,27,62.20
2006-12-08,27,62.44
2006-12-15,18,63.48
2006-12-22,17,62.60
2006-12-29,19,63.58
2007-01-05,27,61.96
2007-01-12,19,63.84
2007-01-19,24,64.29
2007-01-26,25,66.71
2007-02-02,23,68.39
2007-02-09,34,69.77
2007-02-16,26,68.67
2007-02-23,22,69.99
2007-03-02,29,64.87
2007-03-09,35,66.43
2007-03-16,34,65.71
2007-03-23,34,68.21
2007-03-30,34,66.04
2007-04-06,23,
2007-04-13,24,64.92
2007-04-20,21,65.58
2007-04-27,31,65.65
2007-05-04,20,64.90
2007-05-11,27,66.60
2007-05-18,25,67.53
2007-05-25,34,66.90
2007-06-01,29,67.31
2007-06-08,29,65.95
2007-06-15,29,67.67
2007-06-22,28,66.56
2007-06-29,44,66.47
2007-07-06,32,68.46
2007-07-13,35,67.60
2007-07-20,39,71.76
2007-07-27,28,69.03
2007-08-03,24,69.06
2007-08-10,29,69.14
2007-08-17,31,66.59
2007-08-24,27,70.26
2007-08-31,32,69.01
2007-09-07,30,66.53
2007-09-14,24,67.02
2007-09-21,30,65.87
2007-09-28,26,65.71
2007-10-05,34,66.13
2007-10-12,22,65.07
2007-10-19,30,63.34
2007-10-26,28,64.09
2007-11-02,29,61.30
2007-11-09,23,61.84
2007-11-16,22,61.61
2007-11-23,22,60.62
2007-11-30,17,62.83
2007-12-07,19,62.23
2007-12-14,21,59.79
2007-12-21,15,58.69
2007-12-28,15,57.65
2008-01-04,25,54.08
2008-01-11,22,55.49
2008-01-18,22,53.25
2008-01-25,18,56.11
2008-02-01,22,58.21
2008-02-08,27,54.95
2008-02-15,21,53.83
2008-02-22,22,54.60
2008-02-29,22,51.78
2008-03-07,29,50.13
2008-03-14,16,52.28
2008-03-21,19,
2008-03-28,21,50.50
2008-04-04,26,54.76
2008-04-11,33,53.97
2008-04-18,23,56.16
2008-04-25,25,56.00
2008-05-02,36,57.32
2008-05-09,24,56.57
2008-05-16,24,59.60
2008-05-23,30,56.11
2008-05-30,27,56.15
2008-06-06,32,50.19
2008-06-13,24,50.41
2008-06-20,26,49.91
2008-06-27,30,46.87
2008-07-04,28,
2008-07-11,20,47.19
2008-07-18,29,54.12
2008-07-25,24,52.95
2008-08-01,26,52.36
2008-08-08,20,57.45
2008-08-15,20,59.59
2008-08-22,34,58.33
2008-08-29,19,58.55
2008-09-05,18,60.21
2008-09-12,20,61.76
2008-09-19,21,63.36
2008-09-26,20,61.72
2008-10-03,20,52.75
2008-10-10,18,51.30
2008-10-17,15,56.18
2008-10-24,9,55.08
2008-10-31,14,56.91
2008-11-07,14,54.47
2008-11-14,18,54.50
2008-11-21,16,53.30
2008-11-28,12,58.93
2008-12-05,14,58.73
2008-12-12,18,55.53
2008-12-19,8,55.33
2008-12-26,7,55.80
2009-01-02,8,59.99
2009-01-09,15,59.40
2009-01-16,12,57.38
2009-01-23,15,46.97
2009-01-30,9,47.75
2009-02-06,18,49.94
2009-02-13,22,46.94
2009-02-20,21,46.03
2009-02-27,16,45.95
2009-03-06,21,42.98
2009-03-13,18,47.35
2009-03-20,18,45.02
2009-03-27,20,51.31
2009-04-03,20,53.00
2009-04-10,18,
2009-04-17,13,56.69
2009-04-24,22,58.50
2009-05-01,20,55.50
2009-05-08,17,56.93
2009-05-15,15,53.61
2009-05-22,23,53.54
2009-05-29,19,52.80
2009-06-05,24,54.25
2009-06-12,15,55.10
2009-06-19,17,53.58
2009-06-26,20,54.11
2009-07-03,18,
2009-07-10,15,52.22
2009-07-17,13,56.52
2009-07-24,19,56.79
2009-07-31,19,57.75
2009-08-07,9,62.01
2009-08-14,17,60.46
2009-08-21,16,62.08
2009-08-28,16,60.93
2009-09-04,13,60.39
2009-09-11,10,59.28
2009-09-18,12,62.04
2009-09-25,14,59.60
2009-10-02,13,58.84
2009-10-09,15,61.54
2009-10-16,11,62.65
2009-10-23,13,58.26
2009-10-30,11,57.04
2009-11-06,13,58.94
2009-11-13,10,60.27
2009-11-20,7,59.94
2009-11-27,6,61.13
2009-12-04,9,61.85
2009-12-11,11,62.75
2009-12-18,8,61.81
2009-12-25,5,
2010-01-01,7,
2010-01-08,7,60.46
2010-01-15,15,59.19
2010-01-22,13,58.00
2010-01-29,10,63.35
2010-02-05,11,63.90
2010-02-12,11,63.95
2010-02-19,13,65.37
2010-02-26,13,63.38
2010-03-05,11,65.16
2010-03-12,11,65.54
2010-03-19,13,65.30
2010-03-26,11,66.84
2010-04-02,12,
2010-04-09,12,71.21
2010-04-16,11,72.96
2010-04-23,17,79.54
2010-04-30,16,78.07
2010-05-07,14,75.95
2010-05-14,9,77.74
2010-05-21,15,75.72
2010-05-28,17,76.63
2010-06-04,9,74.91
2010-06-11,15,76.64
2010-06-18,14,76.18
2010-06-25,12,71.48
2010-07-02,12,69.43
2010-07-09,14,72.23
2010-07-16,13,69.44
2010-07-23,15,68.99
2010-07-30,14,69.15
2010-08-06,14,69.69
2010-08-13,10,69.10
2010-08-20,15,68.34
2010-08-27,12,70.24
2010-09-03,13,72.32
2010-09-10,13,72.27
2010-09-17,15,72.47
2010-09-24,12,75.26
2010-10-01,14,74.04
2010-10-08,12,73.48
2010-10-15,11,72.00
2010-10-22,14,72.98
2010-10-29,8,72.97
2010-11-05,12,73.27
2010-11-12,13,73.06
2010-11-19,13,73.38
2010-11-26,9,74.74
2010-12-03,11,77.03
2010-12-10,9,77.76
2010-12-17,11,82.02
2010-12-24,11,
2010-12-31,10,83.75
2011-01-07,8,82.67
2011-01-14,8,84.28
2011-01-21,9,82.29
2011-01-28,9,84.46
2011-02-04,9,84.11
2011-02-11,10,85.83
2011-02-18,14,85.03
2011-02-25,10,81.70
2011-03-04,10,80.92
2011-03-11,9,82.76
2011-03-18,11,80.85
2011-03-25,10,83.85
2011-04-01,15,85.39
2011-04-08,13,84.98
2011-04-15,9,85.70
2011-04-22,16,
2011-04-29,15,82.29
2011-05-06,11,84.02
2011-05-13,12,86.20
2011-05-20,14,85.79
2011-05-27,15,85.75
2011-06-03,13,83.97
2011-06-10,15,81.57
2011-06-17,13,82.50
2011-06-24,18,84.13
2011-07-01,17,85.69
2011-07-08,13,85.09
2011-07-15,13,83.20
2011-07-22,19,79.64
2011-07-29,15,77.17
2011-08-05,10,74.93
2011-08-12,11,75.76
2011-08-19,13,69.57
2011-08-26,13,73.67
2011-09-02,10,72.61
2011-09-09,14,72.86
2011-09-16,11,75.37
2011-09-23,13,71.38
2011-09-30,11,74.32
2011-10-07,11,79.64
2011-10-14,15,80.04
2011-10-21,12,81.99
2011-10-28,13,84.24
2011-11-04,12,86.28
2011-11-11,14,86.58
2011-11-18,8,84.12
2011-11-25,9,83.64
2011-12-02,10,85.87
2011-12-09,12,86.36
2011-12-16,10,84.64
2011-12-23,6,89.68
2011-12-30,6,89.27
2012-01-06,10,92.50
2012-01-13,11,95.13
2012-01-20,6,95.59
2012-01-27,13,97.20
2012-02-03,12,97.77
2012-02-10,13,98.37
2012-02-17,12,100.32
2012-02-24,11,101.06
2012-03-02,12,102.44
2012-03-09,13,106.03
2012-03-16,13,106.64
2012-03-23,12,107.60
2012-03-30,12,108.67
2012-04-06,12,
2012-04-13,12,116.62
2012-04-20,13,118.39
2012-04-27,17,120.99
2012-05-04,12,121.11
2012-05-11,13,122.72
2012-05-18,13,116.07
2012-05-25,15,126.31
2012-06-01,14,124.61
2012-06-08,14,131.42
2012-06-15,17,129.54
2012-06-22,17,127.87
2012-06-29,19,132.35
2012-07-06,13,132.82
2012-07-13,15,130.14
2012-07-20,17,131.57
2012-07-27,13,135.24
2012-08-03,17,136.08
2012-08-10,19,141.44
2012-08-17,15,140.67
2012-08-24,19,142.63
2012-08-31,15,143.08
2012-09-07,14,143.23
2012-09-14,15,146.22
2012-09-21,18,150.06
2012-09-28,13,148.91
2012-10-05,14,155.69
2012-10-12,14,149.22
2012-10-19,11,150.51
2012-10-26,10,139.63
2012-11-02,8,142.00
2012-11-09,12,140.84
2012-11-16,14,151.57
2012-11-23,13,158.59
2012-11-30,10,152.52
2012-12-07,15,148.94
2012-12-14,7,148.23
2012-12-21,8,151.53
2012-12-28,7,151.04
2013-01-04,9,158.80
2013-01-11,12,161.28
2013-01-18,13,164.02
2013-01-25,10,165.51
2013-02-01,10,163.84
2013-02-08,13,163.77
2013-02-15,12,166.70
2013-02-22,10,157.85
2013-03-01,10,162.48
2013-03-08,12,165.88
2013-03-15,12,168.68
2013-03-22,12,168.17
2013-03-29,12,
2013-04-05,12,165.82
2013-04-12,14,170.74
2013-04-19,16,179.04
2013-04-26,14,183.22
2013-05-03,10,187.98
2013-05-10,11,188.00
2013-05-17,15,190.82
2013-05-24,15,189.20
2013-05-31,16,188.53
2013-06-07,13,183.26
2013-06-14,13,183.09
2013-06-21,13,173.10
2013-06-28,14,176.60
2013-07-05,13,182.48
2013-07-12,18,187.36
2013-07-19,18,172.86
2013-07-26,14,172.83
2013-08-02,18,179.05
2013-08-09,13,177.07
2013-08-16,14,168.69
2013-08-23,15,172.52
2013-08-30,17,172.40
2013-09-06,12,172.69
2013-09-13,13,174.92
2013-09-20,15,180.11
2013-09-27,13,180.43
2013-10-04,12,186.48
2013-10-11,13,180.17
2013-10-18,10,184.56
2013-10-25,14,195.07
2013-11-01,12,184.67
2013-11-08,13,185.51
2013-11-15,14,186.87
2013-11-22,12,187.57
2013-11-29,9,183.03
2013-12-06,11,184.83
2013-12-13,8,177.97
2013-12-20,11,182.15
2013-12-27,6,182.50
2014-01-03,7,182.80
2014-01-10,12,192.84
2014-01-17,10,194.12
2014-01-24,11,190.80
2014-01-31,11,183.26
2014-02-07,10,182.56
2014-02-14,11,191.17
2014-02-21,12,193.59
2014-02-28,12,200.48
2014-03-07,12,206.71
2014-03-14,13,202.08
2014-03-21,14,200.41
2014-03-28,11,194.69
2014-04-04,14,193.89
2014-04-11,15,188.53
2014-04-18,17,
2014-04-25,13,200.73
2014-05-02,13,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
