Date,SPG,Price
2004-01-09,22,
2004-01-16,21,
2004-01-23,18,
2004-01-30,26,
2004-02-06,27,53.82
2004-02-13,17,53.42
2004-02-20,31,53.45
2004-02-27,28,54.49
2004-03-05,18,56.29
2004-03-12,28,55.35
2004-03-19,19,56.93
2004-03-26,21,57.10
2004-04-02,20,57.80
2004-04-09,19,
2004-04-16,23,50.93
2004-04-23,21,49.44
2004-04-30,16,48.21
2004-05-07,23,45.78
2004-05-14,18,46.34
2004-05-21,27,47.41
2004-05-28,24,51.57
2004-06-04,25,51.40
2004-06-11,24,
2004-06-18,21,52.30
2004-06-25,32,52.10
2004-07-02,19,52.21
2004-07-09,15,51.48
2004-07-16,26,52.71
2004-07-23,9,49.95
2004-07-30,26,51.61
2004-08-06,16,53.00
2004-08-13,29,52.63
2004-08-20,27,54.34
2004-08-27,21,55.36
2004-09-03,20,56.15
2004-09-10,24,54.44
2004-09-17,25,54.52
2004-09-24,24,53.60
2004-10-01,21,54.77
2004-10-08,22,55.70
2004-10-15,26,56.66
2004-10-22,19,57.57
2004-10-29,22,58.32
2004-11-05,31,57.70
2004-11-12,20,61.71
2004-11-19,22,59.66
2004-11-26,21,61.46
2004-12-03,21,63.75
2004-12-10,18,64.51
2004-12-17,17,64.67
2004-12-24,20,
2004-12-31,19,64.67
2005-01-07,25,61.26
2005-01-14,23,62.11
2005-01-21,17,62.05
2005-01-28,21,59.53
2005-02-04,30,62.68
2005-02-11,18,64.92
2005-02-18,18,63.33
2005-02-25,26,63.33
2005-03-04,24,63.26
2005-03-11,22,60.57
2005-03-18,20,62.15
2005-03-25,24,
2005-04-01,24,60.26
2005-04-08,26,60.25
2005-04-15,24,61.51
2005-04-22,25,62.89
2005-04-29,32,66.07
2005-05-06,26,66.20
2005-05-13,19,66.63
2005-05-20,25,70.36
2005-05-27,19,67.97
2005-06-03,26,70.15
2005-06-10,27,71.45
2005-06-17,30,73.83
2005-06-24,45,71.75
2005-07-01,39,73.51
2005-07-08,27,75.53
2005-07-15,25,76.48
2005-07-22,36,76.81
2005-07-29,29,79.74
2005-08-05,30,75.96
2005-08-12,26,76.37
2005-08-19,26,75.06
2005-08-26,28,74.62
2005-09-02,24,76.71
2005-09-09,29,78.22
2005-09-16,30,75.11
2005-09-23,33,72.31
2005-09-30,26,74.12
2005-10-07,24,69.34
2005-10-14,27,67.92
2005-10-21,27,67.90
2005-10-28,22,70.85
2005-11-04,24,70.40
2005-11-11,22,75.70
2005-11-18,24,77.20
2005-11-25,20,78.04
2005-12-02,22,78.33
2005-12-09,26,77.95
2005-12-16,21,78.90
2005-12-23,24,78.35
2005-12-30,18,76.63
2006-01-06,25,80.57
2006-01-13,28,80.57
2006-01-20,20,80.75
2006-01-27,29,84.03
2006-02-03,21,81.51
2006-02-10,25,79.91
2006-02-17,24,83.40
2006-02-24,26,83.68
2006-03-03,27,81.98
2006-03-10,23,83.29
2006-03-17,26,88.46
2006-03-24,22,84.93
2006-03-31,30,84.14
2006-04-07,28,81.15
2006-04-14,28,
2006-04-21,26,83.23
2006-04-28,29,81.88
2006-05-05,29,82.88
2006-05-12,27,80.40
2006-05-19,23,77.58
2006-05-26,24,79.71
2006-06-02,28,82.03
2006-06-09,23,82.64
2006-06-16,26,80.65
2006-06-23,30,79.12
2006-06-30,27,82.94
2006-07-07,23,83.47
2006-07-14,27,82.31
2006-07-21,27,83.00
2006-07-28,32,85.82
2006-08-04,30,83.88
2006-08-11,32,81.93
2006-08-18,27,84.04
2006-08-25,23,85.91
2006-09-01,23,84.91
2006-09-08,25,86.62
2006-09-15,27,91.69
2006-09-22,27,91.10
2006-09-29,25,90.62
2006-10-06,28,93.84
2006-10-13,26,95.34
2006-10-20,26,95.87
2006-10-27,25,96.81
2006-11-03,28,94.11
2006-11-10,25,94.78
2006-11-17,24,95.45
2006-11-24,27,101.92
2006-12-01,24,101.74
2006-12-08,32,101.44
2006-12-15,23,100.49
2006-12-22,30,98.10
2006-12-29,23,101.29
2007-01-05,26,99.32
2007-01-12,26,105.35
2007-01-19,27,109.53
2007-01-26,30,112.18
2007-02-02,24,114.96
2007-02-09,31,118.22
2007-02-16,30,118.24
2007-02-23,28,117.43
2007-03-02,26,108.75
2007-03-09,27,110.93
2007-03-16,25,109.49
2007-03-23,26,114.55
2007-03-30,29,111.25
2007-04-06,26,
2007-04-13,25,113.10
2007-04-20,26,114.42
2007-04-27,26,117.10
2007-05-04,28,113.35
2007-05-11,27,112.49
2007-05-18,33,103.31
2007-05-25,34,101.88
2007-06-01,26,108.02
2007-06-08,29,101.78
2007-06-15,29,99.14
2007-06-22,32,94.95
2007-06-29,30,93.04
2007-07-06,29,95.94
2007-07-13,31,94.27
2007-07-20,30,91.66
2007-07-27,30,84.90
2007-08-03,32,85.03
2007-08-10,31,90.99
2007-08-17,30,91.53
2007-08-24,35,94.03
2007-08-31,38,94.92
2007-09-07,38,92.12
2007-09-14,34,96.16
2007-09-21,28,99.87
2007-09-28,33,100.00
2007-10-05,28,108.45
2007-10-12,29,104.43
2007-10-19,29,96.35
2007-10-26,29,98.48
2007-11-02,28,99.17
2007-11-09,32,92.76
2007-11-16,32,94.31
2007-11-23,26,90.75
2007-11-30,27,98.45
2007-12-07,32,97.62
2007-12-14,29,92.18
2007-12-21,30,90.10
2007-12-28,29,87.09
2008-01-04,31,79.56
2008-01-11,28,82.03
2008-01-18,27,78.20
2008-01-25,29,86.59
2008-02-01,30,95.50
2008-02-08,34,83.86
2008-02-15,26,84.51
2008-02-22,29,85.88
2008-02-29,29,83.80
2008-03-07,31,84.12
2008-03-14,28,86.23
2008-03-21,28,
2008-03-28,29,92.34
2008-04-04,33,100.27
2008-04-11,29,96.98
2008-04-18,37,102.48
2008-04-25,30,104.60
2008-05-02,35,103.79
2008-05-09,30,99.53
2008-05-16,35,103.50
2008-05-23,33,97.52
2008-05-30,32,99.36
2008-06-06,33,97.72
2008-06-13,32,98.09
2008-06-20,34,95.09
2008-06-27,30,90.82
2008-07-04,32,
2008-07-11,34,86.34
2008-07-18,35,90.51
2008-07-25,34,90.59
2008-08-01,32,91.32
2008-08-08,36,96.81
2008-08-15,37,97.60
2008-08-22,29,95.53
2008-08-29,32,94.88
2008-09-05,30,93.76
2008-09-12,29,98.05
2008-09-19,30,100.99
2008-09-26,28,99.70
2008-10-03,29,83.98
2008-10-10,33,78.51
2008-10-17,33,67.15
2008-10-24,31,54.11
2008-10-31,32,67.03
2008-11-07,29,67.95
2008-11-14,32,52.20
2008-11-21,32,38.38
2008-11-28,32,47.50
2008-12-05,29,52.21
2008-12-12,31,52.00
2008-12-19,30,54.66
2008-12-26,26,51.96
2009-01-02,26,51.49
2009-01-09,33,46.93
2009-01-16,35,45.62
2009-01-23,33,44.74
2009-01-30,35,42.98
2009-02-06,34,45.86
2009-02-13,32,38.05
2009-02-20,33,36.22
2009-02-27,35,33.10
2009-03-06,34,26.19
2009-03-13,31,34.73
2009-03-20,36,32.80
2009-03-27,33,33.65
2009-04-03,35,41.30
2009-04-10,30,
2009-04-17,34,49.34
2009-04-24,37,50.65
2009-05-01,30,47.46
2009-05-08,36,53.93
2009-05-15,37,46.92
2009-05-22,38,48.45
2009-05-29,31,53.47
2009-06-05,34,53.51
2009-06-12,33,54.13
2009-06-19,37,52.92
2009-06-26,33,51.92
2009-07-03,36,
2009-07-10,35,46.24
2009-07-17,36,49.96
2009-07-24,38,53.67
2009-07-31,37,55.72
2009-08-07,38,66.67
2009-08-14,41,62.69
2009-08-21,35,62.21
2009-08-28,34,64.77
2009-09-04,35,61.16
2009-09-11,36,67.33
2009-09-18,34,73.97
2009-09-25,31,68.03
2009-10-02,30,66.03
2009-10-09,32,69.40
2009-10-16,31,67.46
2009-10-23,31,68.84
2009-10-30,28,67.89
2009-11-06,30,68.22
2009-11-13,31,72.29
2009-11-20,32,72.56
2009-11-27,31,69.73
2009-12-04,28,75.80
2009-12-11,29,76.75
2009-12-18,28,77.78
2009-12-25,29,
2010-01-01,30,
2010-01-08,32,76.63
2010-01-15,32,74.89
2010-01-22,31,70.59
2010-01-29,31,72.00
2010-02-05,34,73.36
2010-02-12,28,72.00
2010-02-19,29,77.72
2010-02-26,33,78.29
2010-03-05,35,79.43
2010-03-12,31,82.08
2010-03-19,32,83.54
2010-03-26,33,85.01
2010-04-02,34,
2010-04-09,35,86.09
2010-04-16,35,82.27
2010-04-23,37,89.56
2010-04-30,38,89.02
2010-05-07,35,85.68
2010-05-14,37,86.70
2010-05-21,37,84.04
2010-05-28,42,85.03
2010-06-04,40,81.50
2010-06-11,38,87.08
2010-06-18,38,89.41
2010-06-25,40,86.52
2010-07-02,43,79.08
2010-07-09,48,82.66
2010-07-16,44,82.23
2010-07-23,48,87.31
2010-07-30,48,89.22
2010-08-06,49,92.84
2010-08-13,48,89.26
2010-08-20,45,88.97
2010-08-27,45,90.52
2010-09-03,45,96.48
2010-09-10,46,94.85
2010-09-17,46,95.32
2010-09-24,42,95.24
2010-10-01,41,93.59
2010-10-08,43,95.56
2010-10-15,42,97.48
2010-10-22,42,97.69
2010-10-29,41,96.02
2010-11-05,45,105.77
2010-11-12,44,100.40
2010-11-19,48,98.17
2010-11-26,43,98.84
2010-12-03,43,102.08
2010-12-10,43,98.95
2010-12-17,44,95.43
2010-12-24,39,
2010-12-31,41,99.49
2011-01-07,46,96.95
2011-01-14,45,98.94
2011-01-21,42,99.53
2011-01-28,47,99.97
2011-02-04,42,103.47
2011-02-11,44,107.16
2011-02-18,43,107.94
2011-02-25,42,106.98
2011-03-04,44,106.65
2011-03-11,44,106.86
2011-03-18,43,103.88
2011-03-25,49,104.64
2011-04-01,51,107.11
2011-04-08,49,105.65
2011-04-15,53,108.73
2011-04-22,50,
2011-04-29,47,114.54
2011-05-06,52,114.91
2011-05-13,50,115.27
2011-05-20,51,114.39
2011-05-27,52,116.25
2011-06-03,49,115.33
2011-06-10,53,110.89
2011-06-17,53,114.00
2011-06-24,52,112.44
2011-07-01,55,118.57
2011-07-08,55,121.17
2011-07-15,56,118.79
2011-07-22,53,121.85
2011-07-29,59,120.51
2011-08-05,53,108.84
2011-08-12,57,114.26
2011-08-19,53,110.26
2011-08-26,54,115.16
2011-09-02,50,114.59
2011-09-09,51,115.84
2011-09-16,52,120.70
2011-09-23,50,112.71
2011-09-30,54,109.98
2011-10-07,54,109.50
2011-10-14,51,115.89
2011-10-21,53,120.70
2011-10-28,52,129.43
2011-11-04,51,128.84
2011-11-11,52,127.97
2011-11-18,50,123.21
2011-11-25,47,116.33
2011-12-02,49,122.80
2011-12-09,52,124.30
2011-12-16,49,123.34
2011-12-23,51,130.26
2011-12-30,47,128.94
2012-01-06,61,126.82
2012-01-13,54,126.92
2012-01-20,53,131.66
2012-01-27,51,136.69
2012-02-03,54,138.73
2012-02-10,52,136.76
2012-02-17,54,137.76
2012-02-24,58,136.66
2012-03-02,55,137.25
2012-03-09,57,136.45
2012-03-16,55,141.90
2012-03-23,53,143.62
2012-03-30,54,145.68
2012-04-06,56,
2012-04-13,53,144.74
2012-04-20,59,150.11
2012-04-27,59,155.33
2012-05-04,57,154.19
2012-05-11,56,156.08
2012-05-18,55,144.34
2012-05-25,59,148.12
2012-06-01,61,143.51
2012-06-08,58,150.61
2012-06-15,62,149.15
2012-06-22,63,150.18
2012-06-29,65,155.66
2012-07-06,62,157.40
2012-07-13,62,158.56
2012-07-20,61,156.97
2012-07-27,57,160.48
2012-08-03,63,163.03
2012-08-10,66,157.70
2012-08-17,61,159.85
2012-08-24,66,157.12
2012-08-31,63,158.70
2012-09-07,63,159.05
2012-09-14,65,162.70
2012-09-21,68,156.19
2012-09-28,75,151.81
2012-10-05,71,152.71
2012-10-12,66,152.39
2012-10-19,64,153.54
2012-10-26,63,150.30
2012-11-02,60,155.75
2012-11-09,62,152.00
2012-11-16,64,146.92
2012-11-23,62,151.62
2012-11-30,64,152.13
2012-12-07,61,155.65
2012-12-14,63,154.05
2012-12-21,64,157.80
2012-12-28,66,156.02
2013-01-04,65,158.59
2013-01-11,68,159.98
2013-01-18,64,159.89
2013-01-25,63,162.35
2013-02-01,62,161.97
2013-02-08,63,162.76
2013-02-15,63,159.90
2013-02-22,66,159.72
2013-03-01,68,159.99
2013-03-08,89,160.00
2013-03-15,72,159.60
2013-03-22,70,159.14
2013-03-29,71,
2013-04-05,72,166.23
2013-04-12,71,173.66
2013-04-19,70,176.11
2013-04-26,72,175.62
2013-05-03,77,179.44
2013-05-10,76,179.37
2013-05-17,75,179.85
2013-05-24,83,174.47
2013-05-31,73,166.44
2013-06-07,77,167.26
2013-06-14,81,166.05
2013-06-21,85,156.58
2013-06-28,78,157.92
2013-07-05,76,159.47
2013-07-12,70,163.00
2013-07-19,78,164.96
2013-07-26,73,164.54
2013-08-02,75,157.61
2013-08-09,74,157.95
2013-08-16,76,145.30
2013-08-23,81,147.50
2013-08-30,79,145.63
2013-09-06,77,144.94
2013-09-13,77,148.52
2013-09-20,78,151.00
2013-09-27,90,150.10
2013-10-04,83,149.17
2013-10-11,88,153.99
2013-10-18,90,158.01
2013-10-25,82,159.70
2013-11-01,89,156.60
2013-11-08,92,153.01
2013-11-15,88,153.53
2013-11-22,86,149.58
2013-11-29,84,149.85
2013-12-06,89,152.75
2013-12-13,94,151.63
2013-12-20,88,154.71
2013-12-27,90,153.22
2014-01-03,89,153.95
2014-01-10,100,155.70
2014-01-17,90,156.71
2014-01-24,88,153.19
2014-01-31,86,154.84
2014-02-07,80,156.97
2014-02-14,84,160.19
2014-02-21,82,159.56
2014-02-28,90,161.29
2014-03-07,90,161.71
2014-03-14,90,161.07
2014-03-21,90,161.28
2014-03-28,91,163.86
2014-04-04,91,165.39
2014-04-11,88,166.38
2014-04-18,94,
2014-04-25,94,170.56
2014-05-02,95,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
