Date,Carnival Corp.,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,44.23
2004-02-13,0,44.43
2004-02-20,0,44.55
2004-02-27,0,44.37
2004-03-05,0,45.61
2004-03-12,0,42.94
2004-03-19,0,42.51
2004-03-26,0,43.87
2004-04-02,0,45.94
2004-04-09,0,
2004-04-16,0,44.70
2004-04-23,0,44.30
2004-04-30,0,42.67
2004-05-07,0,41.50
2004-05-14,0,41.13
2004-05-21,0,40.90
2004-05-28,0,42.61
2004-06-04,0,42.12
2004-06-11,0,
2004-06-18,0,45.25
2004-06-25,0,46.93
2004-07-02,0,47.81
2004-07-09,0,46.50
2004-07-16,0,45.68
2004-07-23,0,44.39
2004-07-30,0,46.61
2004-08-06,0,43.60
2004-08-13,0,43.39
2004-08-20,0,44.75
2004-08-27,0,45.36
2004-09-03,0,46.46
2004-09-10,0,46.93
2004-09-17,0,48.31
2004-09-24,0,47.94
2004-10-01,0,47.84
2004-10-08,0,48.80
2004-10-15,0,48.98
2004-10-22,0,49.17
2004-10-29,0,50.56
2004-11-05,0,52.50
2004-11-12,0,53.65
2004-11-19,0,50.90
2004-11-26,0,52.87
2004-12-03,0,54.62
2004-12-10,0,54.65
2004-12-17,0,56.48
2004-12-24,0,
2004-12-31,0,57.63
2005-01-07,0,57.50
2005-01-14,0,57.24
2005-01-21,0,56.81
2005-01-28,0,56.72
2005-02-04,0,56.51
2005-02-11,0,55.55
2005-02-18,0,55.64
2005-02-25,0,54.75
2005-03-04,0,53.78
2005-03-11,0,53.87
2005-03-18,0,54.83
2005-03-25,0,
2005-04-01,0,50.78
2005-04-08,0,50.93
2005-04-15,0,48.65
2005-04-22,0,49.21
2005-04-29,0,48.88
2005-05-06,0,50.04
2005-05-13,0,49.67
2005-05-20,0,52.46
2005-05-27,0,52.84
2005-06-03,0,52.30
2005-06-10,0,51.00
2005-06-17,0,55.54
2005-06-24,0,55.12
2005-07-01,0,54.72
2005-07-08,0,54.74
2005-07-15,0,54.38
2005-07-22,0,53.82
2005-07-29,0,52.40
2005-08-05,0,51.76
2005-08-12,0,50.46
2005-08-19,0,50.93
2005-08-26,0,49.74
2005-09-02,0,48.24
2005-09-09,0,49.70
2005-09-16,0,49.03
2005-09-23,0,49.63
2005-09-30,0,49.98
2005-10-07,0,48.07
2005-10-14,0,47.54
2005-10-21,0,47.75
2005-10-28,0,48.72
2005-11-04,0,52.12
2005-11-11,0,54.05
2005-11-18,0,53.28
2005-11-25,0,54.16
2005-12-02,0,56.00
2005-12-09,0,54.57
2005-12-16,0,52.65
2005-12-23,0,53.91
2005-12-30,0,53.47
2006-01-06,0,53.98
2006-01-13,0,55.90
2006-01-20,0,53.55
2006-01-27,0,52.40
2006-02-03,0,52.11
2006-02-10,0,52.20
2006-02-17,0,53.55
2006-02-24,0,51.83
2006-03-03,0,51.78
2006-03-10,0,49.55
2006-03-17,0,50.97
2006-03-24,0,47.84
2006-03-31,0,47.37
2006-04-07,0,47.82
2006-04-14,0,
2006-04-21,0,47.63
2006-04-28,0,46.82
2006-05-05,0,48.27
2006-05-12,0,46.66
2006-05-19,0,40.71
2006-05-26,0,40.10
2006-06-02,0,40.14
2006-06-09,0,37.27
2006-06-16,0,40.19
2006-06-23,0,40.79
2006-06-30,0,41.74
2006-07-07,0,41.71
2006-07-14,0,39.72
2006-07-21,0,39.57
2006-07-28,0,39.70
2006-08-04,0,38.50
2006-08-11,0,37.59
2006-08-18,0,39.88
2006-08-25,0,39.02
2006-09-01,0,42.03
2006-09-08,0,42.69
2006-09-15,0,43.81
2006-09-22,0,44.70
2006-09-29,0,47.03
2006-10-06,0,48.37
2006-10-13,0,47.95
2006-10-20,0,48.08
2006-10-27,0,48.81
2006-11-03,0,47.37
2006-11-10,0,48.28
2006-11-17,0,49.86
2006-11-24,0,50.51
2006-12-01,0,47.09
2006-12-08,0,47.29
2006-12-15,0,47.69
2006-12-22,0,48.87
2006-12-29,0,49.05
2007-01-05,0,49.88
2007-01-12,0,50.91
2007-01-19,0,52.39
2007-01-26,0,51.96
2007-02-02,0,51.77
2007-02-09,0,48.45
2007-02-16,0,48.36
2007-02-23,0,47.61
2007-03-02,0,45.70
2007-03-09,0,46.26
2007-03-16,0,45.55
2007-03-23,0,48.12
2007-03-30,0,46.86
2007-04-06,0,
2007-04-13,0,45.25
2007-04-20,0,47.20
2007-04-27,0,48.68
2007-05-04,0,47.95
2007-05-11,0,48.79
2007-05-18,0,49.18
2007-05-25,0,49.95
2007-06-01,0,50.54
2007-06-08,0,49.00
2007-06-15,0,49.71
2007-06-22,0,49.32
2007-06-29,0,48.77
2007-07-06,0,48.15
2007-07-13,0,47.73
2007-07-20,0,46.86
2007-07-27,0,44.32
2007-08-03,0,43.61
2007-08-10,0,47.67
2007-08-17,0,45.10
2007-08-24,0,45.85
2007-08-31,0,45.59
2007-09-07,0,44.72
2007-09-14,0,44.54
2007-09-21,0,49.21
2007-09-28,0,48.43
2007-10-05,0,50.80
2007-10-12,0,50.23
2007-10-19,0,47.25
2007-10-26,0,47.67
2007-11-02,0,46.10
2007-11-09,0,43.89
2007-11-16,0,44.91
2007-11-23,0,42.73
2007-11-30,0,45.12
2007-12-07,0,45.00
2007-12-14,0,45.02
2007-12-21,0,45.33
2007-12-28,0,44.61
2008-01-04,0,41.71
2008-01-11,0,39.56
2008-01-18,0,38.26
2008-01-25,0,41.41
2008-02-01,0,44.78
2008-02-08,0,40.81
2008-02-15,0,41.35
2008-02-22,0,41.85
2008-02-29,0,39.35
2008-03-07,0,38.42
2008-03-14,0,37.85
2008-03-21,0,
2008-03-28,0,39.70
2008-04-04,0,41.66
2008-04-11,0,39.72
2008-04-18,0,42.48
2008-04-25,0,39.45
2008-05-02,0,41.94
2008-05-09,0,39.72
2008-05-16,0,39.65
2008-05-23,0,36.99
2008-05-30,0,40.06
2008-06-06,0,37.23
2008-06-13,0,36.99
2008-06-20,0,35.47
2008-06-27,0,32.93
2008-07-04,0,
2008-07-11,0,30.29
2008-07-18,0,36.64
2008-07-25,0,37.91
2008-08-01,0,36.56
2008-08-08,0,39.90
2008-08-15,0,39.47
2008-08-22,0,37.26
2008-08-29,0,37.06
2008-09-05,0,38.99
2008-09-12,0,41.10
2008-09-19,0,39.76
2008-09-26,0,35.50
2008-10-03,0,32.74
2008-10-10,0,28.02
2008-10-17,0,29.59
2008-10-24,0,26.52
2008-10-31,0,25.40
2008-11-07,0,22.03
2008-11-14,0,18.97
2008-11-21,0,15.77
2008-11-28,0,21.00
2008-12-05,0,21.48
2008-12-12,0,21.72
2008-12-19,0,24.20
2008-12-26,0,23.34
2009-01-02,0,25.55
2009-01-09,0,23.61
2009-01-16,0,21.11
2009-01-23,0,19.38
2009-01-30,0,18.19
2009-02-06,0,20.70
2009-02-13,0,20.87
2009-02-20,0,19.40
2009-02-27,0,19.56
2009-03-06,0,17.30
2009-03-13,0,20.54
2009-03-20,0,21.30
2009-03-27,0,22.17
2009-04-03,0,25.52
2009-04-10,0,
2009-04-17,0,27.25
2009-04-24,0,28.43
2009-05-01,0,26.14
2009-05-08,0,27.87
2009-05-15,0,25.00
2009-05-22,0,24.95
2009-05-29,0,25.44
2009-06-05,0,25.56
2009-06-12,0,24.17
2009-06-19,0,26.60
2009-06-26,0,25.35
2009-07-03,0,
2009-07-10,0,24.68
2009-07-17,0,26.34
2009-07-24,0,28.50
2009-07-31,0,27.99
2009-08-07,0,30.35
2009-08-14,0,29.85
2009-08-21,0,30.88
2009-08-28,0,30.34
2009-09-04,0,29.35
2009-09-11,0,32.65
2009-09-18,0,32.26
2009-09-25,0,33.01
2009-10-02,0,32.45
2009-10-09,0,32.65
2009-10-16,0,33.07
2009-10-23,0,32.03
2009-10-30,0,29.12
2009-11-06,0,30.57
2009-11-13,0,32.28
2009-11-20,0,32.09
2009-11-27,0,32.02
2009-12-04,0,32.86
2009-12-11,0,32.43
2009-12-18,0,32.22
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,33.22
2010-01-15,0,34.23
2010-01-22,0,33.30
2010-01-29,0,33.33
2010-02-05,0,32.53
2010-02-12,0,32.82
2010-02-19,0,33.89
2010-02-26,0,35.96
2010-03-05,0,37.04
2010-03-12,0,37.49
2010-03-19,0,37.62
2010-03-26,0,38.80
2010-04-02,0,
2010-04-09,0,38.98
2010-04-16,0,38.97
2010-04-23,0,42.77
2010-04-30,0,41.70
2010-05-07,0,36.68
2010-05-14,0,37.57
2010-05-21,0,35.61
2010-05-28,0,36.23
2010-06-04,0,35.29
2010-06-11,0,36.31
2010-06-18,0,35.41
2010-06-25,0,32.58
2010-07-02,0,30.62
2010-07-09,0,32.12
2010-07-16,0,31.41
2010-07-23,0,34.19
2010-07-30,0,34.68
2010-08-06,0,35.63
2010-08-13,0,32.51
2010-08-20,0,31.79
2010-08-27,0,31.46
2010-09-03,0,34.67
2010-09-10,0,35.28
2010-09-17,0,35.92
2010-09-24,0,37.79
2010-10-01,0,38.39
2010-10-08,0,40.28
2010-10-15,0,39.33
2010-10-22,0,40.14
2010-10-29,0,43.17
2010-11-05,0,44.70
2010-11-12,0,42.54
2010-11-19,0,41.92
2010-11-26,0,41.76
2010-12-03,0,43.29
2010-12-10,0,43.97
2010-12-17,0,42.51
2010-12-24,0,
2010-12-31,0,46.11
2011-01-07,0,47.14
2011-01-14,0,47.85
2011-01-21,0,46.12
2011-01-28,0,44.61
2011-02-04,0,45.79
2011-02-11,0,47.63
2011-02-18,0,45.70
2011-02-25,0,42.78
2011-03-04,0,40.36
2011-03-11,0,39.94
2011-03-18,0,39.63
2011-03-25,0,38.78
2011-04-01,0,38.25
2011-04-08,0,37.40
2011-04-15,0,37.98
2011-04-22,0,
2011-04-29,0,38.07
2011-05-06,0,40.18
2011-05-13,0,41.02
2011-05-20,0,39.56
2011-05-27,0,38.40
2011-06-03,0,36.65
2011-06-10,0,35.80
2011-06-17,0,35.27
2011-06-24,0,37.30
2011-07-01,0,38.79
2011-07-08,0,37.38
2011-07-15,0,35.19
2011-07-22,0,36.55
2011-07-29,0,33.30
2011-08-05,0,32.22
2011-08-12,0,31.10
2011-08-19,0,29.52
2011-08-26,0,30.91
2011-09-02,0,30.86
2011-09-09,0,30.68
2011-09-16,0,33.52
2011-09-23,0,31.32
2011-09-30,0,30.30
2011-10-07,0,31.61
2011-10-14,0,34.03
2011-10-21,0,35.08
2011-10-28,0,36.12
2011-11-04,0,34.08
2011-11-11,0,33.47
2011-11-18,0,32.22
2011-11-25,0,30.47
2011-12-02,0,33.43
2011-12-09,0,34.00
2011-12-16,0,33.87
2011-12-23,0,33.19
2011-12-30,0,32.64
2012-01-06,0,32.91
2012-01-13,0,34.28
2012-01-20,100,31.56
2012-01-27,0,30.48
2012-02-03,0,32.00
2012-02-10,0,31.05
2012-02-17,0,30.97
2012-02-24,0,29.97
2012-03-02,0,30.57
2012-03-09,0,30.57
2012-03-16,0,32.32
2012-03-23,0,31.91
2012-03-30,0,32.08
2012-04-06,0,
2012-04-13,0,31.22
2012-04-20,0,31.68
2012-04-27,0,32.84
2012-05-04,0,32.26
2012-05-11,0,31.46
2012-05-18,0,30.86
2012-05-25,0,31.95
2012-06-01,0,31.08
2012-06-08,0,33.03
2012-06-15,0,34.76
2012-06-22,0,33.66
2012-06-29,0,34.27
2012-07-06,0,33.68
2012-07-13,0,32.44
2012-07-20,0,32.91
2012-07-27,0,33.80
2012-08-03,0,34.03
2012-08-10,0,34.05
2012-08-17,0,34.14
2012-08-24,0,33.27
2012-08-31,0,34.68
2012-09-07,0,37.05
2012-09-14,0,37.96
2012-09-21,0,37.39
2012-09-28,0,36.43
2012-10-05,0,37.13
2012-10-12,0,36.76
2012-10-19,0,38.19
2012-10-26,0,37.85
2012-11-02,0,38.75
2012-11-09,0,39.16
2012-11-16,0,37.25
2012-11-23,0,39.08
2012-11-30,0,38.66
2012-12-07,0,37.91
2012-12-14,0,37.72
2012-12-21,0,37.02
2012-12-28,0,36.03
2013-01-04,0,37.06
2013-01-11,0,37.03
2013-01-18,0,38.58
2013-01-25,0,39.12
2013-02-01,0,39.15
2013-02-08,0,39.01
2013-02-15,0,36.92
2013-02-22,0,34.99
2013-03-01,0,35.85
2013-03-08,0,35.67
2013-03-15,0,34.95
2013-03-22,0,34.04
2013-03-29,0,
2013-04-05,0,33.55
2013-04-12,0,34.13
2013-04-19,0,33.39
2013-04-26,0,34.46
2013-05-03,0,35.34
2013-05-10,0,35.12
2013-05-17,0,35.00
2013-05-24,0,32.88
2013-05-31,0,33.10
2013-06-07,0,32.71
2013-06-14,0,33.84
2013-06-21,0,33.43
2013-06-28,0,34.29
2013-07-05,0,35.19
2013-07-12,0,36.06
2013-07-19,0,36.63
2013-07-26,0,37.36
2013-08-02,0,37.70
2013-08-09,0,36.51
2013-08-16,0,36.52
2013-08-23,0,37.37
2013-08-30,0,36.09
2013-09-06,0,35.86
2013-09-13,0,37.43
2013-09-20,0,37.08
2013-09-27,0,32.88
2013-10-04,0,32.43
2013-10-11,0,32.25
2013-10-18,0,32.74
2013-10-25,0,34.63
2013-11-01,0,34.84
2013-11-08,0,36.27
2013-11-15,0,36.00
2013-11-22,0,36.12
2013-11-29,0,36.11
2013-12-06,0,35.34
2013-12-13,0,35.99
2013-12-20,0,38.85
2013-12-27,0,39.89
2014-01-03,0,39.85
2014-01-10,0,41.25
2014-01-17,0,41.36
2014-01-24,0,39.15
2014-01-31,0,39.19
2014-02-07,0,39.91
2014-02-14,0,40.76
2014-02-21,0,39.42
2014-02-28,0,39.66
2014-03-07,0,39.50
2014-03-14,0,38.42
2014-03-21,0,39.98
2014-03-28,0,37.24
2014-04-04,0,37.90
2014-04-11,0,37.03
2014-04-18,0,
2014-04-25,0,38.06
2014-05-02,0,
