Date,IGT,Price
2004-01-09,72,
2004-01-16,68,
2004-01-23,71,
2004-01-30,84,
2004-02-06,73,37.71
2004-02-13,82,37.58
2004-02-20,52,37.99
2004-02-27,71,39.24
2004-03-05,63,42.21
2004-03-12,85,40.41
2004-03-19,56,41.40
2004-03-26,88,44.68
2004-04-02,55,45.78
2004-04-09,55,
2004-04-16,53,45.78
2004-04-23,58,41.65
2004-04-30,79,37.74
2004-05-07,52,37.51
2004-05-14,82,38.18
2004-05-21,45,39.32
2004-05-28,37,39.30
2004-06-04,72,39.80
2004-06-11,68,
2004-06-18,59,35.88
2004-06-25,81,37.01
2004-07-02,52,38.77
2004-07-09,66,37.31
2004-07-16,65,35.23
2004-07-23,63,30.05
2004-07-30,64,32.34
2004-08-06,32,30.28
2004-08-13,53,30.07
2004-08-20,43,29.83
2004-08-27,57,28.82
2004-09-03,56,30.05
2004-09-10,70,32.18
2004-09-17,59,32.70
2004-09-24,56,34.10
2004-10-01,60,34.78
2004-10-08,39,31.60
2004-10-15,65,31.50
2004-10-22,73,31.70
2004-10-29,52,33.04
2004-11-05,65,36.67
2004-11-12,65,35.70
2004-11-19,86,35.03
2004-11-26,63,35.51
2004-12-03,48,34.75
2004-12-10,53,33.78
2004-12-17,67,33.50
2004-12-24,35,
2004-12-31,38,34.38
2005-01-07,80,33.20
2005-01-14,50,33.43
2005-01-21,67,29.90
2005-01-28,64,30.89
2005-02-04,61,31.40
2005-02-11,75,31.53
2005-02-18,65,30.76
2005-02-25,52,30.65
2005-03-04,49,29.96
2005-03-11,50,28.48
2005-03-18,48,27.07
2005-03-25,70,
2005-04-01,43,26.52
2005-04-08,33,26.92
2005-04-15,61,24.22
2005-04-22,55,25.70
2005-04-29,51,26.89
2005-05-06,57,27.93
2005-05-13,55,26.94
2005-05-20,72,28.54
2005-05-27,51,28.41
2005-06-03,52,28.41
2005-06-10,57,28.51
2005-06-17,44,29.69
2005-06-24,51,27.99
2005-07-01,50,28.24
2005-07-08,56,29.01
2005-07-15,68,29.43
2005-07-22,66,27.93
2005-07-29,71,27.36
2005-08-05,57,27.11
2005-08-12,68,27.14
2005-08-19,57,26.49
2005-08-26,67,26.94
2005-09-02,50,26.98
2005-09-09,55,26.99
2005-09-16,46,27.40
2005-09-23,50,27.52
2005-09-30,54,27.00
2005-10-07,61,26.88
2005-10-14,54,26.28
2005-10-21,62,26.27
2005-10-28,57,26.59
2005-11-04,63,26.33
2005-11-11,62,27.83
2005-11-18,54,28.54
2005-11-25,60,29.29
2005-12-02,59,29.70
2005-12-09,64,29.93
2005-12-16,65,29.50
2005-12-23,59,30.66
2005-12-30,55,30.78
2006-01-06,58,30.87
2006-01-13,63,31.76
2006-01-20,63,35.45
2006-01-27,52,35.99
2006-02-03,57,35.83
2006-02-10,60,36.84
2006-02-17,57,36.41
2006-02-24,62,36.17
2006-03-03,61,35.43
2006-03-10,76,35.05
2006-03-17,62,34.98
2006-03-24,56,34.65
2006-03-31,50,35.22
2006-04-07,66,36.68
2006-04-14,55,
2006-04-21,62,36.93
2006-04-28,53,37.93
2006-05-05,45,39.20
2006-05-12,61,38.86
2006-05-19,58,36.80
2006-05-26,65,37.09
2006-06-02,61,36.56
2006-06-09,66,36.42
2006-06-16,56,36.43
2006-06-23,69,35.58
2006-06-30,49,37.94
2006-07-07,48,36.80
2006-07-14,59,35.80
2006-07-21,60,37.37
2006-07-28,54,37.80
2006-08-04,55,37.81
2006-08-11,49,36.91
2006-08-18,59,37.56
2006-08-25,63,37.26
2006-09-01,60,38.19
2006-09-08,41,38.67
2006-09-15,51,40.26
2006-09-22,62,39.24
2006-09-29,52,41.50
2006-10-06,60,42.33
2006-10-13,56,42.00
2006-10-20,49,41.69
2006-10-27,59,42.36
2006-11-03,61,41.46
2006-11-10,72,42.72
2006-11-17,68,45.07
2006-11-24,51,44.67
2006-12-01,70,43.75
2006-12-08,58,45.05
2006-12-15,59,45.02
2006-12-22,57,45.99
2006-12-29,36,46.20
2007-01-05,47,45.71
2007-01-12,54,48.00
2007-01-19,64,46.49
2007-01-26,53,45.35
2007-02-02,58,43.94
2007-02-09,52,43.38
2007-02-16,43,42.94
2007-02-23,56,43.66
2007-03-02,62,40.45
2007-03-09,56,39.82
2007-03-16,60,39.08
2007-03-23,58,40.95
2007-03-30,59,40.38
2007-04-06,47,
2007-04-13,59,39.82
2007-04-20,61,40.00
2007-04-27,60,38.97
2007-05-04,52,40.77
2007-05-11,64,38.91
2007-05-18,66,40.62
2007-05-25,66,40.81
2007-06-01,53,40.42
2007-06-08,56,39.64
2007-06-15,58,39.18
2007-06-22,56,38.73
2007-06-29,54,39.70
2007-07-06,58,40.30
2007-07-13,59,37.68
2007-07-20,73,37.01
2007-07-27,79,35.50
2007-08-03,76,34.21
2007-08-10,66,35.45
2007-08-17,63,34.91
2007-08-24,53,36.36
2007-08-31,65,38.17
2007-09-07,59,38.25
2007-09-14,70,41.36
2007-09-21,67,42.55
2007-09-28,78,43.10
2007-10-05,63,44.10
2007-10-12,66,43.83
2007-10-19,59,42.40
2007-10-26,62,42.78
2007-11-02,54,43.66
2007-11-09,60,44.35
2007-11-16,61,41.91
2007-11-23,67,41.74
2007-11-30,65,43.66
2007-12-07,81,43.57
2007-12-14,56,44.14
2007-12-21,49,44.99
2007-12-28,39,44.11
2008-01-04,52,42.46
2008-01-11,54,41.18
2008-01-18,58,38.09
2008-01-25,53,39.56
2008-02-01,64,43.44
2008-02-08,59,43.45
2008-02-15,57,46.22
2008-02-22,61,48.26
2008-02-29,51,45.15
2008-03-07,54,43.61
2008-03-14,54,43.90
2008-03-21,56,
2008-03-28,54,40.02
2008-04-04,65,41.53
2008-04-11,63,38.21
2008-04-18,60,35.51
2008-04-25,56,35.54
2008-05-02,63,35.72
2008-05-09,51,35.26
2008-05-16,52,36.19
2008-05-23,47,34.57
2008-05-30,52,35.66
2008-06-06,50,33.75
2008-06-13,53,31.26
2008-06-20,53,29.32
2008-06-27,52,24.91
2008-07-04,56,
2008-07-11,57,23.89
2008-07-18,54,22.48
2008-07-25,53,22.11
2008-08-01,53,20.88
2008-08-08,54,23.82
2008-08-15,47,23.99
2008-08-22,43,22.22
2008-08-29,46,21.43
2008-09-05,47,20.25
2008-09-12,54,19.51
2008-09-19,58,18.39
2008-09-26,62,18.44
2008-10-03,51,15.52
2008-10-10,51,13.60
2008-10-17,55,12.80
2008-10-24,65,10.85
2008-10-31,53,14.00
2008-11-07,53,12.37
2008-11-14,51,10.74
2008-11-21,58,7.69
2008-11-28,51,10.71
2008-12-05,48,10.86
2008-12-12,47,10.18
2008-12-19,44,11.71
2008-12-26,41,10.74
2009-01-02,36,12.80
2009-01-09,53,13.65
2009-01-16,47,11.95
2009-01-23,53,11.79
2009-01-30,50,10.60
2009-02-06,48,11.03
2009-02-13,54,9.39
2009-02-20,48,9.38
2009-02-27,47,8.82
2009-03-06,48,7.47
2009-03-13,44,9.25
2009-03-20,55,9.12
2009-03-27,53,9.87
2009-04-03,46,11.66
2009-04-10,49,
2009-04-17,47,11.61
2009-04-24,52,11.44
2009-05-01,48,12.72
2009-05-08,47,15.00
2009-05-15,40,13.60
2009-05-22,47,15.42
2009-05-29,52,17.36
2009-06-05,43,17.02
2009-06-12,43,16.30
2009-06-19,46,16.26
2009-06-26,43,16.52
2009-07-03,45,
2009-07-10,53,14.67
2009-07-17,48,17.68
2009-07-24,45,19.74
2009-07-31,44,19.75
2009-08-07,50,19.92
2009-08-14,42,19.06
2009-08-21,48,20.79
2009-08-28,45,21.08
2009-09-04,44,20.99
2009-09-11,40,22.63
2009-09-18,43,21.83
2009-09-25,46,20.86
2009-10-02,41,19.94
2009-10-09,48,21.52
2009-10-16,44,21.71
2009-10-23,50,20.82
2009-10-30,42,17.84
2009-11-06,50,20.18
2009-11-13,51,20.62
2009-11-20,44,19.44
2009-11-27,42,19.41
2009-12-04,44,18.44
2009-12-11,42,18.52
2009-12-18,47,19.37
2009-12-25,36,
2010-01-01,43,
2010-01-08,44,19.24
2010-01-15,40,20.29
2010-01-22,46,20.64
2010-01-29,41,18.34
2010-02-05,42,17.49
2010-02-12,46,18.08
2010-02-19,52,18.02
2010-02-26,41,17.55
2010-03-05,43,17.10
2010-03-12,47,17.00
2010-03-19,41,17.00
2010-03-26,40,17.76
2010-04-02,40,
2010-04-09,43,19.89
2010-04-16,41,19.12
2010-04-23,46,21.18
2010-04-30,41,21.08
2010-05-07,49,19.97
2010-05-14,44,20.98
2010-05-21,43,19.31
2010-05-28,43,19.57
2010-06-04,35,19.02
2010-06-11,43,19.22
2010-06-18,42,18.35
2010-06-25,36,17.09
2010-07-02,40,15.45
2010-07-09,39,15.86
2010-07-16,42,14.97
2010-07-23,42,15.96
2010-07-30,41,15.24
2010-08-06,42,15.50
2010-08-13,38,15.22
2010-08-20,45,15.33
2010-08-27,45,15.21
2010-09-03,44,15.60
2010-09-10,44,15.53
2010-09-17,48,15.05
2010-09-24,44,13.82
2010-10-01,54,14.31
2010-10-08,46,14.69
2010-10-15,47,14.54
2010-10-22,45,14.81
2010-10-29,42,15.59
2010-11-05,42,16.55
2010-11-12,43,16.30
2010-11-19,47,15.95
2010-11-26,49,15.46
2010-12-03,44,16.33
2010-12-10,47,16.87
2010-12-17,52,16.90
2010-12-24,41,
2010-12-31,51,17.69
2011-01-07,42,18.42
2011-01-14,47,18.80
2011-01-21,48,18.28
2011-01-28,42,17.37
2011-02-04,43,17.51
2011-02-11,45,17.52
2011-02-18,46,16.93
2011-02-25,41,16.26
2011-03-04,37,16.69
2011-03-11,40,16.01
2011-03-18,40,15.92
2011-03-25,39,16.50
2011-04-01,39,16.31
2011-04-08,42,16.05
2011-04-15,50,15.77
2011-04-22,38,
2011-04-29,41,17.69
2011-05-06,40,17.70
2011-05-13,43,18.34
2011-05-20,43,17.82
2011-05-27,39,17.20
2011-06-03,36,16.57
2011-06-10,41,15.87
2011-06-17,40,16.34
2011-06-24,39,16.73
2011-07-01,43,17.99
2011-07-08,38,18.27
2011-07-15,40,18.01
2011-07-22,41,18.25
2011-07-29,44,18.59
2011-08-05,47,16.19
2011-08-12,44,15.51
2011-08-19,45,13.99
2011-08-26,42,14.68
2011-09-02,44,14.55
2011-09-09,43,13.96
2011-09-16,47,15.33
2011-09-23,48,13.54
2011-09-30,47,14.53
2011-10-07,48,15.43
2011-10-14,44,16.30
2011-10-21,42,16.25
2011-10-28,42,17.72
2011-11-04,44,17.68
2011-11-11,42,17.36
2011-11-18,43,16.71
2011-11-25,41,16.31
2011-12-02,42,16.99
2011-12-09,42,16.76
2011-12-16,46,15.70
2011-12-23,37,16.55
2011-12-30,35,17.20
2012-01-06,39,17.33
2012-01-13,41,17.48
2012-01-20,47,16.72
2012-01-27,44,16.09
2012-02-03,42,15.59
2012-02-10,43,15.51
2012-02-17,42,14.78
2012-02-24,41,15.25
2012-03-02,44,15.55
2012-03-09,43,15.65
2012-03-16,45,16.46
2012-03-23,42,16.70
2012-03-30,41,16.79
2012-04-06,42,
2012-04-13,44,16.36
2012-04-20,41,16.57
2012-04-27,38,15.79
2012-05-04,44,15.32
2012-05-11,48,15.13
2012-05-18,42,14.00
2012-05-25,43,14.13
2012-06-01,45,13.41
2012-06-08,46,13.84
2012-06-15,46,14.88
