Date,General Dynamics,Price
2004-01-09,82,
2004-01-16,76,
2004-01-23,86,
2004-01-30,56,
2004-02-06,78,96.88
2004-02-13,53,95.94
2004-02-20,71,94.43
2004-02-27,82,92.12
2004-03-05,98,90.68
2004-03-12,78,87.91
2004-03-19,83,86.28
2004-03-26,57,87.50
2004-04-02,64,90.54
2004-04-09,83,
2004-04-16,59,92.36
2004-04-23,81,94.81
2004-04-30,64,93.62
2004-05-07,72,93.44
2004-05-14,65,95.19
2004-05-21,79,93.45
2004-05-28,61,95.63
2004-06-04,70,97.41
2004-06-11,66,
2004-06-18,64,99.68
2004-06-25,75,100.60
2004-07-02,64,97.56
2004-07-09,57,100.90
2004-07-16,65,97.00
2004-07-23,100,97.42
2004-07-30,82,98.82
2004-08-06,86,95.51
2004-08-13,70,94.56
2004-08-20,75,97.44
2004-08-27,71,98.39
2004-09-03,68,97.70
2004-09-10,66,97.28
2004-09-17,77,99.39
2004-09-24,81,99.76
2004-10-01,77,102.75
2004-10-08,78,100.15
2004-10-15,66,99.99
2004-10-22,69,100.01
2004-10-29,50,102.12
2004-11-05,65,106.85
2004-11-12,46,108.03
2004-11-19,65,106.44
2004-11-26,52,108.23
2004-12-03,56,109.83
2004-12-10,60,106.50
2004-12-17,71,106.35
2004-12-24,46,
2004-12-31,41,104.60
2005-01-07,46,99.81
2005-01-14,52,101.42
2005-01-21,53,100.51
2005-01-28,61,103.23
2005-02-04,58,103.91
2005-02-11,76,106.67
2005-02-18,75,106.00
2005-02-25,62,105.58
2005-03-04,65,105.83
2005-03-11,61,108.38
2005-03-18,63,106.10
2005-03-25,59,
2005-04-01,65,107.85
2005-04-08,60,108.05
2005-04-15,63,103.89
2005-04-22,55,103.50
2005-04-29,54,105.05
2005-05-06,60,106.48
2005-05-13,67,105.43
2005-05-20,43,108.10
2005-05-27,59,107.95
2005-06-03,61,108.26
2005-06-10,61,111.25
2005-06-17,59,112.04
2005-06-24,53,109.46
2005-07-01,51,109.95
2005-07-08,57,109.04
2005-07-15,77,112.31
2005-07-22,54,116.77
2005-07-29,56,115.19
2005-08-05,68,115.02
2005-08-12,70,113.59
2005-08-19,67,115.61
2005-08-26,62,114.85
2005-09-02,57,114.14
2005-09-09,44,116.35
2005-09-16,56,117.10
2005-09-23,51,119.94
2005-09-30,66,119.55
2005-10-07,62,119.59
2005-10-14,55,120.08
2005-10-21,46,116.54
2005-10-28,54,116.65
2005-11-04,54,116.38
2005-11-11,49,116.35
2005-11-18,47,117.21
2005-11-25,44,115.90
2005-12-02,54,113.55
2005-12-09,56,112.78
2005-12-16,84,114.43
2005-12-23,42,114.95
2005-12-30,44,114.05
2006-01-06,49,116.17
2006-01-13,50,117.20
2006-01-20,54,115.09
2006-01-27,71,118.50
2006-02-03,60,116.83
2006-02-10,64,119.89
2006-02-17,61,121.33
2006-02-24,63,121.90
2006-03-03,59,127.81
2006-03-10,59,126.30
2006-03-17,49,130.66
2006-03-24,55,131.27
2006-03-31,61,63.98
2006-04-07,54,64.94
2006-04-14,50,
2006-04-21,53,67.88
2006-04-28,59,65.62
2006-05-05,44,68.65
2006-05-12,46,65.20
2006-05-19,39,64.47
2006-05-26,44,62.70
2006-06-02,47,64.07
2006-06-09,60,63.37
2006-06-16,53,66.12
2006-06-23,50,65.40
2006-06-30,51,65.46
2006-07-07,51,66.52
2006-07-14,53,68.61
2006-07-21,61,67.44
2006-07-28,51,67.26
2006-08-04,53,67.76
2006-08-11,53,67.63
2006-08-18,53,68.76
2006-08-25,53,67.36
2006-09-01,53,68.16
2006-09-08,46,69.37
2006-09-15,50,71.69
2006-09-22,54,70.61
2006-09-29,52,71.67
2006-10-06,56,75.36
2006-10-13,53,76.09
2006-10-20,57,72.17
2006-10-27,48,70.91
2006-11-03,49,70.53
2006-11-10,49,70.35
2006-11-17,45,73.91
2006-11-24,27,73.65
2006-12-01,45,74.81
2006-12-08,44,74.14
2006-12-15,41,72.52
2006-12-22,43,73.98
2006-12-29,28,74.35
2007-01-05,46,74.59
2007-01-12,48,80.09
2007-01-19,50,79.53
2007-01-26,50,78.05
2007-02-02,50,78.67
2007-02-09,53,79.56
2007-02-16,45,79.25
2007-02-23,43,79.05
2007-03-02,51,75.46
2007-03-09,49,77.32
2007-03-16,44,77.55
2007-03-23,46,77.63
2007-03-30,46,76.40
2007-04-06,52,
2007-04-13,47,76.72
2007-04-20,51,79.55
2007-04-27,46,80.27
2007-05-04,43,79.69
2007-05-11,45,80.15
2007-05-18,44,81.26
2007-05-25,41,78.86
2007-06-01,40,79.88
2007-06-08,48,80.58
2007-06-15,50,80.25
2007-06-22,44,78.02
2007-06-29,42,78.22
2007-07-06,39,79.75
2007-07-13,46,79.98
2007-07-20,51,80.65
2007-07-27,41,79.33
2007-08-03,44,79.48
2007-08-10,53,77.31
2007-08-17,44,77.48
2007-08-24,51,79.20
2007-08-31,41,78.56
2007-09-07,37,78.14
2007-09-14,39,81.12
2007-09-21,45,82.96
2007-09-28,50,84.47
2007-10-05,42,84.06
2007-10-12,42,89.01
2007-10-19,44,85.47
2007-10-26,45,91.23
2007-11-02,41,90.13
2007-11-09,38,88.24
2007-11-16,37,89.75
2007-11-23,34,88.50
2007-11-30,42,88.78
2007-12-07,41,93.68
2007-12-14,37,91.44
2007-12-21,34,89.24
2007-12-28,28,89.05
2008-01-04,35,86.00
2008-01-11,44,86.56
2008-01-18,40,80.80
2008-01-25,47,81.13
2008-02-01,43,85.34
2008-02-08,45,83.37
2008-02-15,42,83.43
2008-02-22,51,83.65
2008-02-29,44,81.85
2008-03-07,40,82.81
2008-03-14,39,84.39
2008-03-21,43,
2008-03-28,46,83.36
2008-04-04,42,85.42
2008-04-11,41,83.65
2008-04-18,41,88.98
2008-04-25,49,90.92
2008-05-02,43,90.69
2008-05-09,46,90.92
2008-05-16,42,92.93
2008-05-23,44,90.37
2008-05-30,42,92.15
2008-06-06,42,86.65
2008-06-13,36,86.45
2008-06-20,43,85.50
2008-06-27,34,83.28
2008-07-04,37,
2008-07-11,45,81.05
2008-07-18,40,82.07
2008-07-25,42,89.19
2008-08-01,42,89.58
2008-08-08,46,92.81
2008-08-15,41,93.41
2008-08-22,48,92.00
2008-08-29,37,92.30
2008-09-05,33,85.64
2008-09-12,39,84.93
2008-09-19,38,82.39
2008-09-26,40,74.92
2008-10-03,44,68.20
2008-10-10,42,57.39
2008-10-17,37,57.12
2008-10-24,46,54.70
2008-10-31,45,60.32
2008-11-07,36,61.43
2008-11-14,43,55.51
2008-11-21,37,51.95
2008-11-28,27,51.67
2008-12-05,43,51.50
2008-12-12,37,53.28
2008-12-19,35,55.86
2008-12-26,25,55.91
2009-01-02,23,59.76
2009-01-09,46,57.92
2009-01-16,45,54.59
2009-01-23,62,53.32
2009-01-30,54,56.73
2009-02-06,46,57.21
2009-02-13,47,54.49
2009-02-20,48,50.82
2009-02-27,48,43.82
2009-03-06,50,36.49
2009-03-13,43,37.60
2009-03-20,42,37.65
2009-03-27,44,43.12
2009-04-03,41,42.66
2009-04-10,46,
2009-04-17,43,46.55
2009-04-24,48,49.18
2009-05-01,49,52.38
2009-05-08,41,55.88
2009-05-15,43,55.01
2009-05-22,36,55.70
2009-05-29,36,56.90
2009-06-05,40,60.45
2009-06-12,35,59.76
2009-06-19,42,58.74
2009-06-26,37,55.46
2009-07-03,32,
2009-07-10,38,51.59
2009-07-17,41,53.56
2009-07-24,43,52.49
2009-07-31,42,55.39
2009-08-07,39,57.54
2009-08-14,40,56.24
2009-08-21,43,58.49
2009-08-28,39,59.77
2009-09-04,39,60.48
2009-09-11,35,63.34
2009-09-18,37,64.61
2009-09-25,41,62.99
2009-10-02,37,63.08
2009-10-09,37,66.16
2009-10-16,38,67.75
2009-10-23,39,66.60
2009-10-30,37,62.70
2009-11-06,37,65.58
2009-11-13,34,67.68
2009-11-20,37,66.47
2009-11-27,22,67.08
2009-12-04,33,67.54
2009-12-11,34,69.01
2009-12-18,32,68.24
2009-12-25,26,
2010-01-01,23,
2010-01-08,43,69.44
2010-01-15,37,70.61
2010-01-22,34,67.02
2010-01-29,40,66.85
2010-02-05,37,66.66
2010-02-12,36,67.95
2010-02-19,32,72.61
2010-02-26,37,72.55
2010-03-05,34,73.73
2010-03-12,31,73.76
2010-03-19,33,75.49
2010-03-26,48,76.92
2010-04-02,36,
2010-04-09,37,77.54
2010-04-16,33,76.04
2010-04-23,37,78.60
2010-04-30,36,76.36
2010-05-07,35,70.50
2010-05-14,37,71.71
2010-05-21,31,67.45
2010-05-28,32,67.90
2010-06-04,29,65.18
2010-06-11,36,64.58
2010-06-18,33,66.90
2010-06-25,32,63.22
2010-07-02,33,58.70
2010-07-09,32,60.84
2010-07-16,33,58.90
2010-07-23,38,61.29
2010-07-30,33,61.25
2010-08-06,39,63.78
2010-08-13,37,60.67
2010-08-20,35,60.23
2010-08-27,37,57.37
2010-09-03,29,59.72
2010-09-10,33,61.13
2010-09-17,36,62.69
2010-09-24,32,63.68
2010-10-01,38,62.46
2010-10-08,33,63.37
2010-10-15,31,63.93
2010-10-22,35,64.50
2010-10-29,32,68.12
2010-11-05,30,69.66
2010-11-12,28,66.50
2010-11-19,35,66.60
2010-11-26,22,67.12
2010-12-03,31,67.58
2010-12-10,30,69.56
2010-12-17,28,70.28
2010-12-24,25,
2010-12-31,22,70.96
2011-01-07,37,72.01
2011-01-14,33,72.18
2011-01-21,34,72.97
2011-01-28,33,74.13
2011-02-04,33,75.62
2011-02-11,32,77.45
2011-02-18,32,78.11
2011-02-25,31,75.94
2011-03-04,31,76.32
2011-03-11,33,76.13
2011-03-18,29,74.38
2011-03-25,35,76.51
2011-04-01,31,77.42
2011-04-08,33,74.51
2011-04-15,29,71.88
2011-04-22,28,
2011-04-29,29,72.82
