Date,buy X,Price
2004-01-09,41,
2004-01-16,40,
2004-01-23,49,
2004-01-30,48,
2004-02-06,53,33.49
2004-02-13,30,35.75
2004-02-20,43,35.05
2004-02-27,46,36.75
2004-03-05,28,38.00
2004-03-12,35,34.76
2004-03-19,42,36.42
2004-03-26,26,36.20
2004-04-02,24,38.71
2004-04-09,25,
2004-04-16,55,36.80
2004-04-23,32,35.07
2004-04-30,33,28.63
2004-05-07,39,26.11
2004-05-14,22,26.54
2004-05-21,41,28.30
2004-05-28,30,30.36
2004-06-04,31,29.43
2004-06-11,36,
2004-06-18,31,31.88
2004-06-25,42,34.25
2004-07-02,21,33.72
2004-07-09,31,34.38
2004-07-16,41,37.00
2004-07-23,41,33.88
2004-07-30,44,38.14
2004-08-06,54,34.10
2004-08-13,18,35.53
2004-08-20,34,37.60
2004-08-27,35,36.32
2004-09-03,26,38.11
2004-09-10,42,38.68
2004-09-17,29,38.00
2004-09-24,34,35.32
2004-10-01,35,38.36
2004-10-08,41,38.99
2004-10-15,49,35.72
2004-10-22,37,33.61
2004-10-29,38,36.72
2004-11-05,41,40.41
2004-11-12,37,45.59
2004-11-19,42,46.95
2004-11-26,44,51.25
2004-12-03,41,51.03
2004-12-10,46,47.83
2004-12-17,58,52.40
2004-12-24,68,
2004-12-31,57,51.25
2005-01-07,40,48.81
2005-01-14,45,50.45
2005-01-21,34,50.32
2005-01-28,26,50.97
2005-02-04,35,52.50
2005-02-11,30,52.81
2005-02-18,31,57.40
2005-02-25,26,63.12
2005-03-04,31,61.45
2005-03-11,32,56.55
2005-03-18,28,55.80
2005-03-25,27,
2005-04-01,32,51.18
2005-04-08,30,48.22
2005-04-15,30,42.91
2005-04-22,26,45.42
2005-04-29,38,42.76
2005-05-06,31,44.26
2005-05-13,35,37.78
2005-05-20,31,40.15
2005-05-27,33,40.36
2005-06-03,37,39.25
2005-06-10,31,37.94
2005-06-17,34,41.19
2005-06-24,34,34.47
2005-07-01,35,34.80
2005-07-08,35,36.62
2005-07-15,39,37.33
2005-07-22,32,42.56
2005-07-29,27,42.65
2005-08-05,50,41.42
2005-08-12,31,44.00
2005-08-19,37,41.15
2005-08-26,27,40.10
2005-09-02,31,44.20
2005-09-09,43,45.40
2005-09-16,29,45.00
2005-09-23,31,42.75
2005-09-30,31,42.35
2005-10-07,42,37.90
2005-10-14,34,35.71
2005-10-21,35,34.81
2005-10-28,33,36.21
2005-11-04,35,38.17
2005-11-11,40,39.32
2005-11-18,50,38.62
2005-11-25,100,40.90
2005-12-02,78,48.11
2005-12-09,70,47.90
2005-12-16,64,46.87
2005-12-23,61,47.50
2005-12-30,51,48.07
2006-01-06,42,51.17
2006-01-13,32,50.12
2006-01-20,37,50.01
2006-01-27,24,58.73
2006-02-03,33,57.92
2006-02-10,26,56.27
2006-02-17,24,55.10
2006-02-24,34,57.75
2006-03-03,30,57.98
2006-03-10,32,57.17
2006-03-17,25,58.93
2006-03-24,26,61.54
2006-03-31,30,60.68
2006-04-07,28,63.60
2006-04-14,34,
2006-04-21,31,67.15
2006-04-28,24,68.50
2006-05-05,30,75.10
2006-05-12,31,70.33
2006-05-19,27,64.00
2006-05-26,30,67.47
2006-06-02,26,69.51
2006-06-09,36,60.66
2006-06-16,23,62.94
2006-06-23,30,64.02
2006-06-30,27,70.12
2006-07-07,23,68.25
2006-07-14,28,66.25
2006-07-21,35,58.70
2006-07-28,36,62.21
2006-08-04,29,59.15
2006-08-11,30,56.44
2006-08-18,31,60.27
2006-08-25,38,59.68
2006-09-01,33,59.56
2006-09-08,26,60.04
2006-09-15,37,58.40
2006-09-22,25,55.76
2006-09-29,30,57.68
2006-10-06,35,60.54
2006-10-13,31,65.44
2006-10-20,43,66.18
2006-10-27,36,68.74
2006-11-03,37,65.80
2006-11-10,30,66.53
2006-11-17,36,70.57
2006-11-24,43,75.27
2006-12-01,40,73.00
2006-12-08,39,78.75
2006-12-15,44,75.04
2006-12-22,45,71.57
2006-12-29,45,73.14
2007-01-05,32,69.72
2007-01-12,30,73.29
2007-01-19,27,72.23
2007-01-26,34,77.98
2007-02-02,26,85.75
2007-02-09,28,83.82
2007-02-16,28,90.65
2007-02-23,28,93.09
2007-03-02,31,86.01
2007-03-09,26,91.24
