Date,BLK,Price
2004-01-09,10,
2004-01-16,8,
2004-01-23,12,
2004-01-30,12,
2004-02-06,12,60.02
2004-02-13,11,58.74
2004-02-20,11,59.26
2004-02-27,11,59.50
2004-03-05,11,61.50
2004-03-12,11,60.26
2004-03-19,8,60.90
2004-03-26,9,60.00
2004-04-02,10,65.00
2004-04-09,11,
2004-04-16,11,63.50
2004-04-23,12,61.25
2004-04-30,9,62.20
2004-05-07,9,59.88
2004-05-14,8,58.63
2004-05-21,11,59.16
2004-05-28,7,63.10
2004-06-04,10,64.55
2004-06-11,10,
2004-06-18,13,62.25
2004-06-25,10,62.50
2004-07-02,9,65.13
2004-07-09,15,64.89
2004-07-16,13,63.49
2004-07-23,14,62.51
2004-07-30,12,61.95
2004-08-06,8,61.54
2004-08-13,12,61.56
2004-08-20,7,63.88
2004-08-27,12,71.31
2004-09-03,11,74.89
2004-09-10,10,73.60
2004-09-17,15,74.55
2004-09-24,12,73.46
2004-10-01,9,74.34
2004-10-08,15,71.80
2004-10-15,9,69.79
2004-10-22,13,70.94
2004-10-29,8,73.50
2004-11-05,13,74.46
2004-11-12,9,76.40
2004-11-19,9,73.90
2004-11-26,7,76.31
2004-12-03,16,76.35
2004-12-10,10,76.95
2004-12-17,12,77.00
2004-12-24,12,
2004-12-31,8,77.26
2005-01-07,9,78.34
2005-01-14,8,80.91
2005-01-21,11,79.31
2005-01-28,10,79.05
2005-02-04,11,80.40
2005-02-11,10,81.00
2005-02-18,11,80.53
2005-02-25,8,78.17
2005-03-04,11,80.55
2005-03-11,15,79.96
2005-03-18,10,79.64
2005-03-25,11,
2005-04-01,9,75.63
2005-04-08,12,73.43
2005-04-15,10,70.00
2005-04-22,14,75.25
2005-04-29,12,74.96
2005-05-06,11,74.77
2005-05-13,12,75.71
2005-05-20,11,78.21
2005-05-27,14,78.10
2005-06-03,12,77.38
2005-06-10,14,77.48
2005-06-17,14,78.07
2005-06-24,13,76.25
2005-07-01,11,81.20
2005-07-08,13,82.15
2005-07-15,13,83.75
2005-07-22,12,82.30
2005-07-29,11,85.00
2005-08-05,14,82.46
2005-08-12,10,84.41
2005-08-19,13,85.46
2005-08-26,14,84.15
2005-09-02,14,83.03
2005-09-09,15,83.93
2005-09-16,14,84.25
2005-09-23,13,85.62
2005-09-30,14,88.62
2005-10-07,12,88.20
2005-10-14,10,84.80
