Date,VLO,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,52.79
2004-02-13,0,55.69
2004-02-20,0,55.73
2004-02-27,0,60.00
2004-03-05,0,60.24
2004-03-12,0,58.00
2004-03-19,0,58.15
2004-03-26,0,57.23
2004-04-02,0,56.31
2004-04-09,0,
2004-04-16,0,58.30
2004-04-23,0,60.94
2004-04-30,0,63.76
2004-05-07,0,64.45
2004-05-14,0,65.94
2004-05-21,0,63.56
2004-05-28,0,66.11
2004-06-04,0,64.96
2004-06-11,36,
2004-06-18,23,70.14
2004-06-25,23,73.17
2004-07-02,23,75.14
2004-07-09,0,76.22
2004-07-16,0,78.37
2004-07-23,0,73.79
2004-07-30,0,74.92
2004-08-06,0,67.70
2004-08-13,0,66.57
2004-08-20,0,65.69
2004-08-27,0,66.04
2004-09-03,0,66.20
2004-09-10,0,68.69
2004-09-17,0,72.10
2004-09-24,0,77.67
2004-10-01,0,81.25
2004-10-08,0,41.98
2004-10-15,0,40.91
2004-10-22,0,42.86
2004-10-29,0,42.97
2004-11-05,0,42.66
2004-11-12,0,42.26
2004-11-19,0,45.02
2004-11-26,0,47.63
2004-12-03,0,43.49
2004-12-10,19,43.00
2004-12-17,0,44.96
2004-12-24,0,
2004-12-31,0,45.40
2005-01-07,0,43.28
2005-01-14,0,48.02
2005-01-21,0,48.67
2005-01-28,0,50.68
2005-02-04,0,60.74
2005-02-11,0,61.43
2005-02-18,17,65.27
2005-02-25,18,72.90
2005-03-04,21,73.86
2005-03-11,17,68.93
2005-03-18,17,69.50
2005-03-25,18,
2005-04-01,26,77.76
2005-04-08,29,77.20
2005-04-15,31,67.61
2005-04-22,23,75.04
2005-04-29,31,68.53
2005-05-06,26,67.75
2005-05-13,26,61.86
2005-05-20,23,65.19
2005-05-27,34,70.49
2005-06-03,27,71.85
2005-06-10,23,74.09
2005-06-17,25,79.95
2005-06-24,38,79.57
2005-07-01,38,81.23
2005-07-08,29,84.57
2005-07-15,32,82.08
2005-07-22,27,83.35
2005-07-29,28,82.78
2005-08-05,34,88.32
2005-08-12,29,93.80
2005-08-19,45,87.89
2005-08-26,34,89.36
2005-09-02,66,108.43
2005-09-09,49,114.97
2005-09-16,51,108.05
2005-09-23,78,110.77
2005-09-30,58,113.06
2005-10-07,55,107.70
2005-10-14,37,101.27
2005-10-21,52,94.65
2005-10-28,47,99.50
2005-11-04,55,105.40
2005-11-11,49,96.31
2005-11-18,31,98.17
2005-11-25,32,101.28
2005-12-02,47,101.80
2005-12-09,36,105.46
2005-12-16,47,52.27
2005-12-23,44,52.83
2005-12-30,26,51.60
2006-01-06,32,55.89
2006-01-13,45,58.24
2006-01-20,51,60.32
2006-01-27,45,60.05
2006-02-03,51,58.63
2006-02-10,57,50.65
2006-02-17,62,54.49
2006-02-24,43,56.19
2006-03-03,55,56.52
2006-03-10,38,53.54
2006-03-17,46,57.86
2006-03-24,40,59.19
2006-03-31,43,59.78
2006-04-07,44,61.40
2006-04-14,48,
2006-04-21,65,69.04
2006-04-28,100,64.74
2006-05-05,67,65.00
2006-05-12,72,62.50
2006-05-19,74,58.90
2006-05-26,69,61.44
2006-06-02,52,63.05
2006-06-09,55,59.23
2006-06-16,48,60.00
2006-06-23,58,62.12
2006-06-30,51,66.52
2006-07-07,52,65.44
2006-07-14,70,64.85
2006-07-21,53,61.95
2006-07-28,53,67.13
2006-08-04,62,66.20
2006-08-11,59,64.84
2006-08-18,43,61.84
2006-08-25,59,62.40
2006-09-01,58,57.77
2006-09-08,61,51.75
2006-09-15,65,50.23
2006-09-22,72,48.19
2006-09-29,46,51.47
2006-10-06,60,50.64
2006-10-13,62,53.59
2006-10-20,42,52.09
2006-10-27,49,53.08
2006-11-03,52,51.90
2006-11-10,48,52.76
2006-11-17,46,52.86
2006-11-24,41,52.31
2006-12-01,42,55.85
2006-12-08,31,54.91
2006-12-15,42,55.12
2006-12-22,37,51.59
2006-12-29,31,51.16
2007-01-05,32,49.36
2007-01-12,43,50.57
2007-01-19,30,51.04
2007-01-26,35,52.49
2007-02-02,44,56.23
2007-02-09,34,55.62
2007-02-16,38,55.96
2007-02-23,40,58.77
2007-03-02,32,57.00
2007-03-09,40,60.23
2007-03-16,48,60.01
2007-03-23,38,63.65
2007-03-30,41,64.49
2007-04-06,46,
2007-04-13,43,68.40
2007-04-20,46,65.93
2007-04-27,52,71.21
2007-05-04,55,73.35
2007-05-11,42,73.83
2007-05-18,46,73.97
2007-05-25,46,74.74
2007-06-01,45,75.88
2007-06-08,43,73.43
2007-06-15,42,76.50
2007-06-22,31,76.45
2007-06-29,40,73.86
2007-07-06,34,75.49
2007-07-13,36,77.25
2007-07-20,32,73.13
2007-07-27,37,67.47
2007-08-03,40,61.92
2007-08-10,32,68.90
2007-08-17,38,64.59
2007-08-24,36,68.14
2007-08-31,43,68.51
2007-09-07,32,69.36
2007-09-14,38,69.29
2007-09-21,31,71.05
2007-09-28,35,67.18
2007-10-05,28,68.35
2007-10-12,32,73.49
2007-10-19,37,68.47
2007-10-26,26,73.13
2007-11-02,29,69.68
2007-11-09,36,68.52
2007-11-16,32,67.66
2007-11-23,22,65.96
2007-11-30,34,65.10
2007-12-07,28,66.52
2007-12-14,26,66.65
2007-12-21,24,70.72
2007-12-28,20,70.55
2008-01-04,28,64.14
2008-01-11,26,59.62
2008-01-18,31,54.03
2008-01-25,30,54.59
2008-02-01,33,60.17
2008-02-08,29,58.89
2008-02-15,31,58.37
2008-02-22,25,59.93
2008-02-29,27,57.77
2008-03-07,27,52.51
2008-03-14,28,49.11
2008-03-21,31,
2008-03-28,41,48.95
2008-04-04,30,50.61
2008-04-11,30,47.70
2008-04-18,28,52.55
2008-04-25,32,51.85
2008-05-02,31,49.38
2008-05-09,40,44.56
2008-05-16,26,48.43
2008-05-23,26,48.61
2008-05-30,33,50.84
2008-06-06,38,46.33
2008-06-13,28,44.84
2008-06-20,41,42.51
2008-06-27,35,39.96
2008-07-04,28,
2008-07-11,32,32.63
2008-07-18,35,33.11
2008-07-25,40,31.88
2008-08-01,35,32.95
2008-08-08,34,34.72
2008-08-15,28,34.23
2008-08-22,25,33.66
2008-08-29,28,34.76
2008-09-05,30,33.38
2008-09-12,32,35.87
2008-09-19,29,34.18
2008-09-26,28,34.17
2008-10-03,26,25.71
2008-10-10,34,18.30
2008-10-17,34,18.12
2008-10-24,27,15.96
2008-10-31,38,20.58
2008-11-07,27,19.24
2008-11-14,24,19.51
2008-11-21,27,16.36
2008-11-28,22,18.35
2008-12-05,26,16.96
2008-12-12,21,19.17
2008-12-19,19,22.72
2008-12-26,19,20.64
2009-01-02,15,23.24
2009-01-09,26,24.00
2009-01-16,25,24.03
2009-01-23,24,24.59
2009-01-30,27,24.12
2009-02-06,19,23.74
2009-02-13,17,24.07
2009-02-20,20,19.15
2009-02-27,25,19.38
2009-03-06,20,16.24
2009-03-13,22,17.33
2009-03-20,21,18.03
2009-03-27,18,19.05
2009-04-03,26,19.84
2009-04-10,21,
2009-04-17,23,21.72
2009-04-24,17,21.68
2009-05-01,17,20.65
2009-05-08,23,23.30
2009-05-15,22,20.84
2009-05-22,20,20.55
2009-05-29,15,22.37
2009-06-05,39,18.21
2009-06-12,28,17.61
2009-06-19,26,17.19
2009-06-26,25,16.48
2009-07-03,28,
2009-07-10,32,15.57
2009-07-17,23,17.42
2009-07-24,19,18.31
2009-07-31,24,18.00
2009-08-07,18,18.52
2009-08-14,23,17.79
2009-08-21,21,18.49
2009-08-28,24,19.00
2009-09-04,22,18.36
2009-09-11,20,18.93
2009-09-18,22,20.22
2009-09-25,16,19.46
2009-10-02,15,18.63
2009-10-09,18,19.38
2009-10-16,18,19.74
2009-10-23,18,20.67
2009-10-30,18,18.10
2009-11-06,13,17.29
2009-11-13,14,17.06
2009-11-20,17,16.47
2009-11-27,23,16.00
2009-12-04,20,16.41
2009-12-11,14,16.61
2009-12-18,17,16.69
2009-12-25,16,
2010-01-01,13,
2010-01-08,17,18.69
2010-01-15,16,18.77
2010-01-22,18,18.18
2010-01-29,14,18.42
2010-02-05,12,18.16
2010-02-12,10,17.70
2010-02-19,20,17.89
2010-02-26,15,17.52
2010-03-05,13,19.57
2010-03-12,16,20.44
2010-03-19,14,20.31
2010-03-26,15,19.72
2010-04-02,9,
2010-04-09,18,20.01
2010-04-16,18,19.15
2010-04-23,14,19.88
2010-04-30,15,20.79
2010-05-07,14,18.52
2010-05-14,17,20.13
2010-05-21,12,18.14
2010-05-28,12,18.68
2010-06-04,13,17.27
2010-06-11,16,17.25
2010-06-18,14,17.99
2010-06-25,14,18.77
2010-07-02,15,16.91
2010-07-09,11,17.89
2010-07-16,11,17.36
2010-07-23,13,17.09
2010-07-30,12,16.99
2010-08-06,15,18.06
2010-08-13,12,16.85
2010-08-20,8,16.54
2010-08-27,13,16.10
2010-09-03,19,16.94
2010-09-10,18,16.96
2010-09-17,15,16.99
2010-09-24,13,16.82
2010-10-01,15,17.65
2010-10-08,13,17.89
2010-10-15,16,18.10
2010-10-22,12,17.65
2010-10-29,13,17.95
2010-11-05,19,19.14
2010-11-12,14,19.97
2010-11-19,14,19.57
2010-11-26,13,19.56
2010-12-03,15,21.08
2010-12-10,15,21.62
2010-12-17,12,21.08
2010-12-24,10,
2010-12-31,13,23.12
2011-01-07,15,23.83
2011-01-14,18,24.99
2011-01-21,13,24.13
2011-01-28,15,25.15
2011-02-04,14,26.53
2011-02-11,16,27.97
2011-02-18,22,29.42
2011-02-25,24,28.56
2011-03-04,20,28.67
2011-03-11,19,27.98
2011-03-18,20,27.34
2011-03-25,20,29.93
2011-04-01,19,30.02
2011-04-08,17,28.19
2011-04-15,19,27.54
2011-04-22,18,
2011-04-29,20,28.30
2011-05-06,17,26.79
2011-05-13,20,26.68
2011-05-20,18,26.05
2011-05-27,14,26.92
2011-06-03,13,26.33
2011-06-10,18,24.96
2011-06-17,14,24.10
2011-06-24,16,23.18
2011-07-01,17,25.79
2011-07-08,15,26.18
2011-07-15,14,25.26
2011-07-22,16,26.71
2011-07-29,11,25.12
2011-08-05,13,20.71
2011-08-12,17,20.90
2011-08-19,16,18.82
2011-08-26,17,20.87
2011-09-02,19,21.94
2011-09-09,17,22.32
2011-09-16,18,22.19
2011-09-23,21,18.48
2011-09-30,16,17.78
2011-10-07,15,19.78
2011-10-14,17,23.62
2011-10-21,15,23.68
2011-10-28,23,26.70
2011-11-04,18,25.80
2011-11-11,14,24.77
2011-11-18,14,21.81
2011-11-25,18,20.23
2011-12-02,15,22.56
2011-12-09,15,21.15
2011-12-16,14,20.52
2011-12-23,12,21.04
2011-12-30,14,21.05
2012-01-06,13,20.37
2012-01-13,17,21.02
2012-01-20,15,23.51
2012-01-27,14,24.12
2012-02-03,17,24.63
2012-02-10,14,24.81
2012-02-17,11,24.99
2012-02-24,12,24.39
2012-03-02,15,26.02
2012-03-09,19,28.56
2012-03-16,16,27.99
2012-03-23,15,26.69
2012-03-30,16,25.77
2012-04-06,15,
2012-04-13,15,24.14
2012-04-20,15,23.75
2012-04-27,15,25.12
2012-05-04,14,22.95
2012-05-11,13,22.54
2012-05-18,14,21.44
2012-05-25,16,22.34
2012-06-01,14,20.68
2012-06-08,14,21.27
2012-06-15,13,22.24
2012-06-22,16,23.50
2012-06-29,15,24.15
2012-07-06,12,24.56
2012-07-13,13,24.86
2012-07-20,12,25.54
2012-07-27,13,26.10
2012-08-03,15,27.84
2012-08-10,12,29.10
2012-08-17,12,28.80
2012-08-24,14,29.24
2012-08-31,19,31.26
2012-09-07,21,32.18
2012-09-14,16,33.75
2012-09-21,17,31.97
2012-09-28,12,31.68
2012-10-05,17,31.89
2012-10-12,15,29.01
2012-10-19,13,29.53
2012-10-26,14,29.03
2012-11-02,12,28.20
2012-11-09,13,29.59
2012-11-16,14,29.36
2012-11-23,13,31.92
2012-11-30,14,32.26
2012-12-07,13,31.86
2012-12-14,12,33.37
2012-12-21,12,34.14
2012-12-28,13,33.10
2013-01-04,16,35.31
2013-01-11,15,34.70
2013-01-18,14,36.76
2013-01-25,15,38.10
2013-02-01,20,44.85
2013-02-08,20,46.13
2013-02-15,13,47.29
2013-02-22,17,46.07
2013-03-01,14,46.63
2013-03-08,15,45.50
2013-03-15,17,44.18
2013-03-22,16,44.24
2013-03-29,14,
2013-04-05,17,41.98
2013-04-12,16,40.91
2013-04-19,16,39.24
2013-04-26,17,40.72
2013-05-03,20,37.59
2013-05-10,16,38.80
2013-05-17,17,41.20
2013-05-24,17,40.06
2013-05-31,14,40.63
2013-06-07,15,39.57
2013-06-14,15,38.01
2013-06-21,15,35.39
2013-06-28,17,34.77
2013-07-05,16,33.85
2013-07-12,17,35.86
2013-07-19,16,34.71
2013-07-26,15,36.04
2013-08-02,15,35.09
2013-08-09,15,37.13
2013-08-16,14,35.41
2013-08-23,15,36.40
2013-08-30,16,35.53
2013-09-06,19,36.76
2013-09-13,19,35.05
2013-09-20,17,34.44
2013-09-27,18,34.30
2013-10-04,15,34.44
2013-10-11,16,36.54
2013-10-18,14,39.10
2013-10-25,16,39.44
2013-11-01,15,41.00
2013-11-08,14,40.32
2013-11-15,14,43.00
2013-11-22,15,44.11
2013-11-29,16,45.72
2013-12-06,16,46.58
2013-12-13,16,46.13
2013-12-20,14,47.49
2013-12-27,12,48.67
2014-01-03,15,49.35
2014-01-10,16,53.24
2014-01-17,16,51.42
2014-01-24,17,49.04
2014-01-31,15,51.10
2014-02-07,15,48.82
2014-02-14,18,49.86
2014-02-21,13,50.23
2014-02-28,14,47.98
2014-03-07,15,52.99
2014-03-14,17,54.23
2014-03-21,16,53.79
2014-03-28,15,52.86
2014-04-04,18,54.38
2014-04-11,17,50.96
2014-04-18,15,
2014-04-25,12,56.67
2014-05-02,17,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
