Date,GS,Price
2004-01-09,35,
2004-01-16,35,
2004-01-23,39,
2004-01-30,35,
2004-02-06,33,101.34
2004-02-13,34,105.85
2004-02-20,34,106.52
2004-02-27,33,105.87
2004-03-05,32,109.05
2004-03-12,35,104.93
2004-03-19,33,102.66
2004-03-26,32,103.75
2004-04-02,32,105.95
2004-04-09,31,
2004-04-16,36,103.36
2004-04-23,35,100.41
2004-04-30,33,96.75
2004-05-07,34,93.04
2004-05-14,33,94.01
2004-05-21,32,91.74
2004-05-28,35,93.91
2004-06-04,35,91.52
2004-06-11,34,
2004-06-18,36,89.18
2004-06-25,34,94.55
2004-07-02,32,93.61
2004-07-09,35,90.05
2004-07-16,36,87.25
2004-07-23,34,87.55
2004-07-30,33,88.19
2004-08-06,37,84.55
2004-08-13,34,84.25
2004-08-20,35,87.81
2004-08-27,32,90.48
2004-09-03,34,90.20
2004-09-10,35,93.13
2004-09-17,36,92.05
2004-09-24,34,93.48
2004-10-01,33,93.92
2004-10-08,31,94.24
2004-10-15,31,94.16
2004-10-22,33,92.70
2004-10-29,31,98.38
2004-11-05,32,100.85
2004-11-12,32,104.66
2004-11-19,32,103.04
2004-11-26,30,104.84
2004-12-03,32,106.47
2004-12-10,31,109.40
2004-12-17,35,103.75
2004-12-24,35,
2004-12-31,33,104.04
2005-01-07,34,104.78
2005-01-14,34,104.22
2005-01-21,33,103.33
2005-01-28,32,106.12
2005-02-04,34,110.02
2005-02-11,35,112.77
2005-02-18,35,109.00
2005-02-25,32,110.10
2005-03-04,36,111.53
2005-03-11,36,109.55
2005-03-18,38,109.98
2005-03-25,35,
2005-04-01,36,109.30
2005-04-08,38,112.93
2005-04-15,36,106.49
2005-04-22,35,104.19
2005-04-29,35,106.79
2005-05-06,37,104.68
2005-05-13,40,97.82
2005-05-20,35,101.08
2005-05-27,36,95.50
2005-06-03,36,97.30
2005-06-10,37,99.05
2005-06-17,36,103.80
2005-06-24,37,103.67
2005-07-01,38,102.71
