Date,Lilly (Eli) & Co.,Price
2004-01-09,88,
2004-01-16,93,
2004-01-23,81,
2004-01-30,81,
2004-02-06,98,72.85
2004-02-13,93,73.50
2004-02-20,90,72.47
2004-02-27,100,73.94
2004-03-05,90,73.46
2004-03-12,76,70.93
2004-03-19,85,68.63
2004-03-26,60,65.00
2004-04-02,89,68.70
2004-04-09,61,
2004-04-16,58,72.45
2004-04-23,70,73.15
2004-04-30,79,73.81
2004-05-07,69,75.55
2004-05-14,62,73.85
2004-05-21,80,71.98
2004-05-28,78,73.67
2004-06-04,68,75.00
2004-06-11,69,
2004-06-18,60,73.58
2004-06-25,67,71.40
2004-07-02,63,69.37
2004-07-09,67,67.00
2004-07-16,77,66.30
2004-07-23,73,62.71
2004-07-30,79,63.72
2004-08-06,67,61.00
2004-08-13,70,61.57
2004-08-20,77,64.50
2004-08-27,68,64.32
2004-09-03,48,64.98
2004-09-10,51,65.85
2004-09-17,54,66.39
2004-09-24,65,63.66
2004-10-01,56,61.40
2004-10-08,60,59.08
2004-10-15,69,57.35
2004-10-22,74,51.85
2004-10-29,48,54.91
2004-11-05,51,57.60
2004-11-12,50,56.21
2004-11-19,61,55.22
2004-11-26,41,54.75
2004-12-03,48,54.50
2004-12-10,67,55.04
2004-12-17,52,56.02
2004-12-24,41,
2004-12-31,31,56.75
2005-01-07,51,56.26
2005-01-14,61,57.25
2005-01-21,50,55.32
2005-01-28,53,53.58
2005-02-04,60,55.03
2005-02-11,57,55.50
2005-02-18,47,54.60
2005-02-25,54,55.83
2005-03-04,56,56.76
2005-03-11,42,54.85
2005-03-18,54,52.52
2005-03-25,57,
2005-04-01,52,51.19
2005-04-08,51,54.31
2005-04-15,81,58.07
2005-04-22,49,58.40
2005-04-29,63,58.47
2005-05-06,55,60.18
2005-05-13,45,58.76
2005-05-20,41,58.90
2005-05-27,42,59.05
2005-06-03,39,57.65
2005-06-10,47,56.99
2005-06-17,51,58.52
2005-06-24,35,56.91
2005-07-01,50,55.42
2005-07-08,39,56.25
2005-07-15,60,56.66
2005-07-22,53,55.00
2005-07-29,52,56.32
2005-08-05,52,53.45
2005-08-12,48,53.41
2005-08-19,53,52.57
2005-08-26,38,53.41
2005-09-02,38,54.75
2005-09-09,45,56.72
2005-09-16,40,55.20
2005-09-23,54,53.79
2005-09-30,56,53.52
2005-10-07,46,53.41
2005-10-14,37,52.62
2005-10-21,52,50.70
2005-10-28,46,49.99
2005-11-04,43,50.83
2005-11-11,52,50.98
2005-11-18,41,50.34
2005-11-25,34,50.54
2005-12-02,49,51.57
2005-12-09,42,53.41
2005-12-16,37,56.66
