Date,Ross Stores,Price
2004-01-09,52,
2004-01-16,53,
2004-01-23,46,
2004-01-30,54,
2004-02-06,31,30.21
2004-02-13,34,30.10
2004-02-20,46,30.67
2004-02-27,52,32.05
2004-03-05,55,29.83
2004-03-12,60,28.98
2004-03-19,65,29.04
2004-03-26,80,29.60
2004-04-02,57,30.70
2004-04-09,59,
2004-04-16,76,30.99
2004-04-23,56,31.46
2004-04-30,53,30.45
2004-05-07,45,27.83
2004-05-14,43,26.60
2004-05-21,48,24.86
2004-05-28,43,26.19
2004-06-04,61,24.93
2004-06-11,33,
2004-06-18,83,26.92
2004-06-25,60,27.98
2004-07-02,67,25.98
2004-07-09,68,24.40
2004-07-16,61,22.79
2004-07-23,67,22.57
2004-07-30,77,23.15
2004-08-06,70,22.40
2004-08-13,77,23.27
2004-08-20,52,22.41
2004-08-27,59,21.25
2004-09-03,54,23.44
2004-09-10,68,23.66
2004-09-17,35,23.19
2004-09-24,66,23.32
2004-10-01,53,23.50
2004-10-08,69,23.42
2004-10-15,61,23.06
2004-10-22,62,23.17
2004-10-29,55,26.27
2004-11-05,92,27.25
2004-11-12,56,27.99
2004-11-19,78,27.24
2004-11-26,59,27.97
2004-12-03,79,27.05
2004-12-10,90,27.12
2004-12-17,83,27.47
2004-12-24,91,
2004-12-31,88,28.87
2005-01-07,57,28.60
2005-01-14,52,28.83
2005-01-21,45,28.60
2005-01-28,42,27.88
2005-02-04,45,29.00
2005-02-11,47,27.78
2005-02-18,65,27.50
2005-02-25,51,27.97
2005-03-04,39,30.41
2005-03-11,70,29.44
2005-03-18,54,27.96
2005-03-25,66,
2005-04-01,69,28.10
2005-04-08,68,28.45
2005-04-15,48,27.55
2005-04-22,53,27.28
2005-04-29,52,26.72
2005-05-06,63,26.29
2005-05-13,61,25.42
2005-05-20,47,27.70
2005-05-27,45,28.41
2005-06-03,46,29.36
2005-06-10,35,29.61
2005-06-17,74,29.66
2005-06-24,80,28.52
2005-07-01,52,28.69
2005-07-08,69,27.64
2005-07-15,78,27.26
2005-07-22,62,26.73
2005-07-29,73,26.50
2005-08-05,83,26.06
2005-08-12,71,26.80
2005-08-19,50,24.83
2005-08-26,81,24.77
2005-09-02,71,24.44
2005-09-09,51,24.84
2005-09-16,63,24.28
2005-09-23,65,22.94
2005-09-30,59,23.70
2005-10-07,55,25.82
2005-10-14,45,25.70
2005-10-21,61,25.98
2005-10-28,55,25.88
2005-11-04,51,25.80
2005-11-11,61,26.08
2005-11-18,66,25.82
2005-11-25,66,26.99
2005-12-02,76,28.00
2005-12-09,67,27.46
2005-12-16,70,28.26
2005-12-23,80,29.62
2005-12-30,77,28.90
2006-01-06,49,29.41
2006-01-13,55,30.50
2006-01-20,55,29.06
2006-01-27,36,29.30
2006-02-03,45,27.18
2006-02-10,42,27.34
2006-02-17,36,27.21
2006-02-24,43,28.10
2006-03-03,48,28.36
2006-03-10,42,27.85
2006-03-17,51,27.46
2006-03-24,57,28.93
2006-03-31,52,29.19
2006-04-07,50,30.18
2006-04-14,51,
2006-04-21,52,29.58
2006-04-28,61,30.64
2006-05-05,56,29.75
2006-05-12,59,28.51
2006-05-19,57,27.59
2006-05-26,53,27.88
2006-06-02,59,28.38
2006-06-09,58,27.10
2006-06-16,54,27.30
2006-06-23,57,27.23
