Date,Johnson Controls,Price
2004-01-09,72,
2004-01-16,79,
2004-01-23,80,
2004-01-30,90,
2004-02-06,77,60.06
2004-02-13,96,59.06
2004-02-20,68,58.07
2004-02-27,100,58.32
2004-03-05,44,59.67
2004-03-12,81,58.23
2004-03-19,74,57.48
2004-03-26,82,58.90
2004-04-02,74,59.71
2004-04-09,65,
2004-04-16,57,56.99
2004-04-23,86,58.67
2004-04-30,73,54.86
2004-05-07,73,52.62
2004-05-14,72,52.73
2004-05-21,80,52.00
2004-05-28,73,53.92
2004-06-04,94,54.35
2004-06-11,64,
2004-06-18,94,55.53
2004-06-25,81,54.70
2004-07-02,74,51.56
2004-07-09,75,53.23
2004-07-16,73,53.44
2004-07-23,83,56.72
2004-07-30,81,56.45
2004-08-06,64,53.55
2004-08-13,55,53.32
2004-08-20,69,54.33
2004-08-27,69,56.14
2004-09-03,73,56.31
2004-09-10,60,56.49
2004-09-17,60,56.04
2004-09-24,89,55.50
2004-10-01,80,57.60
2004-10-08,81,55.97
2004-10-15,63,55.49
2004-10-22,72,53.89
2004-10-29,66,57.35
2004-11-05,62,59.90
2004-11-12,73,61.70
2004-11-19,76,61.24
2004-11-26,44,62.97
2004-12-03,69,61.90
2004-12-10,70,61.75
2004-12-17,62,60.68
2004-12-24,51,
2004-12-31,43,63.44
2005-01-07,51,61.10
2005-01-14,72,61.24
2005-01-21,75,59.86
2005-01-28,76,58.31
2005-02-04,74,59.48
2005-02-11,76,58.38
2005-02-18,62,58.61
2005-02-25,87,59.34
2005-03-04,72,57.53
2005-03-11,73,58.50
2005-03-18,78,56.76
2005-03-25,68,
2005-04-01,58,55.30
2005-04-08,70,55.66
2005-04-15,73,52.93
2005-04-22,72,54.86
2005-04-29,63,54.87
2005-05-06,69,54.75
2005-05-13,51,53.68
2005-05-20,60,56.70
2005-05-27,67,56.99
2005-06-03,52,56.41
2005-06-10,57,56.43
2005-06-17,71,57.74
2005-06-24,66,55.04
2005-07-01,68,56.40
2005-07-08,71,59.00
2005-07-15,66,58.87
2005-07-22,66,58.39
2005-07-29,56,57.44
2005-08-05,68,57.26
2005-08-12,50,57.63
2005-08-19,64,56.95
2005-08-26,97,60.19
2005-09-02,65,59.70
2005-09-09,68,61.82
2005-09-16,66,61.79
2005-09-23,65,61.02
2005-09-30,67,62.05
2005-10-07,67,61.49
2005-10-14,77,65.36
2005-10-21,61,65.87
2005-10-28,81,67.00
2005-11-04,69,68.72
2005-11-11,63,69.13
2005-11-18,71,69.74
2005-11-25,70,69.99
2005-12-02,48,70.46
2005-12-09,69,70.68
2005-12-16,61,73.94
2005-12-23,55,72.93
2005-12-30,46,72.91
2006-01-06,52,75.65
2006-01-13,75,74.01
2006-01-20,67,67.88
2006-01-27,57,69.99
2006-02-03,62,67.91
2006-02-10,61,68.01
2006-02-17,60,68.39
2006-02-24,77,69.00
2006-03-03,62,70.80
2006-03-10,68,73.62
2006-03-17,53,75.96
2006-03-24,53,76.98
2006-03-31,71,75.93
2006-04-07,60,77.12
2006-04-14,57,
2006-04-21,60,81.26
2006-04-28,61,81.55
2006-05-05,62,85.15
2006-05-12,64,83.35
2006-05-19,53,82.75
2006-05-26,60,83.03
2006-06-02,60,89.12
2006-06-09,50,83.00
2006-06-16,57,80.46
2006-06-23,55,81.43
2006-06-30,45,82.22
2006-07-07,65,84.50
2006-07-14,64,80.88
2006-07-21,68,77.65
2006-07-28,65,76.35
2006-08-04,52,75.60
2006-08-11,60,73.53
2006-08-18,60,74.90
2006-08-25,60,70.92
2006-09-01,57,72.65
2006-09-08,52,69.90
2006-09-15,54,71.86
2006-09-22,59,68.40
2006-09-29,61,71.74
2006-10-06,59,75.35
2006-10-13,60,82.47
2006-10-20,61,83.70
2006-10-27,67,82.63
2006-11-03,54,81.97
2006-11-10,68,83.80
2006-11-17,51,84.99
2006-11-24,46,83.29
2006-12-01,54,81.85
2006-12-08,53,83.77
2006-12-15,61,84.15
2006-12-22,55,85.21
2006-12-29,28,85.92
2007-01-05,57,84.75
2007-01-12,65,86.20
2007-01-19,51,89.42
2007-01-26,64,92.02
2007-02-02,60,94.85
2007-02-09,56,94.36
2007-02-16,62,96.34
2007-02-23,67,97.81
2007-03-02,62,95.57
2007-03-09,62,95.37
2007-03-16,57,94.77
2007-03-23,48,95.68
2007-03-30,63,94.62
2007-04-06,50,
2007-04-13,50,95.49
2007-04-20,59,102.35
2007-04-27,58,103.90
2007-05-04,54,107.55
2007-05-11,55,109.91
2007-05-18,59,110.60
2007-05-25,66,108.27
2007-06-01,52,109.49
2007-06-08,61,110.72
2007-06-15,56,113.44
2007-06-22,58,114.00
2007-06-29,58,115.77
2007-07-06,52,116.60
2007-07-13,56,123.35
2007-07-20,63,118.85
2007-07-27,64,109.71
2007-08-03,59,112.03
2007-08-10,67,114.95
2007-08-17,53,108.67
2007-08-24,54,112.53
2007-08-31,57,113.10
2007-09-07,52,109.71
2007-09-14,61,111.22
2007-09-21,55,117.11
2007-09-28,61,118.11
2007-10-05,71,40.66
2007-10-12,64,42.63
2007-10-19,65,40.31
2007-10-26,63,42.74
2007-11-02,61,42.96
2007-11-09,53,39.88
2007-11-16,58,38.11
2007-11-23,57,36.61
2007-11-30,70,38.62
2007-12-07,63,38.03
2007-12-14,56,36.32
2007-12-21,53,36.10
2007-12-28,29,36.80
2008-01-04,50,34.29
2008-01-11,61,33.16
2008-01-18,55,32.01
2008-01-25,63,32.60
2008-02-01,61,35.85
2008-02-08,67,33.43
2008-02-15,58,34.32
2008-02-22,55,33.84
2008-02-29,61,32.86
2008-03-07,61,32.16
2008-03-14,56,32.64
2008-03-21,56,
2008-03-28,57,33.13
2008-04-04,54,35.14
2008-04-11,56,32.64
2008-04-18,62,35.05
2008-04-25,55,33.95
2008-05-02,60,34.88
2008-05-09,58,33.98
2008-05-16,52,35.85
2008-05-23,54,33.20
2008-05-30,51,34.06
2008-06-06,58,31.54
2008-06-13,63,33.28
2008-06-20,54,30.80
2008-06-27,58,28.67
2008-07-04,53,
2008-07-11,62,28.34
2008-07-18,55,30.05
2008-07-25,58,31.05
2008-08-01,53,29.61
2008-08-08,54,32.10
2008-08-15,56,33.17
2008-08-22,59,31.75
2008-08-29,54,30.92
2008-09-05,52,29.50
