Date,BLL,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,75,
2004-02-06,69,64.57
2004-02-13,69,64.10
2004-02-20,49,64.07
2004-02-27,0,64.57
2004-03-05,0,66.15
2004-03-12,0,65.87
2004-03-19,0,65.31
2004-03-26,0,67.09
2004-04-02,0,69.39
2004-04-09,0,
2004-04-16,0,69.70
2004-04-23,0,70.11
2004-04-30,0,66.00
2004-05-07,86,61.33
2004-05-14,53,65.36
2004-05-21,53,65.03
2004-05-28,53,68.31
2004-06-04,49,68.51
2004-06-11,49,
2004-06-18,44,70.65
2004-06-25,52,71.55
2004-07-02,59,70.76
2004-07-09,65,71.06
2004-07-16,59,73.39
2004-07-23,45,70.02
2004-07-30,48,72.18
2004-08-06,51,71.67
2004-08-13,54,72.18
2004-08-20,42,74.57
2004-08-27,42,37.11
2004-09-03,42,37.61
2004-09-10,42,36.34
2004-09-17,43,36.43
2004-09-24,38,35.95
2004-10-01,44,37.54
2004-10-08,50,37.61
2004-10-15,55,37.67
2004-10-22,48,37.70
2004-10-29,50,39.85
2004-11-05,52,42.01
2004-11-12,54,43.10
2004-11-19,50,42.85
2004-11-26,50,43.85
2004-12-03,50,43.66
2004-12-10,50,43.55
2004-12-17,50,43.48
2004-12-24,42,
2004-12-31,42,43.98
2005-01-07,42,42.36
2005-01-14,43,42.75
2005-01-21,42,42.79
2005-01-28,63,41.59
2005-02-04,32,43.95
2005-02-11,36,44.08
2005-02-18,44,44.80
2005-02-25,53,44.55
2005-03-04,44,45.69
2005-03-11,42,45.43
2005-03-18,48,45.62
2005-03-25,33,
2005-04-01,40,41.66
2005-04-08,49,40.84
2005-04-15,65,38.70
2005-04-22,69,40.27
2005-04-29,49,39.50
2005-05-06,36,39.18
2005-05-13,65,36.91
2005-05-20,60,37.09
2005-05-27,47,37.96
2005-06-03,50,37.55
2005-06-10,63,37.48
2005-06-17,72,38.37
2005-06-24,36,36.03
2005-07-01,45,35.56
2005-07-08,48,39.08
2005-07-15,30,38.46
2005-07-22,47,39.14
2005-07-29,38,37.95
2005-08-05,44,37.90
2005-08-12,46,39.03
2005-08-19,32,38.42
2005-08-26,36,37.75
2005-09-02,49,37.85
2005-09-09,40,37.70
2005-09-16,40,37.39
2005-09-23,44,35.95
2005-09-30,49,36.74
2005-10-07,62,37.10
2005-10-14,59,36.01
2005-10-21,45,35.75
2005-10-28,62,39.60
2005-11-04,58,39.15
2005-11-11,41,39.10
2005-11-18,71,39.36
2005-11-25,50,40.90
2005-12-02,33,41.69
2005-12-09,38,40.43
2005-12-16,59,40.14
2005-12-23,30,40.69
2005-12-30,45,39.72
2006-01-06,49,42.11
2006-01-13,54,41.02
2006-01-20,41,40.43
2006-01-27,62,40.25
2006-02-03,57,39.56
2006-02-10,50,40.23
2006-02-17,53,41.65
2006-02-24,52,43.87
2006-03-03,53,43.30
2006-03-10,61,43.32
2006-03-17,46,44.33
2006-03-24,51,44.40
2006-03-31,43,43.83
2006-04-07,51,42.43
2006-04-14,36,
2006-04-21,63,43.25
2006-04-28,51,39.98
2006-05-05,55,39.17
2006-05-12,47,37.87
2006-05-19,29,36.21
2006-05-26,35,37.15
2006-06-02,44,37.20
2006-06-09,49,35.75
2006-06-16,44,35.68
2006-06-23,49,36.08
2006-06-30,53,37.04
2006-07-07,31,36.19
2006-07-14,42,35.71
2006-07-21,46,36.94
2006-07-28,53,38.34
2006-08-04,43,38.86
2006-08-11,26,38.23
2006-08-18,58,39.54
2006-08-25,42,39.77
2006-09-01,44,40.38
2006-09-08,65,40.00
2006-09-15,50,41.03
2006-09-22,44,40.40
2006-09-29,70,40.45
2006-10-06,36,41.41
2006-10-13,62,42.58
2006-10-20,45,41.55
2006-10-27,62,41.26
2006-11-03,53,41.51
2006-11-10,54,42.08
2006-11-17,57,42.00
2006-11-24,54,42.35
2006-12-01,45,42.82
2006-12-08,55,43.58
2006-12-15,48,43.51
2006-12-22,39,42.95
2006-12-29,43,43.60
2007-01-05,39,43.91
2007-01-12,56,45.33
2007-01-19,45,46.00
2007-01-26,55,46.27
2007-02-02,53,46.72
2007-02-09,43,45.67
2007-02-16,66,46.60
2007-02-23,58,47.20
2007-03-02,70,45.54
2007-03-09,51,45.90
2007-03-16,50,45.22
2007-03-23,63,46.00
2007-03-30,81,45.85
2007-04-06,76,
2007-04-13,47,48.84
2007-04-20,69,49.93
2007-04-27,78,50.83
2007-05-04,49,51.84
2007-05-11,72,53.04
2007-05-18,75,54.98
2007-05-25,77,54.27
2007-06-01,64,55.64
2007-06-08,66,53.56
2007-06-15,100,54.70
2007-06-22,59,54.02
2007-06-29,69,53.17
2007-07-06,67,54.29
2007-07-13,78,54.40
2007-07-20,62,53.14
2007-07-27,78,50.92
2007-08-03,76,50.59
2007-08-10,79,51.93
2007-08-17,73,50.54
2007-08-24,78,52.80
2007-08-31,65,52.38
2007-09-07,70,52.02
2007-09-14,52,51.93
2007-09-21,68,54.72
2007-09-28,83,53.75
2007-10-05,73,55.71
2007-10-12,76,52.19
2007-10-19,82,52.84
2007-10-26,66,49.69
2007-11-02,81,48.76
2007-11-09,65,46.15
2007-11-16,62,45.73
2007-11-23,83,45.47
2007-11-30,72,46.25
2007-12-07,92,45.87
2007-12-14,96,45.87
2007-12-21,88,46.08
2007-12-28,55,45.26
2008-01-04,60,43.62
2008-01-11,72,43.87
2008-01-18,80,42.03
2008-01-25,89,41.56
2008-02-01,78,46.39
2008-02-08,73,44.37
2008-02-15,56,45.13
2008-02-22,84,45.78
2008-02-29,69,44.10
2008-03-07,72,43.71
2008-03-14,72,43.25
2008-03-21,76,
2008-03-28,80,45.14
2008-04-04,59,48.35
2008-04-11,83,46.04
2008-04-18,92,51.75
2008-04-25,76,54.17
2008-05-02,72,53.93
2008-05-09,83,53.79
2008-05-16,76,55.62
2008-05-23,67,52.99
2008-05-30,87,54.30
2008-06-06,79,52.08
2008-06-13,77,52.59
2008-06-20,67,51.72
2008-06-27,97,47.68
2008-07-04,93,
2008-07-11,85,45.93
2008-07-18,98,50.53
2008-07-25,81,45.18
2008-08-01,84,44.66
2008-08-08,75,44.93
2008-08-15,85,45.43
2008-08-22,75,45.48
2008-08-29,64,45.92
2008-09-05,90,44.01
2008-09-12,83,45.15
2008-09-19,94,42.31
2008-09-26,96,42.75
2008-10-03,79,35.82
2008-10-10,90,31.17
2008-10-17,83,32.26
2008-10-24,72,29.70
2008-10-31,76,34.20
2008-11-07,89,34.63
2008-11-14,75,32.77
2008-11-21,80,30.18
2008-11-28,70,36.45
2008-12-05,84,34.94
2008-12-12,94,40.06
2008-12-19,84,41.31
2008-12-26,68,40.43
2009-01-02,74,42.79
2009-01-09,64,40.99
2009-01-16,73,39.24
2009-01-23,88,38.57
2009-01-30,77,38.34
2009-02-06,72,41.23
2009-02-13,73,41.75
2009-02-20,65,40.04
2009-02-27,72,40.29
2009-03-06,71,37.24
2009-03-13,74,39.81
2009-03-20,73,41.39
2009-03-27,76,43.37
2009-04-03,68,44.18
2009-04-10,74,
2009-04-17,71,43.15
2009-04-24,57,40.32
2009-05-01,66,38.00
2009-05-08,59,38.81
2009-05-15,72,39.21
2009-05-22,64,38.89
2009-05-29,71,39.80
2009-06-05,63,43.64
2009-06-12,70,43.00
2009-06-19,57,41.91
2009-06-26,61,42.89
2009-07-03,70,
2009-07-10,70,45.56
2009-07-17,60,46.96
2009-07-24,66,49.52
2009-07-31,61,48.36
2009-08-07,73,47.25
2009-08-14,73,50.58
2009-08-21,69,50.08
2009-08-28,70,48.76
2009-09-04,71,48.40
2009-09-11,69,49.00
2009-09-18,62,50.93
2009-09-25,67,48.94
2009-10-02,67,48.86
2009-10-09,60,51.56
2009-10-16,72,51.32
2009-10-23,50,50.16
2009-10-30,58,49.33
2009-11-06,61,49.50
2009-11-13,67,50.12
2009-11-20,51,50.39
2009-11-27,63,49.85
2009-12-04,63,49.20
2009-12-11,62,51.49
2009-12-18,51,51.26
2009-12-25,52,
2010-01-01,63,
2010-01-08,57,52.07
2010-01-15,49,51.41
2010-01-22,41,50.85
2010-01-29,51,50.79
2010-02-05,53,50.55
2010-02-12,59,51.39
2010-02-19,57,52.63
2010-02-26,47,54.04
2010-03-05,60,54.90
2010-03-12,56,54.45
2010-03-19,61,54.20
2010-03-26,63,54.00
2010-04-02,59,
2010-04-09,66,54.37
2010-04-16,58,54.32
2010-04-23,63,55.37
2010-04-30,60,53.21
2010-05-07,61,49.49
2010-05-14,56,50.91
2010-05-21,56,50.03
2010-05-28,60,49.25
2010-06-04,62,51.15
2010-06-11,68,52.35
2010-06-18,69,55.14
2010-06-25,59,53.85
2010-07-02,61,51.79
2010-07-09,50,54.31
2010-07-16,61,53.95
2010-07-23,59,57.20
2010-07-30,49,58.24
2010-08-06,55,58.46
2010-08-13,59,57.17
2010-08-20,56,57.14
2010-08-27,46,56.49
2010-09-03,59,59.08
2010-09-10,54,59.40
2010-09-17,61,59.97
2010-09-24,58,60.21
2010-10-01,54,59.39
2010-10-08,63,60.12
2010-10-15,61,62.18
2010-10-22,55,61.38
2010-10-29,51,64.36
2010-11-05,53,66.06
2010-11-12,53,64.88
2010-11-19,52,65.45
2010-11-26,60,64.87
2010-12-03,59,68.85
2010-12-10,50,67.98
2010-12-17,61,68.50
2010-12-24,55,
2010-12-31,54,68.05
2011-01-07,53,70.08
2011-01-14,56,69.81
2011-01-21,59,69.54
2011-01-28,60,70.92
2011-02-04,67,73.72
2011-02-11,59,74.05
2011-02-18,55,37.00
2011-02-25,45,36.10
2011-03-04,50,35.83
2011-03-11,56,34.99
2011-03-18,59,34.29
2011-03-25,54,35.51
2011-04-01,47,35.77
2011-04-08,50,36.01
2011-04-15,59,36.79
2011-04-22,53,
2011-04-29,52,37.31
2011-05-06,51,38.03
2011-05-13,58,38.46
2011-05-20,69,39.04
2011-05-27,64,39.08
2011-06-03,52,38.06
2011-06-10,54,38.10
2011-06-17,57,37.82
2011-06-24,57,37.49
2011-07-01,58,39.14
2011-07-08,62,40.36
2011-07-15,55,39.44
2011-07-22,54,39.31
2011-07-29,53,38.80
2011-08-05,63,35.44
2011-08-12,56,35.93
2011-08-19,58,34.00
2011-08-26,62,35.01
2011-09-02,57,35.02
2011-09-09,51,34.03
2011-09-16,58,34.31
2011-09-23,59,30.95
2011-09-30,57,31.02
2011-10-07,56,32.45
2011-10-14,58,33.96
2011-10-21,60,34.82
2011-10-28,70,35.66
2011-11-04,51,34.87
2011-11-11,63,35.41
2011-11-18,58,33.91
2011-11-25,53,33.18
2011-12-02,54,34.92
2011-12-09,60,34.92
2011-12-16,61,34.63
2011-12-23,66,35.80
2011-12-30,57,35.71
2012-01-06,55,37.12
2012-01-13,56,37.64
2012-01-20,59,37.91
2012-01-27,57,39.44
2012-02-03,56,39.80
2012-02-10,60,39.81
2012-02-17,60,40.11
2012-02-24,64,39.78
2012-03-02,57,39.81
2012-03-09,48,39.72
2012-03-16,65,41.39
2012-03-23,56,41.09
2012-03-30,65,42.88
2012-04-06,54,
2012-04-13,58,42.77
2012-04-20,52,43.52
2012-04-27,57,41.78
2012-05-04,55,40.76
2012-05-11,56,40.96
2012-05-18,58,38.66
2012-05-25,51,39.88
2012-06-01,54,39.33
2012-06-08,58,41.15
2012-06-15,51,42.75
2012-06-22,54,41.64
2012-06-29,54,41.05
2012-07-06,56,40.58
2012-07-13,57,41.23
2012-07-20,63,41.77
2012-07-27,52,41.89
2012-08-03,55,41.10
2012-08-10,50,42.01
2012-08-17,54,43.06
2012-08-24,55,42.13
2012-08-31,56,42.17
2012-09-07,53,42.78
2012-09-14,61,43.28
2012-09-21,57,42.51
2012-09-28,57,42.31
2012-10-05,43,42.79
2012-10-12,50,41.31
2012-10-19,52,42.66
2012-10-26,51,42.81
2012-11-02,54,43.38
2012-11-09,50,43.85
2012-11-16,44,43.34
2012-11-23,48,45.07
2012-11-30,56,44.69
2012-12-07,55,44.15
2012-12-14,51,44.25
2012-12-21,55,44.80
2012-12-28,46,44.29
2013-01-04,52,46.50
2013-01-11,49,45.40
2013-01-18,47,46.65
2013-01-25,57,46.61
2013-02-01,50,45.59
2013-02-08,49,45.36
2013-02-15,53,45.54
2013-02-22,48,44.34
2013-03-01,56,44.22
2013-03-08,50,44.85
2013-03-15,79,46.01
2013-03-22,65,45.87
2013-03-29,70,
2013-04-05,72,46.99
2013-04-12,59,47.89
2013-04-19,65,46.43
2013-04-26,71,44.03
2013-05-03,62,45.34
2013-05-10,66,45.97
2013-05-17,69,45.75
2013-05-24,62,44.39
2013-05-31,56,43.16
2013-06-07,62,43.58
2013-06-14,61,43.34
2013-06-21,50,42.55
2013-06-28,52,41.54
2013-07-05,54,42.54
2013-07-12,63,45.38
2013-07-19,57,45.17
2013-07-26,62,44.95
2013-08-02,52,45.85
2013-08-09,54,44.67
2013-08-16,54,45.01
2013-08-23,56,45.70
2013-08-30,59,44.42
2013-09-06,56,44.40
2013-09-13,57,44.46
2013-09-20,57,45.79
2013-09-27,59,45.00
2013-10-04,57,45.19
2013-10-11,63,45.48
2013-10-18,58,46.17
2013-10-25,59,48.60
2013-11-01,58,48.88
2013-11-08,60,49.50
2013-11-15,59,50.17
2013-11-22,60,50.01
2013-11-29,55,49.98
2013-12-06,58,50.05
2013-12-13,57,49.91
2013-12-20,54,50.93
2013-12-27,53,51.58
2014-01-03,49,51.65
2014-01-10,55,51.93
2014-01-17,50,50.53
2014-01-24,51,48.60
2014-01-31,56,51.19
2014-02-07,54,52.80
2014-02-14,50,54.63
2014-02-21,53,54.92
2014-02-28,50,55.56
2014-03-07,58,56.09
2014-03-14,51,54.03
2014-03-21,56,54.04
2014-03-28,52,53.97
2014-04-04,58,55.18
2014-04-11,54,53.94
2014-04-18,58,
2014-04-25,58,55.95
2014-05-02,52,
