Date,GE,Price
2004-01-09,78,
2004-01-16,81,
2004-01-23,80,
2004-01-30,77,
2004-02-06,77,33.18
2004-02-13,79,32.72
2004-02-20,76,32.70
2004-02-27,76,32.52
2004-03-05,80,32.77
2004-03-12,72,30.60
2004-03-19,77,30.14
2004-03-26,73,30.10
2004-04-02,76,31.06
2004-04-09,74,
2004-04-16,77,31.23
2004-04-23,76,30.69
2004-04-30,80,29.95
2004-05-07,77,30.00
2004-05-14,80,30.16
2004-05-21,70,30.65
2004-05-28,76,31.12
2004-06-04,74,31.23
2004-06-11,81,
2004-06-18,75,32.58
2004-06-25,80,32.18
2004-07-02,78,31.67
2004-07-09,76,32.17
2004-07-16,83,33.09
2004-07-23,83,32.52
2004-07-30,79,33.25
2004-08-06,85,31.52
2004-08-13,78,31.89
2004-08-20,82,32.65
2004-08-27,81,32.77
2004-09-03,83,32.84
2004-09-10,81,33.88
2004-09-17,79,34.22
2004-09-24,74,33.41
2004-10-01,77,33.97
2004-10-08,78,33.74
2004-10-15,78,33.55
2004-10-22,76,32.95
2004-10-29,78,34.12
2004-11-05,78,35.19
2004-11-12,75,36.25
2004-11-19,80,36.27
2004-11-26,76,35.44
2004-12-03,83,35.83
2004-12-10,78,36.69
2004-12-17,78,36.75
2004-12-24,70,
2004-12-31,81,36.50
2005-01-07,84,36.00
2005-01-14,82,35.52
2005-01-21,78,35.13
2005-01-28,76,35.75
2005-02-04,77,36.25
2005-02-11,77,36.23
2005-02-18,81,35.88
2005-02-25,81,35.62
2005-03-04,80,36.12
2005-03-11,80,35.82
2005-03-18,77,35.88
2005-03-25,76,
2005-04-01,74,35.47
2005-04-08,75,35.74
2005-04-15,78,35.75
2005-04-22,78,36.10
2005-04-29,77,36.20
2005-05-06,78,35.85
2005-05-13,78,35.70
2005-05-20,76,37.00
2005-05-27,82,36.88
2005-06-03,77,36.70
2005-06-10,80,36.63
2005-06-17,83,36.50
2005-06-24,83,34.78
2005-07-01,82,34.74
2005-07-08,77,34.99
2005-07-15,86,35.53
2005-07-22,79,35.07
2005-07-29,81,34.50
2005-08-05,76,33.81
2005-08-12,80,34.25
2005-08-19,80,33.95
2005-08-26,81,33.38
2005-09-02,77,33.33
2005-09-09,77,33.98
2005-09-16,81,34.47
