Date,HAR,Price
2004-01-09,30,
2004-01-16,30,
2004-01-23,29,
2004-01-30,30,
2004-02-06,32,72.35
2004-02-13,30,73.50
2004-02-20,37,75.50
2004-02-27,30,77.99
2004-03-05,35,80.14
2004-03-12,36,77.80
2004-03-19,32,77.05
2004-03-26,34,75.50
2004-04-02,33,80.64
2004-04-09,26,
2004-04-16,35,83.11
2004-04-23,32,85.69
2004-04-30,34,75.85
2004-05-07,31,74.87
2004-05-14,34,73.02
2004-05-21,27,74.40
2004-05-28,33,80.14
2004-06-04,33,80.10
2004-06-11,28,
2004-06-18,26,89.10
2004-06-25,30,90.96
2004-07-02,27,90.18
2004-07-09,23,88.55
2004-07-16,23,85.18
2004-07-23,28,85.93
2004-07-30,27,85.73
2004-08-06,27,79.87
2004-08-13,37,77.97
2004-08-20,31,93.89
2004-08-27,37,95.10
2004-09-03,37,98.62
2004-09-10,34,101.45
2004-09-17,38,102.10
2004-09-24,36,105.79
2004-10-01,36,107.96
2004-10-08,39,104.55
2004-10-15,39,103.78
2004-10-22,36,105.76
2004-10-29,37,120.18
2004-11-05,36,126.53
2004-11-12,34,130.72
2004-11-19,34,124.90
2004-11-26,35,125.61
2004-12-03,41,127.30
2004-12-10,40,120.00
2004-12-17,36,125.61
2004-12-24,34,
2004-12-31,29,127.00
2005-01-07,32,116.90
2005-01-14,32,127.46
2005-01-21,37,122.80
2005-01-28,34,120.95
2005-02-04,35,119.05
2005-02-11,38,112.50
2005-02-18,34,111.60
2005-02-25,33,113.81
2005-03-04,35,111.06
2005-03-11,31,95.37
2005-03-18,33,92.74
2005-03-25,30,
2005-04-01,32,88.46
2005-04-08,36,89.37
2005-04-15,38,84.19
2005-04-22,35,79.91
2005-04-29,35,78.58
2005-05-06,38,76.70
2005-05-13,38,70.25
2005-05-20,35,80.00
2005-05-27,38,85.15
2005-06-03,37,83.45
2005-06-10,30,89.37
2005-06-17,31,86.25
2005-06-24,28,81.40
2005-07-01,30,82.20
2005-07-08,28,81.89
2005-07-15,28,83.73
2005-07-22,28,81.66
2005-07-29,30,85.95
2005-08-05,31,82.10
2005-08-12,32,82.66
2005-08-19,30,106.23
2005-08-26,31,104.20
2005-09-02,33,100.75
2005-09-09,33,102.74
2005-09-16,37,99.90
2005-09-23,34,98.86
2005-09-30,37,102.27
2005-10-07,33,104.31
2005-10-14,36,98.92
2005-10-21,34,102.04
2005-10-28,39,98.85
2005-11-04,38,100.83
2005-11-11,40,102.54
2005-11-18,38,99.20
2005-11-25,39,99.54
2005-12-02,38,97.79
2005-12-09,36,98.04
2005-12-16,38,95.94
2005-12-23,35,97.24
2005-12-30,33,97.85
2006-01-06,34,97.50
2006-01-13,38,98.70
2006-01-20,35,100.70
2006-01-27,37,111.46
2006-02-03,40,105.69
2006-02-10,36,101.43
2006-02-17,35,105.50
2006-02-24,35,108.41
2006-03-03,36,108.98
2006-03-10,38,110.11
2006-03-17,37,114.22
2006-03-24,38,106.10
2006-03-31,38,111.13
2006-04-07,42,105.77
2006-04-14,36,
2006-04-21,36,105.00
2006-04-28,39,87.99
2006-05-05,39,85.89
2006-05-12,39,84.67
2006-05-19,41,82.35
2006-05-26,39,84.94
2006-06-02,41,83.98
2006-06-09,32,81.26
2006-06-16,34,83.46
2006-06-23,31,81.46
2006-06-30,30,85.37
2006-07-07,27,82.22
2006-07-14,31,81.79
2006-07-21,30,80.24
2006-07-28,29,80.03
2006-08-04,30,79.72
