Date,buy CVS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,36.12
2004-02-13,0,37.50
2004-02-20,0,36.48
2004-02-27,0,37.50
2004-03-05,0,37.14
2004-03-12,0,35.30
2004-03-19,0,34.56
2004-03-26,0,35.00
2004-04-02,0,34.78
2004-04-09,0,
2004-04-16,0,37.61
2004-04-23,0,38.94
2004-04-30,0,38.63
2004-05-07,0,40.94
2004-05-14,0,40.18
2004-05-21,0,39.86
2004-05-28,0,41.68
2004-06-04,0,41.91
2004-06-11,0,
2004-06-18,0,41.96
2004-06-25,0,41.34
2004-07-02,0,41.66
2004-07-09,0,43.07
2004-07-16,0,42.48
2004-07-23,0,41.96
2004-07-30,0,41.87
2004-08-06,0,39.28
2004-08-13,0,39.15
2004-08-20,0,40.01
2004-08-27,0,40.67
2004-09-03,0,40.65
2004-09-10,0,40.35
2004-09-17,0,41.07
2004-09-24,0,42.28
2004-10-01,0,43.26
2004-10-08,0,42.72
2004-10-15,0,43.25
2004-10-22,0,42.28
2004-10-29,0,43.46
2004-11-05,0,46.20
2004-11-12,0,46.35
2004-11-19,0,45.80
2004-11-26,0,45.73
2004-12-03,0,45.76
2004-12-10,0,45.14
2004-12-17,0,44.16
2004-12-24,0,
2004-12-31,0,45.07
2005-01-07,0,45.75
2005-01-14,0,47.00
2005-01-21,23,45.89
2005-01-28,0,45.82
2005-02-04,0,49.85
2005-02-11,0,49.90
2005-02-18,0,48.63
2005-02-25,0,49.87
2005-03-04,0,52.58
2005-03-11,0,52.85
2005-03-18,0,52.85
2005-03-25,0,
2005-04-01,0,51.56
2005-04-08,0,51.65
2005-04-15,0,51.86
2005-04-22,0,50.50
2005-04-29,0,51.58
2005-05-06,0,53.67
2005-05-13,0,53.71
2005-05-20,0,55.00
2005-05-27,0,54.96
2005-06-03,0,57.27
2005-06-10,28,29.03
2005-06-17,20,29.54
2005-06-24,25,28.70
2005-07-01,0,29.05
2005-07-08,0,30.26
2005-07-15,0,30.56
2005-07-22,0,30.42
2005-07-29,0,31.03
2005-08-05,23,29.93
2005-08-12,24,29.52
2005-08-19,0,28.85
2005-08-26,0,28.98
2005-09-02,0,28.97
2005-09-09,0,29.49
2005-09-16,0,29.85
2005-09-23,0,28.48
2005-09-30,19,29.01
2005-10-07,21,25.58
2005-10-14,18,24.98
2005-10-21,22,26.13
2005-10-28,17,25.12
2005-11-04,18,27.02
2005-11-11,19,27.08
2005-11-18,20,26.92
2005-11-25,20,27.96
2005-12-02,20,27.28
2005-12-09,23,27.91
2005-12-16,27,28.26
2005-12-23,32,27.14
2005-12-30,18,26.42
2006-01-06,18,27.14
2006-01-13,18,26.75
2006-01-20,35,27.13
2006-01-27,16,28.07
2006-02-03,28,29.23
2006-02-10,16,27.90
2006-02-17,18,28.60
2006-02-24,14,28.21
2006-03-03,14,28.70
2006-03-10,17,30.40
2006-03-17,20,29.60
2006-03-24,17,29.05
2006-03-31,15,29.87
2006-04-07,17,31.18
2006-04-14,19,
2006-04-21,21,29.38
2006-04-28,19,29.72
2006-05-05,16,30.96
2006-05-12,16,29.26
2006-05-19,16,28.62
2006-05-26,16,28.59
2006-06-02,16,29.24
2006-06-09,16,29.21
2006-06-16,15,30.19
2006-06-23,28,29.20
2006-06-30,17,30.70
2006-07-07,17,30.46
2006-07-14,18,31.68
2006-07-21,20,31.99
2006-07-28,22,32.59
2006-08-04,13,33.80
2006-08-11,25,33.97
2006-08-18,13,33.87
2006-08-25,21,32.96
2006-09-01,23,33.96
2006-09-08,23,35.50
2006-09-15,12,34.74
2006-09-22,18,33.03
2006-09-29,17,32.12
2006-10-06,16,29.32
2006-10-13,16,31.09
2006-10-20,18,30.69
2006-10-27,14,31.20
2006-11-03,22,28.79
2006-11-10,19,28.96
2006-11-17,11,29.07
2006-11-24,24,27.97
2006-12-01,14,28.67
2006-12-08,24,30.23
2006-12-15,31,30.52
2006-12-22,32,31.25
2006-12-29,29,30.91
2007-01-05,29,31.17
2007-01-12,20,31.94
2007-01-19,23,33.28
2007-01-26,23,32.97
2007-02-02,20,33.19
2007-02-09,19,32.91
2007-02-16,21,32.73
2007-02-23,16,32.48
2007-03-02,10,30.94
2007-03-09,20,32.60
2007-03-16,15,32.94
2007-03-23,18,34.57
2007-03-30,18,34.14
2007-04-06,26,
2007-04-13,17,35.13
2007-04-20,22,34.97
2007-04-27,19,36.73
2007-05-04,25,35.94
2007-05-11,24,37.31
2007-05-18,23,38.46
2007-05-25,23,39.08
2007-06-01,27,38.55
2007-06-08,27,37.86
2007-06-15,26,37.63
2007-06-22,16,36.55
2007-06-29,17,36.45
2007-07-06,22,36.76
2007-07-13,23,36.36
2007-07-20,30,35.66
2007-07-27,22,35.14
2007-08-03,23,36.43
2007-08-10,25,38.00
2007-08-17,27,36.82
2007-08-24,30,36.80
2007-08-31,30,37.82
2007-09-07,19,37.19
2007-09-14,31,37.83
2007-09-21,25,37.83
2007-09-28,16,39.63
2007-10-05,24,38.94
2007-10-12,25,39.90
2007-10-19,25,39.14
2007-10-26,22,41.42
2007-11-02,29,41.75
2007-11-09,28,41.56
2007-11-16,19,42.21
2007-11-23,33,41.94
2007-11-30,28,40.09
2007-12-07,41,40.04
2007-12-14,27,39.20
2007-12-21,43,39.65
2007-12-28,44,40.00
2008-01-04,30,37.27
2008-01-11,28,36.77
2008-01-18,27,36.92
2008-01-25,23,35.56
2008-02-01,23,39.90
2008-02-08,21,39.56
2008-02-15,31,39.72
2008-02-22,23,40.16
2008-02-29,29,40.38
2008-03-07,22,38.91
2008-03-14,25,38.61
2008-03-21,27,
2008-03-28,22,40.85
2008-04-04,27,40.30
2008-04-11,26,40.15
2008-04-18,36,40.58
2008-04-25,25,40.93
2008-05-02,23,40.43
2008-05-09,27,41.34
2008-05-16,21,43.42
2008-05-23,36,42.15
2008-05-30,23,42.79
2008-06-06,31,42.64
2008-06-13,31,42.62
2008-06-20,35,41.36
2008-06-27,27,39.77
2008-07-04,33,
2008-07-11,32,38.64
2008-07-18,36,37.36
2008-07-25,31,38.34
2008-08-01,29,35.75
2008-08-08,29,38.62
2008-08-15,36,38.59
2008-08-22,37,37.63
2008-08-29,22,36.60
2008-09-05,41,35.86
2008-09-12,29,37.64
2008-09-19,27,36.11
2008-09-26,29,34.98
2008-10-03,29,31.93
2008-10-10,30,30.88
2008-10-17,37,26.91
2008-10-24,35,27.77
2008-10-31,30,30.65
2008-11-07,29,30.30
2008-11-14,36,29.31
2008-11-21,30,26.39
2008-11-28,51,28.93
2008-12-05,39,27.88
2008-12-12,46,28.45
2008-12-19,48,26.96
2008-12-26,62,26.73
2009-01-02,39,29.38
2009-01-09,36,25.69
2009-01-16,40,26.83
2009-01-23,38,27.73
2009-01-30,40,26.88
2009-02-06,46,29.04
2009-02-13,37,27.47
2009-02-20,33,27.82
2009-02-27,35,25.74
2009-03-06,30,24.46
2009-03-13,34,26.53
2009-03-20,31,26.69
2009-03-27,41,28.26
2009-04-03,27,28.45
2009-04-10,40,
2009-04-17,34,30.14
2009-04-24,40,29.73
2009-05-01,30,32.26
2009-05-08,35,32.12
2009-05-15,34,30.80
2009-05-22,36,29.53
2009-05-29,40,29.80
2009-06-05,37,30.19
2009-06-12,41,30.35
2009-06-19,47,31.77
2009-06-26,42,31.36
2009-07-03,32,
2009-07-10,41,30.90
2009-07-17,43,32.74
2009-07-24,40,34.38
2009-07-31,42,33.48
2009-08-07,37,34.47
2009-08-14,40,34.75
2009-08-21,46,35.72
2009-08-28,44,36.77
2009-09-04,38,37.20
2009-09-11,41,36.53
2009-09-18,37,35.98
2009-09-25,44,35.20
2009-10-02,36,35.32
2009-10-09,42,36.48
2009-10-16,40,37.70
2009-10-23,35,37.16
2009-10-30,42,35.30
2009-11-06,42,29.79
2009-11-13,32,30.25
2009-11-20,35,31.64
2009-11-27,43,31.20
2009-12-04,41,30.76
2009-12-11,45,32.22
2009-12-18,57,31.18
2009-12-25,67,
2010-01-01,42,
2010-01-08,40,34.00
2010-01-15,40,33.91
2010-01-22,42,33.24
2010-01-29,40,32.37
2010-02-05,39,31.07
2010-02-12,41,32.99
2010-02-19,44,34.31
2010-02-26,41,33.75
2010-03-05,37,35.03
2010-03-12,35,34.63
2010-03-19,38,34.55
2010-03-26,38,36.79
2010-04-02,36,
2010-04-09,39,37.23
2010-04-16,39,37.14
2010-04-23,44,37.01
2010-04-30,38,36.92
2010-05-07,38,34.86
2010-05-14,47,35.78
2010-05-21,40,34.30
2010-05-28,48,34.63
2010-06-04,47,33.79
2010-06-11,43,32.08
2010-06-18,48,32.43
2010-06-25,44,30.60
2010-07-02,48,29.08
2010-07-09,49,29.80
2010-07-16,52,30.04
2010-07-23,44,30.93
2010-07-30,47,30.69
2010-08-06,50,29.84
2010-08-13,48,28.70
2010-08-20,54,27.99
2010-08-27,54,27.51
2010-09-03,43,28.68
2010-09-10,42,29.02
2010-09-17,51,29.83
2010-09-24,42,31.01
2010-10-01,49,31.78
2010-10-08,47,31.25
2010-10-15,42,31.31
2010-10-22,40,31.36
2010-10-29,50,30.13
2010-11-05,42,30.94
2010-11-12,45,30.24
2010-11-19,42,31.03
2010-11-26,57,31.15
2010-12-03,57,32.42
2010-12-10,66,33.65
2010-12-17,64,34.40
2010-12-24,100,
2010-12-31,58,34.77
2011-01-07,54,35.05
2011-01-14,49,35.08
2011-01-21,46,35.41
2011-01-28,52,34.80
2011-02-04,49,32.67
2011-02-11,50,33.03
2011-02-18,41,33.06
2011-02-25,44,32.94
2011-03-04,44,33.01
2011-03-11,41,34.00
2011-03-18,46,33.61
2011-03-25,47,33.89
2011-04-01,48,34.96
2011-04-08,40,36.23
2011-04-15,43,35.87
2011-04-22,53,
2011-04-29,50,36.22
2011-05-06,45,37.02
2011-05-13,46,38.13
2011-05-20,54,38.40
2011-05-27,49,38.80
2011-06-03,48,37.97
2011-06-10,46,37.21
2011-06-17,50,37.33
2011-06-24,54,36.42
2011-07-01,53,37.97
2011-07-08,52,38.10
2011-07-15,50,36.82
2011-07-22,50,37.35
2011-07-29,53,36.35
2011-08-05,56,34.15
2011-08-12,51,33.25
2011-08-19,55,32.37
2011-08-26,45,34.34
2011-09-02,45,35.43
2011-09-09,44,36.50
2011-09-16,48,36.22
2011-09-23,50,34.13
2011-09-30,41,33.59
2011-10-07,44,33.78
2011-10-14,44,35.13
2011-10-21,39,35.55
2011-10-28,43,36.84
2011-11-04,40,38.02
2011-11-11,43,39.24
2011-11-18,45,38.16
2011-11-25,61,36.85
2011-12-02,55,38.29
2011-12-09,48,38.37
2011-12-16,61,37.55
2011-12-23,75,40.99
2011-12-30,55,40.78
2012-01-06,55,41.46
2012-01-13,50,42.15
2012-01-20,47,42.77
2012-01-27,47,42.26
2012-02-03,49,43.51
2012-02-10,53,43.18
2012-02-17,54,44.27
2012-02-24,48,44.07
2012-03-02,49,45.03
2012-03-09,42,45.64
2012-03-16,51,45.28
2012-03-23,46,45.14
2012-03-30,55,44.80
2012-04-06,48,
2012-04-13,49,43.43
2012-04-20,54,44.33
2012-04-27,43,44.88
2012-05-04,48,45.42
2012-05-11,50,45.32
2012-05-18,50,44.43
2012-05-25,47,44.98
2012-06-01,49,43.60
2012-06-08,50,44.89
2012-06-15,51,45.65
2012-06-22,53,45.90
2012-06-29,51,46.73
2012-07-06,63,48.12
2012-07-13,59,48.05
2012-07-20,59,45.08
2012-07-27,58,44.94
2012-08-03,66,44.75
2012-08-10,61,44.95
2012-08-17,65,45.31
2012-08-24,66,45.56
2012-08-31,57,45.55
2012-09-07,56,46.06
2012-09-14,56,46.97
2012-09-21,57,47.87
2012-09-28,53,48.42
2012-10-05,57,48.86
2012-10-12,47,47.08
2012-10-19,51,46.20
2012-10-26,57,46.06
2012-11-02,50,46.56
2012-11-09,47,46.36
2012-11-16,50,44.80
2012-11-23,63,45.83
2012-11-30,63,46.51
2012-12-07,60,46.84
2012-12-14,66,49.24
2012-12-21,79,48.67
2012-12-28,82,47.92
2013-01-04,63,49.99
2013-01-11,61,51.30
2013-01-18,53,52.11
2013-01-25,58,51.86
2013-02-01,54,51.58
2013-02-08,51,51.20
2013-02-15,50,51.12
2013-02-22,46,51.35
2013-03-01,52,51.56
2013-03-08,51,52.28
2013-03-15,54,53.58
2013-03-22,50,55.20
2013-03-29,54,
2013-04-05,56,55.64
2013-04-12,53,57.52
2013-04-19,55,58.00
2013-04-26,46,57.73
2013-05-03,53,58.64
2013-05-10,48,58.03
2013-05-17,52,59.44
2013-05-24,55,59.20
2013-05-31,51,57.58
2013-06-07,53,58.49
2013-06-14,54,59.03
2013-06-21,57,57.57
2013-06-28,52,57.18
2013-07-05,65,58.64
2013-07-12,56,60.95
2013-07-19,57,61.63
2013-07-26,55,61.96
2013-08-02,60,61.84
2013-08-09,53,59.48
2013-08-16,60,58.57
2013-08-23,57,57.97
2013-08-30,51,58.05
2013-09-06,54,58.63
2013-09-13,56,59.90
2013-09-20,51,58.53
2013-09-27,52,57.80
2013-10-04,48,56.88
2013-10-11,52,59.57
2013-10-18,51,61.01
2013-10-25,49,61.41
2013-11-01,55,62.59
2013-11-08,43,63.78
2013-11-15,51,65.62
2013-11-22,50,66.68
2013-11-29,67,66.96
2013-12-06,57,66.75
2013-12-13,64,67.31
2013-12-20,79,70.06
2013-12-27,86,71.56
2014-01-03,67,70.55
2014-01-10,54,69.51
2014-01-17,49,67.97
2014-01-24,54,67.63
2014-01-31,54,67.72
2014-02-07,57,66.44
2014-02-14,61,69.90
2014-02-21,52,71.20
2014-02-28,51,73.14
2014-03-07,55,73.48
2014-03-14,54,72.75
2014-03-21,50,74.95
2014-03-28,54,74.26
2014-04-04,50,74.69
2014-04-11,51,72.58
2014-04-18,51,
2014-04-25,51,73.24
2014-05-02,47,
