Date,LLY,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,72.85
2004-02-13,0,73.50
2004-02-20,0,72.47
2004-02-27,0,73.94
2004-03-05,0,73.46
2004-03-12,0,70.93
2004-03-19,0,68.63
2004-03-26,0,65.00
2004-04-02,0,68.70
2004-04-09,0,
2004-04-16,0,72.45
2004-04-23,0,73.15
2004-04-30,0,73.81
2004-05-07,0,75.55
2004-05-14,0,73.85
2004-05-21,0,71.98
2004-05-28,83,73.67
2004-06-04,0,75.00
2004-06-11,0,
2004-06-18,0,73.58
2004-06-25,0,71.40
2004-07-02,0,69.37
2004-07-09,0,67.00
2004-07-16,0,66.30
2004-07-23,0,62.71
2004-07-30,0,63.72
2004-08-06,95,61.00
2004-08-13,80,61.57
2004-08-20,80,64.50
2004-08-27,80,64.32
2004-09-03,79,64.98
2004-09-10,79,65.85
2004-09-17,79,66.39
2004-09-24,79,63.66
2004-10-01,79,61.40
2004-10-08,0,59.08
2004-10-15,0,57.35
2004-10-22,0,51.85
2004-10-29,0,54.91
2004-11-05,0,57.60
2004-11-12,0,56.21
2004-11-19,93,55.22
2004-11-26,72,54.75
2004-12-03,72,54.50
2004-12-10,72,55.04
2004-12-17,62,56.02
2004-12-24,62,
2004-12-31,62,56.75
2005-01-07,62,56.26
2005-01-14,62,57.25
2005-01-21,0,55.32
2005-01-28,0,53.58
2005-02-04,0,55.03
2005-02-11,0,55.50
2005-02-18,0,54.60
2005-02-25,0,55.83
2005-03-04,0,56.76
2005-03-11,73,54.85
2005-03-18,62,52.52
2005-03-25,66,
2005-04-01,69,51.19
2005-04-08,73,54.31
2005-04-15,77,58.07
2005-04-22,90,58.40
2005-04-29,71,58.47
2005-05-06,62,60.18
2005-05-13,69,58.76
2005-05-20,59,58.90
2005-05-27,61,59.05
2005-06-03,67,57.65
2005-06-10,74,56.99
2005-06-17,81,58.52
2005-06-24,78,56.91
2005-07-01,56,55.42
2005-07-08,56,56.25
2005-07-15,56,56.66
2005-07-22,70,55.00
2005-07-29,85,56.32
2005-08-05,99,53.45
2005-08-12,54,53.41
2005-08-19,65,52.57
2005-08-26,0,53.41
2005-09-02,0,54.75
2005-09-09,0,56.72
2005-09-16,0,55.20
2005-09-23,0,53.79
2005-09-30,55,53.52
2005-10-07,74,53.41
2005-10-14,55,52.62
2005-10-21,81,50.70
2005-10-28,54,49.99
2005-11-04,54,50.83
2005-11-11,57,50.98
2005-11-18,60,50.34
2005-11-25,44,50.54
2005-12-02,71,51.57
2005-12-09,51,53.41
2005-12-16,51,56.66
2005-12-23,75,57.70
2005-12-30,53,56.59
2006-01-06,53,57.82
2006-01-13,48,57.95
2006-01-20,50,56.90
2006-01-27,73,57.55
2006-02-03,54,55.86
2006-02-10,60,56.18
2006-02-17,96,55.84
2006-02-24,53,56.02
2006-03-03,84,55.71
2006-03-10,61,57.25
2006-03-17,39,57.09
2006-03-24,42,58.86
2006-03-31,74,55.30
2006-04-07,46,53.54
2006-04-14,65,
2006-04-21,63,52.93
2006-04-28,49,52.92
2006-05-05,91,52.94
2006-05-12,71,50.44
2006-05-19,41,51.01
2006-05-26,59,52.27
2006-06-02,39,52.03
2006-06-09,56,51.74
2006-06-16,75,54.25
2006-06-23,57,54.30
2006-06-30,42,55.27
2006-07-07,50,56.24
2006-07-14,57,54.56
2006-07-21,50,54.65
2006-07-28,50,56.91
2006-08-04,63,56.27
2006-08-11,62,54.36
2006-08-18,52,55.03
2006-08-25,50,55.06
2006-09-01,32,56.00
2006-09-08,35,55.26
2006-09-15,34,54.80
2006-09-22,41,55.93
2006-09-29,49,57.00
2006-10-06,45,57.56
2006-10-13,72,57.37
2006-10-20,75,57.24
2006-10-27,61,57.03
2006-11-03,52,56.08
2006-11-10,28,54.14
2006-11-17,52,54.55
2006-11-24,37,53.90
2006-12-01,38,53.40
2006-12-08,62,54.00
2006-12-15,46,54.52
2006-12-22,65,51.35
2006-12-29,63,52.10
2007-01-05,63,52.04
2007-01-12,46,52.60
2007-01-19,57,52.96
2007-01-26,56,52.79
2007-02-02,70,54.60
2007-02-09,44,54.23
2007-02-16,64,54.99
2007-02-23,43,54.21
2007-03-02,66,51.77
2007-03-09,52,52.59
2007-03-16,50,52.18
2007-03-23,52,53.81
2007-03-30,40,53.71
2007-04-06,72,
2007-04-13,65,56.88
2007-04-20,67,60.56
2007-04-27,58,59.61
2007-05-04,77,59.54
2007-05-11,38,58.43
2007-05-18,64,59.37
2007-05-25,66,59.36
2007-06-01,62,58.94
2007-06-08,54,57.02
2007-06-15,67,57.72
2007-06-22,50,55.80
2007-06-29,59,55.88
2007-07-06,61,56.64
2007-07-13,54,56.92
2007-07-20,48,56.03
2007-07-27,62,55.02
2007-08-03,67,54.13
2007-08-10,45,57.16
2007-08-17,57,55.81
2007-08-24,49,56.61
2007-08-31,67,57.35
2007-09-07,39,56.17
2007-09-14,59,56.82
2007-09-21,51,57.62
2007-09-28,52,56.93
2007-10-05,58,59.47
2007-10-12,39,58.53
2007-10-19,53,56.06
2007-10-26,55,52.68
2007-11-02,61,52.67
2007-11-09,77,51.51
2007-11-16,43,51.81
2007-11-23,46,50.79
2007-11-30,71,52.95
2007-12-07,59,54.30
2007-12-14,51,53.71
2007-12-21,69,54.23
2007-12-28,51,54.05
2008-01-04,55,51.80
2008-01-11,52,56.81
2008-01-18,59,53.71
2008-01-25,66,50.74
2008-02-01,71,51.66
2008-02-08,51,50.23
2008-02-15,37,50.82
2008-02-22,44,50.51
2008-02-29,59,50.02
2008-03-07,53,49.70
2008-03-14,51,47.81
2008-03-21,51,
2008-03-28,43,50.29
2008-04-04,52,52.28
2008-04-11,61,51.93
2008-04-18,44,52.07
2008-04-25,64,49.36
2008-05-02,60,49.38
2008-05-09,48,48.25
2008-05-16,53,48.95
2008-05-23,48,47.57
2008-05-30,48,48.14
2008-06-06,58,48.42
2008-06-13,43,48.33
2008-06-20,46,46.93
2008-06-27,57,45.61
2008-07-04,46,
2008-07-11,39,47.67
2008-07-18,33,47.91
2008-07-25,57,47.81
2008-08-01,68,47.04
2008-08-08,56,48.51
2008-08-15,62,48.78
2008-08-22,59,48.03
2008-08-29,47,46.65
2008-09-05,46,45.44
2008-09-12,53,46.60
2008-09-19,46,46.69
2008-09-26,47,46.82
2008-10-03,85,41.31
2008-10-10,75,31.36
2008-10-17,69,32.20
2008-10-24,59,31.73
2008-10-31,48,33.82
2008-11-07,46,34.20
2008-11-14,55,32.06
2008-11-21,61,30.43
2008-11-28,46,34.15
2008-12-05,44,34.94
2008-12-12,60,36.41
2008-12-19,63,38.26
2008-12-26,59,37.98
2009-01-02,63,40.57
2009-01-09,58,38.48
2009-01-16,60,38.13
2009-01-23,52,37.42
2009-01-30,56,36.82
2009-02-06,62,38.18
2009-02-13,55,35.43
2009-02-20,59,33.24
2009-02-27,60,29.38
2009-03-06,67,27.98
2009-03-13,79,30.64
2009-03-20,60,32.55
2009-03-27,59,33.75
2009-04-03,68,33.01
2009-04-10,69,
2009-04-17,70,33.75
2009-04-24,56,33.01
2009-05-01,60,33.49
2009-05-08,63,35.95
2009-05-15,70,34.17
2009-05-22,72,34.34
2009-05-29,41,34.57
2009-06-05,54,34.77
2009-06-12,56,34.29
2009-06-19,64,33.71
2009-06-26,60,35.28
2009-07-03,65,
2009-07-10,64,33.32
2009-07-17,94,33.53
2009-07-24,62,34.68
2009-07-31,79,34.89
2009-08-07,81,34.89
2009-08-14,66,32.88
2009-08-21,78,33.45
2009-08-28,64,33.60
2009-09-04,58,33.00
2009-09-11,57,32.82
2009-09-18,77,32.86
2009-09-25,60,32.68
2009-10-02,69,32.51
2009-10-09,62,33.78
2009-10-16,69,34.44
2009-10-23,68,33.96
2009-10-30,62,34.01
2009-11-06,52,34.50
2009-11-13,51,35.36
2009-11-20,53,36.59
2009-11-27,44,36.90
2009-12-04,69,37.39
2009-12-11,51,34.97
2009-12-18,54,35.72
2009-12-25,70,
2010-01-01,64,
2010-01-08,53,35.00
2010-01-15,53,35.82
2010-01-22,55,35.52
2010-01-29,64,35.20
2010-02-05,77,34.52
2010-02-12,51,33.95
2010-02-19,58,34.24
2010-02-26,52,34.34
2010-03-05,40,35.09
2010-03-12,60,35.93
2010-03-19,61,36.17
2010-03-26,69,35.42
2010-04-02,60,
2010-04-09,47,36.84
2010-04-16,53,36.54
2010-04-23,60,35.46
2010-04-30,56,34.97
2010-05-07,62,34.62
2010-05-14,47,33.92
2010-05-21,62,33.12
2010-05-28,55,32.79
2010-06-04,49,32.37
2010-06-11,54,33.67
2010-06-18,52,34.61
2010-06-25,59,33.94
2010-07-02,72,33.67
2010-07-09,60,35.17
2010-07-16,49,34.64
2010-07-23,45,35.17
2010-07-30,61,35.60
2010-08-06,66,36.87
2010-08-13,66,35.70
2010-08-20,68,34.17
2010-08-27,46,34.20
2010-09-03,44,34.66
2010-09-10,58,35.43
2010-09-17,49,35.79
2010-09-24,61,36.10
2010-10-01,52,36.54
2010-10-08,58,37.07
2010-10-15,58,37.76
2010-10-22,71,35.40
2010-10-29,52,35.20
2010-11-05,61,35.72
2010-11-12,67,34.76
2010-11-19,66,34.50
2010-11-26,53,34.07
2010-12-03,60,34.14
2010-12-10,63,34.98
2010-12-17,52,35.01
2010-12-24,56,
2010-12-31,78,35.04
2011-01-07,72,34.90
2011-01-14,63,34.91
2011-01-21,57,34.76
2011-01-28,66,34.77
2011-02-04,68,35.53
2011-02-11,73,34.52
2011-02-18,67,34.60
2011-02-25,60,34.09
2011-03-04,61,34.60
2011-03-11,59,34.86
2011-03-18,70,34.48
2011-03-25,63,34.48
2011-04-01,75,34.99
2011-04-08,67,35.69
2011-04-15,64,36.01
2011-04-22,64,
2011-04-29,56,37.01
2011-05-06,71,38.39
2011-05-13,73,38.95
2011-05-20,69,38.44
2011-05-27,85,37.85
2011-06-03,74,37.05
2011-06-10,73,37.05
2011-06-17,61,37.33
2011-06-24,74,36.76
2011-07-01,68,37.67
2011-07-08,67,37.71
2011-07-15,65,38.33
2011-07-22,64,38.70
2011-07-29,69,38.30
2011-08-05,78,36.24
2011-08-12,75,34.86
2011-08-19,72,35.01
2011-08-26,75,35.77
2011-09-02,82,36.44
2011-09-09,74,36.13
2011-09-16,69,37.81
2011-09-23,82,36.07
2011-09-30,77,36.97
2011-10-07,83,37.92
2011-10-14,71,38.29
2011-10-21,85,38.07
2011-10-28,81,38.28
2011-11-04,100,37.94
2011-11-11,84,37.85
2011-11-18,78,36.89
2011-11-25,72,35.58
2011-12-02,78,37.37
2011-12-09,93,39.27
2011-12-16,75,40.53
2011-12-23,90,41.64
2011-12-30,67,41.56
2012-01-06,83,39.88
2012-01-13,76,39.94
2012-01-20,83,39.81
2012-01-27,74,39.20
2012-02-03,81,39.51
2012-02-10,89,39.31
2012-02-17,81,39.26
2012-02-24,79,39.05
2012-03-02,72,39.48
2012-03-09,72,39.56
2012-03-16,75,40.20
2012-03-23,73,39.87
2012-03-30,62,40.27
2012-04-06,65,
2012-04-13,71,39.18
2012-04-20,62,39.91
2012-04-27,75,41.30
2012-05-04,62,41.28
2012-05-11,77,41.26
2012-05-18,72,40.44
2012-05-25,64,41.11
2012-06-01,78,40.16
2012-06-08,76,41.53
2012-06-15,65,41.99
2012-06-22,64,42.07
2012-06-29,58,42.91
2012-07-06,72,42.66
2012-07-13,81,43.26
2012-07-20,69,44.17
2012-07-27,83,44.37
2012-08-03,71,44.15
2012-08-10,73,43.60
2012-08-17,67,42.42
2012-08-24,79,43.86
2012-08-31,86,44.91
2012-09-07,80,46.65
2012-09-14,75,46.72
2012-09-21,72,47.46
2012-09-28,93,47.41
2012-10-05,79,48.23
2012-10-12,90,50.45
2012-10-19,89,52.86
2012-10-26,80,50.21
2012-11-02,72,48.55
2012-11-09,77,47.47
2012-11-16,72,45.91
2012-11-23,75,47.74
2012-11-30,72,49.04
2012-12-07,76,49.63
2012-12-14,78,47.79
2012-12-21,79,49.55
2012-12-28,73,48.60
2013-01-04,76,51.56
2013-01-11,73,53.11
2013-01-18,77,53.77
2013-01-25,83,53.21
2013-02-01,80,54.20
2013-02-08,86,53.72
2013-02-15,71,53.59
2013-02-22,70,54.27
2013-03-01,75,54.78
2013-03-08,83,55.16
2013-03-15,71,55.13
2013-03-22,74,55.57
2013-03-29,88,
2013-04-05,77,56.48
2013-04-12,86,57.51
2013-04-19,79,57.42
2013-04-26,82,56.46
2013-05-03,80,54.99
2013-05-10,85,54.82
2013-05-17,76,55.90
2013-05-24,69,54.14
2013-05-31,69,53.16
2013-06-07,67,52.49
2013-06-14,74,52.05
2013-06-21,66,49.91
2013-06-28,71,49.12
2013-07-05,69,50.58
2013-07-12,61,51.45
2013-07-19,71,50.60
2013-07-26,74,53.36
2013-08-02,73,53.88
2013-08-09,79,54.18
2013-08-16,80,52.86
2013-08-23,68,52.62
2013-08-30,70,51.40
2013-09-06,64,52.41
2013-09-13,70,53.27
2013-09-20,65,53.93
2013-09-27,73,50.50
2013-10-04,79,48.38
2013-10-11,68,48.88
2013-10-18,80,49.56
2013-10-25,67,50.66
2013-11-01,63,50.38
2013-11-08,73,50.63
2013-11-15,72,51.01
2013-11-22,87,51.23
2013-11-29,70,50.22
2013-12-06,69,50.63
2013-12-13,73,49.39
2013-12-20,81,50.20
2013-12-27,77,51.25
2014-01-03,75,51.10
2014-01-10,71,51.93
2014-01-17,80,55.16
2014-01-24,71,54.12
2014-01-31,79,54.01
2014-02-07,74,53.21
2014-02-14,86,54.20
2014-02-21,87,57.96
2014-02-28,85,59.61
2014-03-07,91,58.59
2014-03-14,81,58.87
2014-03-21,74,57.78
2014-03-28,70,57.61
2014-04-04,75,59.01
2014-04-11,83,58.45
2014-04-18,77,
2014-04-25,87,58.50
2014-05-02,64,
