Date,ACT,Price
2004-01-09,86,
2004-01-16,90,
2004-01-23,92,
2004-01-30,91,
2004-02-06,98,47.87
2004-02-13,90,49.11
2004-02-20,90,46.95
2004-02-27,100,45.92
2004-03-05,98,46.93
2004-03-12,87,44.85
2004-03-19,91,44.50
2004-03-26,84,43.80
2004-04-02,95,42.76
2004-04-09,83,
2004-04-16,84,43.02
2004-04-23,97,42.98
2004-04-30,96,35.61
2004-05-07,92,35.24
2004-05-14,83,36.57
2004-05-21,85,35.99
2004-05-28,79,37.35
2004-06-04,76,36.92
2004-06-11,80,
2004-06-18,72,34.97
2004-06-25,71,32.29
2004-07-02,69,26.99
2004-07-09,69,25.43
2004-07-16,71,26.03
2004-07-23,68,25.41
2004-07-30,73,25.21
2004-08-06,71,26.14
2004-08-13,67,27.31
2004-08-20,72,28.01
2004-08-27,72,28.00
2004-09-03,73,27.42
2004-09-10,78,27.38
2004-09-17,83,30.03
2004-09-24,87,29.69
2004-10-01,89,29.55
2004-10-08,95,27.89
2004-10-15,93,27.07
2004-10-22,98,26.24
2004-10-29,95,28.03
2004-11-05,99,27.69
2004-11-12,89,28.79
2004-11-19,97,29.00
2004-11-26,78,29.18
2004-12-03,90,29.43
2004-12-10,92,30.78
2004-12-17,83,31.95
2004-12-24,52,
2004-12-31,45,32.81
2005-01-07,74,30.84
2005-01-14,81,30.51
2005-01-21,78,29.99
2005-01-28,80,29.91
2005-02-04,85,29.33
2005-02-11,87,30.65
2005-02-18,82,29.95
2005-02-25,86,32.11
2005-03-04,92,31.46
2005-03-11,88,31.60
2005-03-18,91,31.66
2005-03-25,89,
2005-04-01,81,30.60
2005-04-08,90,31.73
2005-04-15,92,30.78
2005-04-22,89,30.16
2005-04-29,90,30.00
2005-05-06,94,29.34
2005-05-13,84,29.49
2005-05-20,81,30.00
2005-05-27,76,30.27
2005-06-03,68,30.37
2005-06-10,76,30.98
2005-06-17,70,30.85
2005-06-24,70,30.50
2005-07-01,67,29.41
2005-07-08,60,29.58
2005-07-15,65,29.90
2005-07-22,64,29.60
2005-07-29,62,33.40
2005-08-05,64,33.86
2005-08-12,66,34.77
2005-08-19,66,34.95
2005-08-26,61,34.70
2005-09-02,63,33.83
2005-09-09,68,35.83
2005-09-16,76,35.56
2005-09-23,79,34.59
2005-09-30,78,36.61
2005-10-07,79,35.55
2005-10-14,81,34.66
2005-10-21,82,35.31
2005-10-28,78,33.98
2005-11-04,79,33.30
2005-11-11,79,32.92
2005-11-18,83,33.52
2005-11-25,69,33.80
2005-12-02,78,33.20
2005-12-09,83,33.06
2005-12-16,75,32.80
2005-12-23,62,32.69
2005-12-30,44,32.51
2006-01-06,64,33.42
2006-01-13,71,33.88
2006-01-20,69,33.50
2006-01-27,72,33.55
2006-02-03,75,32.06
2006-02-10,77,32.13
2006-02-17,72,30.76
2006-02-24,74,30.10
2006-03-03,80,30.10
2006-03-10,77,29.55
2006-03-17,73,29.08
2006-03-24,73,28.85
2006-03-31,74,28.74
2006-04-07,76,27.93
2006-04-14,68,
2006-04-21,71,28.56
2006-04-28,76,28.44
2006-05-05,80,29.18
2006-05-12,72,26.63
2006-05-19,66,25.55
2006-05-26,62,25.57
2006-06-02,60,25.46
2006-06-09,67,24.84
2006-06-16,57,24.58
2006-06-23,57,23.21
2006-06-30,54,23.28
2006-07-07,48,22.75
2006-07-14,54,22.18
2006-07-21,53,21.42
2006-07-28,54,22.42
2006-08-04,53,22.59
2006-08-11,52,24.28
2006-08-18,57,25.60
2006-08-25,55,25.52
2006-09-01,54,25.86
2006-09-08,55,26.02
2006-09-15,65,27.07
2006-09-22,68,25.91
2006-09-29,65,26.17
2006-10-06,69,26.86
2006-10-13,68,26.30
2006-10-20,72,26.40
2006-10-27,71,26.67
2006-11-03,73,26.20
2006-11-10,70,24.84
2006-11-17,74,25.17
2006-11-24,61,25.07
2006-12-01,69,25.69
2006-12-08,69,25.62
2006-12-15,65,26.38
2006-12-22,50,26.01
2006-12-29,33,26.03
2007-01-05,53,26.31
2007-01-12,61,25.98
2007-01-19,60,26.52
2007-01-26,61,26.58
2007-02-02,62,27.81
2007-02-09,64,28.17
2007-02-16,62,28.98
2007-02-23,65,29.22
2007-03-02,65,25.72
2007-03-09,69,25.88
2007-03-16,63,25.52
2007-03-23,63,25.99
2007-03-30,64,26.43
2007-04-06,57,
2007-04-13,63,27.15
2007-04-20,64,27.65
2007-04-27,66,27.45
2007-05-04,70,31.20
2007-05-11,63,31.19
2007-05-18,61,31.66
2007-05-25,57,30.90
2007-06-01,53,31.53
2007-06-08,60,31.45
2007-06-15,51,31.93
2007-06-22,53,32.28
2007-06-29,51,32.53
2007-07-06,47,32.92
2007-07-13,49,33.04
2007-07-20,49,32.68
2007-07-27,49,30.81
2007-08-03,50,31.30
2007-08-10,49,31.12
2007-08-17,50,30.24
2007-08-24,49,30.91
2007-08-31,50,29.82
