Date,BWA,Price
2004-01-09,78,
2004-01-16,86,
2004-01-23,65,
2004-01-30,92,
2004-02-06,64,93.93
2004-02-13,65,93.49
2004-02-20,59,92.03
2004-02-27,73,90.20
2004-03-05,57,90.74
2004-03-12,74,86.83
2004-03-19,92,84.41
2004-03-26,100,83.19
2004-04-02,79,85.10
2004-04-09,77,
2004-04-16,69,84.96
2004-04-23,97,89.15
2004-04-30,79,81.94
2004-05-07,34,79.70
2004-05-14,55,79.10
2004-05-21,49,39.16
2004-05-28,55,41.44
2004-06-04,48,42.42
2004-06-11,47,
2004-06-18,60,44.44
2004-06-25,61,44.39
2004-07-02,66,41.74
2004-07-09,56,42.21
2004-07-16,64,43.29
2004-07-23,54,43.51
2004-07-30,83,47.19
2004-08-06,76,44.70
2004-08-13,67,44.45
2004-08-20,60,45.14
2004-08-27,66,45.74
2004-09-03,61,44.78
2004-09-10,67,44.24
2004-09-17,74,43.26
2004-09-24,69,42.88
2004-10-01,55,45.25
2004-10-08,68,43.22
2004-10-15,53,41.02
2004-10-22,63,40.61
2004-10-29,63,46.38
2004-11-05,61,49.58
2004-11-12,62,51.16
2004-11-19,81,49.51
2004-11-26,56,51.36
2004-12-03,47,50.86
2004-12-10,53,49.44
2004-12-17,57,51.35
2004-12-24,42,
2004-12-31,67,54.17
2005-01-07,60,51.41
2005-01-14,58,53.83
2005-01-21,49,52.05
2005-01-28,49,52.82
2005-02-04,57,52.60
2005-02-11,59,53.07
2005-02-18,60,52.85
2005-02-25,90,52.75
2005-03-04,68,52.36
2005-03-11,42,52.59
2005-03-18,81,50.48
2005-03-25,67,
2005-04-01,83,48.29
2005-04-08,72,49.42
2005-04-15,52,45.43
2005-04-22,72,46.64
2005-04-29,65,45.72
2005-05-06,56,50.22
2005-05-13,61,48.75
2005-05-20,47,52.35
2005-05-27,68,53.50
2005-06-03,54,52.70
2005-06-10,71,54.03
2005-06-17,50,54.18
2005-06-24,59,51.14
2005-07-01,53,53.97
2005-07-08,64,57.38
2005-07-15,64,57.52
2005-07-22,60,59.35
2005-07-29,67,58.17
2005-08-05,72,56.58
2005-08-12,59,58.22
2005-08-19,50,59.40
2005-08-26,57,59.58
2005-09-02,63,58.23
2005-09-09,67,57.60
2005-09-16,64,56.42
2005-09-23,53,56.18
2005-09-30,67,56.46
2005-10-07,57,56.30
2005-10-14,61,56.59
2005-10-21,56,55.00
2005-10-28,65,57.02
2005-11-04,50,58.70
2005-11-11,55,59.33
2005-11-18,48,59.75
2005-11-25,49,61.61
2005-12-02,53,59.58
2005-12-09,59,60.18
2005-12-16,51,60.10
2005-12-23,54,59.95
2005-12-30,38,60.63
2006-01-06,52,58.21
2006-01-13,44,56.58
2006-01-20,58,55.60
2006-01-27,60,55.04
2006-02-03,46,54.77
2006-02-10,55,54.35
2006-02-17,53,57.04
2006-02-24,67,56.15
2006-03-03,69,54.98
2006-03-10,69,56.24
2006-03-17,67,58.71
2006-03-24,46,60.29
2006-03-31,54,60.04
2006-04-07,46,59.98
2006-04-14,50,
2006-04-21,36,60.46
2006-04-28,52,60.73
2006-05-05,40,64.45
2006-05-12,43,63.31
2006-05-19,63,66.20
2006-05-26,45,66.96
2006-06-02,54,64.99
2006-06-09,38,63.06
2006-06-16,44,62.70
2006-06-23,67,63.85
2006-06-30,51,65.10
2006-07-07,47,63.96
2006-07-14,44,60.39
2006-07-21,48,58.42
2006-07-28,50,60.23
2006-08-04,40,59.65
2006-08-11,66,58.69
2006-08-18,35,58.65
2006-08-25,58,55.63
2006-09-01,44,56.96
2006-09-08,47,54.72
2006-09-15,41,56.30
2006-09-22,50,53.76
2006-09-29,39,57.17
2006-10-06,38,59.44
2006-10-13,41,59.81
2006-10-20,50,59.55
2006-10-27,47,58.25
2006-11-03,51,56.42
2006-11-10,45,58.26
2006-11-17,54,60.13
2006-11-24,47,58.69
2006-12-01,57,57.90
2006-12-08,57,57.76
2006-12-15,59,57.76
2006-12-22,39,57.88
2006-12-29,42,59.02
2007-01-05,48,58.60
2007-01-12,44,64.21
2007-01-19,45,65.42
2007-01-26,37,67.36
2007-02-02,39,69.26
2007-02-09,42,74.94
2007-02-16,52,76.62
2007-02-23,47,78.08
2007-03-02,36,72.97
2007-03-09,50,74.66
2007-03-16,45,73.13
2007-03-23,45,76.52
2007-03-30,42,75.42
2007-04-06,46,
2007-04-13,34,74.07
2007-04-20,42,75.06
2007-04-27,38,79.15
2007-05-04,29,80.06
2007-05-11,50,79.96
2007-05-18,38,82.77
2007-05-25,43,82.27
2007-06-01,45,83.65
2007-06-08,46,82.68
2007-06-15,44,83.37
2007-06-22,46,84.75
2007-06-29,56,86.04
2007-07-06,41,88.66
2007-07-13,42,92.46
2007-07-20,43,91.19
2007-07-27,47,84.70
2007-08-03,42,87.74
2007-08-10,44,90.74
2007-08-17,43,77.50
2007-08-24,37,82.84
2007-08-31,44,84.50
2007-09-07,44,82.33
2007-09-14,35,84.85
2007-09-21,44,85.56
2007-09-28,39,91.53
2007-10-05,43,96.84
2007-10-12,42,94.22
2007-10-19,39,94.74
2007-10-26,43,97.96
2007-11-02,38,103.67
2007-11-09,48,98.32
2007-11-16,38,99.15
2007-11-23,48,94.49
2007-11-30,52,96.61
2007-12-07,47,99.00
2007-12-14,33,97.20
2007-12-21,41,49.77
2007-12-28,25,49.27
2008-01-04,36,43.54
2008-01-11,43,42.25
2008-01-18,41,44.75
2008-01-25,45,48.75
2008-02-01,37,50.93
2008-02-08,35,45.34
2008-02-15,35,46.08
2008-02-22,33,46.60
2008-02-29,42,43.11
2008-03-07,35,41.30
2008-03-14,43,41.67
2008-03-21,38,
2008-03-28,40,41.84
2008-04-04,40,45.20
2008-04-11,40,43.44
2008-04-18,47,47.49
2008-04-25,32,48.37
2008-05-02,35,51.48
2008-05-09,37,52.25
2008-05-16,34,55.28
2008-05-23,37,52.21
2008-05-30,50,51.71
2008-06-06,39,48.37
2008-06-13,40,49.47
2008-06-20,40,48.59
2008-06-27,39,44.50
2008-07-04,49,
2008-07-11,41,38.65
2008-07-18,41,41.63
2008-07-25,43,41.35
2008-08-01,47,40.18
2008-08-08,48,43.31
2008-08-15,35,42.51
2008-08-22,48,41.61
2008-08-29,43,41.35
2008-09-05,43,39.00
2008-09-12,41,41.26
2008-09-19,39,38.20
2008-09-26,38,32.46
2008-10-03,36,27.84
2008-10-10,33,23.65
2008-10-17,42,21.94
2008-10-24,34,21.80
2008-10-31,41,22.47
2008-11-07,35,20.79
2008-11-14,35,17.42
2008-11-21,37,18.74
2008-11-28,36,23.66
2008-12-05,36,22.53
2008-12-12,43,21.14
2008-12-19,44,21.79
2008-12-26,28,21.07
