Date,BA,Price
2004-01-09,39,
2004-01-16,37,
2004-01-23,36,
2004-01-30,35,
2004-02-06,35,44.35
2004-02-13,34,44.45
2004-02-20,34,44.34
2004-02-27,33,43.37
2004-03-05,36,42.72
2004-03-12,33,40.30
2004-03-19,35,39.43
2004-03-26,30,39.35
2004-04-02,34,41.84
2004-04-09,31,
2004-04-16,31,41.50
2004-04-23,33,42.45
2004-04-30,34,42.69
2004-05-07,32,43.40
2004-05-14,34,43.44
2004-05-21,33,43.40
2004-05-28,35,45.80
2004-06-04,34,46.90
2004-06-11,34,
2004-06-18,36,49.80
2004-06-25,35,51.30
2004-07-02,38,49.52
2004-07-09,37,50.04
2004-07-16,35,49.13
2004-07-23,33,47.06
2004-07-30,36,50.75
2004-08-06,36,48.33
2004-08-13,37,49.72
2004-08-20,41,50.46
2004-08-27,37,51.99
2004-09-03,38,53.10
2004-09-10,39,54.15
2004-09-17,37,55.15
2004-09-24,36,53.14
2004-10-01,36,52.48
2004-10-08,38,50.10
2004-10-15,38,50.19
2004-10-22,36,49.51
2004-10-29,34,49.90
2004-11-05,34,51.15
2004-11-12,36,53.93
2004-11-19,33,53.77
2004-11-26,35,54.02
2004-12-03,31,55.26
2004-12-10,33,52.42
2004-12-17,31,53.10
2004-12-24,31,
2004-12-31,30,51.77
2005-01-07,39,50.31
2005-01-14,40,50.91
2005-01-21,38,50.07
2005-01-28,36,49.92
2005-02-04,37,52.58
2005-02-11,38,54.14
2005-02-18,35,52.78
2005-02-25,35,54.99
2005-03-04,38,58.38
2005-03-11,37,57.49
2005-03-18,38,57.16
2005-03-25,35,
2005-04-01,34,58.78
2005-04-08,37,58.60
2005-04-15,35,57.00
2005-04-22,37,57.88
2005-04-29,35,59.52
2005-05-06,34,61.01
2005-05-13,37,59.50
2005-05-20,36,61.90
2005-05-27,39,63.02
2005-06-03,38,64.66
2005-06-10,39,64.65
2005-06-17,40,64.62
2005-06-24,39,60.59
2005-07-01,41,64.68
2005-07-08,38,65.07
2005-07-15,38,64.75
2005-07-22,39,66.20
2005-07-29,42,66.01
2005-08-05,39,66.19
2005-08-12,44,66.54
2005-08-19,41,67.15
2005-08-26,41,66.31
2005-09-02,42,64.34
2005-09-09,44,65.40
2005-09-16,40,64.80
