Date,WM,Price
2004-01-09,2,
2004-01-16,2,
2004-01-23,2,
2004-01-30,2,
2004-02-06,2,29.46
2004-02-13,3,29.28
2004-02-20,2,28.51
2004-02-27,2,28.50
2004-03-05,3,29.47
2004-03-12,2,29.65
2004-03-19,2,29.49
2004-03-26,2,28.30
2004-04-02,2,30.45
2004-04-09,2,
2004-04-16,2,29.69
2004-04-23,2,29.78
2004-04-30,4,28.40
2004-05-07,3,28.46
2004-05-14,2,28.46
2004-05-21,2,28.31
2004-05-28,2,28.76
2004-06-04,2,28.45
2004-06-11,3,
2004-06-18,4,29.44
2004-06-25,4,29.70
2004-07-02,3,29.73
2004-07-09,3,28.95
2004-07-16,2,29.17
2004-07-23,2,28.48
2004-07-30,2,28.14
2004-08-06,2,26.60
2004-08-13,2,27.77
2004-08-20,2,27.95
2004-08-27,2,28.31
2004-09-03,2,28.43
2004-09-10,3,27.75
2004-09-17,2,27.42
2004-09-24,2,26.97
2004-10-01,2,27.68
2004-10-08,2,26.90
2004-10-15,3,26.56
2004-10-22,2,26.60
2004-10-29,2,28.48
2004-11-05,2,29.64
2004-11-12,2,29.71
2004-11-19,2,29.60
2004-11-26,2,29.89
2004-12-03,2,29.90
2004-12-10,2,31.10
2004-12-17,2,29.64
2004-12-24,2,
2004-12-31,2,29.94
2005-01-07,2,28.67
2005-01-14,2,29.29
2005-01-21,3,28.86
2005-01-28,5,28.72
2005-02-04,9,29.87
2005-02-11,4,29.77
2005-02-18,4,30.00
2005-02-25,4,29.56
2005-03-04,3,29.91
2005-03-11,4,29.41
2005-03-18,3,29.10
2005-03-25,3,
2005-04-01,8,28.92
2005-04-08,2,29.55
2005-04-15,2,28.05
2005-04-22,3,27.50
2005-04-29,4,28.49
2005-05-06,6,29.20
2005-05-13,4,28.96
2005-05-20,2,29.44
2005-05-27,2,29.62
2005-06-03,3,29.69
2005-06-10,4,29.02
2005-06-17,4,29.15
2005-06-24,4,27.97
2005-07-01,3,28.45
2005-07-08,2,28.10
2005-07-15,2,27.80
2005-07-22,2,29.35
2005-07-29,2,28.12
2005-08-05,3,27.63
2005-08-12,4,27.21
2005-08-19,3,27.72
2005-08-26,2,27.41
2005-09-02,3,27.69
2005-09-09,4,28.46
2005-09-16,2,28.20
2005-09-23,2,28.07
2005-09-30,2,28.61
2005-10-07,3,27.83
2005-10-14,4,27.31
2005-10-21,3,27.45
2005-10-28,3,29.96
2005-11-04,3,29.85
2005-11-11,3,30.46
2005-11-18,5,30.55
2005-11-25,4,30.40
2005-12-02,4,30.46
2005-12-09,9,29.98
2005-12-16,10,31.01
2005-12-23,5,30.71
2005-12-30,4,30.35
2006-01-06,6,30.54
2006-01-13,6,31.66
2006-01-20,6,31.27
2006-01-27,5,31.56
2006-02-03,6,31.65
2006-02-10,5,33.58
2006-02-17,6,33.85
2006-02-24,5,33.88
2006-03-03,6,33.35
2006-03-10,6,33.87
2006-03-17,6,34.54
2006-03-24,6,34.30
2006-03-31,6,35.30
2006-04-07,7,35.48
2006-04-14,7,
2006-04-21,7,36.62
2006-04-28,9,37.46
2006-05-05,11,38.06
2006-05-12,13,37.00
2006-05-19,18,36.71
2006-05-26,16,36.20
2006-06-02,26,37.00
2006-06-09,60,36.69
2006-06-16,95,34.92
2006-06-23,93,35.05
2006-06-30,60,35.88
2006-07-07,41,34.63
2006-07-14,20,33.56
2006-07-21,5,33.52
2006-07-28,4,34.74
2006-08-04,3,35.18
2006-08-11,3,33.87
2006-08-18,4,34.36
2006-08-25,5,33.16
2006-09-01,5,34.41
2006-09-08,4,33.42
2006-09-15,4,35.37
2006-09-22,3,35.35
2006-09-29,2,36.68
2006-10-06,3,37.10
2006-10-13,3,38.16
2006-10-20,2,37.37
2006-10-27,2,37.32
2006-11-03,2,37.42
2006-11-10,2,38.52
2006-11-17,2,38.21
2006-11-24,2,37.71
2006-12-01,2,36.45
2006-12-08,2,37.54
2006-12-15,2,36.97
2006-12-22,3,35.74
2006-12-29,3,36.77
2007-01-05,3,35.98
2007-01-12,3,36.90
2007-01-19,5,36.91
2007-01-26,8,37.46
2007-02-02,11,37.85
2007-02-09,7,35.25
2007-02-16,3,35.68
2007-02-23,2,34.63
2007-03-02,2,33.39
2007-03-09,2,33.92
2007-03-16,2,33.52
2007-03-23,2,34.93
2007-03-30,2,34.41
2007-04-06,2,
2007-04-13,2,33.98
2007-04-20,2,34.85
2007-04-27,2,38.13
2007-05-04,3,38.00
2007-05-11,3,38.73
2007-05-18,2,38.65
2007-05-25,2,38.94
2007-06-01,2,39.70
2007-06-08,2,39.11
2007-06-15,2,39.47
2007-06-22,2,39.16
2007-06-29,2,39.05
2007-07-06,2,39.61
2007-07-13,2,39.70
2007-07-20,2,39.55
2007-07-27,2,37.36
2007-08-03,2,37.88
2007-08-10,2,36.04
2007-08-17,2,36.00
2007-08-24,2,37.59
2007-08-31,3,37.67
2007-09-07,3,37.08
2007-09-14,3,36.88
2007-09-21,3,38.10
2007-09-28,4,37.74
2007-10-05,3,38.44
2007-10-12,2,38.54
2007-10-19,2,38.02
2007-10-26,2,36.01
2007-11-02,2,35.89
2007-11-09,2,33.49
2007-11-16,2,34.35
2007-11-23,2,34.03
2007-11-30,3,34.32
2007-12-07,2,34.42
2007-12-14,2,33.27
2007-12-21,2,33.68
2007-12-28,2,33.22
2008-01-04,2,31.05
2008-01-11,2,31.23
2008-01-18,2,29.98
2008-01-25,2,30.95
2008-02-01,2,33.14
2008-02-08,2,32.66
2008-02-15,2,33.51
2008-02-22,2,33.88
2008-02-29,2,32.83
2008-03-07,2,32.53
2008-03-14,2,32.48
2008-03-21,2,
2008-03-28,2,33.85
2008-04-04,2,34.83
2008-04-11,2,33.80
2008-04-18,2,35.76
2008-04-25,2,35.46
2008-05-02,2,36.64
2008-05-09,3,36.43
2008-05-16,3,37.43
2008-05-23,2,37.02
2008-05-30,2,37.93
2008-06-06,3,37.71
2008-06-13,5,39.06
2008-06-20,4,38.30
2008-06-27,4,37.24
2008-07-04,3,
2008-07-11,2,36.61
2008-07-18,2,35.51
2008-07-25,2,35.75
2008-08-01,2,35.67
2008-08-08,2,36.01
2008-08-15,2,34.78
2008-08-22,2,35.20
2008-08-29,2,35.18
2008-09-05,3,34.89
2008-09-12,4,35.32
2008-09-19,3,34.91
2008-09-26,3,33.29
2008-10-03,2,32.21
2008-10-10,3,25.76
2008-10-17,4,29.78
2008-10-24,2,28.13
2008-10-31,2,31.23
2008-11-07,2,30.59
2008-11-14,2,31.20
2008-11-21,2,29.69
2008-11-28,2,29.20
2008-12-05,2,29.70
2008-12-12,2,29.91
2008-12-19,2,31.21
2008-12-26,2,30.96
2009-01-02,2,33.78
2009-01-09,2,32.73
2009-01-16,3,32.39
2009-01-23,6,32.08
2009-01-30,6,31.19
2009-02-06,4,29.75
2009-02-13,3,29.30
2009-02-20,3,28.57
2009-02-27,2,27.00
2009-03-06,2,23.26
