Date,MO,Price
2004-01-09,27,
2004-01-16,28,
2004-01-23,28,
2004-01-30,28,
2004-02-06,29,54.78
2004-02-13,28,54.66
2004-02-20,29,55.35
2004-02-27,29,57.55
2004-03-05,29,58.22
2004-03-12,31,54.31
2004-03-19,28,54.67
2004-03-26,28,53.61
2004-04-02,28,54.87
2004-04-09,32,
2004-04-16,32,55.90
2004-04-23,30,55.90
2004-04-30,29,55.38
2004-05-07,29,55.65
2004-05-14,29,49.88
2004-05-21,30,49.32
2004-05-28,32,47.97
2004-06-04,30,48.37
2004-06-11,32,
2004-06-18,30,47.58
2004-06-25,31,47.80
2004-07-02,33,49.68
2004-07-09,32,49.75
2004-07-16,34,48.67
2004-07-23,33,47.30
2004-07-30,32,47.60
2004-08-06,35,46.64
2004-08-13,32,47.06
2004-08-20,32,48.59
2004-08-27,32,49.13
2004-09-03,31,49.20
2004-09-10,31,49.95
2004-09-17,31,48.48
2004-09-24,29,45.21
2004-10-01,29,48.00
2004-10-08,31,46.51
2004-10-15,29,47.55
2004-10-22,29,46.80
2004-10-29,29,48.46
2004-11-05,30,54.06
2004-11-12,29,54.74
2004-11-19,27,58.05
2004-11-26,26,58.19
2004-12-03,29,58.30
2004-12-10,29,59.14
2004-12-17,30,59.97
2004-12-24,28,
2004-12-31,28,61.10
2005-01-07,31,61.40
2005-01-14,30,63.35
2005-01-21,31,62.75
2005-01-28,31,63.20
2005-02-04,31,67.00
2005-02-11,32,66.20
2005-02-18,32,64.90
2005-02-25,31,65.70
2005-03-04,33,66.05
2005-03-11,31,65.14
2005-03-18,33,64.72
2005-03-25,32,
2005-04-01,32,65.18
2005-04-08,32,65.53
2005-04-15,33,64.98
2005-04-22,33,64.80
2005-04-29,33,64.99
2005-05-06,34,66.30
2005-05-13,32,64.95
2005-05-20,33,67.77
2005-05-27,36,67.55
2005-06-03,32,67.24
2005-06-10,35,69.18
2005-06-17,36,67.04
2005-06-24,37,65.15
2005-07-01,35,65.03
2005-07-08,35,64.87
2005-07-15,38,66.65
2005-07-22,39,66.52
2005-07-29,37,66.96
2005-08-05,38,66.33
2005-08-12,38,66.84
2005-08-19,39,69.97
2005-08-26,36,69.48
2005-09-02,36,70.06
2005-09-09,33,72.66
2005-09-16,34,73.14
2005-09-23,35,71.91
2005-09-30,34,73.71
2005-10-07,33,72.46
2005-10-14,34,70.66
2005-10-21,34,72.97
2005-10-28,34,75.11
2005-11-04,36,74.03
2005-11-11,34,74.85
2005-11-18,33,71.25
2005-11-25,29,73.47
2005-12-02,33,73.32
2005-12-09,34,72.21
2005-12-16,36,77.32
2005-12-23,33,76.06
2005-12-30,34,74.72
2006-01-06,34,75.95
2006-01-13,36,76.44
2006-01-20,34,74.84
2006-01-27,36,74.73
2006-02-03,36,71.70
2006-02-10,37,71.87
2006-02-17,36,72.87
2006-02-24,36,72.45
2006-03-03,36,72.11
2006-03-10,37,73.86
2006-03-17,38,73.55
2006-03-24,39,72.94
2006-03-31,37,70.86
2006-04-07,38,69.75
2006-04-14,39,
2006-04-21,39,70.54
2006-04-28,38,73.16
2006-05-05,40,73.81
2006-05-12,38,70.40
2006-05-19,38,71.00
2006-05-26,37,72.47
2006-06-02,37,72.85
2006-06-09,38,71.07
