Date,NFX,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,47.71
2004-02-13,0,46.25
2004-02-20,0,46.06
2004-02-27,0,46.88
2004-03-05,0,48.18
2004-03-12,0,46.57
2004-03-19,0,46.95
2004-03-26,0,45.83
2004-04-02,0,47.82
2004-04-09,0,
2004-04-16,0,51.18
2004-04-23,0,52.54
2004-04-30,0,52.68
2004-05-07,0,51.31
2004-05-14,0,49.88
2004-05-21,0,47.31
2004-05-28,0,49.75
2004-06-04,0,50.44
2004-06-11,0,
2004-06-18,0,53.89
2004-06-25,0,55.25
2004-07-02,0,56.16
2004-07-09,0,58.28
2004-07-16,0,57.60
2004-07-23,0,56.63
2004-07-30,0,59.07
2004-08-06,0,55.14
2004-08-13,0,54.45
2004-08-20,0,54.78
2004-08-27,0,54.77
2004-09-03,0,57.18
2004-09-10,0,57.78
2004-09-17,0,60.17
2004-09-24,0,61.79
2004-10-01,0,62.23
2004-10-08,0,63.01
2004-10-15,0,60.99
2004-10-22,0,61.98
2004-10-29,0,58.20
2004-11-05,0,60.51
2004-11-12,0,59.76
2004-11-19,0,60.01
2004-11-26,0,63.51
2004-12-03,0,59.29
2004-12-10,0,57.04
2004-12-17,0,60.81
2004-12-24,0,
2004-12-31,0,59.05
2005-01-07,0,56.17
2005-01-14,0,59.18
2005-01-21,0,59.34
2005-01-28,0,60.29
2005-02-04,0,63.41
2005-02-11,33,69.33
2005-02-18,0,72.50
2005-02-25,0,74.71
2005-03-04,0,76.30
2005-03-11,0,71.82
2005-03-18,0,74.60
2005-03-25,0,
2005-04-01,0,75.82
2005-04-08,0,75.29
2005-04-15,0,69.07
2005-04-22,30,72.96
2005-04-29,0,71.03
2005-05-06,0,71.70
2005-05-13,0,66.18
2005-05-20,0,70.35
2005-05-27,0,37.00
2005-06-03,0,39.14
2005-06-10,0,39.12
2005-06-17,0,40.60
2005-06-24,0,39.88
2005-07-01,0,41.14
2005-07-08,0,41.78
2005-07-15,0,40.03
2005-07-22,0,41.81
2005-07-29,0,42.49
2005-08-05,0,43.90
2005-08-12,0,46.49
2005-08-19,0,44.61
2005-08-26,0,45.53
2005-09-02,0,45.86
2005-09-09,0,47.20
2005-09-16,25,47.00
2005-09-23,29,47.89
2005-09-30,25,49.10
2005-10-07,25,44.63
2005-10-14,0,45.39
2005-10-21,0,43.26
2005-10-28,0,45.12
2005-11-04,0,44.86
2005-11-11,0,42.02
2005-11-18,0,42.86
2005-11-25,0,47.35
2005-12-02,0,48.33
2005-12-09,0,50.20
2005-12-16,0,50.00
2005-12-23,0,50.70
2005-12-30,0,50.07
2006-01-06,0,51.00
2006-01-13,28,51.05
2006-01-20,23,51.68
2006-01-27,23,49.82
2006-02-03,33,50.35
2006-02-10,24,42.54
2006-02-17,26,42.62
2006-02-24,28,41.24
2006-03-03,38,40.29
2006-03-10,19,36.92
2006-03-17,31,39.09
2006-03-24,49,41.37
2006-03-31,100,41.90
2006-04-07,42,41.39
2006-04-14,47,
2006-04-21,49,47.63
2006-04-28,51,44.60
2006-05-05,45,47.67
2006-05-12,45,47.94
2006-05-19,46,42.56
2006-05-26,34,42.59
2006-06-02,23,45.03
2006-06-09,43,41.12
2006-06-16,61,43.23
2006-06-23,51,44.20
2006-06-30,55,48.94
2006-07-07,29,46.89
2006-07-14,28,46.52
2006-07-21,91,43.78
2006-07-28,44,45.65
2006-08-04,37,42.87
2006-08-11,35,44.67
2006-08-18,39,41.67
2006-08-25,41,45.07
2006-09-01,29,44.28
2006-09-08,31,40.17
2006-09-15,28,37.64
2006-09-22,21,37.06
2006-09-29,19,38.54
2006-10-06,29,37.27
2006-10-13,27,39.30
2006-10-20,50,38.85
2006-10-27,23,40.74
2006-11-03,22,42.22
2006-11-10,35,42.57
2006-11-17,39,46.41
2006-11-24,41,46.85
2006-12-01,27,49.65
2006-12-08,25,46.99
2006-12-15,25,47.95
2006-12-22,25,46.97
2006-12-29,22,45.95
2007-01-05,23,41.00
2007-01-12,14,42.30
2007-01-19,27,40.83
2007-01-26,34,41.72
2007-02-02,17,43.46
2007-02-09,13,41.73
2007-02-16,21,41.69
2007-02-23,24,42.69
2007-03-02,28,41.83
2007-03-09,21,41.37
2007-03-16,19,39.94
2007-03-23,21,42.20
2007-03-30,21,41.71
2007-04-06,20,
2007-04-13,13,44.44
2007-04-20,15,43.05
2007-04-27,26,44.90
2007-05-04,12,45.13
2007-05-11,12,44.02
2007-05-18,23,48.15
2007-05-25,16,46.82
2007-06-01,23,52.61
2007-06-08,15,49.50
2007-06-15,20,50.11
2007-06-22,17,47.88
2007-06-29,11,45.55
2007-07-06,22,47.08
2007-07-13,21,50.03
2007-07-20,34,49.56
2007-07-27,25,48.97
2007-08-03,17,47.32
2007-08-10,16,48.04
2007-08-17,17,46.36
2007-08-24,31,44.82
2007-08-31,24,43.49
2007-09-07,20,45.69
2007-09-14,20,46.52
2007-09-21,21,48.05
2007-09-28,26,48.16
2007-10-05,26,49.78
2007-10-12,15,51.53
2007-10-19,19,50.40
2007-10-26,28,53.62
2007-11-02,36,53.13
2007-11-09,37,51.33
2007-11-16,27,51.34
2007-11-23,43,49.18
2007-11-30,28,49.85
2007-12-07,34,53.90
2007-12-14,27,52.02
2007-12-21,36,51.71
2007-12-28,27,53.13
2008-01-04,27,52.97
2008-01-11,32,52.26
2008-01-18,28,48.35
2008-01-25,30,47.90
2008-02-01,27,51.24
2008-02-08,26,49.77
2008-02-15,21,48.81
2008-02-22,25,50.35
2008-02-29,29,55.38
2008-03-07,27,54.61
2008-03-14,20,56.15
2008-03-21,27,
2008-03-28,23,52.04
2008-04-04,30,54.71
2008-04-11,34,56.25
2008-04-18,27,64.02
2008-04-25,25,65.49
2008-05-02,17,60.00
2008-05-09,28,62.74
2008-05-16,21,64.23
2008-05-23,20,64.61
2008-05-30,23,63.24
2008-06-06,21,65.54
2008-06-13,20,61.89
2008-06-20,21,64.21
2008-06-27,32,64.71
2008-07-04,26,
2008-07-11,28,60.73
2008-07-18,28,54.07
2008-07-25,21,51.72
2008-08-01,18,48.29
2008-08-08,20,42.42
2008-08-15,17,44.12
2008-08-22,18,44.70
2008-08-29,21,45.22
2008-09-05,18,42.05
2008-09-12,22,37.33
2008-09-19,22,40.57
2008-09-26,14,34.53
2008-10-03,15,27.48
2008-10-10,19,19.47
2008-10-17,14,20.51
2008-10-24,15,20.10
2008-10-31,12,22.98
2008-11-07,10,22.56
2008-11-14,16,19.89
2008-11-21,16,17.82
2008-11-28,12,22.58
2008-12-05,15,16.96
2008-12-12,26,20.91
2008-12-19,14,20.03
2008-12-26,22,18.32
2009-01-02,9,21.11
2009-01-09,8,21.35
2009-01-16,16,19.99
2009-01-23,10,18.75
2009-01-30,19,19.19
2009-02-06,17,22.57
2009-02-13,16,21.80
2009-02-20,14,19.10
2009-02-27,15,19.33
2009-03-06,11,19.34
2009-03-13,19,20.94
2009-03-20,9,23.07
2009-03-27,16,24.10
2009-04-03,17,25.51
2009-04-10,18,
2009-04-17,17,28.77
2009-04-24,13,32.50
2009-05-01,16,32.60
2009-05-08,13,36.01
2009-05-15,23,31.03
2009-05-22,15,33.92
2009-05-29,19,36.12
2009-06-05,17,36.18
2009-06-12,15,36.66
2009-06-19,14,32.89
2009-06-26,15,31.68
2009-07-03,16,
2009-07-10,15,30.32
2009-07-17,13,34.62
2009-07-24,15,40.53
2009-07-31,18,39.33
2009-08-07,16,40.27
2009-08-14,16,39.38
2009-08-21,17,41.42
2009-08-28,14,39.88
2009-09-04,10,39.12
2009-09-11,14,42.99
2009-09-18,15,44.01
2009-09-25,18,41.19
2009-10-02,15,41.53
2009-10-09,15,45.66
2009-10-16,15,47.94
2009-10-23,16,46.08
2009-10-30,13,41.02
2009-11-06,18,42.87
2009-11-13,9,44.18
2009-11-20,13,41.12
2009-11-27,17,42.42
2009-12-04,17,41.07
2009-12-11,11,41.18
2009-12-18,12,47.26
2009-12-25,10,
2010-01-01,15,
2010-01-08,16,50.46
2010-01-15,15,52.94
2010-01-22,17,50.56
2010-01-29,17,48.94
2010-02-05,11,49.80
2010-02-12,19,52.02
2010-02-19,13,50.62
2010-02-26,11,51.07
2010-03-05,14,52.84
2010-03-12,17,54.81
2010-03-19,13,49.98
2010-03-26,19,47.59
2010-04-02,12,
2010-04-09,13,55.21
2010-04-16,17,52.74
2010-04-23,19,56.74
2010-04-30,14,58.19
2010-05-07,10,51.08
2010-05-14,10,53.97
2010-05-21,14,48.10
2010-05-28,10,52.06
2010-06-04,13,49.91
2010-06-11,12,54.39
2010-06-18,9,55.51
2010-06-25,11,52.27
2010-07-02,11,47.33
2010-07-09,12,52.03
2010-07-16,12,49.56
2010-07-23,13,51.50
2010-07-30,10,53.46
2010-08-06,15,54.22
2010-08-13,13,50.60
2010-08-20,17,49.51
2010-08-27,18,47.79
2010-09-03,14,51.16
2010-09-10,18,51.27
2010-09-17,15,53.01
2010-09-24,13,55.18
2010-10-01,15,58.64
2010-10-08,15,58.49
2010-10-15,17,59.67
2010-10-22,13,59.11
2010-10-29,11,59.62
2010-11-05,13,64.59
2010-11-12,15,65.80
2010-11-19,17,67.81
2010-11-26,12,66.79
2010-12-03,11,70.13
2010-12-10,11,72.37
2010-12-17,14,71.01
2010-12-24,12,
2010-12-31,15,72.11
2011-01-07,19,70.82
2011-01-14,13,71.06
2011-01-21,15,68.34
2011-01-28,17,69.04
2011-02-04,15,74.70
2011-02-11,14,70.91
2011-02-18,16,68.53
2011-02-25,12,72.14
2011-03-04,14,72.01
2011-03-11,10,70.39
2011-03-18,15,72.06
2011-03-25,12,75.68
2011-04-01,14,75.88
2011-04-08,10,75.96
2011-04-15,13,71.10
2011-04-22,10,
2011-04-29,7,70.80
2011-05-06,14,67.60
2011-05-13,13,70.07
2011-05-20,12,74.90
2011-05-27,12,74.15
2011-06-03,11,72.75
2011-06-10,13,67.81
2011-06-17,13,63.70
2011-06-24,12,64.82
2011-07-01,14,69.25
2011-07-08,14,69.84
2011-07-15,15,69.78
2011-07-22,13,72.91
2011-07-29,12,67.42
2011-08-05,11,55.54
2011-08-12,12,54.50
2011-08-19,12,46.74
2011-08-26,13,48.10
2011-09-02,13,47.99
2011-09-09,10,47.60
2011-09-16,10,48.96
2011-09-23,15,40.32
2011-09-30,11,39.69
2011-10-07,14,40.65
2011-10-14,12,41.68
2011-10-21,17,36.73
2011-10-28,13,42.00
2011-11-04,13,42.92
2011-11-11,13,44.01
2011-11-18,12,40.87
2011-11-25,8,38.54
2011-12-02,16,45.60
2011-12-09,13,41.88
2011-12-16,16,37.01
2011-12-23,11,37.59
2011-12-30,12,37.73
2012-01-06,11,38.18
2012-01-13,15,38.16
2012-01-20,13,38.76
2012-01-27,13,39.78
2012-02-03,15,38.29
2012-02-10,15,38.18
2012-02-17,11,42.00
2012-02-24,18,36.60
2012-03-02,15,35.47
2012-03-09,13,35.55
2012-03-16,12,36.27
2012-03-23,15,35.80
2012-03-30,9,34.68
2012-04-06,7,
2012-04-13,12,32.88
2012-04-20,15,32.48
2012-04-27,11,35.95
2012-05-04,12,34.39
2012-05-11,11,32.26
2012-05-18,9,28.24
2012-05-25,9,31.06
2012-06-01,12,28.33
2012-06-08,15,29.20
2012-06-15,9,26.97
2012-06-22,14,26.54
2012-06-29,12,29.31
2012-07-06,12,29.25
2012-07-13,16,30.02
2012-07-20,13,32.05
2012-07-27,16,31.24
2012-08-03,12,30.04
2012-08-10,11,32.11
2012-08-17,12,32.35
2012-08-24,11,31.71
2012-08-31,10,32.63
2012-09-07,13,33.34
2012-09-14,14,35.21
2012-09-21,12,33.05
2012-09-28,12,31.32
2012-10-05,15,30.54
2012-10-12,13,33.13
2012-10-19,13,34.14
2012-10-26,15,27.08
2012-11-02,14,26.33
2012-11-09,13,25.19
2012-11-16,13,24.26
2012-11-23,13,24.14
2012-11-30,13,24.34
2012-12-07,13,25.79
2012-12-14,13,25.76
2012-12-21,13,26.97
2012-12-28,13,25.79
2013-01-04,16,28.03
2013-01-11,16,28.00
2013-01-18,15,28.64
2013-01-25,15,28.89
2013-02-01,13,29.55
2013-02-08,12,29.69
2013-02-15,17,27.15
2013-02-22,14,24.92
2013-03-01,12,23.06
2013-03-08,13,23.72
2013-03-15,14,24.11
2013-03-22,18,22.86
2013-03-29,11,
2013-04-05,13,22.14
2013-04-12,16,21.70
2013-04-19,12,20.04
2013-04-26,16,22.39
2013-05-03,14,22.78
2013-05-10,11,23.65
2013-05-17,13,23.58
2013-05-24,12,24.36
2013-05-31,11,23.79
2013-06-07,13,23.54
2013-06-14,13,22.50
2013-06-21,11,23.56
2013-06-28,12,23.89
2013-07-05,15,24.51
2013-07-12,9,25.75
2013-07-19,15,27.69
2013-07-26,15,24.78
2013-08-02,14,24.55
2013-08-09,11,24.65
2013-08-16,12,23.78
2013-08-23,13,23.52
2013-08-30,11,23.82
2013-09-06,16,23.86
2013-09-13,16,25.60
2013-09-20,13,26.83
2013-09-27,13,27.38
2013-10-04,13,28.70
2013-10-11,14,29.17
2013-10-18,14,30.34
2013-10-25,15,31.26
2013-11-01,14,30.45
2013-11-08,16,29.46
2013-11-15,13,29.67
2013-11-22,14,30.03
2013-11-29,14,28.10
2013-12-06,18,26.43
2013-12-13,19,23.36
2013-12-20,16,23.98
2013-12-27,13,24.54
2014-01-03,13,24.39
2014-01-10,15,25.69
2014-01-17,17,25.09
2014-01-24,17,24.71
2014-01-31,16,24.77
2014-02-07,15,24.12
2014-02-14,15,25.17
2014-02-21,18,24.70
2014-02-28,15,28.19
2014-03-07,14,28.75
2014-03-14,16,27.65
2014-03-21,13,30.08
2014-03-28,13,31.55
2014-04-04,13,32.25
2014-04-11,14,32.04
2014-04-18,16,
2014-04-25,15,31.75
2014-05-02,15,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
