Date,MRO,Price
2004-01-09,63,
2004-01-16,61,
2004-01-23,64,
2004-01-30,54,
2004-02-06,69,32.26
2004-02-13,58,33.49
2004-02-20,64,33.89
2004-02-27,57,35.14
2004-03-05,61,35.32
2004-03-12,61,34.52
2004-03-19,50,33.97
2004-03-26,43,31.50
2004-04-02,53,32.76
2004-04-09,57,
2004-04-16,47,34.41
2004-04-23,63,34.08
2004-04-30,68,33.56
2004-05-07,41,33.67
2004-05-14,57,33.59
2004-05-21,46,32.48
2004-05-28,47,33.34
2004-06-04,52,33.16
2004-06-11,57,
2004-06-18,64,36.64
2004-06-25,35,37.42
2004-07-02,42,38.00
2004-07-09,45,37.14
2004-07-16,51,37.59
2004-07-23,51,36.85
2004-07-30,55,37.67
2004-08-06,59,35.17
2004-08-13,51,35.16
2004-08-20,51,34.38
2004-08-27,62,35.59
2004-09-03,48,36.90
2004-09-10,57,37.44
2004-09-17,55,38.70
2004-09-24,50,40.52
2004-10-01,51,41.96
2004-10-08,43,41.24
2004-10-15,49,40.20
2004-10-22,55,40.30
2004-10-29,48,38.11
2004-11-05,46,38.42
2004-11-12,57,38.21
2004-11-19,51,38.36
2004-11-26,32,39.85
2004-12-03,46,37.51
2004-12-10,45,36.67
2004-12-17,44,37.32
2004-12-24,29,
2004-12-31,41,37.61
2005-01-07,44,36.81
2005-01-14,45,38.30
2005-01-21,60,38.06
2005-01-28,42,38.36
2005-02-04,40,40.50
2005-02-11,44,42.69
2005-02-18,45,44.53
2005-02-25,46,46.63
2005-03-04,46,48.76
2005-03-11,56,45.93
2005-03-18,46,46.94
2005-03-25,52,
2005-04-01,41,48.25
2005-04-08,57,47.75
2005-04-15,52,44.00
2005-04-22,57,47.94
2005-04-29,42,46.57
2005-05-06,49,48.32
2005-05-13,50,45.34
2005-05-20,43,46.22
2005-05-27,36,48.90
2005-06-03,48,49.99
2005-06-10,36,51.94
2005-06-17,59,54.94
2005-06-24,61,54.78
2005-07-01,41,55.54
2005-07-08,33,56.13
2005-07-15,45,55.23
2005-07-22,44,57.40
2005-07-29,44,58.36
2005-08-05,61,59.96
2005-08-12,86,63.41
2005-08-19,66,60.20
2005-08-26,44,59.20
2005-09-02,51,65.07
2005-09-09,44,67.75
2005-09-16,39,68.00
2005-09-23,55,68.57
2005-09-30,46,68.93
2005-10-07,37,62.35
2005-10-14,52,59.75
2005-10-21,57,57.32
2005-10-28,47,59.94
2005-11-04,38,60.93
2005-11-11,40,57.25
2005-11-18,40,59.02
2005-11-25,41,61.00
2005-12-02,48,60.79
2005-12-09,31,61.71
2005-12-16,49,61.79
2005-12-23,40,62.16
2005-12-30,28,60.97
2006-01-06,43,66.69
2006-01-13,35,71.32
2006-01-20,44,72.62
2006-01-27,45,75.04
2006-02-03,51,71.61
2006-02-10,44,66.43
2006-02-17,47,71.13
2006-02-24,49,72.21
2006-03-03,46,72.34
2006-03-10,85,69.50
2006-03-17,76,76.36
2006-03-24,54,77.30
2006-03-31,61,76.17
2006-04-07,53,78.10
2006-04-14,53,
2006-04-21,66,86.04
2006-04-28,44,79.36
2006-05-05,62,81.25
2006-05-12,45,78.36
2006-05-19,44,75.50
2006-05-26,49,76.00
2006-06-02,36,78.39
2006-06-09,52,73.37
2006-06-16,46,74.55
2006-06-23,52,76.72
2006-06-30,52,83.30
2006-07-07,40,85.73
2006-07-14,46,87.86
2006-07-21,57,84.13
2006-07-28,62,89.35
2006-08-04,100,87.20
2006-08-11,77,89.35
2006-08-18,61,87.21
2006-08-25,64,92.13
2006-09-01,49,84.99
2006-09-08,42,77.25
2006-09-15,46,73.21
2006-09-22,47,71.20
2006-09-29,57,76.90
2006-10-06,65,76.86
2006-10-13,54,83.13
2006-10-20,51,86.63
2006-10-27,44,86.35
2006-11-03,53,88.53
2006-11-10,50,88.49
2006-11-17,53,88.99
2006-11-24,46,91.29
2006-12-01,42,95.65
2006-12-08,55,93.73
2006-12-15,52,95.50
2006-12-22,50,90.77
2006-12-29,39,92.50
2007-01-05,40,85.92
2007-01-12,53,86.77
2007-01-19,42,87.17
2007-01-26,47,88.82
2007-02-02,49,89.62
2007-02-09,57,91.13
2007-02-16,51,91.03
2007-02-23,56,92.59
2007-03-02,45,89.24
2007-03-09,47,94.73
2007-03-16,46,93.29
2007-03-23,47,101.12
2007-03-30,57,98.83
2007-04-06,49,
2007-04-13,48,101.99
2007-04-20,53,100.55
2007-04-27,42,102.80
2007-05-04,40,104.41
2007-05-11,44,107.39
2007-05-18,49,114.52
2007-05-25,40,119.60
2007-06-01,36,126.76
2007-06-08,41,125.45
2007-06-15,46,132.51
2007-06-22,45,62.12
2007-06-29,46,59.96
2007-07-06,51,63.59
2007-07-13,49,65.04
2007-07-20,56,61.26
2007-07-27,54,55.15
2007-08-03,46,49.81
2007-08-10,50,51.86
2007-08-17,47,53.44
2007-08-24,46,53.73
2007-08-31,48,53.89
2007-09-07,37,54.51
2007-09-14,37,55.90
2007-09-21,40,58.25
2007-09-28,44,57.02
2007-10-05,36,58.46
2007-10-12,45,58.34
2007-10-19,44,58.11
2007-10-26,37,60.74
2007-11-02,50,59.68
2007-11-09,38,59.69
2007-11-16,42,57.51
2007-11-23,38,56.37
2007-11-30,41,55.90
