Date,IR,Price
2004-01-09,58,
2004-01-16,60,
2004-01-23,63,
2004-01-30,57,
2004-02-06,58,66.39
2004-02-13,58,66.63
2004-02-20,59,66.32
2004-02-27,62,66.48
2004-03-05,68,66.98
2004-03-12,57,64.51
2004-03-19,62,65.60
2004-03-26,59,66.60
2004-04-02,60,69.83
2004-04-09,63,
2004-04-16,60,72.68
2004-04-23,62,69.40
2004-04-30,66,64.55
2004-05-07,60,63.99
2004-05-14,60,63.07
2004-05-21,56,62.12
2004-05-28,58,65.30
2004-06-04,58,66.57
2004-06-11,64,
2004-06-18,55,68.60
2004-06-25,52,68.18
2004-07-02,54,66.34
2004-07-09,55,65.11
2004-07-16,53,66.65
2004-07-23,55,66.29
2004-07-30,57,68.69
2004-08-06,58,63.30
2004-08-13,51,62.20
2004-08-20,54,63.48
2004-08-27,54,66.21
2004-09-03,54,67.30
2004-09-10,61,67.00
2004-09-17,60,66.25
2004-09-24,57,64.82
2004-10-01,57,68.69
2004-10-08,59,68.95
2004-10-15,58,67.81
2004-10-22,57,66.13
2004-10-29,57,68.44
2004-11-05,59,71.89
2004-11-12,62,74.58
2004-11-19,60,73.52
2004-11-26,63,74.99
2004-12-03,64,76.47
2004-12-10,57,76.80
2004-12-17,59,79.85
2004-12-24,56,
2004-12-31,56,80.30
2005-01-07,56,75.25
2005-01-14,58,76.95
2005-01-21,60,73.83
2005-01-28,62,73.82
2005-02-04,58,80.78
2005-02-11,59,81.28
2005-02-18,58,80.80
2005-02-25,62,83.00
2005-03-04,66,87.33
2005-03-11,60,84.25
2005-03-18,60,84.20
2005-03-25,65,
2005-04-01,56,79.72
2005-04-08,63,80.46
2005-04-15,64,76.25
2005-04-22,62,79.78
2005-04-29,69,76.87
2005-05-06,61,78.79
2005-05-13,59,75.96
2005-05-20,58,79.06
2005-05-27,58,78.40
2005-06-03,59,75.47
2005-06-10,62,74.47
2005-06-17,56,74.65
2005-06-24,53,71.60
2005-07-01,54,72.00
2005-07-08,54,73.83
2005-07-15,56,74.78
