Date,buy A,Price
2004-01-09,64,
2004-01-16,60,
2004-01-23,63,
2004-01-30,62,
2004-02-06,60,36.85
2004-02-13,57,37.08
2004-02-20,58,35.05
2004-02-27,59,34.19
2004-03-05,59,34.81
2004-03-12,50,31.65
2004-03-19,59,30.55
2004-03-26,56,30.79
2004-04-02,59,32.32
2004-04-09,61,
2004-04-16,58,30.13
2004-04-23,62,29.50
2004-04-30,64,27.01
2004-05-07,63,26.31
2004-05-14,56,25.59
2004-05-21,58,24.38
2004-05-28,58,25.70
2004-06-04,57,25.22
2004-06-11,60,
2004-06-18,55,25.89
2004-06-25,55,29.51
2004-07-02,62,28.27
2004-07-09,59,26.84
2004-07-16,59,25.31
2004-07-23,58,23.56
2004-07-30,61,23.81
2004-08-06,61,21.85
2004-08-13,64,20.52
2004-08-20,56,22.20
2004-08-27,61,21.64
2004-09-03,53,20.37
2004-09-10,56,22.71
2004-09-17,56,22.90
2004-09-24,53,21.82
2004-10-01,54,22.99
2004-10-08,55,22.23
2004-10-15,53,22.79
2004-10-22,55,23.90
2004-10-29,57,25.06
2004-11-05,50,25.21
2004-11-12,50,22.58
2004-11-19,60,23.13
2004-11-26,62,23.16
2004-12-03,61,24.21
2004-12-10,65,23.69
2004-12-17,62,23.82
2004-12-24,57,
2004-12-31,60,24.10
2005-01-07,60,22.71
2005-01-14,55,22.05
2005-01-21,55,21.80
2005-01-28,54,21.61
2005-02-04,55,22.45
2005-02-11,59,23.72
2005-02-18,54,23.57
2005-02-25,56,23.55
2005-03-04,56,24.11
2005-03-11,51,23.34
2005-03-18,53,22.35
2005-03-25,57,
2005-04-01,55,22.07
2005-04-08,55,21.37
2005-04-15,54,20.40
2005-04-22,51,21.10
2005-04-29,54,20.75
2005-05-06,59,21.50
2005-05-13,53,21.99
2005-05-20,53,23.41
2005-05-27,53,23.91
2005-06-03,51,24.06
2005-06-10,53,24.50
2005-06-17,56,24.77
2005-06-24,53,24.13
2005-07-01,53,23.40
2005-07-08,53,24.34
2005-07-15,52,25.66
2005-07-22,55,25.59
2005-07-29,56,26.24
2005-08-05,61,25.87
2005-08-12,58,26.41
2005-08-19,57,30.65
2005-08-26,55,31.10
2005-09-02,55,32.14
2005-09-09,53,32.62
2005-09-16,48,33.91
2005-09-23,53,33.69
2005-09-30,55,32.75
2005-10-07,54,31.81
2005-10-14,52,30.93
2005-10-21,51,31.09
2005-10-28,52,31.00
2005-11-04,52,32.80
2005-11-11,52,32.93
2005-11-18,54,34.91
2005-11-25,54,35.69
2005-12-02,62,35.49
2005-12-09,59,35.27
2005-12-16,59,35.30
2005-12-23,53,34.90
2005-12-30,58,33.29
2006-01-06,53,34.65
2006-01-13,54,33.96
2006-01-20,54,34.25
2006-01-27,55,34.14
2006-02-03,53,34.33
2006-02-10,50,35.87
2006-02-17,51,34.99
2006-02-24,50,35.92
2006-03-03,48,36.22
2006-03-10,50,36.38
2006-03-17,50,37.92
2006-03-24,50,37.37
2006-03-31,49,37.55
2006-04-07,51,37.86
2006-04-14,50,
2006-04-21,52,38.82
2006-04-28,51,38.42
2006-05-05,52,39.15
2006-05-12,51,37.25
2006-05-19,50,34.98
2006-05-26,49,34.63
2006-06-02,49,35.52
2006-06-09,48,33.73
2006-06-16,47,33.35
2006-06-23,49,31.19
2006-06-30,48,31.56
2006-07-07,49,31.02
2006-07-14,51,28.69
2006-07-21,53,27.86
2006-07-28,56,27.92
2006-08-04,54,28.05
2006-08-11,53,27.20
2006-08-18,52,31.80
2006-08-25,50,30.47
2006-09-01,48,31.52
2006-09-08,48,30.68
2006-09-15,50,30.92
2006-09-22,51,32.48
2006-09-29,49,32.69
2006-10-06,49,33.29
2006-10-13,50,34.50
2006-10-20,49,34.92
2006-10-27,50,34.88
2006-11-03,48,32.93
2006-11-10,49,34.34
2006-11-17,54,33.75
2006-11-24,55,33.56
2006-12-01,59,31.97
2006-12-08,57,33.43
2006-12-15,58,34.08
2006-12-22,58,33.72
2006-12-29,54,34.85
2007-01-05,52,34.09
2007-01-12,49,33.60
2007-01-19,49,32.80
2007-01-26,50,32.37
2007-02-02,50,31.61
2007-02-09,51,32.66
2007-02-16,50,32.77
2007-02-23,53,33.27
2007-03-02,50,30.72
2007-03-09,56,31.76
2007-03-16,57,31.75
2007-03-23,53,33.22
2007-03-30,60,33.69
2007-04-06,64,
2007-04-13,69,34.47
2007-04-20,69,35.48
2007-04-27,71,34.71
2007-05-04,73,37.00
2007-05-11,70,36.21
2007-05-18,75,38.00
2007-05-25,74,38.37
2007-06-01,72,38.28
2007-06-08,73,37.53
2007-06-15,70,38.72
2007-06-22,71,38.65
2007-06-29,67,38.44
2007-07-06,67,39.82
2007-07-13,65,39.96
2007-07-20,68,39.38
2007-07-27,63,37.64
2007-08-03,63,37.98
2007-08-10,64,35.75
2007-08-17,62,33.83
2007-08-24,59,35.20
2007-08-31,56,36.40
2007-09-07,56,36.28
2007-09-14,54,36.16
2007-09-21,54,36.91
2007-09-28,54,36.88
2007-10-05,54,37.79
2007-10-12,56,37.61
2007-10-19,54,37.30
2007-10-26,53,36.03
2007-11-02,55,36.02
2007-11-09,56,33.39
2007-11-16,56,36.72
2007-11-23,70,36.91
2007-11-30,69,37.83
2007-12-07,72,38.01
2007-12-14,63,36.31
2007-12-21,62,37.19
2007-12-28,62,37.49
2008-01-04,64,34.77
2008-01-11,59,36.00
2008-01-18,59,33.66
2008-01-25,57,33.19
2008-02-01,59,34.46
2008-02-08,59,32.00
2008-02-15,57,30.65
2008-02-22,56,31.41
2008-02-29,54,30.61
2008-03-07,55,30.07
2008-03-14,56,29.64
2008-03-21,58,
2008-03-28,57,29.58
2008-04-04,57,31.71
2008-04-11,55,30.13
2008-04-18,58,30.97
2008-04-25,58,31.53
2008-05-02,61,32.07
2008-05-09,59,31.90
2008-05-16,57,35.09
2008-05-23,58,35.93
2008-05-30,57,37.39
2008-06-06,58,36.51
2008-06-13,59,37.31
2008-06-20,60,37.57
