Date,ITW,Price
2004-01-09,49,
2004-01-16,60,
2004-01-23,85,
2004-01-30,99,
2004-02-06,80,79.36
2004-02-13,75,78.84
2004-02-20,64,79.38
2004-02-27,68,79.52
2004-03-05,100,78.72
2004-03-12,57,75.69
2004-03-19,66,77.13
2004-03-26,48,77.20
2004-04-02,59,79.65
2004-04-09,47,
2004-04-16,67,83.19
2004-04-23,69,88.10
2004-04-30,56,86.21
2004-05-07,80,85.98
2004-05-14,60,85.66
2004-05-21,52,87.25
2004-05-28,55,89.88
2004-06-04,63,92.29
2004-06-11,72,
2004-06-18,62,92.77
2004-06-25,67,95.55
2004-07-02,58,93.63
2004-07-09,84,93.44
2004-07-16,67,93.69
2004-07-23,74,86.85
2004-07-30,79,90.52
2004-08-06,61,87.55
2004-08-13,58,87.94
2004-08-20,48,90.75
2004-08-27,75,92.04
2004-09-03,59,93.02
2004-09-10,57,88.97
2004-09-17,46,92.00
2004-09-24,66,91.32
2004-10-01,59,94.70
2004-10-08,54,93.26
2004-10-15,50,91.29
2004-10-22,70,89.11
2004-10-29,51,92.28
2004-11-05,74,94.78
2004-11-12,48,95.98
2004-11-19,56,94.88
2004-11-26,54,95.72
2004-12-03,60,95.03
2004-12-10,47,93.68
2004-12-17,62,91.70
2004-12-24,55,
2004-12-31,43,92.68
2005-01-07,59,91.02
2005-01-14,60,91.61
2005-01-21,63,87.70
2005-01-28,49,86.79
2005-02-04,81,87.50
2005-02-11,65,88.98
2005-02-18,67,91.50
2005-02-25,57,90.45
2005-03-04,59,93.63
2005-03-11,59,93.07
2005-03-18,52,92.38
2005-03-25,50,
2005-04-01,54,89.26
2005-04-08,67,90.39
2005-04-15,49,85.07
2005-04-22,60,85.11
2005-04-29,55,83.82
2005-05-06,45,85.23
2005-05-13,54,82.08
2005-05-20,63,83.86
2005-05-27,70,85.53
2005-06-03,68,85.17
2005-06-10,59,81.50
2005-06-17,59,83.48
2005-06-24,62,80.69
2005-07-01,53,80.15
2005-07-08,67,82.41
2005-07-15,55,83.01
2005-07-22,63,85.75
2005-07-29,68,85.65
2005-08-05,65,86.15
2005-08-12,43,86.90
2005-08-19,69,85.74
2005-08-26,49,83.79
2005-09-02,51,85.63
2005-09-09,55,84.63
2005-09-16,61,81.59
2005-09-23,59,80.20
2005-09-30,58,82.33
2005-10-07,59,80.00
2005-10-14,72,81.14
2005-10-21,56,80.17
2005-10-28,55,84.21
2005-11-04,49,84.09
2005-11-11,40,86.00
2005-11-18,53,87.13
2005-11-25,46,87.24
2005-12-02,67,89.68
2005-12-09,39,87.87
2005-12-16,59,90.04
2005-12-23,55,90.77
2005-12-30,23,87.99
2006-01-06,43,90.22
2006-01-13,61,89.54
