Date,AIZ,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,24.85
2004-02-13,0,24.70
2004-02-20,0,25.35
2004-02-27,0,25.74
2004-03-05,0,25.55
2004-03-12,0,24.50
2004-03-19,0,23.74
2004-03-26,0,24.10
2004-04-02,0,25.22
2004-04-09,0,
2004-04-16,0,25.54
2004-04-23,0,25.03
2004-04-30,0,24.36
2004-05-07,0,24.10
2004-05-14,0,25.00
2004-05-21,0,24.93
2004-05-28,0,25.10
2004-06-04,0,25.80
2004-06-11,0,
2004-06-18,0,25.35
2004-06-25,0,25.99
2004-07-02,0,26.07
2004-07-09,0,25.85
2004-07-16,0,25.48
2004-07-23,0,24.30
2004-07-30,0,24.40
2004-08-06,0,25.65
2004-08-13,0,25.10
2004-08-20,0,25.80
2004-08-27,0,25.81
2004-09-03,0,26.45
2004-09-10,0,26.33
2004-09-17,0,26.86
2004-09-24,0,26.60
2004-10-01,0,25.95
2004-10-08,0,26.45
2004-10-15,0,25.50
2004-10-22,0,25.65
2004-10-29,0,26.98
2004-11-05,0,28.35
2004-11-12,0,29.00
2004-11-19,0,29.25
2004-11-26,0,29.49
2004-12-03,0,29.97
2004-12-10,0,30.30
2004-12-17,0,30.59
2004-12-24,0,
2004-12-31,0,30.55
2005-01-07,0,30.38
2005-01-14,0,30.61
2005-01-21,0,31.35
2005-01-28,0,31.62
2005-02-04,0,33.58
2005-02-11,0,33.95
2005-02-18,0,34.14
2005-02-25,0,34.57
2005-03-04,0,34.61
2005-03-11,0,34.15
2005-03-18,0,34.10
2005-03-25,0,
2005-04-01,0,33.44
2005-04-08,0,33.47
2005-04-15,0,32.89
2005-04-22,0,32.93
2005-04-29,0,33.09
2005-05-06,0,34.22
2005-05-13,0,33.25
2005-05-20,0,33.62
2005-05-27,0,35.10
2005-06-03,0,34.92
2005-06-10,84,35.62
2005-06-17,0,35.24
2005-06-24,0,35.55
2005-07-01,0,36.21
2005-07-08,0,36.88
2005-07-15,0,36.96
2005-07-22,0,35.79
2005-07-29,0,36.95
2005-08-05,0,36.72
2005-08-12,0,38.10
2005-08-19,0,37.48
2005-08-26,0,37.54
2005-09-02,0,36.55
2005-09-09,0,37.44
2005-09-16,0,38.04
2005-09-23,0,36.95
2005-09-30,0,38.06
2005-10-07,0,37.38
2005-10-14,0,36.48
2005-10-21,0,37.23
2005-10-28,0,37.65
2005-11-04,0,41.85
2005-11-11,0,42.59
2005-11-18,0,43.80
2005-11-25,0,43.97
2005-12-02,65,44.04
2005-12-09,0,43.50
2005-12-16,0,42.23
2005-12-23,0,43.21
2005-12-30,0,43.49
2006-01-06,0,44.26
2006-01-13,0,44.41
2006-01-20,67,44.16
2006-01-27,61,45.48
2006-02-03,60,44.12
2006-02-10,66,44.15
2006-02-17,71,44.74
2006-02-24,77,45.73
2006-03-03,62,44.54
2006-03-10,62,45.60
2006-03-17,62,46.39
2006-03-24,64,48.58
2006-03-31,66,49.25
2006-04-07,67,48.51
2006-04-14,58,
2006-04-21,58,49.47
2006-04-28,56,48.17
2006-05-05,69,49.89
2006-05-12,54,50.03
2006-05-19,54,48.38
2006-05-26,64,48.91
2006-06-02,74,49.51
2006-06-09,83,48.51
2006-06-16,56,46.82
2006-06-23,61,46.09
2006-06-30,65,48.40
2006-07-07,69,48.25
2006-07-14,73,47.58
2006-07-21,65,48.21
2006-07-28,65,48.53
2006-08-04,65,49.21
2006-08-11,65,50.36
2006-08-18,0,50.83
2006-08-25,0,50.28
2006-09-01,0,51.82
2006-09-08,0,52.69
2006-09-15,0,52.96
2006-09-22,0,53.11
2006-09-29,0,53.41
2006-10-06,0,54.17
2006-10-13,0,54.29
2006-10-20,46,53.59
2006-10-27,55,53.01
2006-11-03,61,54.85
2006-11-10,66,55.50
2006-11-17,52,55.19
2006-11-24,62,54.94
2006-12-01,73,54.81
2006-12-08,0,54.59
2006-12-15,0,56.05
2006-12-22,0,55.61
2006-12-29,0,55.25
2007-01-05,0,56.00
2007-01-12,44,56.91
2007-01-19,39,56.22
2007-01-26,52,55.34
2007-02-02,42,57.13
2007-02-09,42,53.43
2007-02-16,62,54.58
2007-02-23,55,53.97
2007-03-02,44,53.40
2007-03-09,41,53.62
2007-03-16,41,52.51
2007-03-23,56,53.84
2007-03-30,39,53.63
2007-04-06,39,
2007-04-13,53,56.05
2007-04-20,66,58.26
2007-04-27,54,57.90
2007-05-04,40,59.63
2007-05-11,50,60.41
2007-05-18,54,60.15
2007-05-25,57,59.08
2007-06-01,44,59.55
2007-06-08,61,58.96
2007-06-15,56,59.05
2007-06-22,58,57.89
2007-06-29,67,58.92
2007-07-06,48,59.58
2007-07-13,34,59.31
2007-07-20,100,54.71
2007-07-27,57,50.92
2007-08-03,71,48.07
2007-08-10,58,49.35
2007-08-17,67,50.86
2007-08-24,80,53.03
2007-08-31,38,51.54
2007-09-07,40,49.10
2007-09-14,51,49.55
2007-09-21,44,52.07
2007-09-28,44,53.50
2007-10-05,65,56.49
2007-10-12,65,56.01
2007-10-19,78,54.89
2007-10-26,42,58.55
2007-11-02,67,64.58
2007-11-09,77,63.45
2007-11-16,42,65.67
2007-11-23,53,66.11
2007-11-30,69,65.43
2007-12-07,48,65.21
2007-12-14,48,65.86
2007-12-21,52,68.27
2007-12-28,45,67.73
2008-01-04,37,64.76
2008-01-11,61,66.75
2008-01-18,72,62.90
2008-01-25,74,64.18
2008-02-01,56,65.83
2008-02-08,49,62.64
2008-02-15,56,62.41
2008-02-22,45,62.58
2008-02-29,61,62.55
2008-03-07,42,61.94
2008-03-14,32,59.32
2008-03-21,31,
2008-03-28,32,60.25
2008-04-04,48,61.73
2008-04-11,43,61.74
2008-04-18,43,64.77
2008-04-25,54,65.08
2008-05-02,35,65.39
2008-05-09,47,64.77
2008-05-16,62,66.80
2008-05-23,57,66.41
2008-05-30,45,68.03
2008-06-06,54,68.73
2008-06-13,60,68.27
2008-06-20,67,67.93
2008-06-27,49,67.48
2008-07-04,83,
2008-07-11,58,68.69
2008-07-18,45,65.67
2008-07-25,30,62.96
2008-08-01,56,60.75
2008-08-08,51,58.66
2008-08-15,40,58.45
2008-08-22,53,58.23
2008-08-29,58,58.43
2008-09-05,38,58.41
2008-09-12,59,58.00
2008-09-19,68,54.51
2008-09-26,54,53.42
2008-10-03,76,48.66
2008-10-10,47,35.09
2008-10-17,75,38.20
2008-10-24,68,36.87
2008-10-31,80,25.48
2008-11-07,51,22.35
2008-11-14,54,19.98
2008-11-21,61,15.06
2008-11-28,67,21.77
2008-12-05,61,22.54
2008-12-12,56,22.27
2008-12-19,79,27.74
2008-12-26,75,26.55
2009-01-02,29,30.24
2009-01-09,37,30.15
2009-01-16,54,28.53
2009-01-23,59,26.91
2009-01-30,49,26.40
2009-02-06,51,25.63
2009-02-13,55,25.04
2009-02-20,37,21.62
2009-02-27,48,20.40
2009-03-06,96,17.19
2009-03-13,87,20.46
2009-03-20,55,21.37
2009-03-27,63,22.42
2009-04-03,58,23.76
2009-04-10,54,
2009-04-17,60,27.58
2009-04-24,47,28.18
2009-05-01,37,23.41
2009-05-08,61,25.62
2009-05-15,58,22.58
2009-05-22,53,22.55
2009-05-29,60,23.63
2009-06-05,54,24.91
2009-06-12,57,24.62
2009-06-19,59,24.31
2009-06-26,48,24.07
2009-07-03,58,
2009-07-10,52,22.39
2009-07-17,52,24.64
2009-07-24,45,26.23
2009-07-31,68,25.52
2009-08-07,58,27.32
2009-08-14,48,28.20
2009-08-21,55,29.24
2009-08-28,41,29.80
2009-09-04,53,28.48
2009-09-11,84,29.75
2009-09-18,55,31.99
2009-09-25,49,31.22
2009-10-02,51,30.85
2009-10-09,49,31.83
2009-10-16,46,30.95
2009-10-23,42,31.15
2009-10-30,49,29.93
2009-11-06,51,30.83
2009-11-13,70,31.15
2009-11-20,50,30.72
2009-11-27,58,30.26
2009-12-04,57,30.56
2009-12-11,47,29.62
2009-12-18,70,29.48
2009-12-25,96,
2010-01-01,43,
2010-01-08,54,31.37
2010-01-15,40,30.53
2010-01-22,52,31.83
2010-01-29,49,31.43
2010-02-05,63,30.92
2010-02-12,39,29.86
2010-02-19,44,30.91
2010-02-26,47,30.52
2010-03-05,51,31.68
2010-03-12,39,32.90
2010-03-19,48,33.20
2010-03-26,52,33.97
2010-04-02,51,
2010-04-09,42,34.63
2010-04-16,57,34.44
2010-04-23,53,34.89
2010-04-30,53,36.43
2010-05-07,49,34.65
2010-05-14,38,35.87
2010-05-21,48,34.30
2010-05-28,59,34.70
2010-06-04,41,34.31
2010-06-11,35,35.85
2010-06-18,43,37.05
2010-06-25,55,36.04
2010-07-02,31,34.19
2010-07-09,40,35.88
2010-07-16,55,36.58
2010-07-23,38,36.81
2010-07-30,49,37.29
2010-08-06,30,37.61
2010-08-13,44,37.01
2010-08-20,46,36.36
2010-08-27,49,36.85
2010-09-03,44,38.72
2010-09-10,44,39.21
2010-09-17,49,40.00
2010-09-24,47,40.37
2010-10-01,49,40.61
2010-10-08,64,40.89
2010-10-15,52,40.95
2010-10-22,68,41.37
2010-10-29,55,39.54
2010-11-05,58,41.39
2010-11-12,59,35.00
2010-11-19,40,35.00
2010-11-26,44,35.14
2010-12-03,59,36.68
2010-12-10,37,37.98
2010-12-17,52,37.20
2010-12-24,48,
2010-12-31,32,38.52
2011-01-07,49,38.15
2011-01-14,41,39.31
2011-01-21,44,38.74
2011-01-28,46,38.98
2011-02-04,48,39.46
2011-02-11,58,40.00
2011-02-18,49,41.71
2011-02-25,42,40.64
2011-03-04,53,39.09
2011-03-11,63,38.18
2011-03-18,56,39.06
2011-03-25,55,39.46
2011-04-01,54,38.31
2011-04-08,52,37.98
2011-04-15,52,37.91
2011-04-22,39,
2011-04-29,43,39.70
2011-05-06,50,38.80
2011-05-13,36,38.56
2011-05-20,49,37.95
2011-05-27,52,37.08
2011-06-03,55,35.71
2011-06-10,44,34.48
2011-06-17,52,35.03
2011-06-24,52,35.05
2011-07-01,42,36.64
2011-07-08,42,36.01
2011-07-15,42,34.36
2011-07-22,41,35.05
2011-07-29,42,35.62
2011-08-05,37,33.82
2011-08-12,48,32.72
2011-08-19,38,32.76
2011-08-26,36,33.41
2011-09-02,45,33.37
2011-09-09,46,33.55
2011-09-16,42,35.85
2011-09-23,47,33.90
2011-09-30,51,35.80
2011-10-07,44,35.24
2011-10-14,41,37.22
2011-10-21,39,39.29
2011-10-28,47,39.18
2011-11-04,46,38.43
2011-11-11,53,38.69
2011-11-18,38,37.86
2011-11-25,33,36.22
2011-12-02,46,39.09
2011-12-09,37,39.95
2011-12-16,43,39.41
2011-12-23,44,41.22
2011-12-30,43,41.06
2012-01-06,33,41.17
2012-01-13,50,38.11
2012-01-20,55,39.35
2012-01-27,46,39.86
2012-02-03,40,41.56
2012-02-10,48,43.46
2012-02-17,45,44.03
2012-02-24,43,42.95
2012-03-02,56,42.83
2012-03-09,53,41.63
2012-03-16,35,39.88
2012-03-23,44,40.59
2012-03-30,36,40.50
2012-04-06,44,
2012-04-13,45,38.73
2012-04-20,45,38.97
2012-04-27,34,40.64
2012-05-04,57,37.86
2012-05-11,44,37.81
2012-05-18,55,35.26
2012-05-25,48,33.25
2012-06-01,42,32.85
2012-06-08,40,33.97
2012-06-15,45,33.86
2012-06-22,47,34.15
2012-06-29,46,34.84
2012-07-06,46,34.90
2012-07-13,44,34.40
2012-07-20,51,33.90
2012-07-27,36,35.54
2012-08-03,29,36.65
2012-08-10,33,35.85
2012-08-17,36,34.63
2012-08-24,31,34.18
2012-08-31,46,35.25
2012-09-07,50,36.54
2012-09-14,49,38.16
2012-09-21,48,37.35
2012-09-28,58,37.30
2012-10-05,57,39.68
2012-10-12,52,39.38
2012-10-19,41,40.33
2012-10-26,49,37.85
2012-11-02,40,37.60
2012-11-09,41,36.64
2012-11-16,62,35.56
2012-11-23,43,34.35
2012-11-30,47,34.21
2012-12-07,29,34.81
2012-12-14,46,34.54
2012-12-21,39,34.79
2012-12-28,42,34.30
2013-01-04,46,35.93
2013-01-11,45,36.19
2013-01-18,44,37.29
2013-01-25,48,38.62
2013-02-01,47,39.00
2013-02-08,48,38.56
2013-02-15,49,41.84
2013-02-22,44,41.64
2013-03-01,46,41.82
2013-03-08,46,42.84
2013-03-15,39,44.04
2013-03-22,44,44.02
2013-03-29,43,
2013-04-05,50,45.01
2013-04-12,43,47.49
2013-04-19,47,46.66
2013-04-26,44,46.52
2013-05-03,35,47.45
2013-05-10,42,47.38
2013-05-17,39,49.84
2013-05-24,43,49.71
2013-05-31,39,49.74
2013-06-07,41,49.97
2013-06-14,44,50.56
2013-06-21,45,50.24
2013-06-28,39,50.91
2013-07-05,38,50.95
2013-07-12,44,53.09
2013-07-19,34,53.18
2013-07-26,47,53.09
2013-08-02,42,54.83
2013-08-09,38,55.20
2013-08-16,34,55.23
2013-08-23,36,56.03
2013-08-30,33,53.04
2013-09-06,38,53.72
2013-09-13,44,55.21
2013-09-20,36,53.81
2013-09-27,33,54.30
2013-10-04,41,55.25
2013-10-11,38,57.69
2013-10-18,49,59.33
2013-10-25,41,57.75
2013-11-01,42,58.60
2013-11-08,48,59.84
2013-11-15,51,61.35
2013-11-22,46,64.04
2013-11-29,44,64.94
2013-12-06,40,65.33
2013-12-13,45,64.25
2013-12-20,43,65.74
2013-12-27,31,66.08
2014-01-03,30,65.72
2014-01-10,49,67.74
2014-01-17,41,67.65
2014-01-24,47,64.14
2014-01-31,40,65.35
2014-02-07,46,64.37
2014-02-14,32,64.05
2014-02-21,35,63.64
2014-02-28,47,65.63
2014-03-07,36,67.94
2014-03-14,44,65.37
2014-03-21,33,65.81
2014-03-28,36,63.82
2014-04-04,45,65.61
2014-04-11,40,63.22
2014-04-18,42,
2014-04-25,39,66.71
2014-05-02,44,
