Date,Verizon Communications,Price
2004-01-09,73,
2004-01-16,65,
2004-01-23,66,
2004-01-30,57,
2004-02-06,57,37.15
2004-02-13,57,37.65
2004-02-20,57,37.18
2004-02-27,68,38.33
2004-03-05,78,38.98
2004-03-12,89,37.91
2004-03-19,100,37.47
2004-03-26,58,36.02
2004-04-02,58,37.24
2004-04-09,58,
2004-04-16,65,36.75
2004-04-23,72,37.54
2004-04-30,72,37.74
2004-05-07,72,36.78
2004-05-14,66,36.36
2004-05-21,66,35.77
2004-05-28,65,34.58
2004-06-04,68,34.96
2004-06-11,47,
2004-06-18,79,36.17
2004-06-25,53,35.77
2004-07-02,53,36.07
2004-07-09,58,35.44
2004-07-16,62,34.60
2004-07-23,67,35.32
2004-07-30,63,38.54
2004-08-06,63,38.35
2004-08-13,66,39.07
2004-08-20,71,39.60
2004-08-27,72,38.96
2004-09-03,62,40.06
2004-09-10,57,40.34
2004-09-17,62,40.57
2004-09-24,48,40.31
2004-10-01,48,40.04
2004-10-08,61,40.73
2004-10-15,73,40.87
2004-10-22,67,38.97
2004-10-29,82,39.10
2004-11-05,55,41.01
2004-11-12,74,42.22
2004-11-19,62,41.10
2004-11-26,52,41.03
2004-12-03,52,42.02
2004-12-10,41,40.80
2004-12-17,54,40.90
2004-12-24,67,
2004-12-31,63,40.51
2005-01-07,63,39.41
2005-01-14,63,36.84
2005-01-21,62,36.50
2005-01-28,63,35.68
2005-02-04,64,36.85
2005-02-11,69,36.31
2005-02-18,76,35.31
2005-02-25,46,36.20
2005-03-04,44,36.42
2005-03-11,54,36.07
2005-03-18,66,35.15
2005-03-25,66,
2005-04-01,58,35.19
2005-04-08,37,35.07
2005-04-15,37,34.15
2005-04-22,47,34.06
2005-04-29,68,35.80
2005-05-06,65,34.56
2005-05-13,42,34.09
2005-05-20,33,35.20
2005-05-27,47,35.46
2005-06-03,31,35.17
2005-06-10,51,34.85
2005-06-17,30,35.03
2005-06-24,57,34.47
2005-07-01,38,34.57
2005-07-08,63,34.40
2005-07-15,63,34.69
2005-07-22,40,34.17
2005-07-29,55,34.23
2005-08-05,62,33.32
2005-08-12,36,33.05
2005-08-19,67,33.07
2005-08-26,55,32.60
2005-09-02,35,32.48
2005-09-09,54,32.73
2005-09-16,40,32.81
2005-09-23,46,32.16
2005-09-30,60,32.69
2005-10-07,47,30.59
2005-10-14,52,29.90
2005-10-21,68,29.52
2005-10-28,61,31.70
2005-11-04,51,30.90
2005-11-11,29,31.40
2005-11-18,46,31.70
2005-11-25,48,31.98
2005-12-02,47,31.87
2005-12-09,60,31.08
2005-12-16,45,30.49
2005-12-23,56,30.48
2005-12-30,36,30.12
2006-01-06,37,31.35
2006-01-13,34,32.18
2006-01-20,48,30.94
2006-01-27,48,32.14
2006-02-03,56,31.61
2006-02-10,67,33.18
2006-02-17,37,34.78
2006-02-24,51,33.81
2006-03-03,52,33.58
2006-03-10,49,34.19
2006-03-17,59,34.41
2006-03-24,48,34.97
2006-03-31,40,34.06
2006-04-07,50,33.79
2006-04-14,56,
2006-04-21,35,32.52
2006-04-28,42,33.03
2006-05-05,38,33.02
2006-05-12,49,31.79
2006-05-19,43,30.90
2006-05-26,35,31.49
2006-06-02,45,31.94
2006-06-09,46,31.50
2006-06-16,53,32.54
2006-06-23,48,32.83
2006-06-30,40,33.49
2006-07-07,41,32.71
2006-07-14,60,31.62
2006-07-21,51,31.87
2006-07-28,54,33.73
2006-08-04,49,33.77
2006-08-11,47,34.07
2006-08-18,47,34.42
2006-08-25,52,34.70
2006-09-01,36,35.57
2006-09-08,36,35.40
2006-09-15,33,35.81
2006-09-22,33,37.10
2006-09-29,48,37.13
2006-10-06,46,36.80
2006-10-13,42,37.05
2006-10-20,53,37.80
2006-10-27,59,38.84
2006-11-03,41,36.70
2006-11-10,30,35.59
2006-11-17,57,36.04
2006-11-24,40,34.75
2006-12-01,43,34.64
2006-12-08,35,35.31
2006-12-15,51,36.48
2006-12-22,40,36.55
2006-12-29,47,37.24
2007-01-05,46,37.38
2007-01-12,55,37.33
2007-01-19,59,37.25
2007-01-26,67,37.83
2007-02-02,50,38.17
2007-02-09,41,37.70
2007-02-16,29,38.50
2007-02-23,44,38.41
2007-03-02,41,36.48
2007-03-09,54,36.45
2007-03-16,35,36.32
2007-03-23,39,38.12
2007-03-30,35,37.92
2007-04-06,48,
2007-04-13,46,37.39
2007-04-20,37,37.91
2007-04-27,30,37.89
2007-05-04,38,40.66
2007-05-11,38,41.35
2007-05-18,45,42.59
2007-05-25,45,42.50
2007-06-01,35,43.01
2007-06-08,40,43.07
2007-06-15,46,42.99
2007-06-22,38,41.63
2007-06-29,40,41.17
2007-07-06,33,41.55
2007-07-13,43,41.76
2007-07-20,43,42.28
2007-07-27,53,42.00
2007-08-03,52,42.75
2007-08-10,56,41.33
2007-08-17,24,40.80
2007-08-24,35,42.64
2007-08-31,46,41.88
2007-09-07,41,41.34
2007-09-14,41,42.52
2007-09-21,44,44.38
2007-09-28,40,44.28
2007-10-05,30,45.22
2007-10-12,33,45.53
2007-10-19,39,44.27
2007-10-26,44,45.60
2007-11-02,33,44.38
2007-11-09,50,42.77
2007-11-16,36,43.69
2007-11-23,21,42.64
2007-11-30,39,43.21
2007-12-07,34,45.30
2007-12-14,34,44.37
2007-12-21,42,44.32
2007-12-28,31,44.62
2008-01-04,43,42.60
2008-01-11,39,42.50
2008-01-18,47,39.09
2008-01-25,38,37.76
2008-02-01,42,38.75
2008-02-08,32,36.42
2008-02-15,22,37.83
2008-02-22,38,36.20
2008-02-29,37,36.32
2008-03-07,41,35.08
2008-03-14,48,33.82
2008-03-21,42,
2008-03-28,34,35.85
