Date,DO,Price
2004-01-09,31,
2004-01-16,31,
2004-01-23,33,
2004-01-30,31,
2004-02-06,31,22.48
2004-02-13,33,24.46
2004-02-20,34,24.44
2004-02-27,30,25.01
2004-03-05,35,26.38
2004-03-12,35,25.21
2004-03-19,36,25.60
2004-03-26,37,23.99
2004-04-02,36,23.48
2004-04-09,35,
2004-04-16,37,24.33
2004-04-23,37,23.30
2004-04-30,37,22.56
2004-05-07,36,22.09
2004-05-14,35,22.35
2004-05-21,38,21.90
2004-05-28,37,22.59
2004-06-04,37,21.96
2004-06-11,35,
2004-06-18,36,23.66
2004-06-25,36,23.62
2004-07-02,34,24.36
2004-07-09,34,24.06
2004-07-16,34,24.87
2004-07-23,33,23.69
2004-07-30,34,24.44
2004-08-06,35,22.98
2004-08-13,38,23.30
2004-08-20,38,24.21
2004-08-27,38,24.56
2004-09-03,38,27.20
2004-09-10,36,27.93
2004-09-17,39,30.60
2004-09-24,40,32.15
2004-10-01,40,33.84
2004-10-08,40,33.84
2004-10-15,38,32.91
2004-10-22,41,35.66
2004-10-29,40,33.80
2004-11-05,39,32.73
2004-11-12,41,33.86
2004-11-19,40,36.28
2004-11-26,40,37.95
2004-12-03,39,35.76
2004-12-10,38,35.65
2004-12-17,38,37.84
2004-12-24,33,
2004-12-31,35,40.05
2005-01-07,36,38.80
2005-01-14,37,41.42
2005-01-21,37,42.49
2005-01-28,37,42.95
2005-02-04,38,45.70
2005-02-11,36,46.92
2005-02-18,39,49.08
2005-02-25,40,49.55
2005-03-04,41,50.68
2005-03-11,41,49.16
2005-03-18,43,49.02
2005-03-25,41,
2005-04-01,42,51.74
2005-04-08,44,49.59
2005-04-15,44,45.20
2005-04-22,42,48.01
2005-04-29,43,44.11
2005-05-06,43,43.90
2005-05-13,42,40.52
2005-05-20,43,41.07
2005-05-27,40,46.99
2005-06-03,42,48.74
2005-06-10,42,51.36
2005-06-17,43,54.08
2005-06-24,43,55.06
2005-07-01,42,54.38
2005-07-08,38,54.02
2005-07-15,38,52.10
2005-07-22,39,58.12
2005-07-29,39,57.06
2005-08-05,40,58.04
2005-08-12,42,57.60
2005-08-19,43,55.90
2005-08-26,44,55.29
2005-09-02,42,57.86
