Date,LEN,Price
2004-01-09,23,
2004-01-16,23,
2004-01-23,30,
2004-01-30,24,
2004-02-06,23,45.01
2004-02-13,25,46.83
2004-02-20,27,46.25
2004-02-27,20,49.45
2004-03-05,23,55.30
2004-03-12,27,55.58
2004-03-19,22,53.20
2004-03-26,24,53.73
2004-04-02,28,52.22
2004-04-09,27,
2004-04-16,24,49.21
2004-04-23,24,48.32
2004-04-30,23,46.85
2004-05-07,28,44.50
2004-05-14,36,44.22
2004-05-21,27,42.29
2004-05-28,26,45.90
2004-06-04,24,44.20
2004-06-11,22,
2004-06-18,23,44.24
2004-06-25,26,45.90
2004-07-02,24,45.29
2004-07-09,21,42.64
2004-07-16,23,43.16
2004-07-23,24,41.87
2004-07-30,24,42.68
2004-08-06,24,42.27
2004-08-13,23,42.77
2004-08-20,21,45.10
2004-08-27,29,45.51
2004-09-03,21,46.45
2004-09-10,20,46.75
2004-09-17,22,47.56
2004-09-24,21,47.61
2004-10-01,24,47.60
2004-10-08,20,43.70
2004-10-15,23,42.72
2004-10-22,23,42.45
2004-10-29,23,44.98
2004-11-05,20,43.88
2004-11-12,24,46.30
2004-11-19,22,46.36
2004-11-26,20,46.69
2004-12-03,23,45.99
2004-12-10,23,50.11
2004-12-17,26,54.88
2004-12-24,23,
2004-12-31,19,56.68
2005-01-07,24,53.87
2005-01-14,23,57.53
2005-01-21,22,54.81
2005-01-28,20,56.26
2005-02-04,19,59.61
2005-02-11,24,57.61
2005-02-18,21,57.98
2005-02-25,22,62.30
2005-03-04,22,61.97
2005-03-11,22,56.97
2005-03-18,22,55.20
2005-03-25,23,
2005-04-01,24,57.29
2005-04-08,21,56.96
2005-04-15,22,53.00
2005-04-22,21,52.55
2005-04-29,18,51.47
2005-05-06,22,53.00
2005-05-13,20,51.29
2005-05-20,20,55.58
2005-05-27,19,57.56
2005-06-03,19,58.75
2005-06-10,23,58.84
2005-06-17,22,63.34
2005-06-24,23,61.22
2005-07-01,23,63.39
2005-07-08,21,65.52
2005-07-15,22,66.69
2005-07-22,22,66.40
2005-07-29,21,67.27
2005-08-05,21,63.03
2005-08-12,20,62.75
2005-08-19,21,59.89
2005-08-26,19,58.41
2005-09-02,18,61.00
2005-09-09,19,62.55
2005-09-16,18,60.81
2005-09-23,22,56.40
2005-09-30,21,59.76
2005-10-07,22,57.60
2005-10-14,19,55.80
2005-10-21,18,55.44
2005-10-28,23,55.12
2005-11-04,17,57.83
2005-11-11,23,55.92
2005-11-18,20,56.90
2005-11-25,18,59.41
2005-12-02,19,58.91
2005-12-09,21,57.80
2005-12-16,21,62.85
2005-12-23,21,61.65
2005-12-30,20,61.02
2006-01-06,20,62.62
2006-01-13,23,63.99
2006-01-20,24,61.75
2006-01-27,23,63.34
2006-02-03,22,60.80
2006-02-10,23,57.05
2006-02-17,18,58.24
2006-02-24,22,60.69
2006-03-03,20,58.23
2006-03-10,22,56.31
2006-03-17,19,60.01
2006-03-24,20,59.92
2006-03-31,21,60.38
2006-04-07,20,61.41
2006-04-14,19,
2006-04-21,21,56.47
2006-04-28,22,54.93
2006-05-05,20,54.49
2006-05-12,21,50.54
2006-05-19,20,48.75
2006-05-26,22,48.99
2006-06-02,19,48.08
2006-06-09,21,45.14
2006-06-16,21,44.89
2006-06-23,32,44.54
2006-06-30,21,44.37
2006-07-07,19,44.34
2006-07-14,19,40.07
2006-07-21,20,42.68
2006-07-28,22,45.46
2006-08-04,23,46.83
2006-08-11,20,43.57
2006-08-18,21,46.05
2006-08-25,24,44.76
2006-09-01,19,44.79
2006-09-08,21,42.71
2006-09-15,21,46.39
2006-09-22,19,45.81
