Date,PEG,Price
2004-01-09,88,
2004-01-16,93,
2004-01-23,100,
2004-01-30,92,
2004-02-06,77,45.32
2004-02-13,91,45.65
2004-02-20,94,45.91
2004-02-27,92,47.14
2004-03-05,98,46.56
2004-03-12,88,45.10
2004-03-19,98,46.58
2004-03-26,89,46.51
2004-04-02,81,47.20
2004-04-09,89,
2004-04-16,87,45.44
2004-04-23,91,44.87
2004-04-30,92,42.90
2004-05-07,87,40.56
2004-05-14,80,40.86
2004-05-21,79,40.27
2004-05-28,85,42.16
2004-06-04,95,40.95
2004-06-11,85,
2004-06-18,83,40.55
2004-06-25,93,40.23
2004-07-02,83,39.65
2004-07-09,87,39.17
2004-07-16,96,39.47
2004-07-23,88,40.03
2004-07-30,91,39.00
2004-08-06,87,40.62
2004-08-13,90,40.26
2004-08-20,91,41.12
2004-08-27,84,41.48
2004-09-03,84,42.04
2004-09-10,95,41.15
2004-09-17,96,41.62
2004-09-24,86,41.85
2004-10-01,75,42.88
2004-10-08,87,42.42
2004-10-15,77,41.69
2004-10-22,77,41.04
2004-10-29,84,42.59
2004-11-05,81,44.21
2004-11-12,83,45.08
2004-11-19,83,43.69
2004-11-26,89,44.89
2004-12-03,84,43.32
2004-12-10,100,43.17
2004-12-17,87,47.27
2004-12-24,66,
2004-12-31,85,51.77
2005-01-07,84,49.67
2005-01-14,87,50.81
2005-01-21,88,50.29
2005-01-28,87,52.20
2005-02-04,78,54.20
2005-02-11,82,54.10
2005-02-18,80,53.15
2005-02-25,79,54.34
2005-03-04,73,56.09
2005-03-11,82,54.35
2005-03-18,78,54.29
2005-03-25,84,
2005-04-01,84,54.43
2005-04-08,76,53.88
2005-04-15,80,53.70
2005-04-22,80,54.94
2005-04-29,79,58.10
2005-05-06,84,57.37
2005-05-13,73,53.60
2005-05-20,79,55.69
2005-05-27,73,55.48
2005-06-03,81,57.10
2005-06-10,75,57.05
2005-06-17,70,57.38
2005-06-24,80,59.63
2005-07-01,72,61.32
2005-07-08,78,61.45
2005-07-15,75,62.40
2005-07-22,84,62.09
2005-07-29,83,64.30
2005-08-05,88,62.18
2005-08-12,82,61.28
2005-08-19,77,61.60
2005-08-26,73,62.31
2005-09-02,75,64.88
2005-09-09,77,66.26
2005-09-16,73,67.70
2005-09-23,78,63.73
2005-09-30,73,64.36
2005-10-07,77,62.30
2005-10-14,76,58.12
2005-10-21,82,61.16
2005-10-28,82,63.15
2005-11-04,76,63.53
2005-11-11,74,61.13
2005-11-18,76,61.92
2005-11-25,68,62.80
2005-12-02,74,63.53
2005-12-09,74,65.30
2005-12-16,71,66.50
2005-12-23,66,66.63
