Date,WDC,Price
2004-01-09,58,
2004-01-16,69,
2004-01-23,70,
2004-01-30,60,
2004-02-06,59,10.92
2004-02-13,53,11.19
2004-02-20,81,10.99
2004-02-27,48,11.39
2004-03-05,55,11.22
2004-03-12,59,10.54
2004-03-19,47,10.52
2004-03-26,59,10.54
2004-04-02,52,11.63
2004-04-09,52,
2004-04-16,56,10.53
2004-04-23,49,8.88
2004-04-30,49,8.08
2004-05-07,45,8.43
2004-05-14,68,8.02
2004-05-21,56,8.25
2004-05-28,65,9.14
2004-06-04,52,9.11
2004-06-11,47,
2004-06-18,56,9.20
2004-06-25,66,8.66
2004-07-02,46,8.40
2004-07-09,57,8.14
2004-07-16,71,7.94
2004-07-23,50,7.88
2004-07-30,52,7.01
2004-08-06,67,6.80
2004-08-13,75,6.52
2004-08-20,57,7.48
2004-08-27,46,7.49
2004-09-03,66,8.01
2004-09-10,60,8.55
2004-09-17,66,8.88
2004-09-24,61,8.51
2004-10-01,65,9.12
2004-10-08,58,9.44
2004-10-15,44,9.00
2004-10-22,55,8.17
2004-10-29,49,8.33
2004-11-05,61,8.75
2004-11-12,45,8.99
2004-11-19,49,9.02
2004-11-26,66,9.57
2004-12-03,58,10.67
2004-12-10,64,10.27
2004-12-17,58,10.50
2004-12-24,50,
2004-12-31,70,10.84
2005-01-07,59,10.10
2005-01-14,66,10.45
2005-01-21,54,10.31
2005-01-28,43,10.48
2005-02-04,51,11.58
2005-02-11,54,11.20
2005-02-18,57,11.27
2005-02-25,50,11.40
2005-03-04,48,11.99
2005-03-11,42,11.82
2005-03-18,42,11.59
2005-03-25,41,
2005-04-01,42,12.90
2005-04-08,44,13.78
2005-04-15,49,11.99
2005-04-22,46,12.20
2005-04-29,46,12.69
2005-05-06,51,13.22
2005-05-13,42,13.66
2005-05-20,52,14.24
2005-05-27,42,14.94
2005-06-03,53,14.78
2005-06-10,56,15.65
2005-06-17,52,13.36
2005-06-24,46,13.25
2005-07-01,51,13.76
2005-07-08,55,14.27
2005-07-15,46,14.28
2005-07-22,47,14.14
2005-07-29,60,14.99
2005-08-05,45,14.90
2005-08-12,49,14.60
2005-08-19,49,14.14
2005-08-26,47,13.75
2005-09-02,49,13.59
2005-09-09,52,13.69
2005-09-16,61,13.04
2005-09-23,46,12.63
2005-09-30,43,12.93
2005-10-07,45,12.19
2005-10-14,52,11.96
2005-10-21,49,11.35
2005-10-28,59,11.82
2005-11-04,48,12.93
2005-11-11,49,12.44
2005-11-18,49,13.87
2005-11-25,57,14.75
2005-12-02,54,14.99
2005-12-09,53,15.27
2005-12-16,53,15.31
2005-12-23,53,18.85
2005-12-30,56,18.61
2006-01-06,64,19.90
2006-01-13,56,21.55
2006-01-20,58,20.64
2006-01-27,55,21.74
2006-02-03,52,22.71
2006-02-10,50,23.07
2006-02-17,51,24.18
2006-02-24,55,22.35
2006-03-03,49,22.51
2006-03-10,63,18.80
2006-03-17,59,19.42
2006-03-24,44,19.19
2006-03-31,54,19.43
2006-04-07,47,20.48
2006-04-14,40,
2006-04-21,48,19.23
2006-04-28,55,21.04
2006-05-05,49,21.40
2006-05-12,56,19.88
2006-05-19,46,21.70
2006-05-26,35,20.55
2006-06-02,56,20.74
2006-06-09,51,19.84
2006-06-16,48,17.72
2006-06-23,38,18.36
2006-06-30,43,19.81
2006-07-07,42,19.70
2006-07-14,47,18.35
2006-07-21,49,17.52
2006-07-28,42,17.85
2006-08-04,52,16.96
2006-08-11,64,16.08
2006-08-18,54,18.06
2006-08-25,48,17.20
2006-09-01,48,18.94
2006-09-08,46,16.37
2006-09-15,54,16.05
2006-09-22,45,17.15
2006-09-29,44,18.10
2006-10-06,47,17.12
2006-10-13,55,17.71
2006-10-20,51,17.61
2006-10-27,48,18.09
2006-11-03,54,18.94
2006-11-10,49,19.58
2006-11-17,43,20.45
2006-11-24,50,21.34
2006-12-01,48,21.06
2006-12-08,45,21.10
2006-12-15,41,20.42
2006-12-22,40,20.52
2006-12-29,68,20.46
2007-01-05,54,19.90
2007-01-12,52,21.04
2007-01-19,49,20.15
2007-01-26,49,19.11
2007-02-02,52,19.32
2007-02-09,49,18.84
2007-02-16,47,18.85
