Date,FLS,Price
2004-01-09,33,
2004-01-16,65,
2004-01-23,62,
2004-01-30,51,
2004-02-06,40,19.92
2004-02-13,46,20.42
2004-02-20,33,21.25
2004-02-27,69,21.73
2004-03-05,100,22.58
2004-03-12,56,21.55
2004-03-19,52,20.49
2004-03-26,61,20.50
2004-04-02,53,21.32
2004-04-09,29,
2004-04-16,62,21.34
2004-04-23,36,22.08
2004-04-30,51,21.37
2004-05-07,40,20.58
2004-05-14,43,20.39
2004-05-21,36,19.80
2004-05-28,33,20.95
2004-06-04,39,22.60
2004-06-11,54,
2004-06-18,45,23.15
2004-06-25,48,23.58
2004-07-02,38,24.56
2004-07-09,58,23.27
2004-07-16,53,22.58
2004-07-23,46,21.70
2004-07-30,54,23.95
2004-08-06,51,22.50
2004-08-13,48,22.02
2004-08-20,45,23.00
2004-08-27,49,22.99
2004-09-03,61,23.14
2004-09-10,55,23.94
2004-09-17,49,24.15
2004-09-24,52,24.01
2004-10-01,43,24.50
2004-10-08,33,24.15
2004-10-15,33,23.94
2004-10-22,36,23.17
2004-10-29,40,21.58
2004-11-05,36,22.85
2004-11-12,36,24.02
2004-11-19,43,24.38
2004-11-26,40,25.50
2004-12-03,31,26.15
2004-12-10,36,25.77
2004-12-17,51,26.72
2004-12-24,34,
2004-12-31,44,27.54
2005-01-07,35,25.22
2005-01-14,39,24.73
2005-01-21,61,24.45
2005-01-28,44,24.66
2005-02-04,38,25.89
2005-02-11,31,24.24
2005-02-18,25,24.23
2005-02-25,65,24.60
2005-03-04,38,25.37
2005-03-11,44,26.50
2005-03-18,23,26.32
2005-03-25,37,
2005-04-01,33,25.86
2005-04-08,30,25.95
2005-04-15,41,25.69
2005-04-22,40,28.23
2005-04-29,30,27.76
2005-05-06,30,29.00
2005-05-13,39,28.56
2005-05-20,37,30.00
2005-05-27,25,29.69
2005-06-03,36,29.42
2005-06-10,40,29.05
2005-06-17,42,30.71
2005-06-24,38,30.21
2005-07-01,38,30.70
2005-07-08,29,30.88
2005-07-15,38,30.75
2005-07-22,35,33.29
2005-07-29,38,33.86
2005-08-05,26,33.51
2005-08-12,40,35.92
2005-08-19,40,35.89
2005-08-26,35,35.80
2005-09-02,25,36.61
2005-09-09,44,37.00
2005-09-16,32,35.50
2005-09-23,40,35.37
2005-09-30,40,36.35
2005-10-07,27,34.20
2005-10-14,28,34.46
2005-10-21,40,33.85
2005-10-28,39,34.49
2005-11-04,51,34.82
2005-11-11,29,37.65
2005-11-18,40,38.52
2005-11-25,33,38.10
2005-12-02,26,38.53
2005-12-09,34,38.10
2005-12-16,31,39.50
2005-12-23,31,39.44
2005-12-30,22,39.56
2006-01-06,39,41.58
2006-01-13,45,42.70
2006-01-20,35,43.71
2006-01-27,35,45.50
2006-02-03,44,46.01
2006-02-10,34,44.91
2006-02-17,47,49.30
2006-02-24,37,51.13
2006-03-03,33,52.66
2006-03-10,34,55.00
2006-03-17,32,57.59
2006-03-24,34,57.90
2006-03-31,39,58.34
2006-04-07,33,55.64
2006-04-14,33,
2006-04-21,49,55.95
2006-04-28,39,57.52
2006-05-05,38,60.25
2006-05-12,33,57.19
2006-05-19,44,52.90
2006-05-26,32,53.56
2006-06-02,35,55.37
2006-06-09,35,50.82
2006-06-16,31,51.27
2006-06-23,30,50.57
2006-06-30,22,56.90
2006-07-07,33,55.07
2006-07-14,31,53.28
2006-07-21,30,50.78
2006-07-28,25,51.94
2006-08-04,31,52.85
2006-08-11,40,49.31
2006-08-18,39,51.06
2006-08-25,30,49.55
2006-09-01,33,51.25
2006-09-08,36,51.06
2006-09-15,34,49.89
