Date,eBay Inc.,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,67.76
2004-02-13,0,68.60
2004-02-20,0,69.27
2004-02-27,0,68.70
2004-03-05,0,69.31
2004-03-12,0,69.13
2004-03-19,0,68.30
2004-03-26,0,66.80
2004-04-02,0,73.77
2004-04-09,0,
2004-04-16,0,74.86
2004-04-23,0,82.14
2004-04-30,0,80.03
2004-05-07,0,79.82
2004-05-14,0,78.95
2004-05-21,0,80.34
2004-05-28,0,88.80
2004-06-04,0,88.08
2004-06-11,0,
2004-06-18,0,86.50
2004-06-25,0,90.72
2004-07-02,0,91.27
2004-07-09,0,83.78
2004-07-16,0,80.36
2004-07-23,0,75.01
2004-07-30,0,78.33
2004-08-06,0,73.76
2004-08-13,0,77.36
2004-08-20,0,81.37
2004-08-27,0,85.91
2004-09-03,0,89.38
2004-09-10,0,90.07
2004-09-17,0,93.10
2004-09-24,100,89.22
2004-10-01,0,92.44
2004-10-08,0,92.59
2004-10-15,0,93.76
2004-10-22,0,95.91
2004-10-29,0,97.63
2004-11-05,0,99.68
2004-11-12,0,109.89
2004-11-19,0,108.34
2004-11-26,0,111.50
2004-12-03,0,116.41
2004-12-10,0,114.41
2004-12-17,0,114.75
2004-12-24,0,
2004-12-31,0,116.34
2005-01-07,0,106.58
2005-01-14,0,105.20
2005-01-21,0,86.05
2005-01-28,0,81.10
2005-02-04,0,75.88
2005-02-11,93,82.07
2005-02-18,95,42.46
2005-02-25,96,42.24
2005-03-04,98,41.75
2005-03-11,100,38.25
2005-03-18,93,35.01
2005-03-25,0,
2005-04-01,0,37.07
2005-04-08,0,35.16
2005-04-15,0,31.97
2005-04-22,0,31.51
2005-04-29,0,31.71
2005-05-06,0,33.79
2005-05-13,0,35.06
2005-05-20,0,36.56
2005-05-27,0,38.30
2005-06-03,0,37.80
2005-06-10,0,36.63
2005-06-17,0,38.05
2005-06-24,0,34.37
2005-07-01,0,32.88
2005-07-08,0,34.50
2005-07-15,0,35.08
2005-07-22,0,41.02
2005-07-29,0,41.78
2005-08-05,0,43.34
2005-08-12,0,40.96
2005-08-19,0,40.01
2005-08-26,0,38.97
2005-09-02,0,39.69
2005-09-09,75,38.62
2005-09-16,0,37.10
2005-09-23,0,38.78
2005-09-30,0,41.20
2005-10-07,0,39.90
2005-10-14,0,39.70
2005-10-21,0,39.29
2005-10-28,0,38.43
2005-11-04,0,41.58
2005-11-11,71,43.89
2005-11-18,69,44.67
2005-11-25,69,46.71
2005-12-02,69,45.19
2005-12-09,76,43.42
2005-12-16,71,45.94
2005-12-23,71,44.61
2005-12-30,61,43.22
2006-01-06,61,46.65
2006-01-13,53,45.97
2006-01-20,53,44.97
2006-01-27,53,44.07
2006-02-03,53,40.58
2006-02-10,62,39.53
2006-02-17,0,41.31
2006-02-24,0,41.49
2006-03-03,0,40.37
2006-03-10,0,37.85
2006-03-17,0,38.22
2006-03-24,83,37.30
2006-03-31,0,39.00
2006-04-07,0,38.26
2006-04-14,0,
2006-04-21,0,35.09
2006-04-28,0,34.41
2006-05-05,0,32.39
2006-05-12,48,31.49
2006-05-19,48,29.70
2006-05-26,48,34.20
2006-06-02,52,32.63
2006-06-09,55,30.58
2006-06-16,59,30.28
2006-06-23,58,30.00
2006-06-30,58,29.29
2006-07-07,58,26.62
2006-07-14,58,25.58
2006-07-21,0,24.48
2006-07-28,0,24.43
2006-08-04,0,24.20
2006-08-11,0,24.20
2006-08-18,0,27.25
2006-08-25,59,25.30
2006-09-01,43,28.15
2006-09-08,48,28.51
2006-09-15,49,27.85
2006-09-22,49,26.11
2006-09-29,50,28.36
2006-10-06,40,29.39
2006-10-13,40,29.75
2006-10-20,40,30.49
2006-10-27,40,32.07
2006-11-03,38,32.39
2006-11-10,38,32.81
2006-11-17,39,33.74
2006-11-24,39,33.39
2006-12-01,44,31.50
2006-12-08,44,31.76
2006-12-15,60,32.92
2006-12-22,44,30.22
2006-12-29,47,30.07
2007-01-05,50,30.78
2007-01-12,53,30.00
2007-01-19,62,29.66
2007-01-26,35,31.65
2007-02-02,41,32.40
2007-02-09,37,33.51
2007-02-16,37,33.62
2007-02-23,41,33.99
2007-03-02,42,30.83
2007-03-09,33,30.82
2007-03-16,43,31.74
2007-03-23,45,31.83
2007-03-30,52,33.15
2007-04-06,44,
2007-04-13,33,34.78
2007-04-20,41,33.52
2007-04-27,32,34.17
2007-05-04,35,34.15
2007-05-11,41,34.20
2007-05-18,35,32.70
2007-05-25,65,32.65
2007-06-01,36,32.27
2007-06-08,47,31.42
2007-06-15,32,32.04
2007-06-22,32,31.76
2007-06-29,41,32.18
2007-07-06,30,33.39
2007-07-13,38,33.95
2007-07-20,36,33.53
2007-07-27,41,32.57
2007-08-03,41,33.32
2007-08-10,35,36.00
2007-08-17,32,34.14
2007-08-24,33,34.08
2007-08-31,34,34.10
2007-09-07,41,35.25
2007-09-14,37,37.81
2007-09-21,45,39.00
2007-09-28,49,39.02
2007-10-05,38,38.75
2007-10-12,38,39.90
2007-10-19,57,36.72
2007-10-26,30,36.64
2007-11-02,30,35.02
2007-11-09,31,33.46
2007-11-16,35,32.74
2007-11-23,35,31.94
2007-11-30,55,33.53
2007-12-07,52,33.73
2007-12-14,37,32.70
2007-12-21,38,34.30
2007-12-28,38,33.78
2008-01-04,38,31.30
2008-01-11,49,29.68
2008-01-18,33,28.33
2008-01-25,31,26.83
2008-02-01,36,28.81
2008-02-08,55,28.07
2008-02-15,29,27.79
2008-02-22,46,27.71
2008-02-29,34,26.36
2008-03-07,34,25.78
2008-03-14,36,26.25
2008-03-21,34,
2008-03-28,28,30.22
2008-04-04,28,32.94
2008-04-11,33,30.87
2008-04-18,46,31.71
2008-04-25,32,31.30
2008-05-02,33,31.11
2008-05-09,38,30.00
2008-05-16,35,31.17
2008-05-23,31,30.18
2008-05-30,40,30.01
2008-06-06,24,29.26
2008-06-13,21,28.38
2008-06-20,42,28.17
2008-06-27,38,27.61
2008-07-04,22,
2008-07-11,34,28.01
2008-07-18,26,23.98
2008-07-25,30,25.40
2008-08-01,34,24.58
2008-08-08,30,26.36
2008-08-15,48,25.98
2008-08-22,25,25.03
2008-08-29,26,24.93
2008-09-05,21,23.77
2008-09-12,25,22.55
2008-09-19,29,23.17
2008-09-26,19,22.57
2008-10-03,24,18.94
2008-10-10,24,16.73
2008-10-17,27,15.35
2008-10-24,29,14.89
2008-10-31,26,15.27
2008-11-07,20,14.19
2008-11-14,42,12.36
2008-11-21,26,12.01
2008-11-28,30,13.13
2008-12-05,17,13.96
2008-12-12,26,14.27
2008-12-19,36,14.45
2008-12-26,30,13.60
2009-01-02,23,14.66
2009-01-09,32,14.19
2009-01-16,25,13.26
2009-01-23,28,12.00
2009-01-30,32,12.02
2009-02-06,32,13.63
2009-02-13,27,13.19
2009-02-20,24,12.18
2009-02-27,32,10.87
2009-03-06,32,10.43
2009-03-13,30,11.93
2009-03-20,25,12.09
2009-03-27,28,12.85
2009-04-03,30,14.31
2009-04-10,27,
2009-04-17,23,14.39
2009-04-24,33,16.78
2009-05-01,33,16.51
2009-05-08,24,17.38
2009-05-15,28,16.91
2009-05-22,23,17.36
2009-05-29,20,17.62
2009-06-05,44,17.84
2009-06-12,24,17.80
2009-06-19,16,17.28
2009-06-26,22,17.35
2009-07-03,20,
2009-07-10,39,16.30
2009-07-17,36,18.55
2009-07-24,19,21.24
2009-07-31,31,21.25
2009-08-07,38,22.55
2009-08-14,28,21.64
2009-08-21,31,22.08
2009-08-28,25,22.46
2009-09-04,32,21.91
2009-09-11,27,23.56
2009-09-18,24,24.34
2009-09-25,24,23.45
2009-10-02,22,22.70
2009-10-09,33,24.42
2009-10-16,29,24.49
2009-10-23,22,23.56
2009-10-30,20,22.27
2009-11-06,29,23.34
2009-11-13,22,23.74
2009-11-20,21,22.79
2009-11-27,23,23.22
2009-12-04,27,23.67
2009-12-11,18,22.70
2009-12-18,27,22.67
2009-12-25,26,
2010-01-01,22,
2010-01-08,27,23.51
2010-01-15,17,22.47
2010-01-22,28,23.58
2010-01-29,19,23.02
2010-02-05,17,22.71
2010-02-12,17,21.77
2010-02-19,16,23.42
2010-02-26,19,23.02
2010-03-05,18,24.63
2010-03-12,18,25.97
2010-03-19,19,27.19
2010-03-26,20,27.45
2010-04-02,27,
2010-04-09,20,26.55
2010-04-16,23,26.33
2010-04-23,15,24.55
2010-04-30,18,23.78
2010-05-07,22,21.48
2010-05-14,17,22.25
2010-05-21,20,21.42
2010-05-28,20,21.41
2010-06-04,19,21.99
2010-06-11,21,22.65
2010-06-18,25,22.16
2010-06-25,19,20.95
2010-07-02,15,19.26
2010-07-09,13,20.29
2010-07-16,16,20.09
2010-07-23,19,21.09
2010-07-30,19,20.91
2010-08-06,22,21.45
2010-08-13,19,21.50
2010-08-20,22,23.37
2010-08-27,18,23.18
2010-09-03,21,24.13
2010-09-10,16,24.10
2010-09-17,18,24.22
2010-09-24,22,24.74
2010-10-01,21,24.46
2010-10-08,25,24.61
2010-10-15,20,25.68
2010-10-22,20,28.07
2010-10-29,31,29.86
2010-11-05,17,30.87
2010-11-12,18,30.14
2010-11-19,14,30.30
2010-11-26,14,31.15
2010-12-03,17,29.61
2010-12-10,18,30.69
2010-12-17,20,29.82
2010-12-24,19,
2010-12-31,25,27.83
2011-01-07,19,27.70
2011-01-14,26,29.18
2011-01-21,28,30.02
2011-01-28,19,30.31
2011-02-04,24,32.21
2011-02-11,16,34.51
2011-02-18,15,34.53
2011-02-25,15,33.63
2011-03-04,21,32.01
2011-03-11,20,30.92
2011-03-18,22,30.47
2011-03-25,20,31.70
2011-04-01,15,31.36
2011-04-08,18,31.14
2011-04-15,17,31.61
2011-04-22,15,
2011-04-29,20,34.39
2011-05-06,24,32.72
2011-05-13,16,33.57
2011-05-20,14,32.48
2011-05-27,17,30.68
2011-06-03,17,30.30
2011-06-10,17,29.96
2011-06-17,14,28.83
2011-06-24,21,28.35
2011-07-01,14,32.74
2011-07-08,16,33.42
2011-07-15,12,32.81
2011-07-22,14,33.50
2011-07-29,15,32.75
2011-08-05,16,29.30
2011-08-12,12,30.53
2011-08-19,14,27.16
2011-08-26,12,29.46
2011-09-02,12,29.41
2011-09-09,10,28.46
2011-09-16,23,33.69
2011-09-23,15,32.08
2011-09-30,22,29.49
2011-10-07,27,31.07
2011-10-14,13,33.69
2011-10-21,25,32.12
2011-10-28,18,33.25
2011-11-04,16,32.71
2011-11-11,22,31.76
2011-11-18,17,29.81
2011-11-25,17,28.23
2011-12-02,17,29.60
2011-12-09,21,31.64
2011-12-16,11,30.40
2011-12-23,18,30.84
2011-12-30,18,30.33
2012-01-06,14,30.63
2012-01-13,14,30.62
2012-01-20,10,31.93
2012-01-27,15,31.85
2012-02-03,17,32.95
2012-02-10,14,33.03
2012-02-17,15,35.06
2012-02-24,20,36.36
2012-03-02,16,36.25
2012-03-09,21,36.25
2012-03-16,11,37.69
2012-03-23,16,37.09
2012-03-30,14,36.90
2012-04-06,19,
2012-04-13,15,36.12
2012-04-20,20,40.29
2012-04-27,15,41.23
2012-05-04,9,39.44
2012-05-11,7,40.74
2012-05-18,13,38.36
2012-05-25,12,40.35
2012-06-01,8,38.82
2012-06-08,12,41.05
2012-06-15,15,40.67
2012-06-22,8,42.80
2012-06-29,17,42.01
2012-07-06,13,40.41
2012-07-13,13,39.95
2012-07-20,17,44.85
2012-07-27,14,45.22
2012-08-03,14,44.50
2012-08-10,16,43.99
2012-08-17,19,46.87
2012-08-24,15,47.10
2012-08-31,12,47.47
2012-09-07,16,49.24
2012-09-14,19,49.97
2012-09-21,8,49.47
2012-09-28,13,48.37
2012-10-05,14,48.73
2012-10-12,17,47.85
2012-10-19,16,49.97
2012-10-26,20,49.51
2012-11-02,14,48.69
2012-11-09,16,47.73
2012-11-16,15,47.26
2012-11-23,15,49.01
2012-11-30,17,52.82
2012-12-07,27,51.74
2012-12-14,16,50.36
2012-12-21,16,51.35
2012-12-28,9,49.81
2013-01-04,16,52.78
2013-01-11,18,53.70
2013-01-18,17,54.21
2013-01-25,16,56.53
2013-02-01,19,57.21
2013-02-08,11,56.62
2013-02-15,8,56.70
2013-02-22,17,55.02
2013-03-01,18,54.90
2013-03-08,13,53.13
2013-03-15,13,50.41
2013-03-22,16,53.27
2013-03-29,10,
2013-04-05,14,55.52
2013-04-12,15,57.31
2013-04-19,8,52.39
2013-04-26,17,52.54
2013-05-03,13,54.21
2013-05-10,9,55.65
2013-05-17,13,56.71
2013-05-24,14,54.64
2013-05-31,8,54.10
2013-06-07,16,51.45
2013-06-14,11,51.29
2013-06-21,10,51.13
2013-06-28,17,51.72
2013-07-05,10,53.85
2013-07-12,11,57.04
2013-07-19,12,52.19
2013-07-26,11,52.25
2013-08-02,11,52.54
2013-08-09,13,53.33
2013-08-16,15,52.92
2013-08-23,12,51.65
2013-08-30,11,49.99
2013-09-06,11,52.83
2013-09-13,18,53.82
2013-09-20,11,54.95
2013-09-27,16,55.78
2013-10-04,15,55.58
2013-10-11,13,54.37
2013-10-18,15,52.20
2013-10-25,11,51.64
2013-11-01,12,51.94
2013-11-08,14,53.00
2013-11-15,12,52.60
2013-11-22,11,50.33
2013-11-29,9,50.52
2013-12-06,13,52.01
2013-12-13,13,51.55
2013-12-20,9,54.58
2013-12-27,11,54.18
2014-01-03,13,53.26
2014-01-10,14,52.16
2014-01-17,15,53.20
2014-01-24,15,54.37
2014-01-31,11,53.20
2014-02-07,19,54.59
2014-02-14,16,54.77
2014-02-21,12,54.59
2014-02-28,13,58.77
2014-03-07,18,59.06
2014-03-14,16,56.74
2014-03-21,11,56.96
2014-03-28,11,55.19
2014-04-04,13,54.00
2014-04-11,13,53.46
2014-04-18,13,
2014-04-25,13,53.72
2014-05-02,0,
