Date,Deere & Co.,Price
2004-01-09,56,
2004-01-16,54,
2004-01-23,61,
2004-01-30,61,
2004-02-06,61,62.01
2004-02-13,66,64.01
2004-02-20,62,65.32
2004-02-27,62,64.23
2004-03-05,68,65.82
2004-03-12,71,64.61
2004-03-19,75,66.19
2004-03-26,85,68.23
2004-04-02,79,70.18
2004-04-09,83,
2004-04-16,84,73.31
2004-04-23,93,71.20
2004-04-30,100,68.04
2004-05-07,89,66.87
2004-05-14,93,66.86
2004-05-21,91,62.90
2004-05-28,77,65.70
2004-06-04,83,67.16
2004-06-11,81,
2004-06-18,78,69.17
2004-06-25,83,69.76
2004-07-02,87,66.70
2004-07-09,93,65.10
2004-07-16,95,65.90
2004-07-23,82,61.87
2004-07-30,82,62.81
2004-08-06,75,57.60
2004-08-13,78,59.38
2004-08-20,81,61.54
2004-08-27,75,62.67
2004-09-03,78,63.30
2004-09-10,76,63.45
2004-09-17,71,65.01
2004-09-24,70,62.70
2004-10-01,75,64.89
2004-10-08,69,63.01
2004-10-15,72,60.08
2004-10-22,70,58.80
2004-10-29,66,59.78
2004-11-05,69,65.08
2004-11-12,71,68.92
2004-11-19,71,69.26
2004-11-26,70,73.14
2004-12-03,77,70.98
2004-12-10,74,70.56
2004-12-17,68,73.02
2004-12-24,65,
2004-12-31,61,74.40
2005-01-07,71,70.50
2005-01-14,65,70.84
2005-01-21,62,68.00
2005-01-28,68,67.97
2005-02-04,64,69.35
2005-02-11,64,69.33
2005-02-18,66,66.57
2005-02-25,71,70.59
2005-03-04,73,72.35
2005-03-11,77,69.39
2005-03-18,71,68.37
2005-03-25,80,
2005-04-01,79,66.24
2005-04-08,82,67.01
2005-04-15,94,62.47
2005-04-22,93,64.57
2005-04-29,96,62.54
2005-05-06,94,62.69
2005-05-13,89,59.69
2005-05-20,88,64.44
2005-05-27,88,66.32
2005-06-03,83,64.57
2005-06-10,81,66.81
2005-06-17,83,67.93
2005-06-24,78,65.94
2005-07-01,76,66.10
2005-07-08,97,68.76
2005-07-15,82,69.75
2005-07-22,74,71.35
2005-07-29,74,73.53
2005-08-05,74,71.59
2005-08-12,72,72.60
2005-08-19,77,64.95
2005-08-26,76,63.83
2005-09-02,69,65.05
2005-09-09,70,64.55
2005-09-16,70,62.55
2005-09-23,67,60.55
2005-09-30,74,61.20
2005-10-07,69,61.11
2005-10-14,67,59.35
2005-10-21,65,57.16
2005-10-28,68,59.64
