Date,buy LOW,Price
2004-01-09,77,
2004-01-16,65,
2004-01-23,70,
2004-01-30,58,
2004-02-06,78,54.67
2004-02-13,61,57.60
2004-02-20,72,58.38
2004-02-27,48,56.00
2004-03-05,55,55.47
2004-03-12,78,53.09
2004-03-19,61,54.32
2004-03-26,43,55.62
2004-04-02,43,54.90
2004-04-09,46,
2004-04-16,100,53.24
2004-04-23,58,53.54
2004-04-30,70,52.06
2004-05-07,78,50.00
2004-05-14,81,50.58
2004-05-21,71,51.20
2004-05-28,76,53.57
2004-06-04,62,54.37
2004-06-11,96,
2004-06-18,65,53.60
2004-06-25,83,54.07
2004-07-02,67,53.48
2004-07-09,97,51.51
2004-07-16,82,50.32
2004-07-23,70,48.39
2004-07-30,62,48.72
2004-08-06,54,46.49
2004-08-13,60,46.65
2004-08-20,77,50.32
2004-08-27,92,50.47
2004-09-03,59,52.35
2004-09-10,51,53.57
2004-09-17,62,53.54
2004-09-24,47,53.66
2004-10-01,66,55.18
2004-10-08,69,54.20
2004-10-15,74,55.07
2004-10-22,64,55.24
2004-10-29,64,56.28
2004-11-05,62,59.44
2004-11-12,60,60.25
2004-11-19,56,56.77
2004-11-26,78,57.22
2004-12-03,58,57.47
2004-12-10,67,58.58
2004-12-17,64,56.78
2004-12-24,75,
2004-12-31,70,57.59
2005-01-07,67,56.66
2005-01-14,81,56.87
2005-01-21,58,55.91
2005-01-28,60,56.18
2005-02-04,62,58.65
2005-02-11,76,59.60
2005-02-18,50,58.75
2005-02-25,71,59.00
2005-03-04,66,58.20
2005-03-11,50,57.65
2005-03-18,64,57.01
2005-03-25,70,
2005-04-01,49,56.19
2005-04-08,58,54.81
2005-04-15,69,51.64
2005-04-22,61,51.88
2005-04-29,53,52.11
2005-05-06,73,53.54
2005-05-13,49,52.86
2005-05-20,54,57.44
2005-05-27,63,57.15
2005-06-03,48,56.96
2005-06-10,49,58.30
2005-06-17,69,59.42
2005-06-24,68,56.75
2005-07-01,66,57.60
2005-07-08,64,59.52
2005-07-15,68,63.65
2005-07-22,73,65.73
2005-07-29,68,66.22
2005-08-05,60,63.07
2005-08-12,51,65.19
2005-08-19,78,64.69
2005-08-26,56,63.18
2005-09-02,55,64.25
2005-09-09,52,68.09
2005-09-16,40,65.40
2005-09-23,62,65.39
2005-09-30,57,64.40
2005-10-07,46,62.83
2005-10-14,44,61.21
2005-10-21,63,61.22
2005-10-28,51,59.82
2005-11-04,31,60.95
2005-11-11,59,61.97
2005-11-18,46,65.95
2005-11-25,63,66.75
2005-12-02,56,67.83
2005-12-09,60,68.00
2005-12-16,66,69.41
2005-12-23,49,67.46
2005-12-30,54,66.66
2006-01-06,52,64.70
2006-01-13,73,66.24
2006-01-20,61,63.13
2006-01-27,52,65.11
2006-02-03,67,63.52
2006-02-10,54,62.62
2006-02-17,48,66.27
2006-02-24,67,65.52
2006-03-03,51,67.39
2006-03-10,48,65.40
2006-03-17,49,68.63
2006-03-24,50,66.16
2006-03-31,39,64.44
2006-04-07,53,65.39
2006-04-14,44,
2006-04-21,51,63.28
2006-04-28,48,63.05
2006-05-05,49,65.32
2006-05-12,53,63.27
2006-05-19,47,62.64
2006-05-26,55,61.85
2006-06-02,47,63.46
2006-06-09,61,62.23
2006-06-16,45,62.24
2006-06-23,36,60.86
2006-06-30,53,60.67
2006-07-07,43,28.96
2006-07-14,49,27.88
2006-07-21,47,28.11
2006-07-28,51,28.70
2006-08-04,57,28.78
2006-08-11,52,28.10
2006-08-18,49,29.52
2006-08-25,50,26.75
2006-09-01,58,27.33
2006-09-08,43,27.24
2006-09-15,55,29.35
2006-09-22,40,28.33
2006-09-29,56,28.06
2006-10-06,41,29.21
2006-10-13,54,30.95
2006-10-20,41,30.25
2006-10-27,51,30.34
2006-11-03,46,29.05
2006-11-10,40,29.17
2006-11-17,53,30.48
2006-11-24,55,30.00
2006-12-01,49,30.89
2006-12-08,46,30.81
2006-12-15,53,31.41
2006-12-22,52,30.43
2006-12-29,55,31.15
2007-01-05,47,31.79
2007-01-12,58,33.06
2007-01-19,51,33.71
2007-01-26,46,32.58
2007-02-02,50,34.15
2007-02-09,41,33.42
2007-02-16,54,33.27
2007-02-23,49,34.93
2007-03-02,50,31.94
2007-03-09,47,32.34
2007-03-16,35,30.93
2007-03-23,56,32.37
2007-03-30,51,31.49
2007-04-06,48,
2007-04-13,49,31.14
2007-04-20,58,32.02
2007-04-27,61,30.85
2007-05-04,66,30.45
2007-05-11,60,30.87
2007-05-18,57,32.67
2007-05-25,46,32.13
2007-06-01,51,32.66
2007-06-08,59,32.05
2007-06-15,55,31.55
2007-06-22,52,31.04
2007-06-29,57,30.69
2007-07-06,53,31.11
2007-07-13,49,30.76
2007-07-20,54,29.63
2007-07-27,66,27.77
2007-08-03,55,27.45
2007-08-10,61,27.76
2007-08-17,60,26.87
2007-08-24,55,30.20
2007-08-31,66,31.06
2007-09-07,46,29.43
2007-09-14,64,30.80
2007-09-21,58,30.62
2007-09-28,52,28.02
2007-10-05,64,29.29
2007-10-12,56,28.93
2007-10-19,51,26.13
2007-10-26,51,27.15
2007-11-02,69,26.00
2007-11-09,51,23.92
2007-11-16,45,25.01
2007-11-23,60,22.27
2007-11-30,76,24.41
2007-12-07,58,25.08
2007-12-14,61,22.72
2007-12-21,59,23.35
2007-12-28,70,22.66
2008-01-04,70,21.08
2008-01-11,79,20.31
2008-01-18,66,22.19
2008-01-25,70,24.71
2008-02-01,74,25.55
