Date,buy F,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,14.28
2004-02-13,0,14.36
2004-02-20,0,14.17
2004-02-27,76,13.75
2004-03-05,0,14.10
2004-03-12,0,13.29
2004-03-19,0,13.06
2004-03-26,0,13.28
2004-04-02,0,13.66
2004-04-09,0,
2004-04-16,0,13.34
2004-04-23,0,15.70
2004-04-30,0,15.36
2004-05-07,0,14.40
2004-05-14,0,14.70
2004-05-21,0,14.24
2004-05-28,0,14.85
2004-06-04,0,14.91
2004-06-11,0,
2004-06-18,0,15.89
2004-06-25,0,15.85
2004-07-02,78,14.95
2004-07-09,81,15.16
2004-07-16,84,14.85
2004-07-23,0,14.67
2004-07-30,0,14.72
2004-08-06,0,14.07
2004-08-13,0,13.80
2004-08-20,0,14.11
2004-08-27,0,14.12
2004-09-03,0,14.21
2004-09-10,0,13.96
2004-09-17,0,14.22
2004-09-24,0,13.80
2004-10-01,0,14.19
2004-10-08,0,13.95
2004-10-15,0,13.25
2004-10-22,0,12.97
2004-10-29,0,13.03
2004-11-05,0,13.81
2004-11-12,0,14.23
2004-11-19,0,14.15
2004-11-26,0,14.25
2004-12-03,0,14.31
2004-12-10,0,14.22
2004-12-17,0,14.34
2004-12-24,0,
2004-12-31,0,14.64
2005-01-07,0,14.65
2005-01-14,56,14.06
2005-01-21,0,13.11
2005-01-28,0,13.14
2005-02-04,0,13.22
2005-02-11,0,13.06
2005-02-18,0,12.96
2005-02-25,0,13.00
2005-03-04,0,12.40
2005-03-11,47,12.39
2005-03-18,0,11.39
2005-03-25,0,
2005-04-01,0,11.18
2005-04-08,0,11.03
2005-04-15,0,9.50
2005-04-22,56,9.89
2005-04-29,51,9.11
2005-05-06,51,9.76
2005-05-13,51,9.30
2005-05-20,51,10.00
2005-05-27,51,10.07
2005-06-03,0,9.90
2005-06-10,0,10.33
2005-06-17,0,11.28
2005-06-24,0,10.21
2005-07-01,0,10.31
2005-07-08,0,10.42
2005-07-15,0,11.00
2005-07-22,0,10.72
2005-07-29,0,10.74
2005-08-05,0,10.36
2005-08-12,0,10.14
2005-08-19,45,9.76
2005-08-26,51,9.77
2005-09-02,48,9.86
2005-09-09,48,9.90
2005-09-16,48,9.93
2005-09-23,48,9.79
2005-09-30,0,9.86
2005-10-07,0,9.23
2005-10-14,0,8.61
2005-10-21,0,8.25
2005-10-28,0,8.02
2005-11-04,0,8.29
2005-11-11,0,7.97
2005-11-18,50,8.40
2005-11-25,41,8.32
2005-12-02,41,8.15
2005-12-09,39,8.18
2005-12-16,49,8.30
2005-12-23,58,7.90
2005-12-30,34,7.72
2006-01-06,34,8.52
2006-01-13,34,8.55
2006-01-20,0,7.90
2006-01-27,0,8.65
2006-02-03,0,8.26
2006-02-10,0,8.27
2006-02-17,0,8.45
2006-02-24,0,8.10
2006-03-03,34,7.57
2006-03-10,39,7.84
2006-03-17,45,7.81
2006-03-24,35,8.09
2006-03-31,35,7.96
2006-04-07,35,7.60
2006-04-14,35,
2006-04-21,36,7.32
2006-04-28,38,6.95
2006-05-05,40,6.93
2006-05-12,43,7.11
2006-05-19,46,7.03
2006-05-26,47,7.31
2006-06-02,30,7.10
2006-06-09,38,6.76
2006-06-16,30,6.69
2006-06-23,29,6.52
2006-06-30,35,6.93
2006-07-07,38,6.73
2006-07-14,41,6.38
2006-07-21,33,6.28
2006-07-28,30,6.89
2006-08-04,31,7.13
2006-08-11,31,7.37
2006-08-18,32,8.00
2006-08-25,35,8.00
2006-09-01,37,8.27
2006-09-08,35,8.77
2006-09-15,31,8.02
2006-09-22,28,8.00
2006-09-29,30,8.09
2006-10-06,25,8.31
2006-10-13,25,8.17
2006-10-20,34,8.01
2006-10-27,36,8.29
2006-11-03,31,8.38
2006-11-10,28,8.58
2006-11-17,25,8.89
2006-11-24,28,8.52
2006-12-01,36,8.04
2006-12-08,32,7.23
2006-12-15,38,7.08
2006-12-22,40,7.42
2006-12-29,41,7.51
2007-01-05,25,7.62
2007-01-12,28,7.89
2007-01-19,27,8.30
2007-01-26,27,8.42
2007-02-02,21,8.23
2007-02-09,34,8.73
2007-02-16,31,8.53
2007-02-23,40,8.30
2007-03-02,27,7.59
2007-03-09,32,7.93
2007-03-16,26,7.55
2007-03-23,31,7.89
2007-03-30,39,7.89
2007-04-06,26,
2007-04-13,26,8.02
2007-04-20,35,7.75
2007-04-27,21,8.05
2007-05-04,54,8.22
2007-05-11,27,8.37
2007-05-18,32,8.69
2007-05-25,28,8.45
2007-06-01,32,8.35
2007-06-08,23,8.24
2007-06-15,28,8.92
2007-06-22,36,9.13
2007-06-29,23,9.42
2007-07-06,36,9.11
2007-07-13,32,8.97
2007-07-20,38,8.40
2007-07-27,32,8.23
2007-08-03,18,8.06
2007-08-10,27,8.23
2007-08-17,35,7.83
2007-08-24,29,7.90
2007-08-31,34,7.81
2007-09-07,18,7.52
2007-09-14,35,8.03
2007-09-21,32,8.23
2007-09-28,30,8.49
2007-10-05,31,8.37
2007-10-12,31,9.20
2007-10-19,52,8.37
2007-10-26,29,8.67
2007-11-02,41,8.95
2007-11-09,25,8.20
2007-11-16,36,7.70
2007-11-23,48,7.19
2007-11-30,38,7.51
2007-12-07,49,7.06
2007-12-14,42,6.89
2007-12-21,52,6.79
2007-12-28,37,6.70
2008-01-04,30,6.13
2008-01-11,29,6.06
2008-01-18,46,5.92
2008-01-25,49,6.58
2008-02-01,28,6.85
2008-02-08,32,6.08
2008-02-15,40,6.45
2008-02-22,28,6.25
2008-02-29,40,6.53
2008-03-07,34,5.78
2008-03-14,37,5.29
2008-03-21,41,
2008-03-28,33,5.59
2008-04-04,36,6.49
2008-04-11,24,6.69
2008-04-18,41,7.45
2008-04-25,54,7.50
2008-05-02,40,8.27
2008-05-09,39,8.10
2008-05-16,38,8.11
2008-05-23,35,6.87
2008-05-30,26,6.80
2008-06-06,51,6.04
2008-06-13,42,6.27
2008-06-20,33,5.81
2008-06-27,31,4.98
2008-07-04,43,
2008-07-11,36,4.86
2008-07-18,34,5.44
2008-07-25,39,5.05
2008-08-01,60,4.65
2008-08-08,32,5.26
2008-08-15,35,5.11
2008-08-22,35,4.47
2008-08-29,39,4.46
2008-09-05,45,4.41
2008-09-12,45,4.91
2008-09-19,34,5.29
2008-09-26,59,4.81
2008-10-03,41,4.05
2008-10-10,39,1.99
2008-10-17,46,2.43
2008-10-24,47,2.01
2008-10-31,55,2.19
2008-11-07,41,2.02
2008-11-14,47,1.80
2008-11-21,38,1.43
2008-11-28,51,2.69
2008-12-05,54,2.72
2008-12-12,54,3.04
2008-12-19,44,2.95
2008-12-26,38,2.29
2009-01-02,54,2.46
2009-01-09,49,2.63
2009-01-16,44,2.19
2009-01-23,41,1.80
2009-01-30,52,1.87
2009-02-06,51,1.94
2009-02-13,41,1.76
2009-02-20,43,1.58
2009-02-27,43,2.00
2009-03-06,40,1.70
2009-03-13,42,2.19
2009-03-20,38,2.75
2009-03-27,51,2.84
2009-04-03,43,3.25
2009-04-10,47,
2009-04-17,44,4.00
2009-04-24,30,5.00
2009-05-01,42,5.69
2009-05-08,54,6.24
2009-05-15,36,5.49
2009-05-22,48,5.26
2009-05-29,53,5.75
2009-06-05,47,6.36
2009-06-12,32,6.11
2009-06-19,40,5.72
2009-06-26,39,5.61
2009-07-03,24,
2009-07-10,48,5.72
2009-07-17,61,6.14
2009-07-24,50,6.78
2009-07-31,47,8.00
2009-08-07,48,8.01
2009-08-14,53,7.83
2009-08-21,48,7.74
2009-08-28,44,7.73
2009-09-04,39,7.43
2009-09-11,41,7.33
2009-09-18,47,6.94
2009-09-25,43,7.29
2009-10-02,45,6.84
2009-10-09,51,7.12
2009-10-16,43,7.42
2009-10-23,35,7.63
2009-10-30,39,7.00
2009-11-06,49,7.75
2009-11-13,53,8.41
2009-11-20,45,8.64
2009-11-27,45,8.73
2009-12-04,67,8.94
2009-12-11,41,9.00
2009-12-18,43,9.68
2009-12-25,64,
2010-01-01,61,
2010-01-08,48,11.69
2010-01-15,60,11.60
2010-01-22,49,10.52
2010-01-29,49,10.84
2010-02-05,57,10.91
2010-02-12,50,11.12
2010-02-19,49,11.29
2010-02-26,40,11.74
2010-03-05,47,13.00
2010-03-12,36,13.34
2010-03-19,50,13.29
2010-03-26,42,13.86
2010-04-02,44,
2010-04-09,43,12.72
2010-04-16,48,13.42
2010-04-23,43,14.21
2010-04-30,49,13.02
2010-05-07,54,11.51
2010-05-14,49,12.11
2010-05-21,55,11.26
2010-05-28,52,11.73
2010-06-04,47,11.50
2010-06-11,57,11.40
2010-06-18,50,11.46
2010-06-25,50,10.75
2010-07-02,38,10.28
2010-07-09,56,10.85
2010-07-16,42,11.34
2010-07-23,56,12.72
2010-07-30,42,12.77
2010-08-06,54,13.04
2010-08-13,49,12.15
2010-08-20,59,11.77
2010-08-27,46,11.56
2010-09-03,41,12.07
2010-09-10,57,11.79
2010-09-17,57,12.49
2010-09-24,59,12.56
2010-10-01,61,12.26
2010-10-08,67,13.66
2010-10-15,52,13.80
2010-10-22,60,13.95
2010-10-29,59,14.13
2010-11-05,61,16.21
2010-11-12,62,16.30
2010-11-19,59,16.28
2010-11-26,78,16.10
2010-12-03,68,16.80
2010-12-10,77,16.73
2010-12-17,68,16.80
2010-12-24,76,
2010-12-31,83,16.79
2011-01-07,61,18.27
2011-01-14,63,18.65
2011-01-21,85,17.95
2011-01-28,66,16.27
2011-02-04,70,15.72
2011-02-11,59,16.38
2011-02-18,61,15.77
2011-02-25,61,15.07
2011-03-04,66,14.42
2011-03-11,73,14.36
2011-03-18,57,14.49
2011-03-25,74,15.01
2011-04-01,55,15.16
2011-04-08,62,15.33
2011-04-15,51,14.71
2011-04-22,61,
2011-04-29,62,15.47
2011-05-06,59,15.11
2011-05-13,59,15.08
2011-05-20,54,15.00
2011-05-27,58,14.60
2011-06-03,66,14.01
2011-06-10,51,13.35
2011-06-17,63,12.77
2011-06-24,68,13.24
2011-07-01,62,14.02
2011-07-08,76,13.88
2011-07-15,56,13.09
2011-07-22,72,13.31
2011-07-29,69,12.21
2011-08-05,57,10.84
2011-08-12,69,11.06
2011-08-19,82,9.99
2011-08-26,71,10.40
2011-09-02,72,10.42
2011-09-09,64,10.05
2011-09-16,65,10.62
2011-09-23,66,9.86
2011-09-30,65,9.67
2011-10-07,61,10.69
2011-10-14,67,11.56
2011-10-21,63,12.26
2011-10-28,67,12.00
2011-11-04,70,11.27
2011-11-11,68,11.14
2011-11-18,76,10.10
2011-11-25,87,9.75
2011-12-02,76,10.90
2011-12-09,73,11.03
2011-12-16,80,10.25
2011-12-23,100,10.95
2011-12-30,97,10.76
2012-01-06,79,11.71
2012-01-13,87,12.04
2012-01-20,71,12.59
2012-01-27,69,12.21
2012-02-03,69,12.79
2012-02-10,64,12.44
2012-02-17,67,12.75
2012-02-24,67,12.23
2012-03-02,62,12.72
2012-03-09,68,12.58
2012-03-16,71,12.51
2012-03-23,73,12.32
2012-03-30,71,12.48
2012-04-06,63,
2012-04-13,48,11.92
2012-04-20,65,11.41
2012-04-27,53,11.60
2012-05-04,54,10.67
2012-05-11,60,10.58
2012-05-18,62,10.01
2012-05-25,63,10.60
2012-06-01,57,10.12
2012-06-08,61,10.66
2012-06-15,52,10.35
2012-06-22,63,10.19
2012-06-29,64,9.59
2012-07-06,57,9.50
2012-07-13,73,9.27
2012-07-20,57,9.21
2012-07-27,61,9.00
2012-08-03,61,9.09
2012-08-10,71,9.35
2012-08-17,69,9.63
2012-08-24,73,9.49
2012-08-31,60,9.34
2012-09-07,66,10.14
2012-09-14,61,10.53
2012-09-21,67,10.40
2012-09-28,52,9.86
2012-10-05,58,10.16
2012-10-12,56,10.12
2012-10-19,54,10.18
2012-10-26,65,10.36
2012-11-02,61,11.17
2012-11-09,66,10.93
2012-11-16,59,10.50
2012-11-23,81,11.10
2012-11-30,65,11.45
2012-12-07,68,11.48
2012-12-14,62,11.10
2012-12-21,74,11.86
2012-12-28,77,12.87
2013-01-04,66,13.57
2013-01-11,69,14.00
2013-01-18,66,14.11
2013-01-25,67,13.68
2013-02-01,65,13.02
2013-02-08,54,13.10
2013-02-15,64,13.02
2013-02-22,55,12.48
2013-03-01,61,12.61
2013-03-08,62,12.98
2013-03-15,51,13.45
2013-03-22,66,13.26
2013-03-29,65,
2013-04-05,65,12.44
2013-04-12,57,13.53
2013-04-19,55,12.93
2013-04-26,56,13.67
2013-05-03,62,13.83
2013-05-10,57,14.11
2013-05-17,58,15.08
2013-05-24,55,14.79
2013-05-31,61,15.68
2013-06-07,58,15.73
2013-06-14,51,15.37
2013-06-21,61,15.00
2013-06-28,59,15.47
2013-07-05,57,16.70
2013-07-12,64,17.11
2013-07-19,60,16.76
2013-07-26,60,17.02
2013-08-02,56,17.50
2013-08-09,69,17.02
2013-08-16,58,16.30
2013-08-23,68,16.45
2013-08-30,65,16.19
2013-09-06,66,17.00
2013-09-13,62,17.35
2013-09-20,58,17.39
2013-09-27,61,17.05
2013-10-04,49,17.09
2013-10-11,57,17.11
2013-10-18,62,17.53
2013-10-25,57,17.60
2013-11-01,53,16.89
2013-11-08,58,16.85
2013-11-15,68,17.07
2013-11-22,73,17.01
2013-11-29,79,17.08
2013-12-06,71,16.70
2013-12-13,61,16.59
2013-12-20,55,15.42
2013-12-27,70,15.30
2014-01-03,68,15.51
2014-01-10,62,16.07
2014-01-17,62,16.52
2014-01-24,57,15.83
2014-01-31,53,14.96
2014-02-07,56,14.97
2014-02-14,53,15.24
2014-02-21,56,15.16
2014-02-28,60,15.39
2014-03-07,56,15.62
2014-03-14,57,15.08
2014-03-21,55,15.47
2014-03-28,56,15.45
2014-04-04,54,16.13
2014-04-11,47,15.63
2014-04-18,64,
2014-04-25,66,15.78
2014-05-02,60,
