Date,FLR,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,40.83
2004-02-13,0,40.40
2004-02-20,0,40.52
2004-02-27,0,41.23
2004-03-05,0,40.56
2004-03-12,0,38.35
2004-03-19,0,38.08
2004-03-26,0,38.00
2004-04-02,0,37.48
2004-04-09,0,
2004-04-16,0,38.70
2004-04-23,0,38.89
2004-04-30,0,38.16
2004-05-07,0,37.11
2004-05-14,0,37.66
2004-05-21,0,38.54
2004-05-28,0,40.42
2004-06-04,0,40.31
2004-06-11,0,
2004-06-18,0,44.65
2004-06-25,0,46.47
2004-07-02,0,46.76
2004-07-09,0,46.08
2004-07-16,0,45.01
2004-07-23,0,43.52
2004-07-30,52,45.55
2004-08-06,57,41.66
2004-08-13,61,42.34
2004-08-20,66,43.70
2004-08-27,69,43.30
2004-09-03,71,42.93
2004-09-10,52,43.87
2004-09-17,62,44.95
2004-09-24,48,43.95
2004-10-01,52,44.48
2004-10-08,79,44.56
2004-10-15,42,43.74
2004-10-22,42,43.45
2004-10-29,55,46.44
2004-11-05,67,44.70
2004-11-12,68,47.33
2004-11-19,68,47.00
2004-11-26,68,52.54
2004-12-03,40,52.17
2004-12-10,40,53.47
2004-12-17,41,53.13
2004-12-24,46,
2004-12-31,51,54.51
2005-01-07,56,50.81
2005-01-14,45,52.49
2005-01-21,44,50.58
2005-01-28,47,52.29
2005-02-04,47,59.84
2005-02-11,67,61.00
2005-02-18,36,61.88
2005-02-25,64,63.25
2005-03-04,47,61.65
2005-03-11,38,57.28
2005-03-18,72,57.71
2005-03-25,52,
2005-04-01,52,55.70
2005-04-08,71,56.66
2005-04-15,50,53.91
2005-04-22,37,53.23
2005-04-29,43,51.56
2005-05-06,48,57.30
2005-05-13,55,55.55
2005-05-20,58,57.77
2005-05-27,39,57.70
2005-06-03,39,60.82
2005-06-10,39,60.56
2005-06-17,52,61.47
2005-06-24,34,57.59
2005-07-01,54,57.55
2005-07-08,51,59.34
2005-07-15,44,59.68
2005-07-22,53,60.20
2005-07-29,37,63.80
2005-08-05,57,63.98
2005-08-12,68,57.62
2005-08-19,55,57.63
2005-08-26,44,57.69
2005-09-02,68,61.01
2005-09-09,45,61.00
2005-09-16,43,60.61
2005-09-23,42,62.26
2005-09-30,42,64.38
2005-10-07,45,60.00
2005-10-14,36,60.41
2005-10-21,62,61.20
2005-10-28,49,62.51
2005-11-04,55,68.55
2005-11-11,50,68.90
2005-11-18,49,72.85
2005-11-25,51,74.59
2005-12-02,30,75.85
2005-12-09,41,73.48
2005-12-16,34,76.50
2005-12-23,65,78.15
2005-12-30,42,77.26
2006-01-06,51,78.70
2006-01-13,64,82.00
2006-01-20,56,81.97
2006-01-27,56,87.50
2006-02-03,70,88.06
2006-02-10,43,81.41
2006-02-17,83,82.21
2006-02-24,50,86.81
2006-03-03,60,83.50
2006-03-10,82,81.73
2006-03-17,70,84.29
2006-03-24,43,84.68
2006-03-31,51,85.80
2006-04-07,54,88.96
2006-04-14,44,
2006-04-21,58,92.56
2006-04-28,75,92.91
2006-05-05,69,93.40
2006-05-12,75,96.00
2006-05-19,58,88.05
2006-05-26,47,90.44
2006-06-02,65,91.34
2006-06-09,53,86.60
2006-06-16,63,88.01
2006-06-23,45,88.08
2006-06-30,47,92.93
2006-07-07,58,91.14
2006-07-14,45,87.15
2006-07-21,39,82.58
2006-07-28,35,87.49
2006-08-04,51,90.45
2006-08-11,61,85.17
2006-08-18,57,88.37
2006-08-25,54,84.76
2006-09-01,60,85.90
2006-09-08,49,81.74
2006-09-15,61,77.91
2006-09-22,66,75.14
2006-09-29,52,76.89
2006-10-06,61,78.80
2006-10-13,51,79.62
2006-10-20,48,81.12
2006-10-27,49,78.67
2006-11-03,49,78.85
2006-11-10,61,83.34
2006-11-17,42,83.89
2006-11-24,70,84.51
2006-12-01,48,86.30
2006-12-08,53,86.45
2006-12-15,48,84.17
2006-12-22,41,81.76
2006-12-29,42,81.65
2007-01-05,49,78.37
2007-01-12,56,76.46
2007-01-19,55,78.32
2007-01-26,51,80.75
2007-02-02,51,86.17
2007-02-09,46,85.95
2007-02-16,42,85.66
2007-02-23,61,87.88
2007-03-02,48,85.70
2007-03-09,48,90.18
2007-03-16,51,88.07
2007-03-23,50,92.43
2007-03-30,57,89.72
2007-04-06,62,
2007-04-13,76,94.37
2007-04-20,62,95.91
2007-04-27,63,97.89
2007-05-04,71,98.75
2007-05-11,58,104.42
2007-05-18,57,100.00
2007-05-25,58,100.92
2007-06-01,46,104.92
2007-06-08,63,102.32
2007-06-15,68,109.67
2007-06-22,47,105.71
2007-06-29,64,111.37
2007-07-06,53,115.02
2007-07-13,52,120.45
2007-07-20,47,120.51
2007-07-27,58,113.26
2007-08-03,70,117.80
2007-08-10,73,121.00
2007-08-17,69,114.91
2007-08-24,63,123.55
2007-08-31,62,127.15
2007-09-07,68,130.75
2007-09-14,72,134.55
2007-09-21,65,141.19
2007-09-28,67,143.98
2007-10-05,86,151.14
2007-10-12,73,161.28
2007-10-19,66,156.01
2007-10-26,62,164.24
2007-11-02,67,149.26
2007-11-09,68,140.43
2007-11-16,60,134.88
2007-11-23,52,135.12
2007-11-30,56,147.17
2007-12-07,65,158.06
2007-12-14,77,144.03
2007-12-21,54,144.80
2007-12-28,43,146.26
2008-01-04,64,147.26
2008-01-11,84,143.79
2008-01-18,79,117.11
2008-01-25,69,120.95
2008-02-01,71,126.17
2008-02-08,53,111.65
2008-02-15,63,120.78
2008-02-22,67,131.84
2008-02-29,89,139.25
2008-03-07,68,138.51
2008-03-14,66,136.54
2008-03-21,50,
2008-03-28,69,140.35
2008-04-04,58,152.89
2008-04-11,66,149.46
2008-04-18,49,160.10
2008-04-25,53,161.47
2008-05-02,67,152.82
2008-05-09,69,163.97
2008-05-16,98,191.37
2008-05-23,68,186.79
2008-05-30,64,186.55
2008-06-06,62,181.83
2008-06-13,70,186.18
2008-06-20,53,191.55
2008-06-27,72,184.38
2008-07-04,54,
2008-07-11,55,174.74
2008-07-18,76,84.25
2008-07-25,65,79.81
2008-08-01,59,80.42
2008-08-08,67,76.32
2008-08-15,77,71.36
2008-08-22,67,78.80
2008-08-29,71,80.13
2008-09-05,55,65.03
2008-09-12,61,65.01
2008-09-19,68,64.11
2008-09-26,69,55.51
2008-10-03,71,46.76
2008-10-10,72,37.94
2008-10-17,79,39.94
2008-10-24,76,33.36
2008-10-31,69,39.93
2008-11-07,61,41.03
2008-11-14,78,35.73
2008-11-21,70,31.90
2008-11-28,64,45.54
2008-12-05,64,45.04
2008-12-12,67,48.19
2008-12-19,65,45.26
2008-12-26,44,44.15
2009-01-02,62,47.89
2009-01-09,58,48.70
2009-01-16,68,44.60
2009-01-23,56,42.09
2009-01-30,76,38.90
2009-02-06,65,41.55
2009-02-13,59,42.02
2009-02-20,59,36.98
2009-02-27,65,33.25
2009-03-06,75,31.75
2009-03-13,68,39.85
2009-03-20,60,36.55
2009-03-27,61,37.22
2009-04-03,62,37.40
2009-04-10,57,
2009-04-17,61,41.18
2009-04-24,66,40.96
2009-05-01,76,37.73
2009-05-08,57,45.17
2009-05-15,57,43.25
2009-05-22,54,43.61
2009-05-29,56,46.98
2009-06-05,51,52.90
2009-06-12,55,53.85
2009-06-19,58,50.27
2009-06-26,48,51.83
2009-07-03,61,
2009-07-10,52,47.00
2009-07-17,53,49.39
2009-07-24,56,53.40
2009-07-31,54,52.80
2009-08-07,57,58.21
2009-08-14,54,54.03
2009-08-21,54,55.87
2009-08-28,62,53.58
2009-09-04,53,52.99
2009-09-11,47,54.28
2009-09-18,45,56.05
2009-09-25,57,50.87
2009-10-02,45,47.59
2009-10-09,49,48.75
2009-10-16,54,50.24
2009-10-23,54,49.54
2009-10-30,58,44.42
2009-11-06,51,45.40
2009-11-13,68,43.24
2009-11-20,45,44.32
2009-11-27,48,43.07
2009-12-04,49,42.57
2009-12-11,53,39.86
2009-12-18,53,43.64
2009-12-25,43,
2010-01-01,48,
2010-01-08,59,49.76
2010-01-15,60,49.09
2010-01-22,60,46.41
2010-01-29,54,45.34
2010-02-05,57,43.06
2010-02-12,50,44.11
2010-02-19,53,45.94
2010-02-26,62,42.80
2010-03-05,58,44.65
2010-03-12,52,45.99
2010-03-19,42,45.25
2010-03-26,51,46.26
2010-04-02,61,
2010-04-09,55,50.77
2010-04-16,57,50.66
2010-04-23,56,53.39
2010-04-30,63,52.84
2010-05-07,45,45.95
2010-05-14,52,51.28
2010-05-21,54,45.79
2010-05-28,47,46.92
2010-06-04,46,43.99
2010-06-11,38,45.61
2010-06-18,51,46.47
2010-06-25,51,44.36
2010-07-02,40,41.76
2010-07-09,44,45.41
2010-07-16,54,42.79
2010-07-23,54,47.04
2010-07-30,61,48.29
2010-08-06,56,48.75
2010-08-13,51,46.08
2010-08-20,60,46.59
2010-08-27,48,45.75
2010-09-03,45,48.08
2010-09-10,49,48.59
2010-09-17,48,48.63
2010-09-24,45,48.91
2010-10-01,56,50.35
2010-10-08,57,52.66
2010-10-15,60,51.87
2010-10-22,61,49.47
2010-10-29,61,48.19
2010-11-05,61,54.53
2010-11-12,57,54.95
2010-11-19,57,57.71
2010-11-26,61,57.59
2010-12-03,49,61.77
2010-12-10,48,62.24
2010-12-17,39,63.76
2010-12-24,52,
2010-12-31,55,66.26
2011-01-07,59,65.92
2011-01-14,52,71.19
2011-01-21,62,71.02
2011-01-28,62,68.33
2011-02-04,71,68.69
2011-02-11,58,73.52
2011-02-18,51,74.77
2011-02-25,75,69.16
2011-03-04,62,71.31
2011-03-11,51,68.85
2011-03-18,66,69.31
2011-03-25,62,73.99
2011-04-01,55,72.92
2011-04-08,60,70.70
2011-04-15,72,68.73
2011-04-22,60,
2011-04-29,53,69.94
2011-05-06,52,70.87
2011-05-13,72,69.00
2011-05-20,67,67.33
2011-05-27,55,68.00
2011-06-03,56,65.75
2011-06-10,65,61.95
2011-06-17,54,60.48
2011-06-24,55,61.12
2011-07-01,59,64.09
2011-07-08,70,66.99
2011-07-15,60,65.15
2011-07-22,66,67.38
2011-07-29,55,63.53
2011-08-05,62,57.11
2011-08-12,62,58.79
2011-08-19,55,54.18
2011-08-26,64,57.39
2011-09-02,55,58.13
2011-09-09,57,57.51
2011-09-16,65,60.57
2011-09-23,58,50.31
2011-09-30,64,46.55
2011-10-07,66,50.14
2011-10-14,58,55.67
2011-10-21,61,54.52
2011-10-28,65,59.63
2011-11-04,63,54.86
2011-11-11,57,56.10
2011-11-18,57,52.52
2011-11-25,55,49.51
2011-12-02,62,53.84
2011-12-09,66,52.48
2011-12-16,55,48.09
2011-12-23,67,50.74
2011-12-30,59,50.25
2012-01-06,65,51.72
2012-01-13,72,53.54
2012-01-20,68,55.87
2012-01-27,67,57.23
2012-02-03,71,59.86
2012-02-10,57,59.57
2012-02-17,64,61.00
2012-02-24,73,63.40
2012-03-02,74,61.69
2012-03-09,74,61.05
2012-03-16,70,62.68
2012-03-23,69,60.76
2012-03-30,71,60.04
2012-04-06,62,
2012-04-13,63,58.10
2012-04-20,62,58.44
2012-04-27,72,58.77
2012-05-04,68,56.93
2012-05-11,59,53.89
2012-05-18,65,49.59
2012-05-25,65,49.70
2012-06-01,76,46.49
2012-06-08,60,48.53
2012-06-15,69,47.48
2012-06-22,86,46.08
2012-06-29,71,49.34
2012-07-06,68,49.06
2012-07-13,74,47.26
2012-07-20,84,48.73
2012-07-27,74,50.58
2012-08-03,74,52.20
2012-08-10,71,53.66
2012-08-17,83,54.26
2012-08-24,73,53.07
2012-08-31,67,51.50
2012-09-07,74,54.75
2012-09-14,70,60.15
2012-09-21,78,59.20
2012-09-28,75,56.28
2012-10-05,69,57.20
2012-10-12,71,56.39
2012-10-19,75,57.16
2012-10-26,67,55.31
2012-11-02,75,52.01
2012-11-09,71,52.16
2012-11-16,71,51.82
2012-11-23,76,53.81
2012-11-30,78,53.08
2012-12-07,73,56.32
2012-12-14,75,57.09
2012-12-21,77,59.15
2012-12-28,60,57.23
2013-01-04,69,60.53
2013-01-11,74,62.17
2013-01-18,88,63.31
2013-01-25,78,66.06
2013-02-01,78,65.83
2013-02-08,74,63.71
2013-02-15,79,64.51
2013-02-22,79,64.05
2013-03-01,76,60.51
2013-03-08,82,64.31
2013-03-15,80,64.48
2013-03-22,69,64.94
2013-03-29,78,
2013-04-05,71,62.03
2013-04-12,76,60.22
2013-04-19,68,54.16
2013-04-26,80,56.38
2013-05-03,78,59.80
2013-05-10,77,61.91
2013-05-17,80,64.57
2013-05-24,74,63.68
2013-05-31,72,63.21
2013-06-07,81,62.86
2013-06-14,71,61.00
2013-06-21,71,60.17
2013-06-28,83,59.31
2013-07-05,71,58.59
2013-07-12,77,61.49
2013-07-19,79,62.84
2013-07-26,77,61.60
2013-08-02,82,66.53
2013-08-09,77,65.98
2013-08-16,83,66.19
2013-08-23,86,66.08
2013-08-30,80,63.43
2013-09-06,75,64.58
2013-09-13,72,67.21
2013-09-20,76,72.01
2013-09-27,74,71.05
2013-10-04,82,71.87
2013-10-11,86,72.98
2013-10-18,82,77.19
2013-10-25,78,76.31
2013-11-01,86,74.90
2013-11-08,79,77.92
2013-11-15,78,79.36
2013-11-22,83,78.63
2013-11-29,75,77.81
2013-12-06,83,77.41
2013-12-13,80,74.79
2013-12-20,81,79.37
2013-12-27,73,79.76
2014-01-03,73,79.15
2014-01-10,90,78.90
2014-01-17,98,82.05
2014-01-24,89,77.48
2014-01-31,83,75.96
2014-02-07,84,77.21
2014-02-14,86,79.67
2014-02-21,85,79.19
2014-02-28,98,77.69
2014-03-07,76,79.69
2014-03-14,93,74.33
2014-03-21,91,76.62
2014-03-28,95,76.41
2014-04-04,89,77.66
2014-04-11,86,74.47
2014-04-18,94,
2014-04-25,95,75.73
2014-05-02,100,
