Date,MAR,Price
2004-01-09,77,
2004-01-16,77,
2004-01-23,74,
2004-01-30,70,
2004-02-06,71,45.73
2004-02-13,70,44.53
2004-02-20,73,44.45
2004-02-27,70,44.63
2004-03-05,72,45.42
2004-03-12,74,43.61
2004-03-19,73,41.42
2004-03-26,75,41.73
2004-04-02,75,44.51
2004-04-09,67,
2004-04-16,68,44.79
2004-04-23,72,47.34
2004-04-30,71,47.16
2004-05-07,72,46.69
2004-05-14,71,47.33
2004-05-21,73,48.56
2004-05-28,74,49.33
2004-06-04,78,50.50
2004-06-11,80,
2004-06-18,81,49.93
2004-06-25,80,49.74
2004-07-02,81,49.78
2004-07-09,88,48.94
2004-07-16,87,49.32
2004-07-23,89,48.33
2004-07-30,89,48.80
2004-08-06,90,45.78
2004-08-13,86,45.08
2004-08-20,80,46.74
2004-08-27,79,47.29
2004-09-03,84,48.00
2004-09-10,84,48.30
2004-09-17,74,49.74
2004-09-24,72,49.97
2004-10-01,71,52.74
2004-10-08,73,53.15
2004-10-15,68,53.13
2004-10-22,67,53.90
2004-10-29,69,54.49
2004-11-05,63,58.07
2004-11-12,67,57.61
2004-11-19,67,55.86
2004-11-26,67,57.00
2004-12-03,65,58.29
2004-12-10,61,60.25
2004-12-17,65,63.38
2004-12-24,65,
2004-12-31,76,62.98
2005-01-07,78,62.11
2005-01-14,82,63.33
2005-01-21,81,62.50
2005-01-28,76,63.68
2005-02-04,75,65.55
2005-02-11,76,65.11
2005-02-18,79,63.77
2005-02-25,85,64.13
2005-03-04,80,66.89
2005-03-11,80,66.07
2005-03-18,82,65.24
2005-03-25,79,
2005-04-01,78,65.97
2005-04-08,74,67.46
2005-04-15,73,64.10
2005-04-22,74,63.86
2005-04-29,73,62.75
2005-05-06,75,61.93
2005-05-13,77,60.80
2005-05-20,77,65.00
2005-05-27,81,67.44
2005-06-03,80,69.53
2005-06-10,81,68.61
2005-06-17,85,69.27
2005-06-24,89,67.88
2005-07-01,84,68.69
2005-07-08,84,69.49
2005-07-15,89,67.86
2005-07-22,93,68.58
2005-07-29,91,68.47
2005-08-05,90,68.40
2005-08-12,87,67.79
2005-08-19,77,67.54
2005-08-26,76,65.78
2005-09-02,76,61.32
2005-09-09,70,62.98
2005-09-16,66,61.50
2005-09-23,68,61.85
2005-09-30,66,63.00
2005-10-07,67,63.49
2005-10-14,66,61.35
2005-10-21,69,61.31
2005-10-28,70,59.40
2005-11-04,72,62.05
2005-11-11,72,63.18
2005-11-18,70,63.64
2005-11-25,70,64.68
2005-12-02,67,67.32
2005-12-09,64,67.69
2005-12-16,65,67.72
2005-12-23,64,67.46
2005-12-30,78,66.97
2006-01-06,79,68.53
2006-01-13,80,69.55
2006-01-20,77,66.58
2006-01-27,78,69.05
2006-02-03,78,66.05
2006-02-10,74,69.44
2006-02-17,73,69.28
2006-02-24,76,68.54
2006-03-03,76,68.05
2006-03-10,77,67.93
2006-03-17,75,69.25
2006-03-24,79,68.80
2006-03-31,76,68.60
2006-04-07,73,72.39
2006-04-14,71,
2006-04-21,74,73.37
2006-04-28,74,73.07
2006-05-05,73,75.31
2006-05-12,73,74.91
2006-05-19,77,73.43
2006-05-26,80,73.14
2006-06-02,81,74.08
2006-06-09,81,72.85
2006-06-16,77,35.97
2006-06-23,77,36.28
2006-06-30,75,38.12
2006-07-07,81,37.37
2006-07-14,79,35.25
2006-07-21,90,35.49
2006-07-28,88,35.33
2006-08-04,87,36.00
2006-08-11,83,35.48
2006-08-18,79,37.20
2006-08-25,77,36.00
2006-09-01,72,37.39
2006-09-08,70,37.52
2006-09-15,65,38.67
2006-09-22,75,38.49
2006-09-29,67,38.64
2006-10-06,67,40.35
2006-10-13,65,40.85
2006-10-20,62,41.60
2006-10-27,66,41.50
2006-11-03,67,41.95
2006-11-10,69,43.74
2006-11-17,66,45.26
2006-11-24,68,46.45
2006-12-01,66,45.21
2006-12-08,63,46.39
2006-12-15,62,45.93
2006-12-22,63,46.66
2006-12-29,74,47.72
2007-01-05,80,45.10
2007-01-12,79,47.18
2007-01-19,79,47.08
2007-01-26,78,47.06
2007-02-02,73,48.79
2007-02-09,72,49.09
2007-02-16,72,49.34
2007-02-23,79,49.49
2007-03-02,76,47.55
2007-03-09,78,48.54
2007-03-16,75,47.43
2007-03-23,74,49.61
2007-03-30,73,48.96
2007-04-06,68,
2007-04-13,70,50.14
2007-04-20,71,48.14
2007-04-27,71,46.42
2007-05-04,69,45.56
2007-05-11,72,44.05
2007-05-18,75,45.27
2007-05-25,76,44.09
2007-06-01,78,46.61
2007-06-08,77,45.58
2007-06-15,79,46.60
2007-06-22,76,44.89
