Date,Ball Corp,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,64.57
2004-02-13,0,64.10
2004-02-20,0,64.07
2004-02-27,0,64.57
2004-03-05,0,66.15
2004-03-12,0,65.87
2004-03-19,0,65.31
2004-03-26,0,67.09
2004-04-02,0,69.39
2004-04-09,0,
2004-04-16,0,69.70
2004-04-23,0,70.11
2004-04-30,0,66.00
2004-05-07,0,61.33
2004-05-14,0,65.36
2004-05-21,0,65.03
2004-05-28,0,68.31
2004-06-04,0,68.51
2004-06-11,0,
2004-06-18,0,70.65
2004-06-25,0,71.55
2004-07-02,0,70.76
2004-07-09,0,71.06
2004-07-16,0,73.39
2004-07-23,0,70.02
2004-07-30,0,72.18
2004-08-06,0,71.67
2004-08-13,0,72.18
2004-08-20,0,74.57
2004-08-27,0,37.11
2004-09-03,0,37.61
2004-09-10,0,36.34
2004-09-17,0,36.43
2004-09-24,0,35.95
2004-10-01,0,37.54
2004-10-08,0,37.61
2004-10-15,0,37.67
2004-10-22,0,37.70
2004-10-29,0,39.85
2004-11-05,0,42.01
2004-11-12,0,43.10
2004-11-19,0,42.85
2004-11-26,0,43.85
2004-12-03,0,43.66
2004-12-10,0,43.55
2004-12-17,0,43.48
2004-12-24,0,
2004-12-31,0,43.98
2005-01-07,0,42.36
2005-01-14,0,42.75
2005-01-21,0,42.79
2005-01-28,0,41.59
2005-02-04,0,43.95
2005-02-11,0,44.08
2005-02-18,0,44.80
2005-02-25,0,44.55
2005-03-04,0,45.69
2005-03-11,0,45.43
2005-03-18,0,45.62
2005-03-25,0,
2005-04-01,0,41.66
2005-04-08,0,40.84
2005-04-15,0,38.70
2005-04-22,0,40.27
2005-04-29,0,39.50
2005-05-06,0,39.18
2005-05-13,0,36.91
2005-05-20,0,37.09
2005-05-27,0,37.96
2005-06-03,0,37.55
2005-06-10,0,37.48
2005-06-17,0,38.37
2005-06-24,0,36.03
2005-07-01,0,35.56
2005-07-08,0,39.08
2005-07-15,0,38.46
2005-07-22,0,39.14
2005-07-29,0,37.95
2005-08-05,0,37.90
2005-08-12,0,39.03
2005-08-19,0,38.42
2005-08-26,0,37.75
2005-09-02,0,37.85
2005-09-09,0,37.70
2005-09-16,0,37.39
2005-09-23,0,35.95
2005-09-30,0,36.74
2005-10-07,0,37.10
2005-10-14,0,36.01
2005-10-21,56,35.75
2005-10-28,60,39.60
2005-11-04,65,39.15
2005-11-11,69,39.10
2005-11-18,0,39.36
2005-11-25,0,40.90
2005-12-02,0,41.69
2005-12-09,0,40.43
2005-12-16,0,40.14
2005-12-23,0,40.69
2005-12-30,0,39.72
2006-01-06,0,42.11
2006-01-13,0,41.02
2006-01-20,48,40.43
2006-01-27,38,40.25
2006-02-03,38,39.56
2006-02-10,38,40.23
2006-02-17,38,41.65
2006-02-24,0,43.87
2006-03-03,0,43.30
2006-03-10,0,43.32
2006-03-17,0,44.33
2006-03-24,0,44.40
2006-03-31,0,43.83
2006-04-07,0,42.43
2006-04-14,0,
2006-04-21,0,43.25
2006-04-28,0,39.98
2006-05-05,0,39.17
2006-05-12,0,37.87
2006-05-19,0,36.21
2006-05-26,36,37.15
2006-06-02,0,37.20
2006-06-09,0,35.75
2006-06-16,0,35.68
2006-06-23,0,36.08
2006-06-30,0,37.04
2006-07-07,0,36.19
2006-07-14,37,35.71
2006-07-21,0,36.94
2006-07-28,0,38.34
2006-08-04,0,38.86
2006-08-11,0,38.23
2006-08-18,0,39.54
2006-08-25,0,39.77
2006-09-01,0,40.38
2006-09-08,50,40.00
2006-09-15,32,41.03
2006-09-22,32,40.40
2006-09-29,33,40.45
2006-10-06,34,41.41
2006-10-13,50,42.58
2006-10-20,33,41.55
2006-10-27,33,41.26
2006-11-03,54,41.51
2006-11-10,52,42.08
2006-11-17,31,42.00
2006-11-24,0,42.35
2006-12-01,0,42.82
2006-12-08,0,43.58
2006-12-15,0,43.51
2006-12-22,0,42.95
2006-12-29,0,43.60
2007-01-05,0,43.91
2007-01-12,40,45.33
2007-01-19,26,46.00
2007-01-26,0,46.27
2007-02-02,0,46.72
2007-02-09,0,45.67
2007-02-16,0,46.60
2007-02-23,0,47.20
2007-03-02,0,45.54
2007-03-09,0,45.90
2007-03-16,0,45.22
2007-03-23,0,46.00
2007-03-30,0,45.85
2007-04-06,0,
2007-04-13,0,48.84
2007-04-20,0,49.93
2007-04-27,0,50.83
2007-05-04,31,51.84
2007-05-11,22,53.04
2007-05-18,22,54.98
2007-05-25,22,54.27
2007-06-01,22,55.64
2007-06-08,22,53.56
2007-06-15,27,54.70
2007-06-22,31,54.02
2007-06-29,22,53.17
2007-07-06,22,54.29
2007-07-13,22,54.40
2007-07-20,24,53.14
2007-07-27,26,50.92
2007-08-03,22,50.59
2007-08-10,27,51.93
2007-08-17,31,50.54
2007-08-24,23,52.80
2007-08-31,27,52.38
2007-09-07,30,52.02
2007-09-14,34,51.93
2007-09-21,24,54.72
2007-09-28,25,53.75
2007-10-05,27,55.71
2007-10-12,29,52.19
2007-10-19,40,52.84
2007-10-26,38,49.69
2007-11-02,38,48.76
2007-11-09,53,46.15
2007-11-16,34,45.73
2007-11-23,28,45.47
2007-11-30,28,46.25
2007-12-07,0,45.87
2007-12-14,0,45.87
2007-12-21,0,46.08
2007-12-28,0,45.26
2008-01-04,0,43.62
2008-01-11,0,43.87
2008-01-18,19,42.03
2008-01-25,30,41.56
2008-02-01,18,46.39
2008-02-08,18,44.37
2008-02-15,18,45.13
2008-02-22,18,45.78
2008-02-29,16,44.10
2008-03-07,16,43.71
2008-03-14,16,43.25
2008-03-21,18,
2008-03-28,20,45.14
2008-04-04,19,48.35
2008-04-11,17,46.04
2008-04-18,25,51.75
2008-04-25,29,54.17
2008-05-02,21,53.93
2008-05-09,21,53.79
2008-05-16,24,55.62
2008-05-23,17,52.99
2008-05-30,23,54.30
2008-06-06,18,52.08
2008-06-13,19,52.59
2008-06-20,19,51.72
2008-06-27,20,47.68
2008-07-04,22,
2008-07-11,16,45.93
2008-07-18,16,50.53
2008-07-25,16,45.18
2008-08-01,16,44.66
2008-08-08,29,44.93
2008-08-15,22,45.43
2008-08-22,25,45.48
2008-08-29,15,45.92
2008-09-05,15,44.01
2008-09-12,24,45.15
2008-09-19,26,42.31
2008-09-26,31,42.75
2008-10-03,20,35.82
2008-10-10,32,31.17
2008-10-17,33,32.26
2008-10-24,31,29.70
2008-10-31,33,34.20
2008-11-07,36,34.63
2008-11-14,26,32.77
2008-11-21,23,30.18
2008-11-28,16,36.45
2008-12-05,13,34.94
2008-12-12,18,40.06
2008-12-19,17,41.31
2008-12-26,17,40.43
2009-01-02,18,42.79
2009-01-09,18,40.99
2009-01-16,18,39.24
2009-01-23,16,38.57
2009-01-30,12,38.34
2009-02-06,17,41.23
2009-02-13,15,41.75
2009-02-20,15,40.04
2009-02-27,17,40.29
2009-03-06,18,37.24
2009-03-13,19,39.81
2009-03-20,16,41.39
2009-03-27,16,43.37
2009-04-03,14,44.18
2009-04-10,20,
2009-04-17,16,43.15
2009-04-24,21,40.32
2009-05-01,16,38.00
2009-05-08,16,38.81
2009-05-15,16,39.21
2009-05-22,17,38.89
2009-05-29,17,39.80
2009-06-05,15,43.64
2009-06-12,17,43.00
2009-06-19,11,41.91
2009-06-26,20,42.89
2009-07-03,13,
2009-07-10,12,45.56
2009-07-17,15,46.96
2009-07-24,15,49.52
2009-07-31,17,48.36
2009-08-07,17,47.25
2009-08-14,18,50.58
2009-08-21,18,50.08
2009-08-28,16,48.76
2009-09-04,16,48.40
2009-09-11,18,49.00
2009-09-18,21,50.93
2009-09-25,24,48.94
2009-10-02,27,48.86
2009-10-09,34,51.56
2009-10-16,26,51.32
2009-10-23,26,50.16
2009-10-30,26,49.33
2009-11-06,30,49.50
2009-11-13,39,50.12
2009-11-20,23,50.39
2009-11-27,16,49.85
2009-12-04,16,49.20
2009-12-11,12,51.49
2009-12-18,12,51.26
2009-12-25,14,
2010-01-01,15,
2010-01-08,17,52.07
2010-01-15,14,51.41
2010-01-22,12,50.85
2010-01-29,11,50.79
2010-02-05,17,50.55
2010-02-12,11,51.39
2010-02-19,15,52.63
2010-02-26,12,54.04
2010-03-05,14,54.90
2010-03-12,14,54.45
2010-03-19,14,54.20
2010-03-26,13,54.00
2010-04-02,16,
2010-04-09,15,54.37
2010-04-16,11,54.32
2010-04-23,14,55.37
2010-04-30,20,53.21
2010-05-07,9,49.49
2010-05-14,9,50.91
2010-05-21,13,50.03
2010-05-28,10,49.25
2010-06-04,10,51.15
2010-06-11,10,52.35
2010-06-18,29,55.14
2010-06-25,18,53.85
2010-07-02,15,51.79
2010-07-09,14,54.31
2010-07-16,12,53.95
2010-07-23,16,57.20
2010-07-30,20,58.24
2010-08-06,12,58.46
2010-08-13,17,57.17
2010-08-20,18,57.14
2010-08-27,14,56.49
2010-09-03,16,59.08
2010-09-10,19,59.40
2010-09-17,26,59.97
2010-09-24,14,60.21
2010-10-01,15,59.39
2010-10-08,24,60.12
2010-10-15,22,62.18
2010-10-22,26,61.38
2010-10-29,35,64.36
2010-11-05,39,66.06
2010-11-12,42,64.88
2010-11-19,31,65.45
2010-11-26,15,64.87
2010-12-03,15,68.85
2010-12-10,10,67.98
2010-12-17,11,68.50
2010-12-24,12,
2010-12-31,20,68.05
2011-01-07,9,70.08
2011-01-14,13,69.81
2011-01-21,10,69.54
2011-01-28,10,70.92
2011-02-04,13,73.72
2011-02-11,18,74.05
2011-02-18,18,37.00
2011-02-25,15,36.10
2011-03-04,11,35.83
2011-03-11,12,34.99
2011-03-18,11,34.29
2011-03-25,13,35.51
2011-04-01,9,35.77
2011-04-08,14,36.01
2011-04-15,14,36.79
2011-04-22,17,
2011-04-29,11,37.31
2011-05-06,11,38.03
2011-05-13,10,38.46
2011-05-20,7,39.04
2011-05-27,13,39.08
2011-06-03,14,38.06
2011-06-10,9,38.10
2011-06-17,16,37.82
2011-06-24,15,37.49
2011-07-01,9,39.14
2011-07-08,15,40.36
2011-07-15,53,39.44
2011-07-22,65,39.31
2011-07-29,31,38.80
2011-08-05,20,35.44
2011-08-12,11,35.93
2011-08-19,18,34.00
2011-08-26,21,35.01
2011-09-02,16,35.02
2011-09-09,17,34.03
2011-09-16,22,34.31
2011-09-23,18,30.95
2011-09-30,23,31.02
2011-10-07,21,32.45
2011-10-14,28,33.96
2011-10-21,30,34.82
2011-10-28,30,35.66
2011-11-04,37,34.87
2011-11-11,52,35.41
2011-11-18,100,33.91
2011-11-25,40,33.18
2011-12-02,16,34.92
2011-12-09,10,34.92
2011-12-16,9,34.63
2011-12-23,16,35.80
2011-12-30,6,35.71
2012-01-06,7,37.12
2012-01-13,18,37.64
2012-01-20,12,37.91
2012-01-27,17,39.44
2012-02-03,11,39.80
2012-02-10,9,39.81
2012-02-17,17,40.11
2012-02-24,10,39.78
2012-03-02,9,39.81
2012-03-09,13,39.72
2012-03-16,14,41.39
2012-03-23,12,41.09
2012-03-30,7,42.88
2012-04-06,10,
2012-04-13,10,42.77
2012-04-20,11,43.52
2012-04-27,12,41.78
2012-05-04,14,40.76
2012-05-11,8,40.96
2012-05-18,11,38.66
2012-05-25,10,39.88
2012-06-01,7,39.33
2012-06-08,12,41.15
2012-06-15,17,42.75
2012-06-22,10,41.64
2012-06-29,12,41.05
2012-07-06,9,40.58
2012-07-13,16,41.23
2012-07-20,14,41.77
2012-07-27,11,41.89
2012-08-03,11,41.10
2012-08-10,17,42.01
2012-08-17,16,43.06
2012-08-24,17,42.13
2012-08-31,12,42.17
2012-09-07,9,42.78
2012-09-14,16,43.28
2012-09-21,22,42.51
2012-09-28,16,42.31
2012-10-05,28,42.79
2012-10-12,18,41.31
2012-10-19,23,42.66
2012-10-26,22,42.81
2012-11-02,30,43.38
2012-11-09,50,43.85
2012-11-16,33,43.34
2012-11-23,18,45.07
2012-11-30,14,44.69
2012-12-07,9,44.15
2012-12-14,11,44.25
2012-12-21,8,44.80
2012-12-28,9,44.29
2013-01-04,9,46.50
2013-01-11,8,45.40
2013-01-18,9,46.65
2013-01-25,8,46.61
2013-02-01,7,45.59
2013-02-08,10,45.36
2013-02-15,10,45.54
2013-02-22,10,44.34
2013-03-01,9,44.22
2013-03-08,8,44.85
2013-03-15,8,46.01
2013-03-22,12,45.87
2013-03-29,7,
2013-04-05,10,46.99
2013-04-12,13,47.89
2013-04-19,10,46.43
2013-04-26,9,44.03
2013-05-03,8,45.34
2013-05-10,9,45.97
2013-05-17,7,45.75
2013-05-24,9,44.39
2013-05-31,5,43.16
2013-06-07,10,43.58
2013-06-14,9,43.34
2013-06-21,7,42.55
2013-06-28,8,41.54
2013-07-05,7,42.54
2013-07-12,12,45.38
2013-07-19,10,45.17
2013-07-26,13,44.95
2013-08-02,20,45.85
2013-08-09,15,44.67
2013-08-16,12,45.01
2013-08-23,12,45.70
2013-08-30,13,44.42
2013-09-06,13,44.40
2013-09-13,19,44.46
2013-09-20,18,45.79
2013-09-27,15,45.00
2013-10-04,22,45.19
2013-10-11,22,45.48
2013-10-18,23,46.17
2013-10-25,25,48.60
2013-11-01,31,48.88
2013-11-08,35,49.50
2013-11-15,34,50.17
2013-11-22,13,50.01
2013-11-29,9,49.98
2013-12-06,5,50.05
2013-12-13,7,49.91
2013-12-20,7,50.93
2013-12-27,8,51.58
2014-01-03,5,51.65
2014-01-10,9,51.93
2014-01-17,10,50.53
2014-01-24,9,48.60
2014-01-31,8,51.19
2014-02-07,9,52.80
2014-02-14,11,54.63
2014-02-21,9,54.92
2014-02-28,8,55.56
2014-03-07,6,56.09
2014-03-14,10,54.03
2014-03-21,8,54.04
2014-03-28,8,53.97
2014-04-04,6,55.18
2014-04-11,8,53.94
2014-04-18,5,
2014-04-25,8,55.95
2014-05-02,0,
