Date,ATI,Price
2004-01-09,78,
2004-01-16,77,
2004-01-23,76,
2004-01-30,74,
2004-02-06,71,9.50
2004-02-13,69,10.55
2004-02-20,70,12.24
2004-02-27,68,12.70
2004-03-05,65,12.76
2004-03-12,69,11.47
2004-03-19,63,11.63
2004-03-26,76,11.14
2004-04-02,65,12.64
2004-04-09,73,
2004-04-16,69,11.48
2004-04-23,66,11.35
2004-04-30,63,10.22
2004-05-07,68,9.59
2004-05-14,66,9.80
2004-05-21,64,10.70
2004-05-28,64,12.01
2004-06-04,64,12.90
2004-06-11,64,
2004-06-18,64,15.10
2004-06-25,66,15.62
2004-07-02,65,17.49
2004-07-09,69,17.80
2004-07-16,69,17.75
2004-07-23,66,18.23
2004-07-30,70,20.05
2004-08-06,82,16.62
2004-08-13,80,16.93
2004-08-20,81,18.57
2004-08-27,77,18.75
2004-09-03,79,19.18
2004-09-10,79,19.88
2004-09-17,74,19.64
2004-09-24,77,19.08
2004-10-01,73,17.45
2004-10-08,73,17.93
2004-10-15,80,16.06
2004-10-22,74,16.52
2004-10-29,72,16.81
2004-11-05,71,17.58
2004-11-12,79,21.26
2004-11-19,82,20.56
2004-11-26,82,22.93
2004-12-03,77,21.55
2004-12-10,75,20.96
2004-12-17,76,22.09
2004-12-24,84,
2004-12-31,100,21.67
2005-01-07,82,18.92
2005-01-14,74,18.92
2005-01-21,76,21.75
2005-01-28,70,22.24
2005-02-04,67,23.13
2005-02-11,68,23.14
2005-02-18,66,23.41
2005-02-25,64,25.46
2005-03-04,65,26.05
2005-03-11,66,23.39
2005-03-18,62,22.59
2005-03-25,65,
2005-04-01,61,24.83
2005-04-08,61,25.41
2005-04-15,57,21.11
2005-04-22,56,24.31
2005-04-29,55,22.40
2005-05-06,61,23.35
2005-05-13,58,19.52
2005-05-20,57,21.40
2005-05-27,58,21.22
2005-06-03,58,21.61
2005-06-10,62,22.05
2005-06-17,63,23.26
2005-06-24,62,21.40
2005-07-01,62,22.11
2005-07-08,60,23.81
2005-07-15,61,25.30
2005-07-22,62,28.28
2005-07-29,61,29.07
2005-08-05,61,29.11
2005-08-12,61,30.20
2005-08-19,63,28.99
2005-08-26,62,26.58
2005-09-02,60,28.16
2005-09-09,61,29.41
2005-09-16,59,29.02
2005-09-23,60,29.45
2005-09-30,61,30.98
2005-10-07,63,27.45
2005-10-14,67,27.79
2005-10-21,66,27.38
2005-10-28,67,27.45
2005-11-04,67,28.34
2005-11-11,66,30.38
2005-11-18,64,30.87
2005-11-25,68,32.66
2005-12-02,67,33.88
2005-12-09,66,33.66
2005-12-16,66,34.10
2005-12-23,72,35.48
2005-12-30,90,36.08
2006-01-06,74,40.48
2006-01-13,67,40.20
2006-01-20,64,40.88
2006-01-27,64,51.74
2006-02-03,61,50.98
2006-02-10,59,47.88
2006-02-17,59,50.49
2006-02-24,58,53.30
2006-03-03,58,55.62
2006-03-10,57,54.60
2006-03-17,56,56.19
2006-03-24,56,58.00
2006-03-31,56,61.18
2006-04-07,55,65.74
2006-04-14,58,
2006-04-21,54,72.27
2006-04-28,50,69.34
2006-05-05,51,75.05
2006-05-12,49,78.45
2006-05-19,50,65.37
2006-05-26,51,67.19
2006-06-02,53,67.02
2006-06-09,52,61.23
2006-06-16,50,64.82
2006-06-23,49,65.28
