Date,BlackRock,Price
2004-01-09,19,
2004-01-16,12,
2004-01-23,16,
2004-01-30,10,
2004-02-06,11,60.02
2004-02-13,12,58.74
2004-02-20,13,59.26
2004-02-27,18,59.50
2004-03-05,16,61.50
2004-03-12,15,60.26
2004-03-19,11,60.90
2004-03-26,15,60.00
2004-04-02,12,65.00
2004-04-09,17,
2004-04-16,12,63.50
2004-04-23,10,61.25
2004-04-30,14,62.20
2004-05-07,18,59.88
2004-05-14,15,58.63
2004-05-21,11,59.16
2004-05-28,15,63.10
2004-06-04,13,64.55
2004-06-11,11,
2004-06-18,14,62.25
2004-06-25,17,62.50
2004-07-02,14,65.13
2004-07-09,10,64.89
2004-07-16,10,63.49
2004-07-23,14,62.51
2004-07-30,15,61.95
2004-08-06,14,61.54
2004-08-13,17,61.56
2004-08-20,13,63.88
2004-08-27,19,71.31
2004-09-03,12,74.89
2004-09-10,15,73.60
2004-09-17,16,74.55
2004-09-24,13,73.46
2004-10-01,11,74.34
2004-10-08,15,71.80
2004-10-15,11,69.79
2004-10-22,11,70.94
2004-10-29,13,73.50
2004-11-05,12,74.46
2004-11-12,11,76.40
2004-11-19,12,73.90
2004-11-26,14,76.31
2004-12-03,15,76.35
2004-12-10,14,76.95
2004-12-17,18,77.00
2004-12-24,11,
2004-12-31,7,77.26
2005-01-07,14,78.34
2005-01-14,15,80.91
2005-01-21,18,79.31
2005-01-28,21,79.05
2005-02-04,23,80.40
2005-02-11,18,81.00
2005-02-18,22,80.53
2005-02-25,20,78.17
2005-03-04,22,80.55
2005-03-11,22,79.96
2005-03-18,28,79.64
2005-03-25,27,
2005-04-01,28,75.63
2005-04-08,31,73.43
2005-04-15,30,70.00
2005-04-22,28,75.25
2005-04-29,32,74.96
2005-05-06,30,74.77
2005-05-13,28,75.71
2005-05-20,30,78.21
2005-05-27,28,78.10
2005-06-03,27,77.38
2005-06-10,25,77.48
2005-06-17,31,78.07
2005-06-24,31,76.25
2005-07-01,30,81.20
2005-07-08,29,82.15
2005-07-15,25,83.75
2005-07-22,28,82.30
2005-07-29,24,85.00
2005-08-05,32,82.46
2005-08-12,26,84.41
2005-08-19,27,85.46
2005-08-26,26,84.15
