Date,The Coca Cola Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,50.99
2004-02-13,0,51.14
2004-02-20,0,50.94
2004-02-27,0,49.96
2004-03-05,0,50.10
2004-03-12,0,48.45
2004-03-19,0,48.78
2004-03-26,0,48.78
2004-04-02,0,50.93
2004-04-09,0,
2004-04-16,0,51.93
2004-04-23,100,51.05
2004-04-30,0,50.57
2004-05-07,0,50.74
2004-05-14,0,50.00
2004-05-21,0,49.38
2004-05-28,0,51.35
2004-06-04,0,52.27
2004-06-11,0,
2004-06-18,0,51.39
2004-06-25,0,50.10
2004-07-02,0,50.53
2004-07-09,0,51.02
2004-07-16,0,50.58
2004-07-23,0,45.17
2004-07-30,0,43.86
2004-08-06,0,43.50
2004-08-13,0,44.37
2004-08-20,0,44.21
2004-08-27,0,44.72
2004-09-03,0,45.49
2004-09-10,0,42.96
2004-09-17,0,40.30
2004-09-24,0,39.99
2004-10-01,0,40.31
2004-10-08,0,40.00
2004-10-15,0,39.20
2004-10-22,0,38.90
2004-10-29,0,40.66
2004-11-05,0,41.40
2004-11-12,0,40.79
2004-11-19,0,39.73
2004-11-26,0,39.86
2004-12-03,0,40.71
2004-12-10,0,40.53
2004-12-17,0,40.95
2004-12-24,0,
2004-12-31,0,41.64
2005-01-07,0,41.16
2005-01-14,0,40.97
2005-01-21,0,40.91
2005-01-28,0,41.49
2005-02-04,0,42.47
2005-02-11,0,42.76
2005-02-18,70,42.96
2005-02-25,0,43.02
2005-03-04,0,43.64
2005-03-11,0,42.48
2005-03-18,0,41.46
2005-03-25,0,
2005-04-01,0,41.38
2005-04-08,0,42.10
2005-04-15,77,41.29
2005-04-22,56,42.13
2005-04-29,56,43.44
2005-05-06,56,44.19
2005-05-13,63,44.11
2005-05-20,58,45.05
2005-05-27,76,44.93
2005-06-03,0,44.23
2005-06-10,0,43.95
2005-06-17,0,44.05
2005-06-24,0,42.20
2005-07-01,0,42.21
2005-07-08,0,42.73
2005-07-15,0,43.08
2005-07-22,0,44.03
2005-07-29,0,43.76
2005-08-05,0,44.06
2005-08-12,0,43.58
2005-08-19,0,44.39
2005-08-26,0,43.57
2005-09-02,0,43.90
2005-09-09,0,44.05
2005-09-16,0,43.40
2005-09-23,0,42.35
2005-09-30,0,43.19
2005-10-07,0,42.20
2005-10-14,0,42.07
2005-10-21,49,41.93
2005-10-28,48,42.83
2005-11-04,54,42.30
2005-11-11,59,42.76
2005-11-18,64,42.20
2005-11-25,62,42.80
2005-12-02,62,42.82
2005-12-09,50,41.51
2005-12-16,52,41.21
2005-12-23,53,41.15
2005-12-30,54,40.31
2006-01-06,55,41.41
2006-01-13,56,41.31
2006-01-20,46,40.09
2006-01-27,37,41.97
2006-02-03,37,40.88
2006-02-10,37,41.16
2006-02-17,39,41.79
2006-02-24,41,42.23
2006-03-03,55,41.80
2006-03-10,43,42.77
2006-03-17,43,42.79
2006-03-24,35,42.66
2006-03-31,35,41.87
2006-04-07,38,41.35
2006-04-14,41,
2006-04-21,44,41.85
2006-04-28,42,41.96
2006-05-05,36,42.71
2006-05-12,37,43.18
2006-05-19,37,43.65
2006-05-26,38,44.49
2006-06-02,39,43.89
2006-06-09,40,43.55
2006-06-16,41,43.21
2006-06-23,42,42.75
2006-06-30,42,43.02
2006-07-07,35,43.18
2006-07-14,35,42.65
2006-07-21,35,43.90
2006-07-28,35,44.52
2006-08-04,35,43.85
2006-08-11,34,43.76
2006-08-18,38,44.31
2006-08-25,43,44.52
2006-09-01,47,45.07
2006-09-08,32,44.60
2006-09-15,40,44.60
2006-09-22,60,43.99
2006-09-29,39,44.68
2006-10-06,51,44.76
2006-10-13,51,44.02
2006-10-20,54,46.75
2006-10-27,58,46.87
2006-11-03,60,46.50
2006-11-10,39,46.47
2006-11-17,41,47.26
2006-11-24,56,46.92
2006-12-01,67,46.57
2006-12-08,43,48.91
2006-12-15,34,48.93
2006-12-22,34,48.38
2006-12-29,34,48.25
2007-01-05,39,48.26
2007-01-12,43,48.55
2007-01-19,32,48.26
2007-01-26,30,47.83
2007-02-02,49,48.24
2007-02-09,46,47.76
2007-02-16,39,47.87
2007-02-23,47,47.26
2007-03-02,55,45.89
2007-03-09,28,47.57
2007-03-16,50,47.21
2007-03-23,42,48.05
2007-03-30,47,48.00
2007-04-06,37,
2007-04-13,33,49.88
2007-04-20,34,52.09
2007-04-27,36,52.06
2007-05-04,37,53.21
2007-05-11,38,52.69
2007-05-18,48,52.63
2007-05-25,36,51.89
2007-06-01,45,52.80
2007-06-08,49,51.67
2007-06-15,36,51.58
2007-06-22,32,51.62
2007-06-29,33,52.31
2007-07-06,30,52.60
2007-07-13,45,53.11
2007-07-20,33,53.21
2007-07-27,32,52.28
2007-08-03,34,53.28
2007-08-10,28,54.98
2007-08-17,23,54.45
2007-08-24,45,54.00
2007-08-31,40,53.78
2007-09-07,31,54.59
2007-09-14,42,56.40
2007-09-21,34,56.55
2007-09-28,41,57.47
2007-10-05,37,58.07
2007-10-12,31,57.80
2007-10-19,34,58.76
2007-10-26,35,61.57
2007-11-02,38,60.51
2007-11-09,43,60.83
2007-11-16,32,62.62
2007-11-23,53,62.30
2007-11-30,53,62.10
2007-12-07,55,63.15
2007-12-14,35,63.81
2007-12-21,25,63.07
2007-12-28,34,62.27
2008-01-04,43,61.85
2008-01-11,52,63.77
2008-01-18,37,60.74
2008-01-25,18,58.41
2008-02-01,45,59.26
2008-02-08,45,59.25
2008-02-15,45,58.76
2008-02-22,33,58.26
2008-02-29,51,58.46
2008-03-07,29,58.85
2008-03-14,44,57.53
2008-03-21,23,
2008-03-28,40,60.94
2008-04-04,31,60.25
2008-04-11,53,60.29
2008-04-18,38,60.11
2008-04-25,25,59.33
2008-05-02,42,58.77
2008-05-09,40,56.15
2008-05-16,41,57.07
2008-05-23,34,58.63
2008-05-30,38,57.26
2008-06-06,28,55.80
2008-06-13,44,55.42
2008-06-20,17,53.66
2008-06-27,35,51.84
2008-07-04,29,
2008-07-11,17,50.27
2008-07-18,23,50.03
2008-07-25,22,52.06
2008-08-01,20,53.14
2008-08-08,33,55.41
2008-08-15,27,55.06
2008-08-22,29,54.37
2008-08-29,19,52.07
2008-09-05,37,51.93
2008-09-12,29,54.50
2008-09-19,21,52.72
2008-09-26,40,52.48
2008-10-03,31,52.57
2008-10-10,37,41.50
2008-10-17,37,44.20
2008-10-24,30,41.61
2008-10-31,39,44.06
2008-11-07,49,46.25
2008-11-14,44,45.02
2008-11-21,34,44.00
2008-11-28,35,46.87
2008-12-05,34,45.98
2008-12-12,48,44.57
2008-12-19,26,44.43
2008-12-26,27,44.58
2009-01-02,15,45.90
2009-01-09,27,44.60
2009-01-16,41,43.84
2009-01-23,24,42.20
2009-01-30,30,42.72
2009-02-06,27,43.55
2009-02-13,28,43.85
2009-02-20,30,42.84
2009-02-27,35,40.85
2009-03-06,55,39.10
2009-03-13,44,41.22
2009-03-20,45,42.64
2009-03-27,49,45.10
2009-04-03,49,44.97
2009-04-10,24,
2009-04-17,35,45.02
2009-04-24,46,42.79
2009-05-01,39,42.47
2009-05-08,44,42.92
2009-05-15,42,44.96
2009-05-22,40,47.30
2009-05-29,28,49.16
2009-06-05,40,49.44
2009-06-12,31,48.89
2009-06-19,30,48.81
2009-06-26,25,48.13
2009-07-03,31,
2009-07-10,30,48.31
2009-07-17,33,50.32
2009-07-24,26,49.36
2009-07-31,27,49.84
2009-08-07,22,49.34
2009-08-14,42,48.47
2009-08-21,32,49.91
2009-08-28,40,49.06
2009-09-04,27,49.95
2009-09-11,36,51.51
2009-09-18,28,53.76
2009-09-25,44,52.97
2009-10-02,51,53.87
2009-10-09,50,54.65
2009-10-16,53,55.01
2009-10-23,41,53.24
2009-10-30,40,53.31
2009-11-06,29,54.49
2009-11-13,39,56.46
2009-11-20,40,57.48
2009-11-27,46,57.18
2009-12-04,47,57.49
2009-12-11,52,59.11
2009-12-18,34,56.92
2009-12-25,21,
2010-01-01,23,
2010-01-08,34,55.15
2010-01-15,49,56.29
2010-01-22,42,54.24
2010-01-29,34,54.25
2010-02-05,30,53.09
2010-02-12,41,53.98
2010-02-19,44,55.72
2010-02-26,48,52.72
2010-03-05,48,54.70
2010-03-12,46,53.35
2010-03-19,37,54.75
2010-03-26,31,54.65
2010-04-02,55,
2010-04-09,33,54.59
2010-04-16,52,54.97
2010-04-23,50,53.88
2010-04-30,49,53.45
2010-05-07,52,52.67
2010-05-14,45,53.34
2010-05-21,38,51.59
2010-05-28,38,51.40
2010-06-04,34,51.27
2010-06-11,47,51.65
2010-06-18,25,52.31
2010-06-25,35,50.26
2010-07-02,23,50.05
2010-07-09,35,52.40
2010-07-16,31,52.37
2010-07-23,35,54.75
2010-07-30,32,55.11
2010-08-06,14,56.75
2010-08-13,21,55.73
2010-08-20,37,55.30
2010-08-27,28,56.16
2010-09-03,39,57.56
2010-09-10,39,58.52
2010-09-17,33,57.56
2010-09-24,33,58.62
2010-10-01,41,59.12
2010-10-08,38,59.41
2010-10-15,29,59.94
2010-10-22,43,61.61
2010-10-29,31,61.32
2010-11-05,29,62.58
2010-11-12,41,62.92
2010-11-19,36,64.32
2010-11-26,40,64.11
2010-12-03,48,64.50
2010-12-10,39,64.65
2010-12-17,36,65.70
2010-12-24,23,
2010-12-31,18,65.77
2011-01-07,34,62.92
2011-01-14,30,63.13
2011-01-21,36,62.77
2011-01-28,29,62.21
2011-02-04,30,62.56
2011-02-11,40,63.57
2011-02-18,35,64.55
2011-02-25,39,64.31
2011-03-04,37,65.21
2011-03-11,46,64.81
2011-03-18,36,62.70
2011-03-25,34,65.22
2011-04-01,38,67.22
2011-04-08,40,67.27
2011-04-15,37,68.01
2011-04-22,29,
2011-04-29,39,67.46
2011-05-06,36,66.90
2011-05-13,37,68.18
2011-05-20,31,68.30
2011-05-27,31,66.51
2011-06-03,32,65.53
2011-06-10,33,65.39
2011-06-17,29,65.62
2011-06-24,34,64.93
2011-07-01,29,68.09
2011-07-08,27,68.68
2011-07-15,32,67.53
2011-07-22,25,69.73
2011-07-29,26,68.01
2011-08-05,21,66.77
2011-08-12,29,67.14
2011-08-19,25,67.10
2011-08-26,32,68.50
2011-09-02,36,69.74
2011-09-09,34,69.37
2011-09-16,36,71.23
2011-09-23,29,67.42
2011-09-30,43,67.56
2011-10-07,38,65.90
2011-10-14,38,67.85
2011-10-21,43,68.19
2011-10-28,35,68.93
2011-11-04,36,67.78
2011-11-11,34,68.12
2011-11-18,43,67.39
2011-11-25,40,64.74
2011-12-02,42,66.38
2011-12-09,46,67.57
2011-12-16,34,67.44
2011-12-23,29,69.94
2011-12-30,20,69.97
2012-01-06,35,68.93
2012-01-13,29,66.99
2012-01-20,34,68.09
2012-01-27,31,67.44
2012-02-03,32,68.08
2012-02-10,37,67.94
2012-02-17,30,69.05
2012-02-24,33,69.00
2012-03-02,42,69.18
2012-03-09,40,69.51
2012-03-16,43,70.16
2012-03-23,42,71.49
2012-03-30,36,74.01
2012-04-06,33,
2012-04-13,35,71.94
2012-04-20,40,74.13
2012-04-27,42,76.63
2012-05-04,44,77.00
2012-05-11,48,77.47
2012-05-18,43,74.05
2012-05-25,42,75.23
2012-06-01,40,73.09
2012-06-08,45,75.24
2012-06-15,38,76.09
2012-06-22,38,74.94
2012-06-29,41,78.19
2012-07-06,44,78.15
2012-07-13,41,77.28
2012-07-20,42,77.03
2012-07-27,48,80.01
2012-08-03,39,80.83
2012-08-10,44,78.79
2012-08-17,41,39.53
2012-08-24,38,38.47
2012-08-31,49,37.40
2012-09-07,45,37.90
2012-09-14,45,38.12
2012-09-21,54,38.03
2012-09-28,34,37.93
2012-10-05,43,38.58
2012-10-12,48,38.23
2012-10-19,60,37.40
2012-10-26,40,37.04
2012-11-02,37,37.08
2012-11-09,36,36.29
2012-11-16,42,36.56
2012-11-23,36,37.93
2012-11-30,45,37.92
2012-12-07,41,37.71
2012-12-14,30,37.66
2012-12-21,27,36.89
2012-12-28,16,35.97
2013-01-04,24,37.66
2013-01-11,34,36.91
2013-01-18,30,37.70
2013-01-25,36,37.05
2013-02-01,29,37.54
2013-02-08,28,38.77
2013-02-15,35,37.42
2013-02-22,30,38.52
2013-03-01,37,38.70
2013-03-08,31,39.22
2013-03-15,33,38.83
2013-03-22,34,40.04
2013-03-29,30,
2013-04-05,36,40.08
2013-04-12,36,41.08
2013-04-19,40,42.66
2013-04-26,46,42.10
2013-05-03,39,42.24
2013-05-10,28,42.15
2013-05-17,33,42.97
2013-05-24,35,42.24
2013-05-31,34,39.99
2013-06-07,23,41.41
2013-06-14,38,40.34
2013-06-21,29,39.76
2013-06-28,25,40.11
2013-07-05,25,40.52
2013-07-12,28,41.03
2013-07-19,28,41.09
2013-07-26,32,40.64
2013-08-02,30,40.22
2013-08-09,26,40.16
2013-08-16,30,39.05
2013-08-23,28,38.52
2013-08-30,24,38.18
2013-09-06,34,38.35
2013-09-13,33,38.69
2013-09-20,33,39.40
2013-09-27,35,38.40
2013-10-04,32,37.20
2013-10-11,40,37.77
2013-10-18,36,38.78
2013-10-25,36,39.03
2013-11-01,34,39.61
2013-11-08,32,40.05
2013-11-15,34,40.22
2013-11-22,41,40.43
2013-11-29,33,40.19
2013-12-06,31,40.46
2013-12-13,34,39.23
2013-12-20,22,40.04
2013-12-27,17,40.66
2014-01-03,20,40.46
2014-01-10,26,40.13
2014-01-17,34,39.28
2014-01-24,30,38.84
2014-01-31,23,37.82
2014-02-07,40,37.95
2014-02-14,40,38.93
2014-02-21,42,37.18
2014-02-28,32,38.20
2014-03-07,32,38.55
2014-03-14,42,38.17
2014-03-21,35,38.44
2014-03-28,34,38.95
2014-04-04,37,38.22
2014-04-11,32,38.63
2014-04-18,33,
2014-04-25,33,41.01
2014-05-02,32,
