Date,COH,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,10,37.87
2004-02-13,12,38.35
2004-02-20,9,39.36
2004-02-27,9,39.63
2004-03-05,10,43.25
2004-03-12,12,40.63
2004-03-19,13,40.31
2004-03-26,14,41.55
2004-04-02,16,41.20
2004-04-09,24,
2004-04-16,30,39.85
2004-04-23,52,44.00
2004-04-30,72,42.60
2004-05-07,94,41.30
2004-05-14,89,41.24
2004-05-21,76,40.10
2004-05-28,84,43.61
2004-06-04,87,43.40
2004-06-11,82,
2004-06-18,85,42.82
2004-06-25,86,45.33
2004-07-02,96,46.09
2004-07-09,94,45.87
2004-07-16,82,42.55
2004-07-23,100,40.79
2004-07-30,88,42.79
2004-08-06,85,37.50
2004-08-13,76,37.27
2004-08-20,73,41.05
2004-08-27,78,42.07
2004-09-03,76,43.53
2004-09-10,76,44.86
2004-09-17,82,43.50
2004-09-24,97,43.09
2004-10-01,85,43.10
2004-10-08,82,41.72
2004-10-15,92,40.15
2004-10-22,75,41.75
2004-10-29,83,46.63
2004-11-05,79,48.05
2004-11-12,76,48.35
2004-11-19,67,48.65
2004-11-26,64,49.74
2004-12-03,60,52.46
2004-12-10,53,53.62
2004-12-17,56,54.89
2004-12-24,52,
2004-12-31,81,56.40
2005-01-07,67,55.35
2005-01-14,75,55.77
2005-01-21,76,53.74
2005-01-28,63,54.92
2005-02-04,63,55.60
2005-02-11,78,54.30
2005-02-18,77,55.50
2005-02-25,67,56.65
2005-03-04,67,59.50
2005-03-11,64,59.13
2005-03-18,56,56.63
2005-03-25,83,
2005-04-01,73,55.58
2005-04-08,71,27.85
2005-04-15,64,25.22
2005-04-22,63,25.76
2005-04-29,66,26.80
2005-05-06,78,28.35
2005-05-13,58,28.11
2005-05-20,66,29.35
2005-05-27,68,29.30
2005-06-03,76,31.76
2005-06-10,82,31.40
2005-06-17,73,32.94
2005-06-24,91,32.15
2005-07-01,75,33.55
2005-07-08,68,35.26
2005-07-15,66,35.27
2005-07-22,65,35.95
2005-07-29,77,35.11
2005-08-05,64,33.70
2005-08-12,63,34.70
2005-08-19,71,32.99
2005-08-26,75,33.67
2005-09-02,99,31.80
2005-09-09,74,33.22
2005-09-16,66,32.16
2005-09-23,73,32.42
2005-09-30,54,31.36
2005-10-07,50,31.35
2005-10-14,65,30.46
2005-10-21,53,32.26
2005-10-28,57,31.66
2005-11-04,69,34.22
2005-11-11,59,34.61
2005-11-18,52,34.43
2005-11-25,39,36.64
2005-12-02,41,35.03
2005-12-09,42,35.11
2005-12-16,47,33.88
2005-12-23,52,33.40
2005-12-30,46,33.34
2006-01-06,42,33.31
2006-01-13,47,33.19
2006-01-20,48,31.75
2006-01-27,45,35.91
2006-02-03,37,36.19
2006-02-10,39,35.47
2006-02-17,44,36.20
2006-02-24,41,36.14
2006-03-03,36,36.12
2006-03-10,35,36.50
2006-03-17,34,35.55
2006-03-24,40,35.46
2006-03-31,37,34.58
2006-04-07,34,35.35
2006-04-14,40,
2006-04-21,41,35.07
2006-04-28,41,33.02
2006-05-05,47,31.86
2006-05-12,43,30.65
2006-05-19,47,30.03
2006-05-26,38,29.90
2006-06-02,39,29.90
2006-06-09,67,28.67
2006-06-16,51,29.81
2006-06-23,41,28.50
2006-06-30,50,29.90
2006-07-07,44,28.48
2006-07-14,40,26.43
2006-07-21,43,26.31
2006-07-28,54,28.14
2006-08-04,48,30.02
2006-08-11,49,29.99
2006-08-18,57,31.30
2006-08-25,52,29.01
2006-09-01,36,30.91
2006-09-08,58,31.88
2006-09-15,50,33.86
2006-09-22,58,33.64
2006-09-29,65,34.40
2006-10-06,75,35.35
2006-10-13,75,36.49
2006-10-20,62,35.27
2006-10-27,61,39.01
2006-11-03,70,38.61
2006-11-10,54,38.74
2006-11-17,62,42.04
2006-11-24,60,42.78
2006-12-01,61,42.63
2006-12-08,65,43.13
2006-12-15,56,43.03
2006-12-22,58,43.58
2006-12-29,66,42.96
2007-01-05,71,44.00
2007-01-12,54,45.82
2007-01-19,60,45.00
2007-01-26,57,43.84
2007-02-02,54,47.11
2007-02-09,53,46.86
2007-02-16,62,49.98
2007-02-23,66,49.97
2007-03-02,61,47.66
2007-03-09,59,49.32
2007-03-16,50,48.77
2007-03-23,55,50.96
2007-03-30,56,50.05
2007-04-06,60,
2007-04-13,61,51.99
2007-04-20,54,53.79
2007-04-27,58,51.25
2007-05-04,79,49.14
2007-05-11,68,47.84
2007-05-18,72,47.96
2007-05-25,69,48.66
2007-06-01,65,51.34
2007-06-08,75,49.02
2007-06-15,63,48.69
2007-06-22,71,47.12
2007-06-29,62,47.39
2007-07-06,62,49.37
2007-07-13,66,49.84
2007-07-20,68,48.87
2007-07-27,73,45.56
2007-08-03,59,45.96
2007-08-10,69,44.99
2007-08-17,75,44.32
2007-08-24,66,45.00
2007-08-31,71,44.53
2007-09-07,63,44.67
2007-09-14,50,47.94
2007-09-21,57,48.28
2007-09-28,77,47.27
2007-10-05,73,47.42
2007-10-12,79,43.97
2007-10-19,73,41.28
2007-10-26,72,36.16
2007-11-02,73,35.18
2007-11-09,67,32.58
2007-11-16,56,34.32
2007-11-23,59,35.91
2007-11-30,73,37.14
2007-12-07,70,36.60
2007-12-14,68,34.20
2007-12-21,67,31.47
2007-12-28,63,30.47
2008-01-04,73,28.09
2008-01-11,59,26.85
2008-01-18,55,25.19
2008-01-25,56,30.43
2008-02-01,63,32.64
2008-02-08,62,30.46
2008-02-15,58,31.06
2008-02-22,56,30.03
2008-02-29,58,30.32
2008-03-07,63,28.46
2008-03-14,59,28.03
2008-03-21,65,
2008-03-28,64,29.20
2008-04-04,65,32.92
2008-04-11,59,31.03
2008-04-18,59,32.85
2008-04-25,60,35.80
2008-05-02,62,35.84
2008-05-09,60,34.19
2008-05-16,59,36.65
2008-05-23,66,33.70
2008-05-30,58,36.30
2008-06-06,58,35.44
2008-06-13,63,33.66
2008-06-20,55,31.13
2008-06-27,60,29.29
2008-07-04,62,
2008-07-11,60,24.76
2008-07-18,69,28.03
2008-07-25,65,26.59
2008-08-01,63,24.85
2008-08-08,68,29.89
2008-08-15,57,31.19
2008-08-22,59,28.33
2008-08-29,62,28.99
2008-09-05,58,28.60
2008-09-12,54,29.60
2008-09-19,51,29.49
2008-09-26,53,25.99
2008-10-03,53,21.55
2008-10-10,48,18.35
2008-10-17,50,18.10
2008-10-24,50,17.63
2008-10-31,55,20.60
2008-11-07,43,17.18
2008-11-14,42,16.20
2008-11-21,42,14.74
2008-11-28,40,17.90
2008-12-05,55,19.69
2008-12-12,54,20.25
2008-12-19,55,21.00
2008-12-26,67,20.36
2009-01-02,68,22.02
2009-01-09,57,18.11
2009-01-16,57,17.00
2009-01-23,56,14.40
2009-01-30,57,14.60
2009-02-06,50,15.87
2009-02-13,53,13.97
2009-02-20,54,13.74
2009-02-27,54,13.98
2009-03-06,52,11.80
2009-03-13,51,14.69
2009-03-20,52,15.03
2009-03-27,51,17.48
2009-04-03,77,18.65
2009-04-10,95,
2009-04-17,82,19.30
2009-04-24,67,22.52
2009-05-01,67,24.85
2009-05-08,63,26.03
2009-05-15,65,23.14
2009-05-22,56,24.35
2009-05-29,58,26.27
2009-06-05,52,26.92
2009-06-12,66,26.12
2009-06-19,58,26.24
2009-06-26,52,26.93
2009-07-03,60,
2009-07-10,51,23.56
2009-07-17,55,26.63
2009-07-24,60,29.31
2009-07-31,59,29.59
2009-08-07,60,30.39
2009-08-14,52,28.55
2009-08-21,52,28.75
2009-08-28,51,29.27
2009-09-04,50,29.63
2009-09-11,44,31.47
2009-09-18,45,33.63
2009-09-25,37,31.67
2009-10-02,42,31.08
2009-10-09,45,34.50
2009-10-16,42,34.11
2009-10-23,38,34.22
2009-10-30,42,32.97
2009-11-06,36,33.92
2009-11-13,34,35.56
2009-11-20,33,33.79
2009-11-27,32,35.29
2009-12-04,33,36.53
2009-12-11,37,35.84
2009-12-18,33,36.34
2009-12-25,47,
2010-01-01,46,
2010-01-08,39,37.27
2010-01-15,37,36.79
2010-01-22,44,34.04
2010-01-29,48,34.88
2010-02-05,43,34.32
2010-02-12,36,35.47
2010-02-19,35,36.38
2010-02-26,33,36.44
2010-03-05,34,37.69
2010-03-12,33,38.27
2010-03-19,36,37.85
2010-03-26,35,40.31
2010-04-02,39,
2010-04-09,37,41.34
2010-04-16,35,42.31
2010-04-23,36,43.62
2010-04-30,39,41.75
2010-05-07,36,38.28
2010-05-14,37,40.06
2010-05-21,34,38.43
2010-05-28,34,41.11
2010-06-04,38,39.59
2010-06-11,38,42.81
2010-06-18,36,43.11
2010-06-25,33,39.16
2010-07-02,36,35.77
2010-07-09,32,36.50
2010-07-16,31,34.76
2010-07-23,35,37.37
2010-07-30,38,36.97
2010-08-06,40,38.96
2010-08-13,40,37.31
2010-08-20,45,37.31
2010-08-27,43,36.92
2010-09-03,43,39.12
2010-09-10,46,38.95
2010-09-17,38,41.55
2010-09-24,35,42.44
2010-10-01,36,43.12
2010-10-08,35,44.37
2010-10-15,34,44.73
2010-10-22,36,44.55
2010-10-29,33,50.00
2010-11-05,34,52.92
2010-11-12,29,51.56
2010-11-19,29,54.48
2010-11-26,29,55.90
2010-12-03,33,56.61
2010-12-10,32,57.42
2010-12-17,31,58.23
2010-12-24,35,
2010-12-31,34,55.31
2011-01-07,35,52.83
2011-01-14,34,54.38
2011-01-21,31,53.00
2011-01-28,32,52.82
2011-02-04,35,54.59
2011-02-11,32,57.86
2011-02-18,33,58.28
2011-02-25,27,54.53
2011-03-04,28,54.93
2011-03-11,28,56.08
2011-03-18,25,49.83
2011-03-25,26,52.02
2011-04-01,27,52.70
2011-04-08,29,50.76
2011-04-15,30,54.46
2011-04-22,27,
2011-04-29,31,59.81
2011-05-06,26,59.67
2011-05-13,27,59.99
2011-05-20,28,59.48
2011-05-27,40,63.91
2011-06-03,35,61.01
2011-06-10,27,59.12
2011-06-17,27,59.31
2011-06-24,32,58.66
2011-07-01,31,65.99
2011-07-08,28,66.82
2011-07-15,30,65.48
2011-07-22,31,66.80
2011-07-29,29,64.56
2011-08-05,34,56.96
2011-08-12,33,54.38
2011-08-19,34,45.96
2011-08-26,30,54.76
2011-09-02,28,53.21
2011-09-09,27,53.64
2011-09-16,32,59.49
2011-09-23,33,56.77
2011-09-30,37,51.83
2011-10-07,35,56.47
2011-10-14,34,62.08
2011-10-21,35,60.54
2011-10-28,32,66.36
2011-11-04,28,65.07
2011-11-11,29,64.42
2011-11-18,23,60.80
2011-11-25,24,58.25
2011-12-02,22,62.20
2011-12-09,25,62.45
2011-12-16,26,57.59
2011-12-23,28,61.19
2011-12-30,27,61.04
2012-01-06,25,62.64
2012-01-13,23,62.02
2012-01-20,26,64.84
2012-01-27,27,68.47
2012-02-03,27,72.59
2012-02-10,25,74.54
2012-02-17,24,75.03
2012-02-24,25,75.28
2012-03-02,24,76.49
2012-03-09,27,77.31
2012-03-16,29,77.84
2012-03-23,26,77.09
2012-03-30,26,77.28
2012-04-06,25,
2012-04-13,25,74.24
2012-04-20,22,75.67
2012-04-27,22,73.91
2012-05-04,29,72.53
2012-05-11,28,68.31
2012-05-18,29,65.89
2012-05-25,26,68.91
2012-06-01,25,63.13
2012-06-08,25,64.00
2012-06-15,23,61.21
2012-06-22,24,59.79
2012-06-29,25,58.48
2012-07-06,25,57.56
2012-07-13,24,57.18
2012-07-20,26,58.84
2012-07-27,26,62.10
2012-08-03,29,52.66
2012-08-10,26,54.83
2012-08-17,27,57.48
2012-08-24,26,55.89
2012-08-31,26,58.13
2012-09-07,25,61.70
2012-09-14,20,62.06
2012-09-21,22,56.62
2012-09-28,23,56.02
2012-10-05,23,56.37
2012-10-12,20,53.71
2012-10-19,19,56.00
2012-10-26,21,55.89
2012-11-02,21,56.97
2012-11-09,18,53.86
2012-11-16,19,54.54
2012-11-23,19,59.66
2012-11-30,23,57.84
2012-12-07,24,57.64
2012-12-14,26,57.05
2012-12-21,24,57.57
2012-12-28,25,54.30
2013-01-04,25,55.51
2013-01-11,21,58.89
2013-01-18,22,61.80
2013-01-25,28,51.21
2013-02-01,23,49.87
2013-02-08,24,48.93
2013-02-15,26,48.40
2013-02-22,22,46.79
2013-03-01,23,48.22
2013-03-08,22,48.93
2013-03-15,21,50.41
2013-03-22,20,50.27
2013-03-29,24,
2013-04-05,29,50.10
2013-04-12,24,52.37
2013-04-19,28,51.20
2013-04-26,26,57.42
2013-05-03,24,58.25
2013-05-10,24,59.50
2013-05-17,20,59.23
2013-05-24,20,57.76
2013-05-31,19,58.26
2013-06-07,28,58.75
2013-06-14,26,58.52
2013-06-21,26,56.54
2013-06-28,36,57.09
2013-07-05,32,57.45
2013-07-12,27,59.00
2013-07-19,23,59.31
2013-07-26,20,59.18
2013-08-02,23,53.33
2013-08-09,21,53.37
2013-08-16,19,51.90
2013-08-23,20,52.72
2013-08-30,17,52.81
2013-09-06,17,53.08
2013-09-13,15,54.63
2013-09-20,15,55.04
2013-09-27,15,54.24
2013-10-04,13,55.03
2013-10-11,16,54.59
2013-10-18,15,53.87
2013-10-25,15,49.89
2013-11-01,15,50.42
2013-11-08,14,51.81
2013-11-15,16,54.14
2013-11-22,14,54.22
2013-11-29,13,57.90
2013-12-06,15,55.62
2013-12-13,16,55.50
2013-12-20,14,56.06
2013-12-27,18,56.27
2014-01-03,19,56.24
2014-01-10,16,56.08
2014-01-17,17,52.56
2014-01-24,19,48.81
2014-01-31,15,47.89
2014-02-07,15,47.56
2014-02-14,16,48.08
2014-02-21,17,47.65
2014-02-28,15,48.81
2014-03-07,13,48.82
2014-03-14,13,49.11
2014-03-21,15,50.24
2014-03-28,14,49.67
2014-04-04,13,49.56
2014-04-11,12,48.81
2014-04-18,14,
2014-04-25,16,49.82
2014-05-02,21,
