Date,ECL,Price
2004-01-09,64,
2004-01-16,65,
2004-01-23,73,
2004-01-30,82,
2004-02-06,56,27.59
2004-02-13,62,27.34
2004-02-20,58,27.50
2004-02-27,70,27.31
2004-03-05,49,27.68
2004-03-12,57,27.81
2004-03-19,62,27.26
2004-03-26,55,27.48
2004-04-02,51,28.50
2004-04-09,53,
2004-04-16,53,28.49
2004-04-23,66,29.29
2004-04-30,72,29.80
2004-05-07,63,29.11
2004-05-14,66,28.99
2004-05-21,54,29.15
2004-05-28,49,30.51
2004-06-04,68,30.72
2004-06-11,57,
2004-06-18,53,30.41
2004-06-25,46,30.89
2004-07-02,48,30.66
2004-07-09,77,30.80
2004-07-16,82,31.30
2004-07-23,58,30.35
2004-07-30,63,30.50
2004-08-06,57,29.37
2004-08-13,61,29.89
2004-08-20,74,30.17
2004-08-27,63,30.02
2004-09-03,63,30.65
2004-09-10,65,30.67
2004-09-17,53,31.29
2004-09-24,85,31.17
2004-10-01,64,31.75
2004-10-08,100,32.51
2004-10-15,68,32.50
2004-10-22,62,32.02
2004-10-29,55,33.85
2004-11-05,58,35.07
2004-11-12,76,34.95
2004-11-19,39,34.25
2004-11-26,57,35.03
2004-12-03,57,35.17
2004-12-10,68,34.89
2004-12-17,56,34.32
2004-12-24,64,
2004-12-31,20,35.13
2005-01-07,54,33.73
2005-01-14,69,33.66
2005-01-21,62,33.70
2005-01-28,45,33.55
2005-02-04,56,33.57
2005-02-11,54,32.95
2005-02-18,55,31.81
2005-02-25,66,31.66
2005-03-04,56,33.09
2005-03-11,76,32.42
2005-03-18,55,32.38
2005-03-25,56,
2005-04-01,59,32.90
2005-04-08,53,32.92
2005-04-15,43,32.92
2005-04-22,60,32.25
2005-04-29,58,32.71
2005-05-06,65,32.49
2005-05-13,54,31.28
2005-05-20,58,32.81
2005-05-27,56,32.58
2005-06-03,43,32.77
2005-06-10,63,32.42
2005-06-17,65,32.84
2005-06-24,68,31.75
2005-07-01,54,32.24
2005-07-08,44,32.09
2005-07-15,57,31.93
2005-07-22,48,31.90
2005-07-29,45,33.58
2005-08-05,58,33.15
2005-08-12,49,33.00
2005-08-19,58,32.09
2005-08-26,42,31.75
2005-09-02,55,33.12
2005-09-09,52,33.30
2005-09-16,55,32.60
2005-09-23,50,31.59
2005-09-30,49,31.93
2005-10-07,62,31.24
2005-10-14,56,31.79
2005-10-21,63,32.65
2005-10-28,49,33.20
2005-11-04,51,32.84
2005-11-11,68,33.25
2005-11-18,56,33.36
2005-11-25,58,33.18
2005-12-02,58,33.84
2005-12-09,39,34.58
2005-12-16,61,35.70
2005-12-23,44,36.07
2005-12-30,33,36.27
2006-01-06,49,36.05
2006-01-13,61,35.22
2006-01-20,55,35.01
2006-01-27,50,35.71
2006-02-03,42,35.18
2006-02-10,56,34.60
2006-02-17,60,35.69
2006-02-24,74,36.51
2006-03-03,54,35.90
2006-03-10,54,39.25
2006-03-17,60,39.29
2006-03-24,50,39.00
2006-03-31,64,38.20
2006-04-07,70,37.94
2006-04-14,58,
2006-04-21,52,38.01
2006-04-28,60,37.80
2006-05-05,53,38.50
2006-05-12,48,37.84
2006-05-19,48,38.05
2006-05-26,68,38.56
2006-06-02,60,38.32
2006-06-09,65,37.90
