Date,Monster Beverage,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,9.98
2004-02-13,0,11.25
2004-02-20,0,12.18
2004-02-27,0,11.95
2004-03-05,0,13.93
2004-03-12,0,13.30
2004-03-19,0,13.45
2004-03-26,0,12.21
2004-04-02,0,14.55
2004-04-09,0,
2004-04-16,0,14.64
2004-04-23,0,14.18
2004-04-30,0,13.93
2004-05-07,0,19.69
2004-05-14,0,20.11
2004-05-21,0,23.37
2004-05-28,0,26.35
2004-06-04,0,21.63
2004-06-11,0,
2004-06-18,0,27.25
2004-06-25,0,25.18
2004-07-02,0,24.40
2004-07-09,0,20.60
2004-07-16,0,20.57
2004-07-23,0,18.71
2004-07-30,0,20.50
2004-08-06,0,23.31
2004-08-13,0,22.29
2004-08-20,0,22.11
2004-08-27,0,22.76
2004-09-03,0,27.10
2004-09-10,0,28.48
2004-09-17,0,23.51
2004-09-24,0,24.20
2004-10-01,0,25.00
2004-10-08,0,25.31
2004-10-15,0,23.92
2004-10-22,0,25.01
2004-10-29,0,26.50
2004-11-05,0,25.80
2004-11-12,0,31.99
2004-11-19,0,31.50
2004-11-26,0,33.83
2004-12-03,0,34.74
2004-12-10,0,32.50
2004-12-17,0,32.79
2004-12-24,0,
2004-12-31,0,36.41
2005-01-07,0,33.86
2005-01-14,0,37.21
2005-01-21,0,37.51
2005-01-28,0,40.65
2005-02-04,0,45.89
2005-02-11,0,39.36
2005-02-18,0,40.09
2005-02-25,0,43.97
2005-03-04,0,46.51
2005-03-11,0,43.26
2005-03-18,0,55.60
2005-03-25,0,
2005-04-01,0,58.77
2005-04-08,0,59.16
2005-04-15,0,53.60
2005-04-22,0,54.44
2005-04-29,0,56.68
2005-05-06,0,66.56
2005-05-13,0,62.30
2005-05-20,0,69.28
2005-05-27,0,71.10
2005-06-03,0,74.17
2005-06-10,0,81.80
2005-06-17,0,81.17
2005-06-24,0,80.93
2005-07-01,0,84.87
2005-07-08,0,90.97
2005-07-15,0,97.80
2005-07-22,0,92.10
2005-07-29,0,92.40
2005-08-05,0,91.46
2005-08-12,0,43.85
2005-08-19,0,43.44
2005-08-26,0,45.30
2005-09-02,0,49.43
2005-09-09,0,49.13
2005-09-16,0,45.55
2005-09-23,0,40.66
2005-09-30,0,47.08
2005-10-07,0,45.86
2005-10-14,0,44.00
2005-10-21,0,47.24
2005-10-28,0,48.27
2005-11-04,0,57.63
2005-11-11,0,67.48
2005-11-18,0,71.94
2005-11-25,0,73.75
2005-12-02,0,82.76
2005-12-09,0,84.65
2005-12-16,0,77.48
2005-12-23,0,85.59
2005-12-30,0,78.81
2006-01-06,0,85.66
2006-01-13,0,104.31
2006-01-20,0,95.50
2006-01-27,0,93.60
2006-02-03,0,87.01
2006-02-10,0,83.77
2006-02-17,0,91.21
2006-02-24,0,94.48
2006-03-03,0,98.79
2006-03-10,0,106.05
2006-03-17,0,115.67
2006-03-24,0,113.20
2006-03-31,0,126.05
2006-04-07,0,125.95
2006-04-14,0,
2006-04-21,0,135.65
2006-04-28,0,129.46
2006-05-05,0,148.20
2006-05-12,0,173.00
2006-05-19,0,183.50
2006-05-26,0,183.18
2006-06-02,0,184.28
2006-06-09,0,165.76
2006-06-16,0,162.00
2006-06-23,0,171.95
2006-06-30,0,190.37
2006-07-07,0,203.80
2006-07-14,0,45.83
2006-07-21,0,43.07
2006-07-28,0,44.77
2006-08-04,0,40.25
2006-08-11,0,29.05
2006-08-18,0,30.15
2006-08-25,0,29.94
2006-09-01,0,27.49
2006-09-08,0,27.46
2006-09-15,0,32.63
2006-09-22,0,33.51
2006-09-29,0,32.48
2006-10-06,0,31.49
2006-10-13,0,32.79
2006-10-20,0,32.82
2006-10-27,0,32.38
2006-11-03,36,30.28
2006-11-10,0,26.45
2006-11-17,0,27.39
2006-11-24,0,28.41
2006-12-01,0,27.93
2006-12-08,0,33.03
2006-12-15,0,33.48
2006-12-22,0,34.20
2006-12-29,0,33.68
2007-01-05,0,34.28
2007-01-12,0,38.15
2007-01-19,0,37.21
2007-01-26,0,36.99
2007-02-02,0,39.60
2007-02-09,0,39.52
2007-02-16,0,36.90
2007-02-23,0,36.79
2007-03-02,0,34.21
2007-03-09,0,34.56
2007-03-16,0,35.68
2007-03-23,0,36.21
2007-03-30,0,37.88
2007-04-06,0,
2007-04-13,0,38.59
2007-04-20,0,38.98
2007-04-27,0,38.65
2007-05-04,0,39.32
2007-05-11,0,39.20
2007-05-18,0,39.28
2007-05-25,0,39.50
2007-06-01,0,40.32
2007-06-08,0,39.13
2007-06-15,0,43.90
2007-06-22,0,44.36
2007-06-29,0,42.98
2007-07-06,0,45.75
2007-07-13,0,44.13
2007-07-20,0,42.57
2007-07-27,0,41.03
2007-08-03,0,40.08
2007-08-10,0,45.58
2007-08-17,0,42.13
2007-08-24,0,44.22
2007-08-31,0,44.91
2007-09-07,0,46.70
2007-09-14,0,49.60
2007-09-21,0,51.90
2007-09-28,0,56.68
2007-10-05,0,62.60
2007-10-12,0,64.88
2007-10-19,0,61.59
2007-10-26,0,67.86
2007-11-02,0,65.42
2007-11-09,0,46.46
2007-11-16,0,41.52
2007-11-23,0,41.00
2007-11-30,0,43.41
2007-12-07,0,49.12
2007-12-14,0,47.70
2007-12-21,0,47.70
2007-12-28,0,44.48
2008-01-04,0,41.50
2008-01-11,0,43.13
2008-01-18,0,40.97
2008-01-25,0,40.99
2008-02-01,0,39.19
2008-02-08,0,38.25
2008-02-15,0,40.09
2008-02-22,0,43.82
2008-02-29,0,41.50
2008-03-07,0,40.56
2008-03-14,0,38.81
2008-03-21,0,
2008-03-28,0,34.67
2008-04-04,19,38.24
2008-04-11,19,35.21
2008-04-18,19,32.21
2008-04-25,19,33.67
2008-05-02,19,35.20
2008-05-09,20,28.60
2008-05-16,25,29.48
2008-05-23,26,28.80
2008-05-30,27,31.24
2008-06-06,28,34.38
2008-06-13,0,34.28
2008-06-20,0,34.18
2008-06-27,0,29.15
2008-07-04,0,
2008-07-11,0,24.51
2008-07-18,0,24.18
2008-07-25,0,24.29
2008-08-01,0,22.72
2008-08-08,0,23.23
2008-08-15,0,28.63
2008-08-22,0,29.53
2008-08-29,0,27.48
2008-09-05,0,25.58
2008-09-12,0,24.30
2008-09-19,0,30.39
2008-09-26,0,31.44
2008-10-03,0,31.96
2008-10-10,0,24.82
2008-10-17,0,22.62
2008-10-24,0,21.12
2008-10-31,0,25.32
2008-11-07,0,24.90
2008-11-14,0,25.36
2008-11-21,0,24.58
2008-11-28,0,29.75
2008-12-05,0,29.56
2008-12-12,0,29.27
2008-12-19,0,32.93
2008-12-26,0,33.90
2009-01-02,0,34.81
2009-01-09,0,32.01
2009-01-16,0,33.66
2009-01-23,0,32.96
2009-01-30,0,33.50
2009-02-06,0,36.18
2009-02-13,0,35.29
2009-02-20,0,33.96
2009-02-27,0,33.28
2009-03-06,0,35.35
2009-03-13,0,36.99
2009-03-20,0,35.00
2009-03-27,0,35.92
2009-04-03,0,37.18
2009-04-10,0,
2009-04-17,0,37.08
2009-04-24,0,39.89
2009-05-01,16,41.09
2009-05-08,14,42.55
2009-05-15,14,42.61
2009-05-22,14,39.31
2009-05-29,14,36.68
2009-06-05,15,32.36
2009-06-12,15,31.25
2009-06-19,15,30.77
2009-06-26,18,31.77
2009-07-03,0,
2009-07-10,0,28.57
2009-07-17,0,29.48
2009-07-24,0,29.66
2009-07-31,0,31.01
2009-08-07,0,36.09
2009-08-14,0,32.61
2009-08-21,0,33.09
2009-08-28,0,32.82
2009-09-04,13,32.08
2009-09-11,13,32.97
2009-09-18,13,34.97
2009-09-25,13,35.95
2009-10-02,13,36.25
2009-10-09,16,36.96
2009-10-16,19,37.65
2009-10-23,16,37.45
2009-10-30,14,36.15
2009-11-06,14,34.46
2009-11-13,14,35.15
2009-11-20,12,35.42
2009-11-27,12,34.76
2009-12-04,12,35.47
2009-12-11,0,35.35
2009-12-18,0,37.00
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,40.29
2010-01-15,0,40.45
2010-01-22,0,39.63
2010-01-29,11,38.45
2010-02-05,12,38.78
2010-02-12,11,39.23
2010-02-19,11,40.85
2010-02-26,11,41.58
2010-03-05,11,41.41
2010-03-12,11,42.03
2010-03-19,11,42.93
2010-03-26,14,43.19
2010-04-02,16,
2010-04-09,0,42.46
2010-04-16,0,41.62
2010-04-23,0,43.08
2010-04-30,0,44.15
2010-05-07,0,37.35
2010-05-14,0,39.00
2010-05-21,12,38.29
2010-05-28,12,39.05
2010-06-04,12,39.61
2010-06-11,12,38.93
2010-06-18,12,39.53
2010-06-25,11,39.73
2010-07-02,11,40.12
2010-07-09,11,42.73
2010-07-16,11,41.09
2010-07-23,11,43.01
2010-07-30,11,41.89
2010-08-06,12,44.69
2010-08-13,10,44.31
2010-08-20,10,45.75
2010-08-27,10,45.78
2010-09-03,10,47.27
2010-09-10,10,45.88
2010-09-17,11,45.48
2010-09-24,11,46.26
2010-10-01,11,46.96
2010-10-08,10,47.19
2010-10-15,10,50.16
2010-10-22,10,51.68
2010-10-29,10,51.21
2010-11-05,13,51.54
2010-11-12,0,50.15
2010-11-19,0,52.86
2010-11-26,0,54.39
2010-12-03,0,52.75
2010-12-10,0,49.07
2010-12-17,0,52.75
2010-12-24,0,
2010-12-31,0,52.28
2011-01-07,11,53.38
2011-01-14,0,54.49
2011-01-21,0,55.68
2011-01-28,0,55.15
2011-02-04,0,56.91
2011-02-11,0,56.57
2011-02-18,0,57.27
2011-02-25,0,59.00
2011-03-04,8,56.19
2011-03-11,8,55.38
2011-03-18,8,55.34
2011-03-25,8,59.08
2011-04-01,9,61.00
2011-04-08,10,61.98
2011-04-15,10,63.28
2011-04-22,11,
2011-04-29,9,66.15
2011-05-06,9,64.74
2011-05-13,10,66.50
2011-05-20,11,69.56
2011-05-27,9,70.89
2011-06-03,9,72.78
2011-06-10,10,71.59
2011-06-17,10,72.31
2011-06-24,9,78.05
2011-07-01,9,83.63
2011-07-08,9,81.00
2011-07-15,8,78.29
2011-07-22,8,80.51
2011-07-29,8,76.62
2011-08-05,11,75.92
2011-08-12,9,80.88
2011-08-19,10,79.51
2011-08-26,11,84.63
2011-09-02,7,83.63
2011-09-09,7,86.46
2011-09-16,7,92.11
2011-09-23,11,87.81
2011-09-30,10,87.29
2011-10-07,8,86.05
2011-10-14,8,94.37
2011-10-21,10,92.75
2011-10-28,9,86.72
2011-11-04,7,95.56
2011-11-11,7,93.45
2011-11-18,9,91.01
2011-11-25,10,85.02
2011-12-02,8,93.83
2011-12-09,8,97.14
2011-12-16,8,95.89
2011-12-23,11,94.94
2011-12-30,10,92.14
2012-01-06,11,95.38
2012-01-13,13,96.99
2012-01-20,11,104.52
2012-01-27,12,107.53
2012-02-03,14,105.71
2012-02-10,12,108.29
2012-02-17,16,53.20
2012-02-24,16,56.38
2012-03-02,15,58.59
2012-03-09,15,59.57
2012-03-16,15,59.54
2012-03-23,12,60.53
2012-03-30,14,62.09
2012-04-06,15,
2012-04-13,17,64.26
2012-04-20,15,63.51
2012-04-27,14,65.53
2012-05-04,87,66.74
2012-05-11,35,71.55
2012-05-18,22,68.60
2012-05-25,15,71.58
2012-06-01,19,70.54
2012-06-08,15,76.10
2012-06-15,18,78.64
2012-06-22,15,73.61
2012-06-29,17,71.20
2012-07-06,11,73.43
2012-07-13,16,73.73
2012-07-20,16,64.97
2012-07-27,16,68.16
2012-08-03,12,66.78
2012-08-10,39,54.27
2012-08-17,22,60.84
2012-08-24,15,59.75
2012-08-31,15,58.94
2012-09-07,11,58.22
2012-09-14,15,53.77
2012-09-21,9,54.70
2012-09-28,13,54.06
2012-10-05,15,57.03
2012-10-12,11,57.08
2012-10-19,11,53.32
2012-10-26,100,45.86
2012-11-02,18,44.03
2012-11-09,23,45.26
2012-11-16,17,45.47
2012-11-23,14,45.94
2012-11-30,22,52.05
2012-12-07,14,52.78
2012-12-14,22,53.38
2012-12-21,8,52.09
2012-12-28,11,51.88
2013-01-04,11,51.89
2013-01-11,9,50.92
2013-01-18,13,47.82
2013-01-25,18,46.71
2013-02-01,7,47.65
2013-02-08,10,46.84
2013-02-15,19,51.08
2013-02-22,15,50.69
2013-03-01,16,50.66
2013-03-08,20,47.34
2013-03-15,13,48.38
2013-03-22,16,48.50
2013-03-29,15,
2013-04-05,20,49.68
2013-04-12,14,56.75
2013-04-19,13,55.71
2013-04-26,15,56.65
2013-05-03,16,57.44
2013-05-10,17,54.23
2013-05-17,10,56.91
2013-05-24,8,55.91
2013-05-31,7,54.59
2013-06-07,14,61.62
2013-06-14,10,59.26
2013-06-21,11,56.22
2013-06-28,12,60.83
2013-07-05,8,60.59
2013-07-12,7,59.86
2013-07-19,8,63.39
2013-07-26,8,62.88
2013-08-02,9,63.37
2013-08-09,12,63.70
2013-08-16,9,58.24
2013-08-23,8,59.60
2013-08-30,6,57.39
2013-09-06,10,55.25
2013-09-13,10,55.05
2013-09-20,9,55.90
2013-09-27,10,53.07
2013-10-04,9,51.87
2013-10-11,8,53.75
2013-10-18,12,57.72
2013-10-25,9,58.15
2013-11-01,6,56.69
2013-11-08,8,55.16
2013-11-15,17,57.46
2013-11-22,5,57.32
2013-11-29,10,59.18
2013-12-06,8,63.05
2013-12-13,7,61.46
2013-12-20,6,66.24
2013-12-27,7,67.42
2014-01-03,7,67.52
2014-01-10,6,69.82
2014-01-17,12,69.12
2014-01-24,6,67.55
2014-01-31,7,67.90
2014-02-07,9,68.47
2014-02-14,7,71.59
2014-02-21,6,74.79
2014-02-28,10,74.00
2014-03-07,10,73.39
2014-03-14,7,70.06
2014-03-21,7,68.83
2014-03-28,7,69.49
2014-04-04,8,66.66
2014-04-11,10,63.27
2014-04-18,8,
2014-04-25,9,65.78
2014-05-02,0,
